                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            57805.4                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57808.26902412281                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57811.138048245615                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57814.007072368426                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57816.87609649123                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57819.74512061404                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57822.61414473684                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57825.48316885965                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57828.35219298246                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57831.22121710527                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57834.09024122807                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57836.95926535088                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57839.828289473684                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57842.697313596494                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
   57845.5663377193                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57848.43536184211                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57851.30438596491                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57854.17341008772                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57857.042434210525                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
 57859.911458333336                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57862.78048245614                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57865.64950657895                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57868.51853070175                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
  57871.38755482456                 0.0                 0.0                 0.0                 nan                 nan                 nan    4.27082637090754e+30  4.9176667090647543e+30   5.835405107300258e+30 
