       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 58300.834     99.0     99.0     99.0   3608.04     3631.0       u 
 58302.085     99.0     99.0     99.0   3608.04     3631.0       u 
 58303.337     99.0     99.0     99.0   3608.04     3631.0       u 
 58304.588     99.0     99.0     99.0   3608.04     3631.0       u 
  58305.84     99.0     99.0   61.363   3608.04     3631.0       u 
 58307.091     99.0     99.0  -18.084   3608.04     3631.0       u 
 58308.343     99.0  -17.246  -19.475   3608.04     3631.0       u 
 58309.595  -15.012  -19.248  -20.255   3608.04     3631.0       u 
 58310.846  -18.707  -20.136  -20.788   3608.04     3631.0       u 
 58312.098  -19.897  -20.697  -21.186   3608.04     3631.0       u 
 58313.349  -20.545  -21.104   -21.45   3608.04     3631.0       u 
 58314.601  -20.986  -21.393  -21.666   3608.04     3631.0       u 
 58315.852  -21.329  -21.612  -21.824   3608.04     3631.0       u 
 58317.104  -21.576  -21.786  -21.963   3608.04     3631.0       u 
 58318.355  -21.756  -21.926  -22.078   3608.04     3631.0       u 
 58319.607  -21.912  -22.036  -22.154   3608.04     3631.0       u 
 58320.859  -22.036  -22.124  -22.221   3608.04     3631.0       u 
 58321.484  -22.085  -22.159  -22.256   3608.04     3631.0       u 
  58322.11  -22.124  -22.194  -22.282   3608.04     3631.0       u 
 58323.362  -22.169  -22.244   -22.33   3608.04     3631.0       u 
 58324.613  -22.208  -22.284  -22.354   3608.04     3631.0       u 
 58325.865  -22.232  -22.304  -22.375   3608.04     3631.0       u 
 58327.116  -22.244  -22.315   -22.39   3608.04     3631.0       u 
 58328.368   -22.24  -22.315  -22.386   3608.04     3631.0       u 
  58329.62  -22.234  -22.307  -22.371   3608.04     3631.0       u 
 58330.871  -22.214  -22.287  -22.348   3608.04     3631.0       u 
 58332.123  -22.187   -22.26  -22.325   3608.04     3631.0       u 
 58333.374  -22.153  -22.224  -22.291   3608.04     3631.0       u 
 58334.626  -22.112  -22.183  -22.248   3608.04     3631.0       u 
 58335.877  -22.065  -22.141  -22.202   3608.04     3631.0       u 
 58337.129  -22.015   -22.09  -22.153   3608.04     3631.0       u 
  58338.38  -21.959  -22.033  -22.099   3608.04     3631.0       u 
 58339.632  -21.902   -21.97   -22.04   3608.04     3631.0       u 
 58340.884  -21.841  -21.905  -21.974   3608.04     3631.0       u 
 58342.135  -21.774  -21.841  -21.907   3608.04     3631.0       u 
 58343.387  -21.706  -21.772  -21.838   3608.04     3631.0       u 
 58344.638  -21.637  -21.702  -21.769   3608.04     3631.0       u 
  58345.89  -21.566  -21.632  -21.695   3608.04     3631.0       u 
 58347.141  -21.498   -21.56  -21.621   3608.04     3631.0       u 
 58348.393  -21.428  -21.487  -21.549   3608.04     3631.0       u 
 58349.645  -21.358  -21.413  -21.476   3608.04     3631.0       u 
 58350.896  -21.285   -21.34  -21.403   3608.04     3631.0       u 
 58352.148  -21.216  -21.268   -21.33   3608.04     3631.0       u 
 58353.399  -21.147  -21.196  -21.258   3608.04     3631.0       u 
 58354.651  -21.075  -21.123  -21.186   3608.04     3631.0       u 
 58355.902  -21.007  -21.052  -21.115   3608.04     3631.0       u 
 58357.154  -20.939  -20.981  -21.044   3608.04     3631.0       u 
 58358.406  -20.873  -20.914  -20.976   3608.04     3631.0       u 
 58359.657  -20.807  -20.845   -20.91   3608.04     3631.0       u 
 58360.909   -20.74  -20.778  -20.843   3608.04     3631.0       u 
  58362.16  -20.674  -20.712  -20.778   3608.04     3631.0       u 
 58363.412  -20.609  -20.646  -20.713   3608.04     3631.0       u 
 58364.663  -20.542  -20.584  -20.646   3608.04     3631.0       u 
 58365.915  -20.476  -20.518  -20.581   3608.04     3631.0       u 
 58367.166  -20.411  -20.453  -20.516   3608.04     3631.0       u 
 58368.418  -20.347   -20.39  -20.452   3608.04     3631.0       u 
  58369.67  -20.282  -20.326  -20.389   3608.04     3631.0       u 
 58370.921  -20.217  -20.263  -20.326   3608.04     3631.0       u 
