       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 58322.981     99.0     99.0     99.0   3608.04     3631.0       u 
 58324.233     99.0     99.0     99.0   3608.04     3631.0       u 
 58325.484     99.0     99.0  -14.175   3608.04     3631.0       u 
 58326.736     99.0  -14.106  -16.169   3608.04     3631.0       u 
 58327.987   -14.27  -16.405  -17.194   3608.04     3631.0       u 
 58329.239  -16.682  -17.414  -17.866   3608.04     3631.0       u 
  58330.49   -17.67   -18.03   -18.34   3608.04     3631.0       u 
 58331.742  -18.268  -18.512  -18.738   3608.04     3631.0       u 
 58332.994    -18.7  -18.874   -19.04   3608.04     3631.0       u 
 58334.245  -19.045  -19.164  -19.317   3608.04     3631.0       u 
 58335.497  -19.304  -19.412  -19.547   3608.04     3631.0       u 
 58336.748  -19.527  -19.611  -19.729   3608.04     3631.0       u 
 58337.374  -19.623  -19.704  -19.801   3608.04     3631.0       u 
   58338.0  -19.712  -19.789  -19.877   3608.04     3631.0       u 
 58339.251  -19.878   -19.94  -20.022   3608.04     3631.0       u 
 58340.503  -20.015  -20.069  -20.148   3608.04     3631.0       u 
 58341.754  -20.133  -20.186  -20.261   3608.04     3631.0       u 
 58343.006  -20.236  -20.285  -20.362   3608.04     3631.0       u 
 58344.258  -20.327  -20.374  -20.449   3608.04     3631.0       u 
 58345.509  -20.405  -20.452  -20.519   3608.04     3631.0       u 
 58346.761  -20.474  -20.524  -20.583   3608.04     3631.0       u 
 58348.012  -20.533  -20.585   -20.64   3608.04     3631.0       u 
 58349.264  -20.585  -20.637  -20.689   3608.04     3631.0       u 
 58350.515  -20.631   -20.68  -20.733   3608.04     3631.0       u 
 58351.767  -20.668  -20.717  -20.766   3608.04     3631.0       u 
 58353.019  -20.699  -20.748  -20.793   3608.04     3631.0       u 
  58354.27  -20.723  -20.772  -20.818   3608.04     3631.0       u 
 58355.522  -20.742  -20.792  -20.836   3608.04     3631.0       u 
 58356.773  -20.755  -20.804  -20.849   3608.04     3631.0       u 
 58358.025  -20.763  -20.813  -20.858   3608.04     3631.0       u 
 58359.276  -20.769  -20.817  -20.862   3608.04     3631.0       u 
 58360.528  -20.769  -20.817   -20.86   3608.04     3631.0       u 
 58361.779  -20.765  -20.811  -20.854   3608.04     3631.0       u 
 58363.031  -20.757  -20.799  -20.843   3608.04     3631.0       u 
 58364.283  -20.745  -20.784  -20.829   3608.04     3631.0       u 
 58365.534  -20.728  -20.765  -20.811   3608.04     3631.0       u 
 58366.786  -20.707  -20.742  -20.789   3608.04     3631.0       u 
 58368.037   -20.68  -20.714  -20.763   3608.04     3631.0       u 
 58369.289  -20.651  -20.683  -20.733   3608.04     3631.0       u 
  58370.54  -20.616  -20.649    -20.7   3608.04     3631.0       u 
 58371.792  -20.578  -20.611  -20.661   3608.04     3631.0       u 
 58373.044  -20.536  -20.569  -20.621   3608.04     3631.0       u 
 58374.295  -20.489  -20.526  -20.576   3608.04     3631.0       u 
 58375.547  -20.442  -20.478  -20.527   3608.04     3631.0       u 
 58376.798   -20.39  -20.428  -20.476   3608.04     3631.0       u 
  58378.05  -20.335  -20.371  -20.421   3608.04     3631.0       u 
 58379.301  -20.273  -20.312  -20.364   3608.04     3631.0       u 
 58380.553  -20.212  -20.252  -20.304   3608.04     3631.0       u 
 58381.805  -20.149  -20.187  -20.242   3608.04     3631.0       u 
 58383.056  -20.083   -20.12  -20.177   3608.04     3631.0       u 
 58384.308  -20.015   -20.05  -20.109   3608.04     3631.0       u 
 58385.559  -19.942  -19.976  -20.038   3608.04     3631.0       u 
 58386.811  -19.866  -19.902  -19.964   3608.04     3631.0       u 
 58388.062  -19.788  -19.825  -19.887   3608.04     3631.0       u 
 58389.314  -19.707  -19.744  -19.808   3608.04     3631.0       u 
 58390.565  -19.627  -19.662  -19.727   3608.04     3631.0       u 
 58391.817  -19.542  -19.578  -19.644   3608.04     3631.0       u 
 58393.069  -19.456  -19.491  -19.558   3608.04     3631.0       u 
  58394.32  -19.369  -19.403  -19.471   3608.04     3631.0       u 
 58395.572  -19.277  -19.313  -19.382   3608.04     3631.0       u 
 58396.823  -19.181  -19.221  -19.293   3608.04     3631.0       u 
 58398.075  -19.085   -19.13  -19.198   3608.04     3631.0       u 
 58399.326  -18.987  -19.034  -19.102   3608.04     3631.0       u 
 58400.578  -18.891  -18.937  -19.003   3608.04     3631.0       u 
  58401.83  -18.792   -18.84  -18.904   3608.04     3631.0       u 
 58403.081  -18.691   -18.74  -18.801   3608.04     3631.0       u 
 58404.333  -18.588  -18.639  -18.701   3608.04     3631.0       u 
 58405.584  -18.484  -18.537  -18.598   3608.04     3631.0       u 
 58406.836  -18.379  -18.432  -18.497   3608.04     3631.0       u 
 58408.087  -18.274  -18.327  -18.391   3608.04     3631.0       u 
 58409.339  -18.166  -18.221  -18.287   3608.04     3631.0       u 
 58410.591   -18.07  -18.118  -18.193   3608.04     3631.0       u 
 58411.842  -17.975  -18.033  -18.103   3608.04     3631.0       u 
 58413.094   -17.89  -17.958  -18.047   3608.04     3631.0       u 
 58414.345  -17.812  -17.894  -18.005   3608.04     3631.0       u 
 58415.597  -17.755   -17.85  -17.961   3608.04     3631.0       u 
 58416.848  -17.713  -17.811   -17.92   3608.04     3631.0       u 
   58418.1  -17.673  -17.772   -17.88   3608.04     3631.0       u 
 58419.351  -17.636  -17.733   -17.84   3608.04     3631.0       u 
 58420.603  -17.598  -17.695    -17.8   3608.04     3631.0       u 
 58421.855   -17.56  -17.658   -17.76   3608.04     3631.0       u 
 58423.106  -17.523  -17.622  -17.722   3608.04     3631.0       u 
 58424.358  -17.486  -17.587  -17.685   3608.04     3631.0       u 
 58425.609  -17.449   -17.55  -17.647   3608.04     3631.0       u 
 58426.861  -17.413  -17.512   -17.61   3608.04     3631.0       u 
 58428.112  -17.377  -17.475  -17.572   3608.04     3631.0       u 
 58429.364  -17.342  -17.438  -17.535   3608.04     3631.0       u 
 58430.616  -17.306  -17.402  -17.497   3608.04     3631.0       u 
 58431.867  -17.271  -17.366  -17.461   3608.04     3631.0       u 
 58433.119  -17.236   -17.33  -17.426   3608.04     3631.0       u 
  58434.37    -17.2  -17.294  -17.393   3608.04     3631.0       u 
 58435.622  -17.165   -17.26  -17.359   3608.04     3631.0       u 
 58436.873  -17.131  -17.226  -17.324   3608.04     3631.0       u 
 58438.125  -17.098  -17.191  -17.289   3608.04     3631.0       u 
 58439.376  -17.064  -17.157  -17.255   3608.04     3631.0       u 
 58440.628   -17.03  -17.123  -17.221   3608.04     3631.0       u 
  58441.88  -16.997  -17.089  -17.187   3608.04     3631.0       u 
 58443.131  -16.968  -17.056  -17.153   3608.04     3631.0       u 
 58444.383  -16.936  -17.023   -17.12   3608.04     3631.0       u 
 58445.634  -16.903  -16.992  -17.086   3608.04     3631.0       u 
 58446.886  -16.871   -16.96  -17.053   3608.04     3631.0       u 
 58448.137  -16.839  -16.927  -17.023   3608.04     3631.0       u 
 58449.389  -16.807  -16.895  -16.992   3608.04     3631.0       u 
 58450.641  -16.775  -16.862  -16.959   3608.04     3631.0       u 
 58451.892  -16.743  -16.832  -16.928   3608.04     3631.0       u 
 58453.144  -16.711  -16.799  -16.898   3608.04     3631.0       u 
 58454.395   -16.68  -16.767  -16.869   3608.04     3631.0       u 
 58455.647   -16.65  -16.736   -16.84   3608.04     3631.0       u 
 58456.898   -16.62  -16.708   -16.81   3608.04     3631.0       u 
  58458.15  -16.588  -16.677  -16.778   3608.04     3631.0       u 
 58459.402  -16.557  -16.646  -16.747   3608.04     3631.0       u 
 58460.653  -16.525  -16.616  -16.717   3608.04     3631.0       u 
 58461.905  -16.494  -16.588  -16.687   3608.04     3631.0       u 
 58463.156  -16.464  -16.558   -16.66   3608.04     3631.0       u 
 58464.408  -16.434  -16.527  -16.634   3608.04     3631.0       u 
 58465.659  -16.403  -16.496  -16.605   3608.04     3631.0       u 
 58466.911  -16.372  -16.467  -16.577   3608.04     3631.0       u 
 58468.162  -16.342  -16.439  -16.547   3608.04     3631.0       u 
 58469.414  -16.313  -16.411  -16.518   3608.04     3631.0       u 
 58470.666  -16.284  -16.382  -16.489   3608.04     3631.0       u 
 58471.917  -16.256  -16.352  -16.459   3608.04     3631.0       u 
 58473.169   -16.23  -16.323  -16.429   3608.04     3631.0       u 
  58474.42  -16.201  -16.293    -16.4   3608.04     3631.0       u 
 58475.672  -16.173  -16.264  -16.374   3608.04     3631.0       u 
 58476.923  -16.144  -16.236  -16.349   3608.04     3631.0       u 
 58478.175  -16.116  -16.207  -16.323   3608.04     3631.0       u 
 58479.427  -16.087  -16.178  -16.295   3608.04     3631.0       u 
 58480.678  -16.059  -16.149  -16.267   3608.04     3631.0       u 
  58481.93  -16.031   -16.12  -16.244   3608.04     3631.0       u 
 58483.181  -16.003  -16.091  -16.216   3608.04     3631.0       u 
 58484.433  -15.974  -16.064  -16.187   3608.04     3631.0       u 
 58485.684  -15.946  -16.035  -16.159   3608.04     3631.0       u 
 58486.936  -15.918  -16.007  -16.131   3608.04     3631.0       u 
 58488.187   -15.89   -15.98  -16.102   3608.04     3631.0       u 
 58489.439  -15.862  -15.952  -16.074   3608.04     3631.0       u 
 58490.691  -15.835  -15.924  -16.047   3608.04     3631.0       u 
 58491.942  -15.807  -15.897  -16.021   3608.04     3631.0       u 
 58493.194   -15.78   -15.87  -15.994   3608.04     3631.0       u 
 58494.445  -15.752  -15.843  -15.967   3608.04     3631.0       u 
 58495.697  -15.725  -15.817  -15.942   3608.04     3631.0       u 
 58496.948  -15.699   -15.79  -15.916   3608.04     3631.0       u 
   58498.2  -15.673  -15.763  -15.889   3608.04     3631.0       u 
 58499.452  -15.647  -15.738  -15.864   3608.04     3631.0       u 
 58500.703  -15.621  -15.712  -15.839   3608.04     3631.0       u 
 58501.955  -15.595  -15.686  -15.813   3608.04     3631.0       u 
 58503.206  -15.569   -15.66  -15.787   3608.04     3631.0       u 
 58504.458  -15.543  -15.634  -15.763   3608.04     3631.0       u 
 58505.709  -15.517  -15.608   -15.74   3608.04     3631.0       u 
 58506.961  -15.492  -15.583  -15.717   3608.04     3631.0       u 
 58508.213  -15.466  -15.558  -15.694   3608.04     3631.0       u 
 58509.464  -15.441  -15.533  -15.671   3608.04     3631.0       u 
 58510.716  -15.415  -15.508  -15.647   3608.04     3631.0       u 
 58511.967   -15.39  -15.483  -15.624   3608.04     3631.0       u 
 58513.219  -15.365  -15.459  -15.601   3608.04     3631.0       u 
  58514.47   -15.34  -15.433  -15.577   3608.04     3631.0       u 
 58515.722  -15.315  -15.408  -15.554   3608.04     3631.0       u 
 58516.973   -15.29  -15.383   -15.53   3608.04     3631.0       u 
 58518.225  -15.265  -15.359  -15.506   3608.04     3631.0       u 
 58519.477  -15.241  -15.335  -15.483   3608.04     3631.0       u 
 58520.728  -15.216  -15.311  -15.459   3608.04     3631.0       u 
  58521.98  -15.192  -15.287  -15.436   3608.04     3631.0       u 
 58523.231  -15.167  -15.263  -15.413   3608.04     3631.0       u 
 58524.483  -15.143  -15.238  -15.389   3608.04     3631.0       u 
 58525.734   -15.12  -15.213  -15.366   3608.04     3631.0       u 
 58526.986  -15.095  -15.189  -15.343   3608.04     3631.0       u 
 58528.238  -15.071  -15.166  -15.319   3608.04     3631.0       u 
 58529.489  -15.048  -15.142  -15.296   3608.04     3631.0       u 
 58530.741  -15.024  -15.119  -15.273   3608.04     3631.0       u 
 58531.992    -15.0  -15.096  -15.251   3608.04     3631.0       u 
 58533.244  -14.977  -15.073  -15.228   3608.04     3631.0       u 
