       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
  58300.32    99.0    99.0    99.0  3513.68     3631.0       u 
  58300.32    99.0    99.0    99.0  4746.48     3631.0   g-P48 
  58300.32    99.0    99.0    99.0  4793.46     3631.0    g-LT 
  58300.32    99.0    99.0    99.0  6120.65     3631.0    r-LT 
  58300.32    99.0    99.0    99.0  6366.38     3631.0   r-P48 
  58300.32    99.0    99.0    99.0  7589.41     3631.0       i 
 58301.063    99.0    99.0    99.0  3513.68     3631.0       u 
 58301.063    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58301.063    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58301.063    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58301.063    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58301.063    99.0    99.0    99.0  7589.41     3631.0       i 
   58303.3    99.0    99.0  22.974  3513.68     3631.0       u 
   58303.3    99.0    99.0  23.437  4793.46     3631.0    g-LT 
   58303.3    99.0    99.0  23.483  4746.48     3631.0   g-P48 
   58303.3    99.0    99.0  23.924  6120.65     3631.0    r-LT 
   58303.3    99.0    99.0  23.971  6366.38     3631.0   r-P48 
   58303.3    99.0    99.0  24.302  7589.41     3631.0       i 
 58303.385    99.0  29.921  22.864  3513.68     3631.0       u 
 58303.385    99.0  30.501  23.325  4793.46     3631.0    g-LT 
 58303.385    99.0  30.552  23.371  4746.48     3631.0   g-P48 
 58303.385    99.0   31.07  23.811  6120.65     3631.0    r-LT 
 58303.385    99.0  31.125  23.857  6366.38     3631.0   r-P48 
 58303.385    99.0  31.505   24.19  7589.41     3631.0       i 
 58305.706  22.499  21.772   21.14  3513.68     3631.0       u 
 58305.706  22.978  22.242  21.604  4793.46     3631.0    g-LT 
 58305.706  23.027  22.287  21.648  4746.48     3631.0   g-P48 
 58305.706  23.508  22.743   22.08  6120.65     3631.0    r-LT 
 58305.706  23.556  22.793  22.125  6366.38     3631.0   r-P48 
 58305.706  23.922  23.141  22.457  7589.41     3631.0       i 
  58306.19  21.989  21.474  20.942  3513.68     3631.0       u 
  58306.19  22.461  21.922    21.4  4793.46     3631.0    g-LT 
  58306.19  22.509  21.967  21.445  4746.48     3631.0   g-P48 
  58306.19  22.989  22.416  21.873  6120.65     3631.0    r-LT 
  58306.19  23.038  22.465  21.917  6366.38     3631.0   r-P48 
  58306.19  23.383   22.81  22.247  7589.41     3631.0       i 
 58308.028  20.929  20.673  20.374  3513.68     3631.0       u 
 58308.028  21.356  21.111  20.789  4793.46     3631.0    g-LT 
 58308.028    21.4  21.155  20.831  4746.48     3631.0   g-P48 
 58308.028   21.84  21.583  21.243  6120.65     3631.0    r-LT 
 58308.028  21.883  21.629   21.29  6366.38     3631.0   r-P48 
 58308.028  22.221  21.965   21.63  7589.41     3631.0       i 
 58310.349  20.224  20.071   19.88  3513.68     3631.0       u 
 58310.349  20.628  20.469  20.291  4793.46     3631.0    g-LT 
 58310.349  20.669  20.509  20.331  4746.48     3631.0   g-P48 
 58310.349  21.088   20.93  20.725  6120.65     3631.0    r-LT 
 58310.349  21.131  20.975  20.769  6366.38     3631.0   r-P48 
 58310.349   21.45  21.303  21.101  7589.41     3631.0       i 
  58311.19  20.045  19.903  19.744  3513.68     3631.0       u 
  58311.19  20.441  20.298  20.134  4793.46     3631.0    g-LT 
  58311.19  20.481  20.339  20.174  4746.48     3631.0   g-P48 
  58311.19  20.886  20.752  20.577  6120.65     3631.0    r-LT 
  58311.19  20.929  20.797  20.619  6366.38     3631.0   r-P48 
  58311.19  21.255  21.126  20.944  7589.41     3631.0       i 
 58312.671  19.786   19.68  19.544  3513.68     3631.0       u 
 58312.671  20.161  20.054  19.909  4793.46     3631.0    g-LT 
 58312.671  20.202  20.094  19.948  4746.48     3631.0   g-P48 
 58312.671    20.6  20.492  20.341  6120.65     3631.0    r-LT 
 58312.671  20.643  20.537  20.383  6366.38     3631.0   r-P48 
 58312.671  20.961  20.858  20.701  7589.41     3631.0       i 
 58314.993  19.481  19.392  19.284  3513.68     3631.0       u 
 58314.993  19.829   19.75  19.631  4793.46     3631.0    g-LT 
 58314.993  19.869   19.79  19.671  4746.48     3631.0   g-P48 
 58314.993  20.246  20.171  20.061  6120.65     3631.0    r-LT 
 58314.993  20.288  20.214  20.101  6366.38     3631.0   r-P48 
 58314.993  20.603  20.525  20.402  7589.41     3631.0       i 
 58317.314  19.254  19.172  19.105  3513.68     3631.0       u 
 58317.314  19.571  19.509  19.427  4793.46     3631.0    g-LT 
 58317.314  19.608  19.548  19.464  4746.48     3631.0   g-P48 
 58317.314  19.976  19.914  19.829  6120.65     3631.0    r-LT 
 58317.314  20.019  19.955  19.871  6366.38     3631.0   r-P48 
 58317.314  20.322  20.261  20.168  7589.41     3631.0       i 
 58319.636   19.09  19.003   18.95  3513.68     3631.0       u 
 58319.636  19.374   19.32  19.254  4793.46     3631.0    g-LT 
 58319.636  19.409  19.356  19.292  4746.48     3631.0   g-P48 
 58319.636  19.754  19.707  19.644  6120.65     3631.0    r-LT 
 58319.636  19.792  19.746  19.682  6366.38     3631.0   r-P48 
 58319.636  20.094  20.046  19.975  7589.41     3631.0       i 
 58321.957  18.956  18.873  18.823  3513.68     3631.0       u 
 58321.957  19.214  19.162  19.113  4793.46     3631.0    g-LT 
 58321.957  19.247  19.198  19.149  4746.48     3631.0   g-P48 
 58321.957   19.58  19.537  19.486  6120.65     3631.0    r-LT 
 58321.957  19.618  19.576  19.523  6366.38     3631.0   r-P48 
 58321.957  19.911  19.867  19.811  7589.41     3631.0       i 
  58324.17  18.855   18.78  18.719  3513.68     3631.0       u 
  58324.17  19.092  19.042  18.999  4793.46     3631.0    g-LT 
  58324.17  19.124  19.078  19.035  4746.48     3631.0   g-P48 
  58324.17  19.442  19.402   19.36  6120.65     3631.0    r-LT 
  58324.17  19.479   19.44  19.397  6366.38     3631.0   r-P48 
  58324.17  19.764  19.721  19.679  7589.41     3631.0       i 
 58324.279  18.851  18.776  18.715  3513.68     3631.0       u 
 58324.279  19.087  19.037  18.995  4793.46     3631.0    g-LT 
 58324.279  19.118  19.072   19.03  4746.48     3631.0   g-P48 
 58324.279  19.436  19.396  19.355  6120.65     3631.0    r-LT 
 58324.279  19.473  19.434  19.392  6366.38     3631.0   r-P48 
 58324.279  19.758  19.715  19.673  7589.41     3631.0       i 
   58326.6  18.772    18.7  18.639  3513.68     3631.0       u 
   58326.6  18.983  18.934  18.901  4793.46     3631.0    g-LT 
   58326.6  19.014  18.968  18.933  4746.48     3631.0   g-P48 
   58326.6  19.314  19.279  19.247  6120.65     3631.0    r-LT 
   58326.6   19.35  19.315   19.28  6366.38     3631.0   r-P48 
   58326.6  19.626  19.587  19.554  7589.41     3631.0       i 
  58327.27  18.753  18.683  18.623  3513.68     3631.0       u 
  58327.27  18.958  18.908  18.877  4793.46     3631.0    g-LT 
  58327.27  18.987  18.942  18.908  4746.48     3631.0   g-P48 
  58327.27  19.283  19.249  19.217  6120.65     3631.0    r-LT 
  58327.27  19.318  19.284  19.251  6366.38     3631.0   r-P48 
  58327.27  19.592  19.556  19.521  7589.41     3631.0       i 
 58328.922  18.713  18.644  18.585  3513.68     3631.0       u 
 58328.922  18.901  18.853  18.823  4793.46     3631.0    g-LT 
 58328.922  18.933  18.886  18.854  4746.48     3631.0   g-P48 
 58328.922  19.211  19.181  19.151  6120.65     3631.0    r-LT 
 58328.922  19.245  19.215  19.183  6366.38     3631.0   r-P48 
 58328.922  19.516  19.482   19.45  7589.41     3631.0       i 
   58330.3  18.688  18.617  18.561  3513.68     3631.0       u 
   58330.3   18.86  18.816  18.785  4793.46     3631.0    g-LT 
   58330.3  18.889  18.847  18.814  4746.48     3631.0   g-P48 
   58330.3   19.16  19.133  19.099  6120.65     3631.0    r-LT 
   58330.3  19.193  19.164  19.134  6366.38     3631.0   r-P48 
   58330.3  19.458  19.428    19.4  7589.41     3631.0       i 
 58331.243  18.674  18.605  18.547  3513.68     3631.0       u 
 58331.243  18.834  18.793  18.763  4793.46     3631.0    g-LT 
 58331.243  18.863  18.823  18.791  4746.48     3631.0   g-P48 
 58331.243  19.128  19.101  19.071  6120.65     3631.0    r-LT 
 58331.243  19.161  19.133  19.104  6366.38     3631.0   r-P48 
 58331.243  19.423  19.393  19.365  7589.41     3631.0       i 
  58333.16  18.655  18.583  18.525  3513.68     3631.0       u 
  58333.16  18.792  18.751  18.723  4793.46     3631.0    g-LT 
  58333.16  18.819   18.78  18.753  4746.48     3631.0   g-P48 
  58333.16  19.069  19.046   19.02  6120.65     3631.0    r-LT 
  58333.16  19.101  19.078  19.052  6366.38     3631.0   r-P48 
  58333.16  19.358  19.332  19.305  7589.41     3631.0       i 
 58333.565  18.652   18.58  18.522  3513.68     3631.0       u 
 58333.565  18.784  18.743  18.716  4793.46     3631.0    g-LT 
 58333.565   18.81  18.773  18.745  4746.48     3631.0   g-P48 
 58333.565  19.058  19.036   19.01  6120.65     3631.0    r-LT 
 58333.565  19.089  19.067  19.041  6366.38     3631.0   r-P48 
 58333.565  19.346   19.32  19.292  7589.41     3631.0       i 
 58335.886  18.645  18.573  18.513  3513.68     3631.0       u 
 58335.886  18.746  18.708   18.68  4793.46     3631.0    g-LT 
 58335.886   18.77  18.735  18.709  4746.48     3631.0   g-P48 
 58335.886  19.002  18.982  18.962  6120.65     3631.0    r-LT 
 58335.886  19.032  19.012  18.991  6366.38     3631.0   r-P48 
 58335.886  19.281  19.258   19.23  7589.41     3631.0       i 
  58336.21  18.645  18.573  18.512  3513.68     3631.0       u 
  58336.21  18.742  18.705  18.676  4793.46     3631.0    g-LT 
  58336.21  18.766  18.731  18.705  4746.48     3631.0   g-P48 
  58336.21  18.995  18.976  18.956  6120.65     3631.0    r-LT 
  58336.21  19.025  19.005  18.984  6366.38     3631.0   r-P48 
  58336.21  19.273   19.25  19.222  7589.41     3631.0       i 
 58338.208   18.65   18.58  18.519  3513.68     3631.0       u 
 58338.208  18.722  18.687  18.662  4793.46     3631.0    g-LT 
 58338.208  18.746  18.711  18.688  4746.48     3631.0   g-P48 
 58338.208   18.96  18.941  18.921  6120.65     3631.0    r-LT 
 58338.208  18.987  18.968   18.95  6366.38     3631.0   r-P48 
 58338.208  19.231  19.206  19.181  7589.41     3631.0       i 
  58340.18  18.664  18.595  18.534  3513.68     3631.0       u 
  58340.18  18.712  18.677  18.652  4793.46     3631.0    g-LT 
  58340.18  18.733  18.701  18.678  4746.48     3631.0   g-P48 
  58340.18  18.934  18.917  18.899  6120.65     3631.0    r-LT 
  58340.18  18.959  18.942  18.924  6366.38     3631.0   r-P48 
  58340.18  19.197  19.171  19.145  7589.41     3631.0       i 
 58340.529  18.668  18.598  18.537  3513.68     3631.0       u 
 58340.529   18.71  18.677  18.652  4793.46     3631.0    g-LT 
 58340.529  18.733    18.7  18.678  4746.48     3631.0   g-P48 
 58340.529  18.929  18.913  18.895  6120.65     3631.0    r-LT 
 58340.529  18.955  18.938   18.92  6366.38     3631.0   r-P48 
 58340.529  19.192  19.166   19.14  7589.41     3631.0       i 
 58342.851    18.7   18.63  18.566  3513.68     3631.0       u 
 58342.851   18.71  18.679  18.656  4793.46     3631.0    g-LT 
 58342.851   18.73  18.701   18.68  4746.48     3631.0   g-P48 
 58342.851  18.908  18.893  18.876  6120.65     3631.0    r-LT 
 58342.851  18.935  18.918  18.898  6366.38     3631.0   r-P48 
 58342.851  19.163  19.134  19.109  7589.41     3631.0       i 
  58343.16  18.706  18.635  18.571  3513.68     3631.0       u 
  58343.16  18.711   18.68  18.657  4793.46     3631.0    g-LT 
  58343.16  18.731  18.702  18.682  4746.48     3631.0   g-P48 
  58343.16  18.907  18.892  18.874  6120.65     3631.0    r-LT 
  58343.16  18.933  18.916  18.896  6366.38     3631.0   r-P48 
  58343.16  19.159  19.131  19.105  7589.41     3631.0       i 
 58345.172   18.72  18.692  18.668  4793.46     3631.0    g-LT 
 58345.172  18.739  18.712  18.691  4746.48     3631.0   g-P48 
 58345.172  18.746  18.675  18.614  3513.68     3631.0       u 
 58345.172    18.9  18.883  18.866  6120.65     3631.0    r-LT 
 58345.172  18.923  18.905  18.886  6366.38     3631.0   r-P48 
 58345.172  19.141  19.112  19.085  7589.41     3631.0       i 
  58346.16  18.727  18.701  18.676  4793.46     3631.0    g-LT 
  58346.16  18.746   18.72  18.698  4746.48     3631.0   g-P48 
  58346.16  18.768  18.699  18.638  3513.68     3631.0       u 
  58346.16  18.899  18.883  18.865  6120.65     3631.0    r-LT 
  58346.16  18.921  18.903  18.884  6366.38     3631.0   r-P48 
  58346.16  19.136  19.106  19.078  7589.41     3631.0       i 
  58346.18  18.727  18.701  18.676  4793.46     3631.0    g-LT 
