       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 58301.803     99.0     99.0     99.0   3608.04     3631.0       u 
 58303.055     99.0     99.0  -17.097   3608.04     3631.0       u 
 58304.306     99.0  -17.453  -18.829   3608.04     3631.0       u 
 58305.558  -17.922  -19.004   -19.66   3608.04     3631.0       u 
  58306.81  -19.296  -19.798  -20.198   3608.04     3631.0       u 
 58308.061  -20.015  -20.327  -20.577   3608.04     3631.0       u 
 58309.313  -20.472  -20.705  -20.882   3608.04     3631.0       u 
 58310.564  -20.815  -20.985  -21.125   3608.04     3631.0       u 
  58311.19  -20.952  -21.101  -21.237   3608.04     3631.0       u 
 58311.816  -21.073  -21.214  -21.345   3608.04     3631.0       u 
 58313.067  -21.292  -21.402  -21.506   3608.04     3631.0       u 
 58314.319  -21.467  -21.555  -21.646   3608.04     3631.0       u 
  58315.57  -21.614  -21.688  -21.767   3608.04     3631.0       u 
 58316.822  -21.743  -21.806  -21.875   3608.04     3631.0       u 
 58318.074  -21.849  -21.908  -21.967   3608.04     3631.0       u 
 58319.325   -21.94  -21.993  -22.047   3608.04     3631.0       u 
 58320.577  -22.019  -22.064  -22.118   3608.04     3631.0       u 
 58321.828   -22.09  -22.127  -22.177   3608.04     3631.0       u 
  58323.08  -22.145  -22.181  -22.227   3608.04     3631.0       u 
 58324.331  -22.196  -22.228  -22.272   3608.04     3631.0       u 
 58325.583  -22.237  -22.264  -22.307   3608.04     3631.0       u 
 58326.835  -22.267  -22.297  -22.335   3608.04     3631.0       u 
 58328.086  -22.292  -22.321  -22.357   3608.04     3631.0       u 
 58329.338  -22.309  -22.336  -22.372   3608.04     3631.0       u 
 58330.589  -22.319  -22.347  -22.382   3608.04     3631.0       u 
 58331.841  -22.322   -22.35  -22.386   3608.04     3631.0       u 
 58333.092  -22.322  -22.349  -22.385   3608.04     3631.0       u 
 58334.344  -22.315  -22.344  -22.381   3608.04     3631.0       u 
 58335.596  -22.303  -22.332  -22.372   3608.04     3631.0       u 
 58336.847  -22.285  -22.313  -22.355   3608.04     3631.0       u 
 58338.099  -22.261   -22.29   -22.33   3608.04     3631.0       u 
  58339.35  -22.233  -22.263  -22.301   3608.04     3631.0       u 
 58340.602  -22.201  -22.231   -22.27   3608.04     3631.0       u 
 58341.853  -22.163  -22.194  -22.234   3608.04     3631.0       u 
 58343.105  -22.119  -22.151   -22.19   3608.04     3631.0       u 
 58344.356  -22.071  -22.103  -22.145   3608.04     3631.0       u 
 58345.608  -22.017  -22.052  -22.091   3608.04     3631.0       u 
  58346.86   -21.96  -21.996  -22.036   3608.04     3631.0       u 
 58348.111  -21.896  -21.937  -21.976   3608.04     3631.0       u 
 58349.363   -21.83  -21.872  -21.914   3608.04     3631.0       u 
 58350.614  -21.758  -21.803   -21.85   3608.04     3631.0       u 
 58351.866  -21.685  -21.729  -21.781   3608.04     3631.0       u 
 58353.117   -21.61  -21.652   -21.71   3608.04     3631.0       u 
 58354.369  -21.528  -21.572  -21.632   3608.04     3631.0       u 
 58355.621  -21.445   -21.49  -21.552   3608.04     3631.0       u 
 58356.872  -21.355  -21.405  -21.468   3608.04     3631.0       u 
 58358.124  -21.262  -21.318  -21.387   3608.04     3631.0       u 
 58359.375  -21.165  -21.228  -21.304   3608.04     3631.0       u 
 58360.627  -21.065  -21.137  -21.221   3608.04     3631.0       u 
 58361.878  -20.962  -21.045   -21.14   3608.04     3631.0       u 
  58363.13  -20.858  -20.949  -21.062   3608.04     3631.0       u 
 58364.381  -20.756  -20.852  -20.982   3608.04     3631.0       u 
 58365.633  -20.649  -20.757    -20.9   3608.04     3631.0       u 
 58366.885  -20.541  -20.662  -20.821   3608.04     3631.0       u 
 58368.136  -20.436  -20.562  -20.737   3608.04     3631.0       u 
 58369.388  -20.327  -20.467  -20.663   3608.04     3631.0       u 
 58370.639  -20.212  -20.386  -20.596   3608.04     3631.0       u 
 58371.891  -20.104  -20.306  -20.521   3608.04     3631.0       u 
 58373.142  -20.011  -20.221  -20.449   3608.04     3631.0       u 
 58374.394  -19.902  -20.132  -20.383   3608.04     3631.0       u 
 58375.646  -19.802  -20.048  -20.319   3608.04     3631.0       u 
 58376.897  -19.709  -19.971   -20.26   3608.04     3631.0       u 
 58378.149  -19.615  -19.892  -20.202   3608.04     3631.0       u 
   58379.4  -19.514  -19.814   -20.15   3608.04     3631.0       u 
 58380.652  -19.412  -19.741  -20.089   3608.04     3631.0       u 
 58381.903  -19.308  -19.677  -20.041   3608.04     3631.0       u 
 58383.155  -19.204  -19.602  -19.998   3608.04     3631.0       u 
 58384.407  -19.098  -19.544  -19.947   3608.04     3631.0       u 
 58385.658  -18.999  -19.484  -19.894   3608.04     3631.0       u 
  58386.91  -18.924  -19.423  -19.837   3608.04     3631.0       u 
 58388.161  -18.833   -19.36  -19.799   3608.04     3631.0       u 
 58389.413  -18.729  -19.321  -19.767   3608.04     3631.0       u 
 58390.664  -18.642  -19.267  -19.736   3608.04     3631.0       u 
 58391.916  -18.571  -19.214  -19.706   3608.04     3631.0       u 
 58393.167  -18.497  -19.159  -19.676   3608.04     3631.0       u 
 58394.419  -18.417   -19.11   -19.64   3608.04     3631.0       u 
 58395.671  -18.369  -19.051  -19.595   3608.04     3631.0       u 
 58396.922  -18.298  -19.005  -19.566   3608.04     3631.0       u 
 58398.174  -18.208  -18.966  -19.537   3608.04     3631.0       u 
 58399.425  -18.134  -18.924  -19.509   3608.04     3631.0       u 
 58400.677  -18.077  -18.884  -19.482   3608.04     3631.0       u 
 58401.928  -17.982  -18.843  -19.455   3608.04     3631.0       u 
  58403.18  -17.901  -18.793  -19.428   3608.04     3631.0       u 
 58404.432  -17.814  -18.742  -19.396   3608.04     3631.0       u 
 58405.683  -17.759  -18.697  -19.364   3608.04     3631.0       u 
 58406.935  -17.695  -18.653  -19.332   3608.04     3631.0       u 
 58408.186  -17.641  -18.595  -19.305   3608.04     3631.0       u 
 58409.438  -17.589  -18.545  -19.278   3608.04     3631.0       u 
 58410.689  -17.515  -18.519  -19.253   3608.04     3631.0       u 
 58411.941   -17.44  -18.481  -19.231   3608.04     3631.0       u 
 58413.193  -17.376  -18.456  -19.209   3608.04     3631.0       u 
 58414.444  -17.343  -18.431  -19.186   3608.04     3631.0       u 
 58415.696  -17.281  -18.406  -19.163   3608.04     3631.0       u 
 58416.947  -17.236  -18.381   -19.14   3608.04     3631.0       u 
 58418.199  -17.194  -18.351  -19.118   3608.04     3631.0       u 
  58419.45  -17.128  -18.325  -19.096   3608.04     3631.0       u 
 58420.702  -17.091  -18.304  -19.074   3608.04     3631.0       u 
 58421.953  -17.064  -18.283  -19.053   3608.04     3631.0       u 
 58423.205  -16.991  -18.263   -19.03   3608.04     3631.0       u 
 58424.457  -16.947   -18.24  -19.007   3608.04     3631.0       u 
 58425.708   -16.91  -18.217  -18.986   3608.04     3631.0       u 
  58426.96  -16.836  -18.187  -18.965   3608.04     3631.0       u 
 58428.211  -16.773  -18.165  -18.942   3608.04     3631.0       u 
 58429.463  -16.738  -18.144   -18.92   3608.04     3631.0       u 
 58430.714  -16.716  -18.123  -18.901   3608.04     3631.0       u 
 58431.966  -16.695    -18.1  -18.883   3608.04     3631.0       u 
 58433.218  -16.643  -18.075  -18.865   3608.04     3631.0       u 
 58434.469  -16.602   -18.05  -18.847   3608.04     3631.0       u 
 58435.721   -16.57  -18.026  -18.827   3608.04     3631.0       u 
 58436.972  -16.529  -18.001  -18.806   3608.04     3631.0       u 
 58438.224  -16.455  -17.976  -18.785   3608.04     3631.0       u 
 58439.475  -16.374  -17.951  -18.763   3608.04     3631.0       u 
 58440.727  -16.305  -17.926   -18.74   3608.04     3631.0       u 
 58441.978   -16.25  -17.901  -18.716   3608.04     3631.0       u 
  58443.23  -16.219  -17.876  -18.693   3608.04     3631.0       u 
 58444.482  -16.193  -17.851  -18.671   3608.04     3631.0       u 
 58445.733  -16.168  -17.826  -18.651   3608.04     3631.0       u 
 58446.985  -16.142  -17.802  -18.631   3608.04     3631.0       u 
 58448.236  -16.095  -17.777  -18.608   3608.04     3631.0       u 
 58449.488  -16.054  -17.753  -18.586   3608.04     3631.0       u 
 58450.739  -16.014  -17.726  -18.563   3608.04     3631.0       u 
 58451.991  -15.988  -17.695   -18.54   3608.04     3631.0       u 
 58453.243  -15.934  -17.669  -18.519   3608.04     3631.0       u 
 58454.494  -15.876  -17.644  -18.501   3608.04     3631.0       u 
 58455.746  -15.818  -17.618  -18.482   3608.04     3631.0       u 
 58456.997  -15.765  -17.598  -18.463   3608.04     3631.0       u 
 58458.249   -15.72   -17.58  -18.444   3608.04     3631.0       u 
   58459.5  -15.685  -17.562  -18.425   3608.04     3631.0       u 
 58460.752  -15.655  -17.543  -18.406   3608.04     3631.0       u 
 58462.004  -15.624  -17.525  -18.387   3608.04     3631.0       u 
 58463.255  -15.594  -17.507  -18.368   3608.04     3631.0       u 
 58464.507  -15.567  -17.489   -18.35   3608.04     3631.0       u 
 58465.758  -15.543  -17.471  -18.331   3608.04     3631.0       u 
  58467.01  -15.518  -17.453  -18.313   3608.04     3631.0       u 
 58468.261  -15.493  -17.435  -18.294   3608.04     3631.0       u 
 58469.513  -15.469  -17.417  -18.276   3608.04     3631.0       u 
 58470.764  -15.445  -17.399  -18.258   3608.04     3631.0       u 
 58472.016   -15.42  -17.381   -18.24   3608.04     3631.0       u 
 58473.268    -15.4  -17.363  -18.222   3608.04     3631.0       u 
 58474.519  -15.379  -17.345  -18.201   3608.04     3631.0       u 
 58475.771  -15.359  -17.328  -18.185   3608.04     3631.0       u 
 58477.022  -15.339   -17.31   -18.17   3608.04     3631.0       u 
 58478.274  -15.321  -17.293  -18.155   3608.04     3631.0       u 
 58479.525  -15.306  -17.278   -18.14   3608.04     3631.0       u 
 58480.777  -15.291  -17.261  -18.124   3608.04     3631.0       u 
 58482.029  -15.276  -17.244  -18.109   3608.04     3631.0       u 
  58483.28  -15.261  -17.226  -18.094   3608.04     3631.0       u 
 58484.532  -15.246  -17.207  -18.079   3608.04     3631.0       u 
 58485.783  -15.231  -17.188  -18.064   3608.04     3631.0       u 
 58487.035  -15.217  -17.168  -18.049   3608.04     3631.0       u 
 58488.286  -15.202  -17.149  -18.034   3608.04     3631.0       u 
 58489.538  -15.187   -17.13  -18.019   3608.04     3631.0       u 
 58490.789  -15.173  -17.111  -18.004   3608.04     3631.0       u 
 58492.041  -15.158  -17.091   -17.99   3608.04     3631.0       u 
 58493.293  -15.144  -17.069  -17.975   3608.04     3631.0       u 
 58494.544   -15.13  -17.047   -17.96   3608.04     3631.0       u 
 58495.796  -15.115  -17.026  -17.946   3608.04     3631.0       u 
 58497.047  -15.101  -17.005  -17.931   3608.04     3631.0       u 
 58498.299  -15.087  -16.989  -17.915   3608.04     3631.0       u 
  58499.55  -15.073  -16.971  -17.898   3608.04     3631.0       u 
 58500.802  -15.057  -16.952   -17.88   3608.04     3631.0       u 
 58502.054  -15.038  -16.934  -17.862   3608.04     3631.0       u 
 58503.305   -15.02  -16.915  -17.846   3608.04     3631.0       u 
 58504.557  -15.003  -16.897  -17.831   3608.04     3631.0       u 
 58505.808  -14.987  -16.879  -17.817   3608.04     3631.0       u 
  58507.06   -14.97  -16.862    -17.8   3608.04     3631.0       u 
 58508.311  -14.954  -16.849  -17.783   3608.04     3631.0       u 
 58509.563  -14.937  -16.835  -17.766   3608.04     3631.0       u 
 58510.815  -14.921  -16.819  -17.747   3608.04     3631.0       u 
 58512.066  -14.905  -16.803  -17.728   3608.04     3631.0       u 
 58513.318  -14.888  -16.787  -17.712   3608.04     3631.0       u 
 58514.569  -14.872  -16.771  -17.698   3608.04     3631.0       u 
 58515.821  -14.856  -16.756  -17.685   3608.04     3631.0       u 
 58517.072   -14.84   -16.74  -17.671   3608.04     3631.0       u 
 58518.324  -14.821  -16.724  -17.658   3608.04     3631.0       u 
 58519.575  -14.798  -16.708  -17.644   3608.04     3631.0       u 
 58520.827  -14.776  -16.693  -17.631   3608.04     3631.0       u 
 58522.079  -14.753  -16.677  -17.617   3608.04     3631.0       u 
  58523.33   -14.73  -16.661  -17.603   3608.04     3631.0       u 
 58524.582  -14.708  -16.646  -17.589   3608.04     3631.0       u 
 58525.833  -14.686   -16.63  -17.576   3608.04     3631.0       u 
 58527.085  -14.665  -16.615  -17.562   3608.04     3631.0       u 
 58528.336  -14.645  -16.599  -17.548   3608.04     3631.0       u 
 58529.588  -14.624  -16.585  -17.534   3608.04     3631.0       u 
  58530.84  -14.603  -16.572   -17.52   3608.04     3631.0       u 
 58532.091  -14.583  -16.559  -17.505   3608.04     3631.0       u 
 58533.343  -14.562  -16.546  -17.491   3608.04     3631.0       u 
 58534.594  -14.542  -16.534  -17.477   3608.04     3631.0       u 
 58535.846  -14.522  -16.521  -17.461   3608.04     3631.0       u 
 58537.097  -14.501  -16.507  -17.446   3608.04     3631.0       u 
 58538.349  -14.481   -16.49  -17.432   3608.04     3631.0       u 
 58539.601  -14.461  -16.474   -17.42   3608.04     3631.0       u 
 58540.852  -14.441  -16.458  -17.408   3608.04     3631.0       u 
