 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -6.80338  0.01658  6.42766     14.22459  1.53364  0.83184  10.80909  0.07362     0.32576   6023.9817   5299.82818  1.75526         2257.51517     19.30971  0.01134  58382.33334  2.33983  0.17925  2091514.56112    44.518  18.59405  58441.57745    50.60951       43.69997    39.3604  54.11281   58.0    0.16456  -20.14872  0.95407 
   -7.53232  0.00113  6.45352     14.05128  1.54853  1.32851   9.10205  0.05513     0.21885  5098.37421   4570.70402  0.63388         3028.90335     17.96053  0.00051   58381.6044  1.41133  0.01028  4728945.90017  44.16441  18.59854  58438.81278    50.63522       43.77259   36.25723  50.89043   63.5    0.16261  -20.07605  0.99724 
   -7.16542   0.0014  7.46431     14.43763  2.08426  0.72664  13.29762  0.05165     0.04631  5588.16717   4933.44577  0.31491         2383.98029     19.33126  0.01191  58381.97129  2.47708  0.01858  1437125.89001  44.68432  18.66115  58438.26691    50.61548       43.79068   35.49452  44.27412   57.0    0.16044  -20.17634  0.99576 
    -5.7136  0.00906  5.67899     14.55903  1.95228  0.53746  23.73842  0.02297     0.13923  4572.84929   5208.84221  0.67966         3483.02555     20.63989  0.24245  58383.42311   2.9611  0.21516   445494.01151    45.402  18.62955  58436.26071     50.6009       43.73923   36.25723  50.89043   60.0    0.15751   -20.3159  0.96998 
   -6.08014  0.01611  7.29278     14.22961  1.86739  1.20135   3.70817  0.16642     0.37563  5407.72536   4711.02285  1.15186         2617.90088     18.09595  0.00069  58383.05658  0.64687  0.05972  3203426.62024  44.30868  18.58916  58438.81278    50.63354       43.77629   36.90073  49.19347   58.5    0.16392  -20.12409  0.98483 
    -6.6749  0.01088  6.13461     14.17629  1.66749  1.38721   8.69174  0.06716     0.42759  5061.08394   5033.64724  0.09486         2650.36135      18.4587   0.0016  58382.46181  1.32807  0.09456  2587475.92394  44.50246  18.56376  58441.57745    50.60951       43.67288   42.87354  61.49183   56.0    0.16848  -20.09665  0.98015 
   -7.20753  0.00311  6.52397     14.44167  1.66351  0.49115  11.06462  0.05217     0.31993  5728.98629   4816.56244  0.41488         2203.21593     19.48064   0.0168  58381.92919   2.1663  0.03445    860049.1738  44.92632  18.60971  58438.26691    50.65712       43.78998   35.49452  49.19347   58.0    0.17477  -20.16365  0.99163 
   -7.37074   0.0036   6.4961     14.38316    1.879  0.87307  20.17342  0.02762     0.08991  4291.58733   6375.58147  0.51346         2952.18543     18.40826  0.00142  58381.76598  2.21637  0.07262  1261025.49798  44.81674  18.63778  58436.26071    50.62492       43.77342   33.03484  49.19347   60.0    0.15294  -20.00882  0.98567 
   -6.77655  0.01263  4.92637     14.26519  1.50716  0.97493  11.06895  0.08728     0.39339  5226.73642   6199.80195  0.17044         3389.74075     18.26767  0.00103  58382.36016  1.80383  0.13981  1001498.00807   45.0613  18.56402  58438.81278    50.63813       43.74153   36.90073  56.57249   51.5    0.15213  -20.13515  0.97825 
   -5.45111  0.00325   6.5211     14.40035  1.81947  0.81218  12.17044  0.05786     0.10398  4935.18091   5747.49928  0.88821         2963.06005     19.02809  0.00593  58383.68561  1.76823  0.03953  1136826.18945  44.84446  18.63454  58438.26691     50.6131       43.66439   39.64869  63.66322   55.5    0.15444  -20.09327   0.9917 
   -6.65117  0.00728  7.48597      14.2384  1.92249  0.98059   9.89829  0.05682     0.14972  5702.52844   4279.52492  1.50043         2436.49729     20.12692  0.07441  58382.48555  1.92009  0.07206  3337182.21226  44.28083  18.62381  58438.81278    50.60395        43.7316   37.32604  49.82162   63.0    0.15891  -20.18057  0.98142 
   -6.74018  0.01308  6.45327     14.21446  1.55847  0.92585  13.51263  0.03929     0.02763  5286.81092   5409.42157  0.19579         3904.12681      16.4522    2e-05  58382.39654  2.25297  0.17671  2244707.89351  44.49083  18.64625  58436.26071    50.72908       43.95114   29.25023  39.62063   58.0    0.17845   -20.0844  0.95546 
   -6.77717  0.00929  6.71695     14.24974  1.58574   0.7097   7.43694  0.06457     0.46563  6086.52667   4691.91811  0.00037         3813.15975     17.49468  0.00017  58382.35955  1.64347   0.0691  2103379.11206  44.49182  18.61938  58443.11719    50.64785       43.81728   34.44105  49.19347   59.5    0.18915  -20.13732  0.98092 
   -7.48316  0.03163  6.36637     14.50742  1.62137  0.47784  13.03354   0.0511      0.2071  5576.70376   5474.44584  0.14755         2392.95515     19.79837  0.03492  58381.65355  2.41794  0.41229   589715.94911   45.1003  18.61623  58438.81278    50.64465       43.75957   36.25723  50.89043   59.0    0.16336  -20.14229  0.90973 
   -6.45949  0.00714  6.33717      14.2721  1.66426  0.93571  16.26765  0.03625     0.12547   4843.2096   4987.63124  0.57383          3664.1126     19.97462   0.0524  58382.67722  2.27624  0.11622   1772657.6128  44.63765  18.65972  58441.57745    50.65372       43.82592   31.98138  46.73379   57.5    0.15934  -20.11382  0.97406 
   -6.40173  0.01758  7.90001     14.39477   2.0282  1.09067  15.40747  0.04017     0.02453  4887.91886   5942.77232  0.59569         3768.00308     16.40436    1e-05  58382.73499  2.19587  0.27094  1908242.12154  44.50007  18.63813  58436.26071    50.61598       43.78951   34.44105  44.27412   57.5    0.16247  -20.04575  0.93308 
   -6.50708  0.00976  6.49202     14.22895  1.64685  0.97973   6.35923  0.09386     0.40686  5275.71127   5176.12762  0.81626         2335.36362     18.45324  0.00158  58382.62964  1.05583  0.06207  2245546.77115  44.50942  18.62622  58441.57745    50.67612       43.83617   35.49452  46.73379   57.0    0.16783  -20.08767  0.98499 
   -6.27963  0.00116   7.5522     14.36973  1.94538  0.74974    3.9294  0.12168     0.40683  5604.34888    4889.3488  0.14317         2622.97573     17.24691   0.0001  58382.85709  0.73621  0.00455  1877157.04359   44.5282  18.64959  58438.81278    50.63861       43.81479   35.49452  46.73379   60.0    0.17977  -20.11531  0.99881 
   -6.98416  0.00686  7.01173     14.13125  1.74851  1.05331   6.87619  0.07927      0.3659    5791.496   4294.69998  0.83296         2309.85492     19.67802  0.02647  58382.15256   1.3758  0.04714  4361432.72902  44.18023  18.61407  58438.26691    50.59014       43.68924    39.3604  54.11281   64.0    0.16261  -20.16227  0.98756 
   -7.33829  0.00341  7.14992     14.37388  1.86832  0.63682  11.60939  0.04327      0.4789  5050.39438    4596.2145  0.33268         2407.06971     16.37607    1e-05  58381.79842  1.76639  0.03963  1585270.34525  44.63159  18.62555  58441.57745    50.65132       43.81544   35.20377  48.43075   65.0    0.15506  -20.08436  0.99023 
   -6.75249  0.00114  6.46047     14.24207   1.7208   1.0219  11.56035  0.05902     0.36433  5251.69413   5230.63526  1.48784         2074.63444     19.28054   0.0106  58382.38423  1.90194  0.01318  2187379.80707  44.54412  18.59774  58441.57745    50.62865       43.70607    39.3604  59.03216   55.5    0.15459  -20.11039  0.99701 
   -6.60527  0.00469  6.60713     14.07291  1.60026  1.28324   7.71098  0.08347     0.15109  5783.50941     4722.037  0.52142         2978.19712     16.95251    5e-05  58382.53145  1.53858  0.03619  4636715.17901   44.1668   18.6254  58438.81278    50.59609        43.7545   33.80727   49.0748   59.5    0.16028  -20.15269  0.99037 
    -6.1868  0.00897   6.5383     14.33444  1.63389  0.64508    2.2405  0.21991     0.41957  5644.39493   5171.36411  0.18079         2531.19408     19.20633  0.00893  58382.94992   0.4258   0.0201  1390240.67398  44.70805  18.62252  58438.26691    50.60143        43.7421   35.20377   53.3501   58.5    0.18607  -20.12901  0.99494 
   -7.77462  0.01634  5.97204     14.61467  1.78693    0.444   5.41637  0.17006     0.32018  4976.12591   5297.19847  0.44015          2822.6887     18.27423  0.00104  58381.36209  0.80005  0.08853    349007.9717  45.42587  18.63352  58438.81278    50.55483       43.70307   37.93884  50.61503   54.5     0.1358  -20.10519  0.98415 
   -7.00188  0.02252  6.74548     14.23111  1.62437  0.66809   4.46923   0.1137     0.29127  6060.43573   4277.56378  0.17063         2744.57835     18.51101   0.0018  58382.13483  0.97919  0.10064  2367569.39543   44.4472  18.59222  58441.57745    50.60631       43.73743   37.97359  53.03995   63.0    0.16449  -20.17211  0.97293 
   -6.22527  0.00125  6.55154     14.10196  1.54208  1.41542   16.9556  0.02702     0.04554  4248.67488   6119.69542  1.03996         3601.44962      18.8293  0.00375  58382.91145  1.82578  0.02126  3843171.37487  44.23958  18.61808  58438.81278    50.65678       43.74823   37.32604  54.74097   64.5    0.16358  -20.00051  0.99416 
   -7.20742  0.00313  6.74415     14.21253  1.78253  1.22423   5.86003  0.10913     0.48197  4973.74205   5133.62167  0.37913         3724.76341     18.73399  0.00301   58381.9293  0.86476  0.01836  2829133.53613  44.41037  18.60015  58441.57745     50.6148       43.72669   39.02705  55.49962   57.5    0.16132  -20.10262   0.9957 
   -7.91292  0.00672   7.1211     14.29633  1.88157  0.89295   5.35568  0.11334     0.40507  5097.38099   4904.42497  0.19446         5781.55092     18.93953  0.00483   58381.2238  0.83011  0.03598  2263491.36192  44.48349  18.61474  58441.57745    50.63698       43.72077   39.82637   54.7003   59.5    0.15762  -20.15517  0.99132 
   -6.55658  0.00251  6.30001     14.43952  1.84965  0.70275      9.11  0.07702       0.301  5055.27635   6081.89662  0.38816         2750.34101     19.90643  0.04479  58382.58014  1.38879  0.02284   900650.51138   44.9827  18.58607  58438.26691    50.58735       43.66138   37.28417  58.64309   55.0    0.15709  -20.13253  0.99561 
   -6.78025  0.05661  6.84539     14.21941  1.59249  1.11749  13.17669  0.04281      0.2507  5466.46047   4464.34532  0.13484         3945.47294     18.66881  0.00259  58382.35647   2.3488  0.74596  2522712.75505  44.39826  18.65582  58438.26691    50.65905       43.80676   35.49452  46.73379   61.5    0.16528  -20.11332  0.82388 
   -6.54614  0.00604  4.96156     14.06492  1.30718  1.15483   3.19111   0.1566     0.42003  4778.67677   6047.07093  0.04304         4599.87791     16.99912    6e-05  58382.59057   0.4347  0.01926  2215869.18632   44.6484  18.62468  58441.57745    50.53246       43.64353   39.85243  56.07483   57.5    0.17979  -20.06031  0.99613 
    -6.2098   0.0017  6.35874     14.17871  1.53376  0.91332   8.64088  0.06772     0.11966  5712.80099   4636.96262  0.03905         3599.34236     18.80598  0.00355  58382.92692  1.68222  0.01465   2528737.2372  44.44496  18.66301  58434.27086    50.61077       43.78097   34.44105  49.19347   54.5     0.1754  -20.10584  0.99615 
   -6.90134  0.00267  8.00622     14.23998  1.91347  1.06764     7.025  0.07499     0.33637  5666.88783   5033.71549    0.501          3881.2643     16.98331    5e-05  58382.23538  1.34575  0.01873  3771617.55868  44.16729  18.63035  58438.81278     50.6358       43.78953   34.44105  49.19347   59.0    0.17602  -20.10727  0.99435 
    -8.3991  0.00171  6.60447     14.21345  1.79491  1.15191   4.48658  0.16229     0.21071  5447.93185   5109.36061  0.01169         2553.77469      17.9041  0.00045  58380.73762  0.79434  0.00765  2720418.27969  44.44858  18.59077  58438.81278    50.64247       43.79847   36.25723  48.43075   56.5    0.15417  -20.14488  0.99829 
   -6.57636   0.0131  5.94264     14.17368  1.60204  1.44559   15.4996  0.04364     0.10455  4903.91824   5435.11424  0.89309         2699.82416       17.024    6e-05  58382.56036  2.22348   0.2031  2361002.13094  44.55246  18.62625  58438.81278    50.67154       43.81516   35.49452  49.19347   58.0    0.15745  -20.09971  0.95857 
   -6.20965  0.01683  4.83718     14.19353  1.26264   0.8514  13.72775  0.08111     0.07941  5727.85216   6043.88795  0.39747         3768.39197     19.07839  0.00665  58382.92706  2.68664  0.23098  1125194.69953  44.94971  18.63082  58438.81278    50.60416       43.74722   37.32604  49.82162   54.0    0.15139  -20.14151  0.95571 
