       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 58380.414    99.0    99.0    99.0  4746.48     3631.0       g 
 58380.414    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58380.414    99.0    99.0    99.0  6366.38     3631.0       r 
 58380.414    99.0    99.0    99.0  6629.82     3631.0  orange 
 58380.438    99.0    99.0    99.0  4746.48     3631.0       g 
 58380.438    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58380.438    99.0    99.0    99.0  6366.38     3631.0       r 
 58380.438    99.0    99.0    99.0  6629.82     3631.0  orange 
 58380.752    99.0    99.0    99.0  4746.48     3631.0       g 
 58380.752    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58380.752    99.0    99.0    99.0  6366.38     3631.0       r 
 58380.752    99.0    99.0    99.0  6629.82     3631.0  orange 
 58382.375    99.0    99.0    99.0  4746.48     3631.0       g 
 58382.375    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58382.375    99.0    99.0    99.0  6366.38     3631.0       r 
 58382.375    99.0    99.0    99.0  6629.82     3631.0  orange 
 58382.383    99.0    99.0    99.0  4746.48     3631.0       g 
 58382.383    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58382.383    99.0    99.0    99.0  6366.38     3631.0       r 
 58382.383    99.0    99.0    99.0  6629.82     3631.0  orange 
 58383.112    99.0    99.0    99.0  4746.48     3631.0       g 
 58383.112    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58383.112    99.0    99.0    99.0  6366.38     3631.0       r 
 58383.112    99.0    99.0    99.0  6629.82     3631.0  orange 
 58383.379    99.0    99.0    99.0  4746.48     3631.0       g 
 58383.379    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58383.379    99.0    99.0    99.0  6366.38     3631.0       r 
 58383.379    99.0    99.0    99.0  6629.82     3631.0  orange 
 58383.434    99.0    99.0    99.0  4746.48     3631.0       g 
 58383.434    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58383.434    99.0    99.0    99.0  6366.38     3631.0       r 
 58383.434    99.0    99.0    99.0  6629.82     3631.0  orange 
 58384.438    99.0    99.0    99.0  4746.48     3631.0       g 
 58384.438    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58384.438    99.0    99.0    99.0  6366.38     3631.0       r 
 58384.438    99.0    99.0    99.0  6629.82     3631.0  orange 
 58385.472    99.0    99.0    99.0  4746.48     3631.0       g 
 58385.472    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58385.472    99.0    99.0    99.0  6366.38     3631.0       r 
 58385.472    99.0    99.0    99.0  6629.82     3631.0  orange 
 58386.398    99.0    99.0    99.0  4746.48     3631.0       g 
 58386.398    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58386.398    99.0    99.0    99.0  6366.38     3631.0       r 
 58386.398    99.0    99.0    99.0  6629.82     3631.0  orange 
 58387.833    99.0    99.0    99.0  4746.48     3631.0       g 
 58387.833    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58387.833    99.0    99.0    99.0  6366.38     3631.0       r 
 58387.833    99.0    99.0    99.0  6629.82     3631.0  orange 
  58388.41    99.0    99.0    99.0  4746.48     3631.0       g 
  58388.41    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58388.41    99.0    99.0    99.0  6366.38     3631.0       r 
  58388.41    99.0    99.0    99.0  6629.82     3631.0  orange 
  58388.48    99.0    99.0    99.0  4746.48     3631.0       g 
  58388.48    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58388.48    99.0    99.0    99.0  6366.38     3631.0       r 
  58388.48    99.0    99.0    99.0  6629.82     3631.0  orange 
 58390.193    99.0    99.0    99.0  4746.48     3631.0       g 
 58390.193    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58390.193    99.0    99.0    99.0  6366.38     3631.0       r 
 58390.193    99.0    99.0    99.0  6629.82     3631.0  orange 
 58391.486    99.0    99.0    99.0  4746.48     3631.0       g 
 58391.486    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58391.486    99.0    99.0    99.0  6366.38     3631.0       r 
 58391.486    99.0    99.0    99.0  6629.82     3631.0  orange 
 58392.553    99.0    99.0    99.0  4746.48     3631.0       g 
 58392.553    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58392.553    99.0    99.0    99.0  6366.38     3631.0       r 
 58392.553    99.0    99.0    99.0  6629.82     3631.0  orange 
  58393.48    99.0    99.0    99.0  4746.48     3631.0       g 
  58393.48    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58393.48    99.0    99.0    99.0  6366.38     3631.0       r 
  58393.48    99.0    99.0    99.0  6629.82     3631.0  orange 
 58394.913    99.0    99.0    99.0  4746.48     3631.0       g 
 58394.913    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58394.913    99.0    99.0    99.0  6366.38     3631.0       r 
 58394.913    99.0    99.0    99.0  6629.82     3631.0  orange 
 58397.273    99.0    99.0  25.506  4746.48     3631.0       g 
 58397.273    99.0    99.0   25.51  5182.42     3631.0    cyan 
 58397.273    99.0    99.0  25.568  6366.38     3631.0       r 
 58397.273    99.0    99.0  25.601  6629.82     3631.0  orange 
 58399.633    99.0    99.0  22.561  5182.42     3631.0    cyan 
 58399.633    99.0    99.0  22.572  4746.48     3631.0       g 
 58399.633    99.0    99.0  22.638  6366.38     3631.0       r 
 58399.633    99.0    99.0   22.67  6629.82     3631.0  orange 
 58401.469    99.0    99.0   21.64  4746.48     3631.0       g 
 58401.469    99.0    99.0  21.674  5182.42     3631.0    cyan 
 58401.469    99.0    99.0  21.786  6366.38     3631.0       r 
 58401.469    99.0    99.0  21.822  6629.82     3631.0  orange 
 58401.993    99.0    99.0  21.446  4746.48     3631.0       g 
 58401.993    99.0    99.0  21.479  5182.42     3631.0    cyan 
 58401.993    99.0    99.0  21.595  6366.38     3631.0       r 
 58401.993    99.0    99.0  21.625  6629.82     3631.0  orange 
 58404.353    99.0  24.493  20.786  4746.48     3631.0       g 
 58404.353    99.0  24.586  20.781  5182.42     3631.0    cyan 
 58404.353    99.0  24.826  20.842  6366.38     3631.0       r 
 58404.353    99.0  24.873  20.874  6629.82     3631.0  orange 
 58405.546    99.0  22.926  20.505  4746.48     3631.0       g 
 58405.546    99.0  22.958  20.498  5182.42     3631.0    cyan 
