 texplosion  fnickel     Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel                 TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -22.80838  0.03687  23.96338     14.90139  2.08159  0.97219  19.66117  0.01538     0.14965   5473.31647   4561.16814  3.17791         4482.21059     19.45962  0.01601  58399.52601  3.51348    0.725        1747966.9654  43.58561  19.11578  58432.67414    50.15938       43.26097   28.24275   58.23046   50.0     0.3142  -19.49589  0.37024 
  -15.47617   0.2836  23.18757     14.72269  1.36993   0.7829   3.60403  0.09224     0.10854  11324.60231   9194.74918  0.57207         3984.22338     17.80133  0.00035  58406.85821  2.75716  1.02209       2452710.91518  43.28539  19.00258  58431.23657    50.12451       43.38189   20.02531   52.72757   50.5    0.31466  -19.54697  0.19017 
  -27.11643   0.3051   4.84911     13.19379  1.61475  0.85649   3.14392  0.08962     0.07547  10772.56249   6807.83712  2.89922         2647.73199     19.25086   0.0099  58395.21796  2.17639  0.95921     144430760.96564  42.94597  18.96412  58432.67414    50.02653       43.40631    19.6251   33.85855   82.0    0.26465  -19.65475  0.71877 
  -25.99095  0.24336  16.51638      14.6601  1.66427  1.08634   5.98007  0.14661     0.01263   9240.29057   8131.96082  0.58058         3089.60146     19.80333  0.03532  58396.34344  3.04582  1.45533       2016815.29952  43.74957  18.99902  58432.67414      50.195       43.41265   22.46313   42.91905   40.0    0.21442  -19.61897  0.30637 
  -16.52298  0.03105   3.07222     15.02727  1.64042  0.97915   11.6947  0.06868     0.19652   8002.58992   7419.17823  1.86555         3581.28822      19.4812  0.01682  58405.81141  4.46763  0.36313          12680.2412  47.40577  19.12973  58431.23657    49.99413       43.22874   22.13441   40.07295   32.0     0.3799  -19.72828  0.99207 
  -14.27371   0.1444  25.09114     14.72175  1.31013  1.29136   6.51919  0.01867     0.04515   5137.60901   7931.37326  2.41652         4189.92889     19.46915  0.01636  58408.06068  1.02646  0.94139        2758519.9416  43.14644  19.07659  58434.28308    50.20016       43.35082   21.09103   71.70949   69.5    0.43287  -19.45078  0.17118 
  -16.88622  0.10385  15.27762     14.98842   1.7768  1.19035    7.2198  0.05675      0.2497   6705.35068    6652.6669  2.89625         4230.29957     18.25839  0.00101  58405.44817   1.9364   0.7498        406193.86886  44.54164  19.01745  58423.51222    50.36714       43.39632   22.37157   94.90962   49.0    0.35478  -19.54515  0.53012 
  -16.65714  0.11941  20.82571     14.41373  1.49056   0.9417   7.00628  0.03298     0.04399   8434.75211   6644.77977  2.48501         4389.44518     17.44304  0.00015  58405.67724  2.97344  0.83659       8930902.47043   42.8541  19.04162  58437.39432    50.18413       43.25867   31.54597   76.01826   68.5    0.44637  -19.57543  0.27494 
  -20.71552  0.23613  18.43831     14.57158  1.63913  0.92832   3.23599  0.13308     0.06474  12560.98536   6574.56891  0.25121         2768.33413     18.38141  0.00134  58401.61887  3.04566   0.7641        3721401.9117  43.38131  19.00964  58430.31406    50.11906       43.34645   21.09103   46.40026   41.0    0.39555  -19.61997  0.39166 
   -17.8185  0.05965  15.34544     14.96915  1.64505  0.71035   7.67073  0.04786     0.02703   6032.96907   6017.84343  4.97963         4216.58653     16.24128    1e-05  58404.51589  1.66543  0.45758        414623.35878  44.49541  19.10775  58432.67414    50.12866       43.31192   18.98192   67.49128   37.0    0.40195  -19.54612  0.61846 
  -21.37134  0.21661  17.30078     14.21157  1.41394  0.95327   5.64415  0.06966     0.43086   9376.35982   9452.39986  1.74511         3630.33833     19.31474  0.01147  58400.96305  2.96002  1.22257      14833271.08714  42.77191  18.96819  58432.67414    50.22088       43.30783   17.91575   68.55746   84.5    0.18272  -19.54555  0.24776 
  -18.83939  0.23257  23.77622     14.40507  1.47808  0.77528   6.18584  0.03127     0.01333    8343.2794   8517.42599   2.9632          2725.5561     20.14307  0.07723  58403.49499  2.56862  1.43865      12013409.75568  42.60659  19.11441  58434.28308    50.20242       43.40335   25.30923   58.72037   48.0    0.33894  -19.60573  0.13473 
  -17.13974  0.18336  20.40668     14.88104  1.64916  0.72569    5.0103  0.03874     0.07064   8746.17728   6870.01437  1.82715         2104.59534     18.68688   0.0027  58405.19464  2.28627  0.91868       1102931.16221  43.82401  19.00983  58430.31406    50.06606        43.2476   25.04033   61.90097   59.0    0.46931  -19.51443  0.31149 
  -21.59539  0.43117   20.1544     13.41014  1.59963  0.80904   3.30777  0.14106     0.20513  12534.41267   8198.47946  2.24861         3020.88941     17.82202  0.00037  58400.73899  3.10007   1.4262      912628591.5857  40.90383  19.01007   58439.7544    50.22942       43.49496   21.09103   37.96385   69.0    0.21259  -19.60309   0.0197 
  -14.33157  0.08401  11.89437     14.51708  1.26928  0.94134   6.90844  0.01428      0.0726   4103.15126    8820.7922  1.21609         5793.87306     20.14268  0.07716  58408.00281  0.69381  0.58035       1541338.49543  44.03382  19.11903  58435.45158    50.27346       43.43853   21.39742   47.09396   49.0    0.42165  -19.65361  0.58817 
  -23.46638  0.25197  23.46167     14.15266  1.56631  0.96477   6.52123  0.06251      0.0193   9497.82045   6690.88685  2.10845         2770.28987     20.39201  0.13701  58398.86801  3.50917  1.64314      39636159.12061  42.12491  19.01758  58431.23657    50.33694       43.40695   26.61595   87.27559   53.5    0.30278  -19.65809  0.11082 
  -15.79341  0.14303  19.22945     14.74197  1.50166  0.36277   6.36437  0.02906     0.17884   9516.65451   8023.83475  2.30204         3251.64289     18.21766  0.00092  58406.54097  3.43836   0.9103       1691934.74832   43.6491  19.01966  58432.67414    50.21698       43.36716   25.04033   55.57366   69.5    0.40303  -19.55763   0.2927 
   -18.4264  0.04778  15.04164     15.00585  1.86525  1.14705  15.72081  0.02677     0.05086   6391.43522   7817.57748  1.94282         4666.01935     18.01196  0.00057  58403.90799  3.83088  0.75122        381460.48113  44.60354  19.16766  58423.51222    50.37802       43.30542   29.28922  118.10975   48.0    0.33743  -19.53992  0.55548 
  -16.55416  0.14669   15.2754     15.07603  1.69221  0.49593   3.18297  0.16448     0.05012  11962.77802   7865.03257  1.33841         3106.94776     19.48685  0.01704  58405.78023  2.71721  0.46693        258337.02414  44.71713  19.05777  58434.28308    50.09304       43.29867   26.74706   52.57042   26.5    0.40743  -19.59592  0.62542 
  -20.83338  0.33996   27.5668     13.37104  1.40375   1.0825    4.7771  0.07049     0.01466   8900.32723   6328.63127  0.59789         5748.98895      19.6911  0.02728    58401.501  2.25737  1.62403     1793880543.8499  40.28157  18.97559  58431.48109    50.02993       43.37791   23.20013   35.85474   42.0    0.39482  -19.72096  0.00632 
  -12.22023   0.1506  12.84735     15.16374  1.63642  0.80945   5.07657  0.05831      0.0976   7766.81695   6784.14492  3.27268         3472.63985     16.88218    4e-05  58410.11416  1.82677  0.76453        117991.28585  45.19326  19.04911  58442.11449    50.58554       43.41875   41.20684  139.93777   44.0    0.50131  -19.52628  0.58473 
  -24.47012  0.02874   6.33734     14.82646  1.58421  1.08945  13.39174  0.05421     0.01951   5657.03068   9367.46973  1.79895         4509.24644     18.14137  0.00077  58397.86426  2.55647  0.38485        131378.81749  45.74632  19.10424  58434.28308    50.18901       43.41183   18.24493   42.91905   45.5    0.15565  -19.17742  0.91762 
  -22.26609   0.0751  21.25685     12.72866  1.66135  1.31151  18.33049  0.01389     0.08008   6466.37912   5604.46711  1.61178         4793.11307     19.55255  0.01983   58400.0683  4.57218  1.37667   24319181399.30106  39.44836  19.24871  58439.32812    50.27658        43.2724   29.52744  103.34603   86.5    0.31764  -19.54426  0.00139 
  -32.68638  0.17155     2.747     13.35724  1.67067  0.08353   8.44176  0.05369     0.05874   8603.68356   5179.14168  1.39079         3781.81059     18.04863  0.00062  58389.64801   3.7276  1.44815      22591419.51604  44.26007  19.15448  58437.39432    50.28208       43.39979   27.41833   71.70949   99.5    0.24758  -19.50869   0.3819 
  -16.84311  0.06823  13.14387     15.08593  1.76566  0.87568   7.34881  0.06942     0.14513   7510.10912   6695.52695  4.00747         4354.54189     17.40217  0.00014  58405.49128   2.4725  0.50142        190685.48697  44.99799  19.02965  58432.67414    50.22696        43.4199   16.46274   42.59213   38.0     0.4153  -19.52499  0.69435 
  -17.26343  0.04652  10.27701     14.70576   1.7291  0.20959   1.46705  0.16843      0.4827  12647.48607    9504.6512  3.00875         2140.01484     19.51233  0.01807  58405.07096  1.39985  0.06825         657415.8234  44.66509  19.07136   58437.2931    50.18598       43.37206   24.24305   60.12105   69.5     0.1946  -19.57774  0.95905 
  -20.27096  0.37846  12.69095     13.49284  1.83898  0.57587   4.01788  0.12587     0.23487  12025.82431   9233.01166  2.40844         3002.92277     16.84977    4e-05  58402.06343   3.4662   1.5206     284251523.27019  41.87273  18.99499  58431.48109    49.99478       43.34113   24.24305   34.81182   77.5    0.21249  -19.54246  0.08661 
  -15.52416  0.05785  10.21702     14.96525  1.76102  1.23312  12.73758  0.01061     0.41401   3502.31887   5044.38828  1.45256         5307.11657     17.45937  0.00016  58406.81022  0.93202  0.73687        200321.17609  45.19423  19.00076  58437.29297    50.09957       43.40814   23.20013   35.85474   52.0    0.40315  -19.54624  0.72028 
  -23.46565  0.20656  11.20616     13.73735  1.53253  1.09484   5.49123  0.07867     0.45473   9432.10159   6368.65469  1.56962         3892.94269     18.91992  0.00462  58398.86873  2.91416  1.13429      59902541.62757   42.5779  19.20188  58441.30904    50.49273       43.37164    30.3979  118.51983  121.0    0.27438  -19.56967  0.41353 
  -16.59305  0.07121  10.88621     14.97879  1.65015  1.21063    7.7781   0.0548     0.04829   6713.77503   8227.01045  2.88577         4580.43049      19.3887   0.0136  58405.74134  2.09139  0.55386        200218.73575  45.11111  18.99095  58437.39432     50.0728        43.4998   19.80633   28.70487   37.0    0.40022  -19.58245  0.73254 
  -19.58089  0.04577  14.28267     14.74805  1.67287  0.98331   7.52078  0.07262     0.05851   7474.62813   4528.20651  3.37408         4438.51029      16.3435    1e-05  58402.75349  2.50651  0.34425       1011099.83769   44.1779  19.14522  58427.49509    50.31272       43.33381   29.11735    95.3197   33.5     0.3755  -19.58722  0.71745 
  -14.43538  0.49348  20.21604     14.52688  1.52732   0.2544   2.54203  0.11686     0.29039  12891.86595   5018.46729  1.14014         2598.95012     17.30068  0.00011  58407.89901  2.52023  1.25445       5121168.62525  43.13201  19.07558  58435.45158    50.32926       43.30308   30.36849  107.19127   70.0    0.54681  -19.64136  0.15996 
  -17.80554  0.04675  10.07742     14.71694  1.71227  0.21291   2.18785  0.17195     0.38142  12294.73166    9184.5189  2.76287          2140.2113     19.43635  0.01517  58404.52884   1.9728  0.10227        594583.83493  44.72151  19.04835  58434.28308    50.12747       43.26393   23.20013   67.49128   67.5    0.18661  -19.65816    0.942 
  -23.34345  0.17556  18.27385     13.82433  2.05076  1.22873   8.08015  0.03919     0.08998   7571.07149   5591.99206  2.56555         3392.00312     18.92586  0.00468  58398.99094  2.76288  1.41851      142800809.1629  41.90237    19.141  58434.28308    50.27624       43.55557   14.54018   31.86007  100.5    0.27789  -19.51501  0.17658 
  -19.14084  0.13578  18.11116     14.49681  1.82783  0.93895   5.03386  0.05313     0.04141   9709.28109   5800.39533  1.54991         3633.72482     17.69356  0.00027  58403.19355  2.83076   0.6835       5649714.55296  43.26286  19.08007  58435.45158    50.10855       43.37582   26.60173   43.46674   54.5    0.42157  -19.59656  0.46147 
  -18.49215   0.0809  17.09607     14.93884  1.56367  0.57711   8.80624  0.05445     0.02117   7598.30517   7336.03339  3.64655         4123.14429     17.83322  0.00038  58403.84224  3.03285  0.71244        562432.77824  44.24713  19.07476  58430.31406     50.2913       43.34029   23.20013   90.69141   48.5    0.35954  -19.57956   0.4355 
  -13.95058   0.3765  23.77891     14.19377  1.55007   0.5807   3.30405  0.09603     0.11566  13777.84573   7081.45943   2.7996         2486.72068     17.59531  0.00022  58408.38381  3.74142  1.24399      33343378.75546   42.1838  18.98262  58432.67414     50.1056       43.33167   18.58217   59.05487   54.5    0.43841  -19.64944  0.11033 
  -30.74343  0.49188   7.30644     13.23898  1.91407  0.71921   3.10177  0.15668     0.11868  10057.46759   6682.72292   2.6137         2853.97546     17.78656  0.00034  58391.59095   1.8716   1.5257     315661713.25377  42.32417  19.04551  58435.03423    50.01211       43.36027   21.09103   33.74564   81.0    0.20695   -19.5523  0.27471 
  -38.19749  0.35521   5.28106     12.69392  1.87275  0.95364   5.97817  0.10677     0.05857    7501.9103   3880.59626    0.265         4155.59889     20.28718  0.10762   58384.1369  2.00696  2.12351    1985593659.51944  41.79799  19.01345  58435.03423    50.24871       43.44333   21.09103   54.83667   63.0    0.17041  -19.60703  0.12187 
  -17.04912  0.05713  12.54567     14.98572  1.82778   1.1808  12.76654  0.01747     0.30191   3925.42812   4993.17272  1.72353         5049.24089     18.05805  0.00064  58405.28527  1.17348   0.7294        285287.63705   44.8785   19.0895  58437.39432    50.28271       43.48502   25.04033   57.02771   52.0    0.32577    -19.491  0.64333 
  -19.22088  0.11507  14.73474     13.98365  1.61253  1.05212  10.43651  0.02331     0.37594   7627.53566   8912.74424  1.16831         4404.51568     20.18584  0.08522   58403.1135  3.62202  1.20089      35051411.64175  42.59496  19.12006  58432.67414    50.31769       43.36579   25.55805   71.46067   93.0    0.24557  -19.60316  0.32471 
  -43.16479  0.29954   7.23336      12.5051  1.75587  1.48478   6.85012  0.05097      0.0158    7864.8327   6467.38744  0.36549         3697.46645     19.73191  0.02997  58379.16959  2.52758  2.05186     8332752691.3308  40.87387  19.11636  58434.28308    50.30414       43.32348   27.41833   97.01872   56.5    0.27412  -19.58361   0.0255 
  -18.36507  0.37849  22.93773     15.08395  1.82379  1.15875   5.73492  0.05809     0.19615    9664.0336   8946.64252  2.04719         2451.69842     20.86958  0.41145  58403.96932    3.195  2.17059        605328.66107  44.02673  19.09418  58432.67414    50.05961       43.33908   25.04033   42.91905   64.0    0.32117  -19.98694  0.15179 
    -19.265   0.0613  14.55662     14.59346  1.73003  0.84777   7.36362    0.062     0.08913   6854.29475   9766.70474   3.4066         4021.11518     17.50524  0.00018  58403.06939  2.06369  0.45139       2213482.74919   43.8357  19.10309  58434.28308    50.35057       43.41076   24.89915   84.77419   49.5    0.15588  -19.62519  0.65771 
  -20.65372  0.18608  22.06169     14.99009  1.63811  0.71659   4.49149  0.09911     0.14927  10970.74339   7439.00947  2.59514         3839.80397     17.82329  0.00037  58401.68067   3.2247   0.8358        774923.15112  43.90665  18.94467  58437.39432    50.25669       43.69503   12.43108   26.84835   48.0    0.37412  -19.60808  0.29756 
  -23.35322  0.24077  13.72102      15.0819  1.59525  1.29649   6.26748  0.11697     0.11426   9631.26025   8270.18866  3.28609         2687.99844     16.35187    1e-05  58398.98116  3.46806  1.50902        191259.31286  44.91528  19.06013  58432.67414    50.03449       43.26476   24.24305   51.68464   80.0    0.14417  -19.52171  0.37682 
  -16.49395  0.27466   2.09508     13.16422  1.91826  0.16025   5.66965  0.16321     0.01092  16599.24538   8923.93502  3.34523         3741.56003     18.90509  0.00446  58405.84044   9.3188  1.55725      36702361.73967  44.34466  19.15977  58437.29297    50.20824       43.48045   20.02531   48.50936   31.0    0.37146  -19.76742  0.71034 
  -25.49661  0.14642  14.07001     14.25936  1.81273  1.18389   3.30126  0.07566     0.04589  11134.08275   4422.44863  0.43856         2756.68354     18.34653  0.00123  58396.83778  2.44127  0.48336      10093034.40982  43.22657  19.05421  58432.67414    49.96502       43.35139   18.24493   33.83473   38.5    0.40227  -19.62437  0.65956 
  -16.15115  0.38883   19.3902     15.01191  1.79491  0.84066   2.32512  0.16098      0.2601   9723.22154   8238.99487  4.25627          2115.1171     16.71732    3e-05  58406.18324  1.31127  0.90407        593200.16672  44.17452  19.01323  58431.23657    50.18908       43.33334   30.35185   66.66687   41.0    0.37607  -19.55408  0.36901 
   -16.2277  0.12552  23.41477     14.87667  1.75058  1.13579   8.71865  0.05399     0.10557   8126.65442   9867.52975   3.5841         4069.04816     16.96017    5e-05  58406.10669  3.43479  1.09435       1572677.19328  43.57641  19.11838  58434.28308    50.20654       43.39504   21.09103   40.07295   62.0    0.20988  -19.64281   0.2406 
  -34.99953  0.00989   1.64675      14.9132  1.84766  0.72548  14.87828  0.19545     0.01034   6301.20131   8431.02681  0.55131         3723.66754     17.53943  0.00019  58387.33485  3.52392  0.14722          6938.78714  48.26093  19.18292   58439.7544    50.15892        43.3821   16.87282   44.29115   65.5    0.07021  -18.12908  0.99928 
  -19.17751  0.27521  19.55971     13.76482  1.44098  0.81857   4.61672  0.07661     0.10007    9108.6622   9417.77602   3.3566         4035.98646      17.6452  0.00025  58403.15688  2.28491  1.27058     151205011.38308  41.66521   19.0336  58435.03423      50.141       43.38834   21.91544   37.13944   74.0    0.19067  -19.59889  0.08777 
  -15.13355  0.15026  23.24764     14.21207  1.68716  0.34497   7.80379  0.03202     0.13042   8133.41633   6779.08215  2.90648         3837.77142     16.15649    1e-05  58407.20083  3.07949  1.17256      31885601.62966  42.25965  19.08568  58427.95397    50.19017       43.39602   23.66822   58.39982   82.0    0.42895  -19.50679  0.08226 
  -17.82839  0.01985   5.94987     14.53842  1.61062  0.40661   9.23786  0.02391     0.17269   8752.17031   6396.01605   3.2275          2692.3364     21.37303  1.31146  58404.50599  4.22114  0.18341        443587.99234  45.27984  19.05701  58435.03423    50.11602       43.34946   24.24352   52.28028   49.5    0.37367  -20.79341  0.96251 
  -17.02189  0.33939  26.17049     14.75077  1.77819  1.22782   2.82005  0.10871     0.06496  11729.65347   3940.46859  2.73949         2640.33309     17.49253  0.00017   58405.3125  2.31449  0.95709       3563434.95124  43.13133  19.04328  58432.67414    50.13903       43.44447   20.02485   36.92092   34.0    0.52551  -19.61732  0.22591 
   -29.0274  0.38087  26.62514     13.73304  1.65949  0.89691   5.37712  0.13193     0.34648   7776.17713   9916.27371  3.24648         3008.78877     16.17794    1e-05  58393.30698  1.93959  2.04799     373498265.50041  41.06595  19.11358  58427.49509    50.36098       43.38589   31.88535    90.4426  103.5    0.08407  -19.38667  0.02065 
  -18.70045  0.17961  22.22006     14.98119  1.82333  1.42631   6.94698  0.07845     0.13392   7624.14752   6760.80508  2.15623         4157.31532       18.004  0.00056  58403.63394  2.40883  1.24777        911568.34693  43.87643  19.13589  58437.39432    50.23717        43.4776   22.97659   40.29649   75.0    0.27045  -19.61435  0.24857 
  -20.21535  0.24352  19.86014      13.5994  1.80216  0.40482     5.283  0.07057       0.279   9546.59818   6923.83742  2.19053         4136.18818     17.44446  0.00015  58402.11904  2.87213  1.28654     417606263.33462  41.30791  19.12919  58434.31263    50.18454       43.32544   24.02454   66.66687   79.0    0.41355  -19.57642  0.01691 
  -23.97491  0.27091  26.62056     12.30188   1.6665   1.2898   6.61098  0.08361      0.0371  10132.50566   6906.73277  4.20202         2372.23606     18.30462  0.00112  58398.35947   4.0488  1.79095  273084258117.98508  38.20392  19.00352  58434.28308    50.07813        43.4131   16.87282   31.30656   63.0    0.24207  -19.65737    6e-05 
