# STATUS =
# OBJECT = 2018hti
# TELESCOPE = Lijiang-2.4m
# INSTRUMENT = YFOSC
# DATE-OBS = 2018-11-12 17:41:29.00
# MJD = 58434.74
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 2.349310e+00
3320.000000 2.273400e+00
3330.000000 2.306420e+00
3340.000000 2.352724e+00
3350.000000 2.422870e+00
3360.000000 2.416381e+00
3370.000000 2.377878e+00
3380.000000 2.329438e+00
3390.000000 2.318849e+00
3400.000000 2.331864e+00
3410.000000 2.374616e+00
3420.000000 2.433541e+00
3430.000000 2.387616e+00
3440.000000 2.348304e+00
3450.000000 2.207918e+00
3460.000000 2.194705e+00
3470.000000 2.196522e+00
3480.000000 2.167430e+00
3490.000000 2.124935e+00
3500.000000 2.063784e+00
3510.000000 2.045480e+00
3520.000000 2.071843e+00
3530.000000 2.106824e+00
3540.000000 2.175446e+00
3550.000000 2.149823e+00
3560.000000 2.154852e+00
3570.000000 2.076398e+00
3580.000000 1.999342e+00
3590.000000 1.952902e+00
3600.000000 1.958970e+00
3610.000000 1.956780e+00
3620.000000 1.940558e+00
3630.000000 1.925345e+00
3640.000000 1.924826e+00
3650.000000 1.886068e+00
3660.000000 1.910912e+00
3670.000000 2.001778e+00
3680.000000 2.071595e+00
3690.000000 2.025153e+00
3700.000000 2.000376e+00
3710.000000 1.999130e+00
3720.000000 2.007683e+00
3730.000000 2.000513e+00
3740.000000 1.997438e+00
3750.000000 1.969079e+00
3760.000000 1.923673e+00
3770.000000 1.841751e+00
3780.000000 1.791752e+00
3790.000000 1.770282e+00
3800.000000 1.726715e+00
3810.000000 1.714183e+00
3820.000000 1.713969e+00
3830.000000 1.719788e+00
3840.000000 1.722634e+00
3850.000000 1.741402e+00
3860.000000 1.764947e+00
3870.000000 1.776776e+00
3880.000000 1.767628e+00
3890.000000 1.763139e+00
3900.000000 1.749035e+00
3910.000000 1.738582e+00
3920.000000 1.717121e+00
3930.000000 1.674197e+00
3940.000000 1.635860e+00
3950.000000 1.629975e+00
3960.000000 1.635450e+00
3970.000000 1.649399e+00
3980.000000 1.650503e+00
3990.000000 1.658720e+00
4000.000000 1.688879e+00
4010.000000 1.679376e+00
4020.000000 1.661046e+00
4030.000000 1.657555e+00
4040.000000 1.698058e+00
4050.000000 1.751082e+00
4060.000000 1.732832e+00
4070.000000 1.723075e+00
4080.000000 1.712628e+00
4090.000000 1.694510e+00
4100.000000 1.636989e+00
4110.000000 1.585391e+00
4120.000000 1.531906e+00
4130.000000 1.471983e+00
4140.000000 1.413844e+00
4150.000000 1.358852e+00
4160.000000 1.296728e+00
4170.000000 1.256127e+00
4180.000000 1.241959e+00
4190.000000 1.245510e+00
4200.000000 1.228925e+00
4210.000000 1.237794e+00
4220.000000 1.282199e+00
4230.000000 1.303493e+00
4240.000000 1.316056e+00
4250.000000 1.323422e+00
4260.000000 1.345136e+00
4270.000000 1.366609e+00
4280.000000 1.391836e+00
4290.000000 1.432171e+00
4300.000000 1.476252e+00
4310.000000 1.487292e+00
4320.000000 1.490724e+00
4330.000000 1.496955e+00
4340.000000 1.505930e+00
4350.000000 1.500121e+00
4360.000000 1.496767e+00
4370.000000 1.494773e+00
4380.000000 1.472091e+00
4390.000000 1.440598e+00
4400.000000 1.408993e+00
4410.000000 1.377630e+00
4420.000000 1.323451e+00
4430.000000 1.263127e+00
4440.000000 1.215807e+00
4450.000000 1.196967e+00
4460.000000 1.178879e+00
4470.000000 1.148226e+00
4480.000000 1.118976e+00
4490.000000 1.120879e+00
4500.000000 1.134461e+00
4510.000000 1.147435e+00
