# STATUS =
# OBJECT = 2018hti
# TELESCOPE = NOT
# INSTRUMENT = ALFOSC
# DATE-OBS = 2019-01-22 20:32:32.00
# MJD = 58505.86
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 1.232509e+00
3220.000000 1.287583e+00
3230.000000 1.391025e+00
3240.000000 1.331209e+00
3250.000000 1.094611e+00
3260.000000 8.435521e-01
3270.000000 7.443225e-01
3280.000000 9.592646e-01
3290.000000 1.047831e+00
3300.000000 1.017061e+00
3310.000000 1.209310e+00
3320.000000 1.249746e+00
3330.000000 1.232272e+00
3340.000000 1.192810e+00
3350.000000 1.143368e+00
3360.000000 1.065428e+00
3370.000000 9.255444e-01
3380.000000 9.313119e-01
3390.000000 1.068169e+00
3400.000000 1.154749e+00
3410.000000 1.154149e+00
3420.000000 1.117515e+00
3430.000000 1.090236e+00
3440.000000 1.080552e+00
3450.000000 1.052781e+00
3460.000000 9.777393e-01
3470.000000 1.022711e+00
3480.000000 1.057930e+00
3490.000000 1.133396e+00
3500.000000 1.179567e+00
3510.000000 1.216312e+00
3520.000000 1.222577e+00
3530.000000 1.208043e+00
3540.000000 1.178823e+00
3550.000000 1.200927e+00
3560.000000 1.245413e+00
3570.000000 1.282648e+00
3580.000000 1.335755e+00
3590.000000 1.334838e+00
3600.000000 1.292339e+00
3610.000000 1.271463e+00
3620.000000 1.272189e+00
3630.000000 1.267846e+00
3640.000000 1.279072e+00
3650.000000 1.301830e+00
3660.000000 1.286330e+00
3670.000000 1.294291e+00
3680.000000 1.281724e+00
3690.000000 1.288118e+00
3700.000000 1.274346e+00
3710.000000 1.248251e+00
3720.000000 1.230943e+00
3730.000000 1.212567e+00
3740.000000 1.204435e+00
3750.000000 1.210079e+00
3760.000000 1.249485e+00
3770.000000 1.267576e+00
3780.000000 1.251497e+00
3790.000000 1.223414e+00
3800.000000 1.189982e+00
3810.000000 1.198979e+00
3820.000000 1.212461e+00
3830.000000 1.219055e+00
3840.000000 1.242758e+00
3850.000000 1.241541e+00
3860.000000 1.251570e+00
3870.000000 1.251536e+00
3880.000000 1.272008e+00
3890.000000 1.282096e+00
3900.000000 1.306893e+00
3910.000000 1.354313e+00
3920.000000 1.377832e+00
3930.000000 1.399570e+00
3940.000000 1.387355e+00
3950.000000 1.392330e+00
3960.000000 1.397937e+00
3970.000000 1.384020e+00
3980.000000 1.394342e+00
3990.000000 1.380940e+00
4000.000000 1.356858e+00
4010.000000 1.312464e+00
4020.000000 1.289394e+00
4030.000000 1.294300e+00
4040.000000 1.286100e+00
4050.000000 1.293579e+00
4060.000000 1.295076e+00
4070.000000 1.315221e+00
4080.000000 1.313682e+00
4090.000000 1.301860e+00
4100.000000 1.297730e+00
4110.000000 1.304152e+00
4120.000000 1.309691e+00
4130.000000 1.305664e+00
4140.000000 1.297652e+00
4150.000000 1.279856e+00
4160.000000 1.259378e+00
4170.000000 1.231804e+00
4180.000000 1.229651e+00
4190.000000 1.263279e+00
4200.000000 1.300353e+00
4210.000000 1.303930e+00
4220.000000 1.290544e+00
4230.000000 1.262793e+00
4240.000000 1.259169e+00
4250.000000 1.263856e+00
4260.000000 1.251628e+00
4270.000000 1.234967e+00
4280.000000 1.235509e+00
4290.000000 1.261920e+00
4300.000000 1.268765e+00
4310.000000 1.228600e+00
4320.000000 1.176093e+00
4330.000000 1.126068e+00
4340.000000 1.121343e+00
4350.000000 1.113812e+00
4360.000000 1.112965e+00
4370.000000 1.116513e+00
4380.000000 1.095049e+00
4390.000000 1.108042e+00
4400.000000 1.124674e+00
4410.000000 1.136102e+00
4420.000000 1.169828e+00
4430.000000 1.192489e+00
4440.000000 1.234780e+00
4450.000000 1.264242e+00
4460.000000 1.282298e+00
4470.000000 1.303509e+00
4480.000000 1.304521e+00
