# STATUS =
# OBJECT = 2018hti
# TELESCOPE = XLT
# INSTRUMENT = BFOSC
# DATE-OBS = 2019-02-24 11:23:43.00
# MJD = 58538.48
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 nan
3760.000000 nan
3770.000000 nan
3780.000000 nan
3790.000000 nan
3800.000000 nan
3810.000000 nan
3820.000000 nan
3830.000000 nan
3840.000000 nan
3850.000000 nan
3860.000000 nan
3870.000000 nan
3880.000000 nan
3890.000000 nan
3900.000000 nan
3910.000000 nan
3920.000000 nan
3930.000000 nan
3940.000000 nan
3950.000000 nan
3960.000000 nan
3970.000000 nan
3980.000000 nan
3990.000000 nan
4000.000000 nan
4010.000000 nan
4020.000000 nan
4030.000000 nan
4040.000000 nan
4050.000000 nan
4060.000000 nan
4070.000000 nan
4080.000000 nan
4090.000000 nan
4100.000000 nan
4110.000000 nan
4120.000000 nan
4130.000000 7.427552e-01
4140.000000 6.444158e-01
4150.000000 6.039536e-01
4160.000000 6.775435e-01
4170.000000 7.164926e-01
4180.000000 7.322560e-01
4190.000000 7.258511e-01
4200.000000 8.046110e-01
4210.000000 8.351686e-01
4220.000000 8.323178e-01
4230.000000 7.746309e-01
4240.000000 7.237862e-01
4250.000000 7.641619e-01
4260.000000 8.192328e-01
4270.000000 8.166766e-01
4280.000000 8.457964e-01
4290.000000 8.800454e-01
4300.000000 8.560241e-01
4310.000000 7.750836e-01
4320.000000 7.420974e-01
4330.000000 7.528856e-01
4340.000000 7.290235e-01
4350.000000 7.069490e-01
4360.000000 6.889140e-01
4370.000000 6.897514e-01
4380.000000 6.842240e-01
4390.000000 6.862329e-01
4400.000000 6.943585e-01
4410.000000 7.238906e-01
4420.000000 7.878498e-01
4430.000000 8.455677e-01
4440.000000 8.878638e-01
4450.000000 9.152094e-01
4460.000000 9.313923e-01
4470.000000 9.852837e-01
4480.000000 9.931787e-01
4490.000000 1.001646e+00
4500.000000 1.018419e+00
4510.000000 1.012560e+00
4520.000000 1.061639e+00
4530.000000 1.109132e+00
4540.000000 1.144305e+00
4550.000000 1.182171e+00
4560.000000 1.201588e+00
4570.000000 1.209521e+00
4580.000000 1.236624e+00
4590.000000 1.220885e+00
4600.000000 1.233614e+00
4610.000000 1.186498e+00
4620.000000 1.206631e+00
4630.000000 1.189829e+00
4640.000000 1.151617e+00
4650.000000 1.139045e+00
4660.000000 1.103536e+00
4670.000000 1.090816e+00
4680.000000 1.088730e+00
4690.000000 1.052903e+00
4700.000000 1.038405e+00
4710.000000 1.011339e+00
4720.000000 1.041849e+00
4730.000000 1.016583e+00
4740.000000 1.013750e+00
4750.000000 9.768337e-01
4760.000000 9.590033e-01
4770.000000 9.269328e-01
4780.000000 9.048461e-01
4790.000000 9.253911e-01
4800.000000 9.426750e-01
4810.000000 9.637110e-01
