# STATUS =
# OBJECT = 2018hti
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-03-01 19:16:37.00
# MJD = 58543.81
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 5.618205e-01
3010.000000 5.627400e-01
3020.000000 5.636711e-01
3030.000000 5.646555e-01
3040.000000 5.657006e-01
3050.000000 5.668079e-01
3060.000000 5.679802e-01
3070.000000 5.692220e-01
3080.000000 5.705316e-01
3090.000000 5.719118e-01
3100.000000 5.733627e-01
3110.000000 5.748822e-01
3120.000000 5.764727e-01
3130.000000 5.781305e-01
3140.000000 5.798543e-01
3150.000000 5.816446e-01
3160.000000 5.834964e-01
3170.000000 5.854097e-01
3180.000000 5.873814e-01
3190.000000 5.894076e-01
3200.000000 5.914883e-01
3210.000000 5.936182e-01
3220.000000 5.957949e-01
3230.000000 5.980166e-01
3240.000000 6.002785e-01
3250.000000 6.025786e-01
3260.000000 6.049135e-01
3270.000000 6.072792e-01
3280.000000 6.096740e-01
3290.000000 6.120935e-01
3300.000000 6.145349e-01
3310.000000 6.169955e-01
3320.000000 6.194714e-01
3330.000000 6.219602e-01
3340.000000 6.244586e-01
3350.000000 6.269636e-01
3360.000000 6.294725e-01
3370.000000 6.319535e-01
3380.000000 6.320538e-01
3390.000000 6.451262e-01
3400.000000 6.519791e-01
3410.000000 6.312861e-01
3420.000000 7.072203e-01
3430.000000 7.061715e-01
3440.000000 6.559834e-01
3450.000000 4.309729e-01
3460.000000 3.387168e-01
3470.000000 3.070137e-01
3480.000000 5.207272e-01
3490.000000 7.341819e-01
3500.000000 8.908965e-01
3510.000000 8.110526e-01
3520.000000 6.148841e-01
3530.000000 6.229466e-01
3540.000000 6.218846e-01
3550.000000 7.200915e-01
3560.000000 8.016858e-01
3570.000000 7.709369e-01
3580.000000 7.238058e-01
3590.000000 6.807394e-01
3600.000000 6.992091e-01
3610.000000 8.354134e-01
3620.000000 9.005408e-01
3630.000000 8.567517e-01
3640.000000 7.966142e-01
3650.000000 6.800677e-01
3660.000000 6.577861e-01
3670.000000 7.236996e-01
3680.000000 8.476924e-01
3690.000000 9.230268e-01
3700.000000 9.388473e-01
3710.000000 9.148175e-01
3720.000000 8.400581e-01
3730.000000 8.687698e-01
3740.000000 8.767407e-01
3750.000000 8.039076e-01
3760.000000 7.497970e-01
3770.000000 7.139280e-01
3780.000000 6.593076e-01
3790.000000 6.421462e-01
3800.000000 7.097023e-01
3810.000000 7.180593e-01
3820.000000 7.317062e-01
3830.000000 8.082019e-01
3840.000000 8.542009e-01
3850.000000 8.415379e-01
3860.000000 8.626144e-01
3870.000000 8.931478e-01
3880.000000 9.335613e-01
3890.000000 9.849707e-01
3900.000000 1.066329e+00
3910.000000 1.145933e+00
3920.000000 1.202207e+00
3930.000000 1.226130e+00
3940.000000 1.244057e+00
3950.000000 1.215687e+00
3960.000000 1.216621e+00
3970.000000 1.242492e+00
3980.000000 1.231039e+00
3990.000000 1.211395e+00
4000.000000 1.175468e+00
4010.000000 1.160454e+00
4020.000000 1.120122e+00
4030.000000 1.116578e+00
4040.000000 1.052669e+00
4050.000000 1.107790e+00
4060.000000 1.122362e+00
4070.000000 1.141731e+00
4080.000000 1.141100e+00
