# STATUS =
# OBJECT = 2018hti
# TELESCOPE = FTN
# INSTRUMENT = FLOYDS-N
# DATE-OBS = 2019-03-17 05:27:13.00
# MJD = 58559.23
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 5.462175e-01
3310.000000 5.735683e-01
3320.000000 3.563710e-01
3330.000000 4.540849e-01
3340.000000 7.875076e-01
3350.000000 7.506247e-01
3360.000000 6.194179e-01
3370.000000 6.693857e-01
3380.000000 5.961893e-01
3390.000000 7.737539e-01
3400.000000 6.002400e-01
3410.000000 6.124950e-01
3420.000000 7.284529e-01
3430.000000 4.345693e-01
3440.000000 5.645444e-01
3450.000000 6.959376e-01
3460.000000 6.008969e-01
3470.000000 6.039775e-01
3480.000000 9.404105e-01
3490.000000 9.070549e-01
3500.000000 6.230953e-01
3510.000000 6.040094e-01
3520.000000 8.439887e-01
3530.000000 8.230937e-01
3540.000000 7.903915e-01
3550.000000 7.739616e-01
3560.000000 5.195091e-01
3570.000000 6.364101e-01
3580.000000 7.353219e-01
3590.000000 6.171793e-01
3600.000000 6.950725e-01
3610.000000 8.761729e-01
3620.000000 8.190524e-01
3630.000000 7.899525e-01
3640.000000 7.387167e-01
3650.000000 6.773171e-01
3660.000000 7.299642e-01
3670.000000 6.795937e-01
3680.000000 7.246229e-01
3690.000000 8.083477e-01
3700.000000 7.251586e-01
3710.000000 7.361511e-01
3720.000000 7.930458e-01
3730.000000 7.520196e-01
3740.000000 6.975618e-01
3750.000000 6.675724e-01
3760.000000 7.544582e-01
3770.000000 7.726756e-01
3780.000000 6.594987e-01
3790.000000 8.476008e-01
3800.000000 7.893074e-01
3810.000000 8.979120e-01
3820.000000 1.051276e+00
3830.000000 9.940061e-01
3840.000000 9.379335e-01
3850.000000 9.188996e-01
3860.000000 9.530412e-01
3870.000000 8.982082e-01
3880.000000 8.743286e-01
3890.000000 9.644718e-01
3900.000000 9.876300e-01
3910.000000 1.006794e+00
3920.000000 1.065574e+00
3930.000000 1.050755e+00
3940.000000 1.126314e+00
3950.000000 1.139934e+00
3960.000000 1.122868e+00
3970.000000 1.117732e+00
3980.000000 1.052488e+00
3990.000000 1.093604e+00
4000.000000 1.068632e+00
4010.000000 1.004196e+00
4020.000000 1.128160e+00
4030.000000 1.042825e+00
4040.000000 8.751749e-01
4050.000000 9.692455e-01
4060.000000 1.031367e+00
4070.000000 1.049320e+00
4080.000000 1.042086e+00
4090.000000 1.019520e+00
4100.000000 1.005342e+00
4110.000000 9.557596e-01
4120.000000 1.034318e+00
4130.000000 9.411588e-01
4140.000000 1.063260e+00
4150.000000 1.084188e+00
4160.000000 1.080265e+00
4170.000000 1.030000e+00
4180.000000 8.915059e-01
4190.000000 8.115776e-01
4200.000000 8.446478e-01
4210.000000 1.007488e+00
4220.000000 9.558830e-01
4230.000000 8.649245e-01
4240.000000 1.021469e+00
4250.000000 1.086253e+00
4260.000000 9.966496e-01
4270.000000 9.949369e-01
4280.000000 1.015911e+00
4290.000000 8.203700e-01
4300.000000 8.175398e-01
4310.000000 9.337266e-01
4320.000000 1.056534e+00
4330.000000 9.291418e-01
4340.000000 9.667099e-01
4350.000000 9.421906e-01
4360.000000 8.788867e-01
4370.000000 8.867507e-01
4380.000000 9.387698e-01
4390.000000 7.472619e-01
4400.000000 7.568996e-01
4410.000000 9.514819e-01
4420.000000 9.243221e-01
4430.000000 9.751622e-01
4440.000000 9.556318e-01
4450.000000 7.907079e-01
4460.000000 8.956279e-01
4470.000000 1.105441e+00
4480.000000 1.047529e+00
4490.000000 1.086298e+00
4500.000000 1.193400e+00
4510.000000 1.244309e+00
