# STATUS =
# OBJECT = 2018hti
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-01-08 02:59:15.00
# MJD = 58491.124479200225
# EXPTIME = 1500.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3337.4219
# MAX_WAVE = 7458.2812
# COMMENT = Released as part of DR4
 Wavelength           Flux           Error 
  3337.4219   8.830936e-16   5.5061807e-17 
   3341.502   9.501024e-16   5.4691607e-17 
   3345.582    8.11552e-16   5.2345634e-17 
   3349.662  7.3697547e-16    4.994025e-17 
  3353.7422   9.236802e-16   5.1116973e-17 
  3357.8223   9.181666e-16   4.9558756e-17 
  3361.9023    9.77535e-16    4.896004e-17 
  3365.9824    9.41707e-16   4.7150245e-17 
  3370.0625   8.908402e-16   4.5286256e-17 
  3374.1426  8.3346936e-16   4.4105465e-17 
  3378.2227   8.641787e-16    4.378386e-17 
  3382.3025   9.349454e-16   4.2971573e-17 
  3386.3826   9.648141e-16   4.2488456e-17 
  3390.4626   8.331584e-16    4.052266e-17 
  3394.5427   8.483995e-16   4.0403627e-17 
  3398.6228  8.4479016e-16   3.9645764e-17 
   3402.703   9.373034e-16    3.968723e-17 
   3406.783   9.104753e-16    3.862665e-17 
   3410.863   9.230208e-16    3.789872e-17 
   3414.943   8.154536e-16   3.6505476e-17 
  3419.0232  8.7200687e-16    3.676791e-17 
  3423.1033   8.795265e-16   3.5501348e-17 
  3427.1833  8.1823346e-16   3.4738128e-17 
  3431.2632  8.8675927e-16   3.5196598e-17 
  3435.3433   8.417597e-16   3.3907334e-17 
  3439.4233   9.374503e-16   3.4174944e-17 
  3443.5034    8.54671e-16   3.3112397e-17 
  3447.5835  8.3966117e-16   3.2684735e-17 
  3451.6636   8.556268e-16    3.183864e-17 
  3455.7437   8.075089e-16   3.1588244e-17 
  3459.8237   8.369322e-16    3.128945e-17 
  3463.9038  8.7799613e-16   3.1484367e-17 
   3467.984   9.073213e-16   3.1198626e-17 
   3472.064  8.1287497e-16   3.0410564e-17 
   3476.144    8.80141e-16   3.0363497e-17 
   3480.224   8.846203e-16   2.9715818e-17 
   3484.304  8.7063695e-16   2.9365494e-17 
   3488.384  8.6280745e-16    2.888426e-17 
   3492.464   9.418859e-16   2.9125105e-17 
  3496.5442   8.820546e-16   2.8308367e-17 
  3500.6243  8.6648464e-16   2.7905788e-17 
  3504.7043  8.5043373e-16   2.7491907e-17 
  3508.7844   9.113905e-16   2.7545521e-17 
  3512.8645  8.5517225e-16     2.69137e-17 
  3516.9446   8.752218e-16   2.6505329e-17 
  3521.0247   8.549446e-16   2.6110704e-17 
  3525.1047  8.7960046e-16    2.647564e-17 
  3529.1848    7.65582e-16   2.5562267e-17 
  3533.2646   9.456052e-16   2.6622318e-17 
  3537.3447  8.4209173e-16   2.5948176e-17 
  3541.4248   8.381611e-16     2.55437e-17 
   3545.505   8.652232e-16    2.529135e-17 
   3549.585   9.204122e-16   2.5360262e-17 
   3553.665   9.126291e-16   2.4920644e-17 
   3557.745  8.6510477e-16   2.4168935e-17 
  3561.8252    8.99816e-16   2.4365333e-17 
  3565.9053   9.057645e-16   2.4143514e-17 
  3569.9854   9.018962e-16   2.3752218e-17 
  3574.0654  8.6916205e-16   2.3329352e-17 
  3578.1455   8.897835e-16   2.3265601e-17 
  3582.2256   8.860973e-16   2.3094228e-17 
  3586.3054  8.8715187e-16   2.2909657e-17 
  3590.3855   9.142764e-16    2.278802e-17 
  3594.4656  8.7797305e-16    2.252384e-17 
  3598.5457   8.664163e-16   2.2098362e-17 
  3602.6257   9.122155e-16    2.231071e-17 
  3606.7058   8.462184e-16   2.1688176e-17 
   3610.786   9.061143e-16   2.1905028e-17 
   3614.866   8.673982e-16    2.163826e-17 
   3618.946   8.984427e-16   2.1854433e-17 
  3623.0261   9.073858e-16    2.163056e-17 
  3627.1062  8.6968155e-16    2.121285e-17 
  3631.1863   9.331905e-16    2.147954e-17 
  3635.2664   8.996823e-16   2.1117218e-17 
  3639.3462   9.542601e-16   2.1189322e-17 
  3643.4263   9.570284e-16   2.0858918e-17 
  3647.5063   9.384662e-16    2.059661e-17 
  3651.5864    9.03639e-16    2.031486e-17 
  3655.6665   9.363194e-16   2.0425968e-17 
  3659.7466   9.136518e-16    2.018394e-17 
  3663.8267   9.166853e-16     1.99152e-17 
  3667.9067   9.276973e-16   1.9853251e-17 
  3671.9868   9.323916e-16    1.956081e-17 
   3676.067   9.452006e-16    1.953857e-17 
   3680.147    9.49449e-16   1.9440247e-17 
   3684.227   9.297836e-16   1.9284088e-17 
   3688.307   9.318509e-16   1.9136433e-17 
   3692.387  1.0209237e-15   1.9567783e-17 
   3696.467   9.969222e-16   1.9395354e-17 
   3700.547   9.204033e-16   1.8735887e-17 
  3704.6272   9.553848e-16   1.8781278e-17 
  3708.7073   9.687789e-16   1.8630945e-17 
  3712.7874    9.64863e-16   1.8465456e-17 
  3716.8674   9.541339e-16   1.8244172e-17 
  3720.9475   9.173389e-16   1.8054145e-17 
  3725.0276     9.6459e-16   1.8267569e-17 
  3729.1077   9.722527e-16   1.8115426e-17 
  3733.1877   9.649967e-16   1.7982217e-17 
  3737.2678    9.63385e-16   1.7926203e-17 
  3741.3477   9.759484e-16    1.771855e-17 
  3745.4277   9.877467e-16   1.7713143e-17 
  3749.5078  1.0117788e-15   1.7768281e-17 
   3753.588  1.0318213e-15   1.7683815e-17 
   3757.668  1.0045201e-15   1.7427466e-17 
   3761.748  1.0041257e-15   1.7353624e-17 
  3765.8281   9.850604e-16   1.7238626e-17 
  3769.9082   9.989191e-16   1.7163776e-17 
  3773.9883   1.034671e-15   1.7213562e-17 
