# STATUS =
# OBJECT = 2018ibb
# TELESCOPE = Lick-3m
# INSTRUMENT = KAST
# DATE-OBS = 2019-01-27 04:17:45.00
# MJD = 58510.18
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 9.822690e-01
3120.000000 1.341466e+00
3130.000000 2.390654e+00
3140.000000 2.343120e+00
3150.000000 1.701389e+00
3160.000000 6.387314e-01
3170.000000 8.664184e-01
3180.000000 2.381081e+00
3190.000000 1.994267e+00
3200.000000 1.335462e+00
3210.000000 1.457715e+00
3220.000000 2.233366e+00
3230.000000 1.298770e+00
3240.000000 1.566425e+00
3250.000000 1.653803e+00
3260.000000 7.709979e-01
3270.000000 1.447804e+00
3280.000000 1.469777e+00
3290.000000 1.710124e+00
3300.000000 1.323823e+00
3310.000000 1.720293e+00
3320.000000 1.895942e+00
3330.000000 1.502666e+00
3340.000000 1.543275e+00
3350.000000 9.445093e-01
3360.000000 7.907445e-01
3370.000000 1.580403e+00
3380.000000 2.892706e+00
3390.000000 2.774150e+00
3400.000000 1.235193e+00
3410.000000 1.459032e+00
3420.000000 3.063811e+00
3430.000000 2.233776e+00
3440.000000 1.584019e+00
3450.000000 2.271508e+00
3460.000000 1.396091e+00
3470.000000 2.068641e+00
3480.000000 2.326815e+00
3490.000000 2.358427e+00
3500.000000 2.091618e+00
3510.000000 1.459232e+00
3520.000000 1.643715e+00
3530.000000 1.940447e+00
3540.000000 2.336921e+00
3550.000000 2.369529e+00
3560.000000 2.122933e+00
3570.000000 2.031740e+00
3580.000000 1.831922e+00
3590.000000 2.238482e+00
3600.000000 2.277162e+00
3610.000000 1.270889e+00
3620.000000 1.913630e+00
3630.000000 2.733421e+00
3640.000000 1.949534e+00
3650.000000 8.834100e-01
3660.000000 1.742610e+00
3670.000000 1.674486e+00
3680.000000 2.093139e+00
3690.000000 2.825355e+00
3700.000000 1.536523e+00
3710.000000 1.785155e+00
3720.000000 1.996859e+00
3730.000000 1.563032e+00
3740.000000 2.447873e+00
3750.000000 2.628832e+00
3760.000000 2.303615e+00
3770.000000 1.892077e+00
3780.000000 2.609956e+00
3790.000000 1.760356e+00
3800.000000 2.032884e+00
3810.000000 1.808095e+00
3820.000000 1.917242e+00
3830.000000 1.811955e+00
3840.000000 1.733939e+00
3850.000000 2.181501e+00
3860.000000 2.312007e+00
3870.000000 2.300723e+00
3880.000000 2.179585e+00
3890.000000 1.857208e+00
3900.000000 1.728703e+00
3910.000000 1.727659e+00
3920.000000 1.365813e+00
3930.000000 8.971199e-01
3940.000000 1.772162e+00
3950.000000 1.471507e+00
3960.000000 1.791340e+00
3970.000000 1.829871e+00
3980.000000 1.428492e+00
3990.000000 2.394736e+00
4000.000000 2.351291e+00
4010.000000 1.413690e+00
4020.000000 2.234239e+00
4030.000000 1.989278e+00
4040.000000 1.362479e+00
4050.000000 2.579168e+00
4060.000000 3.294887e+00
4070.000000 2.178601e+00
4080.000000 1.545406e+00
4090.000000 1.789369e+00
4100.000000 1.748629e+00
4110.000000 2.150395e+00
4120.000000 2.531690e+00
4130.000000 1.932925e+00
4140.000000 1.876452e+00
4150.000000 2.884737e+00
4160.000000 2.340805e+00
4170.000000 2.723070e+00
4180.000000 2.945383e+00
4190.000000 1.943866e+00
4200.000000 1.572376e+00
4210.000000 1.952690e+00
4220.000000 1.745840e+00
4230.000000 1.257771e+00
4240.000000 1.608711e+00
4250.000000 1.060269e+00
4260.000000 1.688681e+00
4270.000000 2.065526e+00
4280.000000 1.574226e+00
4290.000000 2.099836e+00
4300.000000 1.759925e+00
4310.000000 2.276050e+00
4320.000000 2.534352e+00
4330.000000 2.071166e+00
4340.000000 1.368462e+00
4350.000000 1.374626e+00
4360.000000 1.216536e+00
4370.000000 1.774104e+00
4380.000000 5.598565e-01
4390.000000 -1.480715e-01
4400.000000 1.789047e+00
4410.000000 1.998812e+00
4420.000000 1.424449e+00
4430.000000 1.331689e+00
4440.000000 7.580995e-01
4450.000000 1.804219e+00
