# STATUS =
# OBJECT = 2018ibb
# TELESCOPE = VLT-UT2
# INSTRUMENT = X-Shooter
# DATE-OBS = 2019-02-11 01:08:47.00
# MJD = 58525.0477661998
# EXPTIME = 2400
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = MW
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3200.14
# MAX_WAVE = 22699.74
# COMMENT = --
 Wavelength         Flux       Error 
    3200.34   5.5287e-17  1.8084e-17 
    3200.54   2.1714e-17  1.7501e-17 
    3200.74   3.2286e-17  1.7549e-17 
    3200.94   7.2122e-17   1.771e-17 
    3201.14   1.0036e-16  1.8702e-17 
    3201.34   6.1913e-17   1.799e-17 
    3201.54   6.7896e-17  1.7579e-17 
    3201.74    8.309e-17  1.8431e-17 
    3201.94   6.4143e-17  1.8038e-17 
    3202.14   1.0624e-16  1.9262e-17 
    3202.34    9.936e-17  1.9005e-17 
    3202.54   7.4959e-17  1.7841e-17 
    3202.74   7.3885e-17   1.787e-17 
    3202.94   1.1155e-16  1.8933e-17 
    3203.14   7.8934e-17  1.8318e-17 
    3203.34   8.5051e-17  1.7884e-17 
    3203.54   9.3965e-17  1.8472e-17 
    3203.74   6.3088e-17  1.7301e-17 
    3203.94   7.2823e-17   1.812e-17 
    3204.14   6.6709e-17   1.766e-17 
    3204.34   1.1493e-16    1.82e-17 
    3204.54   8.3199e-17  1.7531e-17 
    3204.74    8.728e-17  1.7694e-17 
    3204.94   8.9858e-17  1.7998e-17 
    3205.14   8.6683e-17  1.7671e-17 
    3205.34   8.8249e-17  1.7925e-17 
    3205.54   1.0941e-16  1.8191e-17 
    3205.74   1.1672e-16  1.7653e-17 
    3205.94   7.1185e-17   1.648e-17 
    3206.14   5.4379e-17  1.6735e-17 
    3206.34   4.9673e-17  1.6578e-17 
    3206.54   1.0404e-16  1.7449e-17 
    3206.74   1.1352e-16  1.7783e-17 
    3206.94   1.0209e-16  1.7554e-17 
    3207.14   9.4612e-17  1.8137e-17 
    3207.34   9.1611e-17  1.7414e-17 
    3207.54   9.4088e-17  1.7079e-17 
    3207.74   9.9619e-17  1.7254e-17 
    3207.94   9.2937e-17  1.7154e-17 
    3208.14    6.344e-17   1.668e-17 
    3208.34   9.7917e-17  1.6898e-17 
    3208.54   1.2992e-16  1.7353e-17 
    3208.74   1.0115e-16  1.6928e-17 
    3208.94   9.7693e-17   1.677e-17 
    3209.14   8.8095e-17  1.6525e-17 
    3209.34    8.801e-17  1.6841e-17 
    3209.54   8.6017e-17  1.6504e-17 
    3209.74   7.7239e-17  1.6595e-17 
    3209.94   8.2536e-17  1.7062e-17 
    3210.14     8.77e-17  1.7536e-17 
    3210.34   6.8382e-17  1.6926e-17 
    3210.54   9.6019e-17  1.6973e-17 
    3210.74   1.0634e-16   1.662e-17 
    3210.94   1.0747e-16  1.7203e-17 
    3211.14   9.5547e-17  1.6889e-17 
    3211.34   7.3456e-17  1.6356e-17 
    3211.54    9.951e-17  1.6921e-17 
    3211.74   8.3156e-17  1.6232e-17 
    3211.94   1.0417e-16  1.6094e-17 
    3212.14   9.6578e-17  1.5863e-17 
    3212.34   8.8369e-17   1.596e-17 
    3212.54   9.1194e-17  1.6553e-17 
    3212.74   7.6051e-17  1.6144e-17 
    3212.94    8.248e-17  1.6093e-17 
    3213.14   1.1186e-16  1.6607e-17 
    3213.34   1.0035e-16   1.602e-17 
    3213.54   1.1674e-16  1.6056e-17 
    3213.74   1.2065e-16  1.5906e-17 
    3213.94   9.5137e-17  1.5605e-17 
    3214.14   8.7552e-17  1.5836e-17 
    3214.34   1.2766e-16  1.6788e-17 
    3214.54   8.0243e-17  1.5881e-17 
    3214.74   9.4749e-17  1.6302e-17 
    3214.94   1.1476e-16  1.6053e-17 
    3215.14   7.8865e-17  1.4932e-17 
    3215.34    1.219e-16  1.5985e-17 
    3215.54   1.0839e-16  1.5818e-17 
    3215.74   1.0147e-16  1.5459e-17 
    3215.94    8.228e-17  1.4779e-17 
    3216.14   1.1224e-16  1.5643e-17 
    3216.34   9.9474e-17  1.5485e-17 
    3216.54   1.0326e-16  1.6069e-17 
    3216.74   1.0838e-16  1.5928e-17 
    3216.94   1.0718e-16  1.5968e-17 
