# STATUS =
# OBJECT = 2018ibb
# TELESCOPE = VLT-UT2
# INSTRUMENT = X-Shooter
# DATE-OBS = 2019-03-08 00:45:13.00
# MJD = 58550.031400499865
# EXPTIME = --
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3200.12
# MAX_WAVE = 24794.72
# COMMENT = --
 Wavelength         Flux       Error 
    3200.32   3.3903e-17  1.9544e-17 
    3200.52   4.6031e-17  1.9908e-17 
    3200.72   5.8399e-17  1.9985e-17 
    3200.92   3.7482e-17  2.0784e-17 
    3201.12    3.932e-17  2.0799e-17 
    3201.32   1.0086e-16   2.129e-17 
    3201.52   5.6783e-17   2.068e-17 
    3201.72   2.3001e-17  2.0346e-17 
    3201.92   1.0242e-16  2.1891e-17 
    3202.12   8.4359e-17  2.1218e-17 
    3202.32   8.8709e-17  2.1339e-17 
    3202.52   8.6274e-17  2.0614e-17 
    3202.72   5.9224e-17  2.0522e-17 
    3202.92   8.8605e-17  2.1216e-17 
    3203.12   7.4384e-17  2.0758e-17 
    3203.32   4.8807e-17  1.9872e-17 
    3203.52    6.072e-17  1.9897e-17 
    3203.72   3.1679e-17  1.9465e-17 
    3203.92   4.1427e-17  1.9284e-17 
    3204.12    1.236e-17  1.8602e-17 
    3204.32   3.7104e-17  1.9485e-17 
    3204.52   7.7987e-17  1.9942e-17 
    3204.72   1.0143e-16  2.0297e-17 
    3204.92   6.5996e-17  1.9525e-17 
    3205.12   7.8709e-17  1.9864e-17 
    3205.32   8.5754e-17  1.9551e-17 
    3205.52    6.602e-17  1.9268e-17 
    3205.72   6.2173e-17  1.8915e-17 
    3205.92   6.8556e-17  1.9061e-17 
    3206.12   1.0184e-16  1.9664e-17 
    3206.32   7.0045e-17   1.932e-17 
    3206.52   1.0312e-16  1.9548e-17 
    3206.72   8.6463e-17  1.9329e-17 
    3206.92   6.2583e-17  1.8989e-17 
    3207.12    6.146e-17  1.9241e-17 
    3207.32   8.2308e-17  1.8909e-17 
    3207.52   9.6211e-17  1.9058e-17 
    3207.72   9.2801e-17   1.923e-17 
    3207.92   7.4848e-17  1.8756e-17 
    3208.12   8.4537e-17  1.9071e-17 
    3208.32   7.6047e-17  1.8917e-17 
    3208.52   9.5163e-17  1.9137e-17 
    3208.72   7.0465e-17  1.9046e-17 
    3208.92   7.7913e-17  1.8631e-17 
    3209.12   8.1786e-17  1.8093e-17 
    3209.32   6.3463e-17  1.8312e-17 
    3209.52   9.1865e-17   1.899e-17 
    3209.72   8.3042e-17  1.9016e-17 
    3209.92   1.1029e-16  1.9189e-17 
    3210.12   1.0078e-16  1.9636e-17 
    3210.32   7.5945e-17  1.9103e-17 
    3210.52   8.0015e-17  1.8888e-17 
    3210.72   8.1668e-17  1.8783e-17 
    3210.92   8.3845e-17  1.8304e-17 
    3211.12   1.1117e-16  1.9221e-17 
    3211.32    7.917e-17  1.8706e-17 
    3211.52   1.1138e-16    1.86e-17 
    3211.72    1.093e-16  1.8388e-17 
    3211.92   7.8836e-17  1.7398e-17 
    3212.12   1.2219e-16  1.8384e-17 
    3212.32   1.1456e-16   1.866e-17 
    3212.52   8.0843e-17  1.8192e-17 
    3212.72    9.214e-17  1.8888e-17 
    3212.92   7.4292e-17  1.8625e-17 
    3213.12   8.8137e-17  1.7938e-17 
    3213.32   1.2545e-16  1.8244e-17 
    3213.52   1.1173e-16  1.7789e-17 
    3213.72   1.0593e-16  1.7493e-17 
    3213.92   8.6986e-17  1.7062e-17 
    3214.12   7.2119e-17  1.7792e-17 
    3214.32   1.1345e-16  1.8589e-17 
    3214.52   9.0331e-17  1.7579e-17 
    3214.72   8.4591e-17  1.7503e-17 
    3214.92   1.1308e-16  1.7734e-17 
    3215.12   7.9072e-17  1.6863e-17 
    3215.32   7.3888e-17   1.724e-17 
    3215.52   8.1662e-17  1.7015e-17 
    3215.72    9.225e-17  1.6908e-17 
    3215.92   8.9475e-17  1.6961e-17 
    3216.12   6.6948e-17  1.6475e-17 
    3216.32   9.2731e-17  1.7131e-17 
    3216.52   8.3797e-17  1.7216e-17 
    3216.72   1.0222e-16  1.8027e-17 
    3216.92   7.9164e-17  1.7192e-17 
    3217.12   1.0053e-16   1.781e-17 
    3217.32   1.1552e-16  1.7452e-17 
    3217.52   1.0522e-16  1.6681e-17 
    3217.72   6.1846e-17  1.5718e-17 
    3217.92   8.5701e-17  1.6351e-17 
    3218.12    8.855e-17  1.6698e-17 
    3218.32   8.6459e-17  1.6347e-17 
    3218.52   9.1185e-17  1.6683e-17 
    3218.72   1.1713e-16  1.7419e-17 
    3218.92   1.2115e-16  1.7359e-17 
    3219.12   1.2059e-16  1.7659e-17 
    3219.32   1.1087e-16  1.7531e-17 
    3219.52   8.3553e-17  1.6878e-17 
    3219.72   1.1522e-16  1.7187e-17 
    3219.92   1.1201e-16  1.7048e-17 
    3220.12   1.1031e-16   1.647e-17 
    3220.32   9.8653e-17  1.5953e-17 
    3220.52   8.0266e-17  1.5751e-17 
    3220.72    8.517e-17  1.6061e-17 
    3220.92   8.5724e-17  1.5981e-17 
    3221.12   1.2796e-16  1.6682e-17 
    3221.32   1.0547e-16  1.6208e-17 
    3221.52    8.681e-17  1.5625e-17 
    3221.72   8.9075e-17   1.568e-17 
    3221.92   7.8644e-17   1.574e-17 
    3222.12   1.1102e-16  1.6622e-17 
    3222.32   1.0766e-16  1.6571e-17 
    3222.52   1.1293e-16  1.7128e-17 
    3222.72   9.1256e-17  1.6673e-17 
    3222.92   1.1889e-16  1.6692e-17 
    3223.12   1.0191e-16  1.6034e-17 
    3223.32   1.1291e-16  1.5777e-17 
    3223.52   9.7648e-17  1.5675e-17 
    3223.72   1.0277e-16  1.5613e-17 
    3223.92   9.2691e-17  1.5769e-17 
    3224.12   1.0186e-16  1.6064e-17 
    3224.32   9.3004e-17  1.5671e-17 
    3224.52   9.8223e-17  1.5488e-17 
    3224.72    8.676e-17  1.5433e-17 
    3224.92   8.6371e-17  1.5231e-17 
    3225.12   9.4891e-17  1.5336e-17 
    3225.32   9.3848e-17  1.5611e-17 
    3225.52    9.269e-17  1.5564e-17 
    3225.72   9.4954e-17  1.5435e-17 
    3225.92   1.2424e-16  1.6009e-17 
    3226.12   9.5522e-17  1.5676e-17 
    3226.32   1.1439e-16  1.6057e-17 
    3226.52    9.157e-17  1.5502e-17 
    3226.72   8.5162e-17  1.5197e-17 
    3226.92   9.7316e-17  1.5477e-17 
    3227.12   7.8732e-17  1.5416e-17 
    3227.32   8.2631e-17  1.5296e-17 
    3227.52   7.0424e-17  1.4986e-17 
    3227.72   6.1336e-17  1.4197e-17 
    3227.92   8.9544e-17  1.4651e-17 
    3228.12   7.3664e-17  1.4277e-17 
    3228.32   8.2823e-17  1.4501e-17 
    3228.52   4.7822e-17  1.3912e-17 
    3228.72   5.3224e-17  1.3917e-17 
    3228.92   4.6896e-17  1.3541e-17 
    3229.12   6.1004e-17  1.3893e-17 
    3229.32    6.339e-17  1.3819e-17 
    3229.52   4.0649e-17  1.3475e-17 
    3229.72   5.5156e-17  1.3771e-17 
    3229.92   8.2285e-17   1.416e-17 
    3230.12   9.1553e-17  1.4661e-17 
    3230.32   9.2458e-17  1.4774e-17 
    3230.52   8.2116e-17   1.448e-17 
    3230.72   6.2435e-17  1.3743e-17 
    3230.92   4.1996e-17  1.3421e-17 
    3231.12   6.8188e-17  1.3634e-17 
    3231.32     1.05e-16  1.4342e-17 
    3231.52    8.741e-17  1.4233e-17 
    3231.72   9.6992e-17  1.4399e-17 
    3231.92   8.4583e-17  1.4116e-17 
    3232.12      9.9e-17  1.4475e-17 
    3232.32   9.5127e-17  1.4285e-17 
    3232.52    1.048e-16  1.4306e-17 
    3232.72      1.2e-16  1.4703e-17 
    3232.92    8.859e-17  1.3996e-17 
    3233.12   1.1681e-16  1.4555e-17 
    3233.32   1.1375e-16  1.4644e-17 
    3233.52   1.2189e-16  1.4628e-17 
    3233.72   1.1066e-16  1.4253e-17 
    3233.92   9.4572e-17  1.3975e-17 
    3234.12   1.1857e-16  1.4503e-17 
    3234.32   1.1109e-16  1.4171e-17 
    3234.52   1.1178e-16   1.404e-17 
    3234.72   1.0117e-16  1.3904e-17 
    3234.92   9.4005e-17  1.4159e-17 
    3235.12   1.1083e-16  1.4056e-17 
    3235.32   9.1513e-17  1.3708e-17 
    3235.52   9.5044e-17  1.3836e-17 
    3235.72   8.4886e-17   1.362e-17 
    3235.92   1.1354e-16  1.4172e-17 
    3236.12   7.8122e-17  1.3188e-17 
    3236.32   1.0279e-16  1.3634e-17 
    3236.52    8.629e-17  1.3221e-17 
    3236.72   6.7836e-17   1.266e-17 
    3236.92   5.5862e-17  1.2865e-17 
    3237.12    5.189e-17  1.2453e-17 
    3237.32   6.0972e-17  1.2837e-17 
    3237.52   5.8582e-17  1.2882e-17 
    3237.72   7.4358e-17  1.2702e-17 
    3237.92   7.5963e-17  1.3006e-17 
    3238.12   9.8413e-17  1.3391e-17 
    3238.32   1.0693e-16  1.3444e-17 
    3238.52   8.1342e-17  1.3156e-17 
    3238.72   8.3882e-17  1.3136e-17 
    3238.92   1.0037e-16  1.3429e-17 
    3239.12   1.1997e-16  1.4126e-17 
    3239.32   7.8806e-17  1.3329e-17 
    3239.52   9.0336e-17  1.3592e-17 
    3239.72   1.1304e-16  1.3814e-17 
    3239.92   9.9467e-17  1.3465e-17 
    3240.12   1.2035e-16  1.3735e-17 
    3240.32   1.0977e-16  1.3493e-17 
    3240.52   1.2048e-16  1.3547e-17 
    3240.72   1.3075e-16  1.3709e-17 
    3240.92    1.114e-16  1.3318e-17 
    3241.12   1.1249e-16  1.3457e-17 
    3241.32   1.3738e-16   1.412e-17 
    3241.52   1.1615e-16  1.3684e-17 
    3241.72   1.1172e-16  1.3766e-17 
    3241.92    1.388e-16  1.4228e-17 
    3242.12   1.5157e-16   1.432e-17 
    3242.32   1.5237e-16  1.4185e-17 
    3242.52   1.2107e-16  1.3701e-17 
    3242.72   1.2035e-16  1.3673e-17 
    3242.92   1.0453e-16   1.352e-17 
    3243.12   1.2652e-16  1.3936e-17 
    3243.32   1.1862e-16  1.3881e-17 
    3243.52    1.216e-16  1.4013e-17 
    3243.72   1.2938e-16  1.3741e-17 
    3243.92   1.2928e-16  1.3801e-17 
    3244.12   1.2272e-16  1.3639e-17 
    3244.32   1.3514e-16  1.3823e-17 
    3244.52   1.5233e-16  1.4264e-17 
    3244.72   1.5199e-16  1.4417e-17 
    3244.92   1.3338e-16  1.4113e-17 
    3245.12   1.3291e-16  1.3864e-17 
    3245.32   1.1302e-16   1.364e-17 
    3245.52   1.5128e-16   1.401e-17 
    3245.72   1.3312e-16  1.3785e-17 
    3245.92   1.2518e-16  1.3554e-17 
    3246.12   1.5891e-16  1.4035e-17 
    3246.32   1.4596e-16  1.3809e-17 
    3246.52   1.9669e-16  1.4755e-17 
    3246.72   1.5699e-16  1.4258e-17 
    3246.92   1.3314e-16  1.3819e-17 
    3247.12   1.5361e-16  1.4307e-17 
    3247.32   1.4205e-16  1.4148e-17 
    3247.52   1.3457e-16  1.4043e-17 
    3247.72   1.4667e-16  1.4119e-17 
    3247.92   1.3473e-16  1.3744e-17 
    3248.12   1.4736e-16  1.4098e-17 
    3248.32   1.3791e-16  1.3712e-17 
    3248.52   1.1895e-16  1.3453e-17 
    3248.72   1.4672e-16  1.3959e-17 
    3248.92   1.5322e-16  1.4002e-17 
    3249.12    1.415e-16  1.3703e-17 
    3249.32   1.3877e-16  1.3828e-17 
    3249.52   1.1528e-16  1.3204e-17 
    3249.72   1.5946e-16   1.405e-17 
    3249.92   1.5687e-16   1.404e-17 
    3250.12   1.4616e-16  1.3851e-17 
    3250.32     1.46e-16  1.3864e-17 
    3250.52   1.2209e-16  1.3681e-17 
    3250.72   1.2062e-16  1.3311e-17 
    3250.92   1.4474e-16  1.3808e-17 
    3251.12   1.3753e-16  1.3636e-17 
    3251.32   1.0982e-16  1.3146e-17 
    3251.52   1.4449e-16   1.372e-17 
    3251.72   1.6313e-16  1.3913e-17 
    3251.92   1.5254e-16  1.4098e-17 
    3252.12   1.3457e-16  1.3772e-17 
    3252.32   1.3515e-16  1.3571e-17 
    3252.52   1.4099e-16  1.3967e-17 
    3252.72    1.516e-16  1.4069e-17 
    3252.92   1.4101e-16  1.3785e-17 
    3253.12   1.5256e-16  1.4078e-17 
    3253.32   1.5011e-16  1.4058e-17 
    3253.52   1.5384e-16  1.3845e-17 
    3253.72   1.3109e-16  1.3441e-17 
    3253.92   1.4126e-16  1.3739e-17 
    3254.12   1.6224e-16  1.4186e-17 
    3254.32   1.4508e-16  1.3403e-17 
    3254.52   1.4737e-16  1.3467e-17 
    3254.72    1.501e-16    1.36e-17 
    3254.92   1.3075e-16  1.3579e-17 
    3255.12   1.2807e-16   1.342e-17 
    3255.32   1.4971e-16  1.3877e-17 
    3255.52   1.3825e-16  1.3392e-17 
    3255.72   1.2164e-16  1.3155e-17 
    3255.92   1.3171e-16   1.331e-17 
    3256.12   1.3506e-16  1.3316e-17 
    3256.32   1.3393e-16  1.3209e-17 
    3256.52   1.3384e-16  1.3266e-17 
    3256.72    1.319e-16  1.3505e-17 
    3256.92   1.1426e-16  1.3174e-17 
    3257.12   1.3079e-16  1.3536e-17 
    3257.32   1.2236e-16  1.3434e-17 
    3257.52   1.5644e-16   1.406e-17 
    3257.72   1.3887e-16  1.3695e-17 
    3257.92   1.4551e-16  1.3905e-17 
    3258.12   1.1802e-16   1.365e-17 
    3258.32   1.1689e-16  1.3288e-17 
    3258.52   1.6091e-16  1.4081e-17 
    3258.72   1.4294e-16  1.3861e-17 
    3258.92   1.5059e-16  1.3944e-17 
    3259.12   1.4643e-16  1.3616e-17 
    3259.32    1.611e-16  1.4032e-17 
    3259.52   1.3232e-16  1.3741e-17 
    3259.72   1.3075e-16  1.3466e-17 
    3259.92   1.3974e-16  1.3679e-17 
    3260.12    8.615e-17  1.2376e-17 
    3260.32    7.266e-17  1.2174e-17 
    3260.52   4.0524e-17   1.122e-17 
    3260.72   3.8793e-17  1.1286e-17 
    3260.92   6.6393e-17  1.2283e-17 
    3261.12   1.2984e-16  1.3587e-17 
