 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)     M_Ni  Peak_mag     Peak_MJD 
    14.01052  1.80593  8.33814       0.24896         2448.87523  0.00122  0.09602     0.38703  0.66935      16.5678    4874.1114     -3.0386   1.3437  6476.75136    2e-05   58461.4714  51.83916  0.03362  18.58372  58502.63149 
    13.97602  1.66257  7.87004       0.01635         4030.16149  0.00274  0.06741     0.25134  0.94321     17.97011   7245.86477     -2.3114  1.31926  6424.63986  0.00052   58462.1986  51.90393  0.08907  18.58243  58500.62564 
    14.44383  1.93812  8.79511       0.08978         5089.44765  0.00905   0.0219         0.1  2.82984     18.65928   9324.32655    -2.35102  0.48386  6181.02085  0.00254  58462.15898  52.04298  0.43835  18.55312     58502.55 
    14.37134  1.81319  8.33687        0.1589         2936.85494  0.00355  0.03209     0.18649  1.84263     17.32202   6919.76199    -2.05611  0.51583  6434.51507  0.00012  58462.45389  52.01837     0.15  18.54491  58500.62564 
    14.33133  1.83972   8.4563       0.06216         2461.06527  0.00239  0.01788      0.0885  3.16412     19.12273   4845.68609    -2.84243  0.55082  6241.31092  0.00737  58461.66757  52.06566  0.11976  18.59302   58503.3903 
    14.05615  1.79937  8.20473       0.03503         5240.34666  0.00328  0.09489     0.44894   0.6005     18.91305   4794.57829     -2.1887  1.47949  6127.26593  0.00455   58462.3213  51.76554   0.0853  18.56355  58500.62564 
    14.02241  1.75221  8.09277       0.10514         3219.91987  0.00991  0.05925     0.25235  1.00385     19.18911   6595.10024    -2.59318  1.50598  6104.49154  0.00859  58461.91682  51.87139  0.33171  18.51752  58500.62564 
    14.18465  1.73919  8.09491       0.02122         2453.26992  0.00109  0.03043     0.19867  1.86932      18.8601   5816.23744    -2.24133  0.79401  6373.59863  0.00403  58462.26867  52.01224  0.04622  18.50372  58500.62564 
    13.79741  1.22856   6.1137       0.32936         2225.55082  0.00163  0.03759     0.17351  1.53035     19.73141   9172.08568    -2.49454  1.45997  6118.15849  0.02993  58462.01546  51.94605  0.06452  18.57877   58503.3903 
    14.09604  1.80537  8.28501       0.19798         3457.24915  0.00661   0.0301     0.13289  2.09896     19.55073   6633.90791    -2.60348  1.04954  6354.69296  0.01975  58461.90652  52.02648  0.29184  18.53286  58500.62564 
    14.12301  1.61891  7.70986       0.36944         2093.00046  0.00107    0.047     0.22733  1.16553     17.65889   7739.28493     -2.7179  0.78762  5856.92974  0.00025   58461.7921   51.8626  0.03824  18.54364  58502.27431 
    13.93045  1.46707  7.22265       0.07856          3212.5056  0.02618  0.02099       0.074  2.97343     16.35374   6949.66423    -2.61104  1.04675  6423.03659    1e-05  58461.89896  52.08272  1.28701  18.53614  58500.62564 
    14.40441  2.01864  9.00664       0.00105         5127.00908  0.00114   0.0516     0.23773  1.24191     19.54745    3149.8166     -2.2294  0.51822  6769.74476   0.0196   58462.2806  51.99946  0.04163  18.56763  58503.46431 
     14.0624  1.74307  8.02625       0.25039         2161.73128  0.00586  0.02242     0.11766  2.62036     19.28743   7500.23065    -2.91278  1.22064  6280.03154  0.01077  58461.59722   52.0467  0.27753  18.56402  58502.63149 
     14.4703  1.84845  8.59578       0.33547         3592.31796  0.00189  0.08309     0.38439  0.70677     16.37959   3204.33187    -2.76098  0.39159  6013.44169    1e-05  58461.74902   51.7869  0.05359  18.48025  58498.62873 
    14.11015  1.67321  7.78732       0.11683         5241.96732  0.00811  0.02503     0.19997  2.04898     17.83817   7486.38986    -2.75765  1.00689  5878.71368  0.00038  58461.75235  51.95541  0.35515  18.52648  58500.62564 
    14.02404  1.76185  8.06147       0.07752         3910.51699   0.0026   0.0197     0.09139  3.17862     19.82553   7846.48247    -1.71698  1.55128  6471.04988  0.03718  58462.79302  52.09763  0.13056  18.50194  58498.62873 
    14.49643  2.03577   9.0812       0.07057         5535.90045  0.01074  0.04183     0.19958  1.43423        17.39   4905.38214    -3.09674  0.44175  6155.74686  0.00014  58461.41326  51.94095  0.41461   18.5536  58502.27431 
    14.03807  1.48057  7.15492       0.15658         2013.68568  0.00128  0.06625     0.23185  0.98132     17.93469   4614.25944    -2.54923  0.77093  6550.73786  0.00048  58461.96077  51.92839  0.04234  18.53543  58502.27431 
    13.96902  1.41758  7.01897       0.33612         3134.39377  0.00306  0.01625     0.07119  3.86837     18.60085   8937.99596    -2.38145  0.85258   6667.8248  0.00222  58462.12855  52.14758  0.16225  18.55763  58502.27431 
    14.14386  2.12741  9.40947       0.05326         4211.04209  0.00677  0.04458     0.18837  1.41537     17.16568   3294.25228    -2.30133  1.46209  6636.68479    8e-05  58462.20867  52.00413  0.26002  18.56521  58500.62564 
    13.93922  1.52672  7.31157       0.18436         2629.00141  0.00964  0.12638     0.47001  0.51173      19.5051    4724.7194    -2.54039  1.12841  6538.52046  0.01778  58461.96961  51.78154  0.22859  18.54899  58500.62564 
    14.07706  1.78897  8.38436       0.08334         2484.21432  0.03017  0.02863     0.11242  2.36488     18.64942   6543.84578    -2.31242  0.98689  7020.40243  0.00248  58462.19758  52.12967  1.38329  18.55734  58502.27431 
    14.32875  1.65542  7.74628        0.0491         3599.88734  0.00235   0.0646     0.36869  0.89364     18.23908    6215.3808    -2.40065  0.50603  6256.94736  0.00096  58462.10935  51.87042  0.07481  18.56641  58502.27431 
    14.05116  1.82802  8.41635       0.08653         2829.00183  0.00663  0.06447     0.33345  0.96848     18.25632   8401.46724    -2.42671  1.45453  6603.50866    0.001  58462.08329  51.93286  0.21834  18.56889  58502.27431 
    14.02852  1.71177  8.12873       0.07338         5624.11465  0.00275  0.07482     0.36753  0.80309     16.25398    5199.5181    -3.01811  1.12465  6623.62697    1e-05  58461.49189  51.89824  0.08317   18.5859  58502.27431 
    14.12702  2.06471  9.19201       0.08559         5044.03307  0.00209  0.01747     0.07479  3.35314      16.4318   3701.66282    -2.96274  1.45123  5998.06519    2e-05  58461.54726  52.03835  0.10638  18.54928  58502.27431 
    14.14326  2.07446   9.2476       0.01524         3679.91745  0.00619  0.06281     0.29896  0.95865     19.48047   7959.42269     -2.0746  1.32717   6564.9168   0.0168   58462.4354  51.92582    0.203  18.55131  58502.27431 
    14.05809  1.68233  7.86387       0.07005         5883.09894   0.0037  0.01179     0.06282  4.05847     16.16783   4563.02965    -2.13918  1.14329   5640.0851    1e-05  58462.37082  52.00784  0.19853  18.57702  58500.62564 
    14.05199  1.74143  8.16946       0.23623         3250.09288  0.00152  0.04106     0.15557  1.38442     17.14254   8591.04484    -3.26461  1.08844  6109.83979    8e-05  58461.24539  51.92866   0.0578  18.56053     58502.55 
    13.89039  1.41117  7.00028       0.16962         5360.71257  0.00749  0.02928     0.11903  1.98437     16.56278   5910.89858    -2.31658  1.25583  6246.52545    2e-05  58462.19342   52.0035  0.32434  18.58827  58502.27431 
    14.03943  1.77277  8.26562       0.03704         2482.64135  0.00142  0.06803     0.36544  0.86438     17.16072   8679.46954    -2.71475  1.42353  6241.46831    8e-05  58461.79525  51.86164  0.04447  18.52751  58500.62564 
    14.13259  1.92234  8.81265       0.50548         3002.71686  0.00207  0.09467     0.48403  0.61937     16.85709   4972.08044    -2.49531  0.97533  6769.28807    4e-05  58462.01469   51.8595  0.05468  18.54255  58502.63149 
    14.07032  1.85673  8.59478       0.22618         2749.60092  0.00124  0.01398     0.05377   4.2826     16.96418   8380.34045    -2.88738   1.0881   6198.2558    5e-05  58461.62262  52.09605   0.0675  18.53461   58503.3903 
    13.89574  1.43743  7.05679       0.03964         5018.99101  0.00122  0.10189     0.44763  0.64279      17.7806   4157.49301    -2.21453  1.42534  6425.41363  0.00034  58462.29547  51.82293  0.03289  18.52569  58502.27431 
    14.27242  1.69794  8.08218       0.12013         3275.74082  0.00479  0.02133     0.09327  2.84107      18.0571   5079.85436    -2.51538  0.53754  6624.97668  0.00063  58461.99462  52.10375  0.23227   18.5425  58500.62564 
    14.23965  1.87065   8.5794       0.27156         5572.95111  0.00706  0.09473       0.364  0.47789     16.90412   5114.53129    -2.84261  0.67429  5449.19944    4e-05  58461.66739  51.60473  0.16036  18.53314  58500.62564 
    14.17809  2.14509  9.42702        0.1059         2490.87051  0.01828  0.09422     0.41551  0.59143     17.96202   9130.22573    -1.59751  1.24876  6316.71394  0.00051  58462.91249   51.7883  0.47159  18.59216  58502.27431 
    13.96425  1.57168  7.48107       0.50367         2137.36893  0.00128  0.07581     0.43248  0.76639     17.54631   4585.79237    -2.84794  1.43978  6476.70394   0.0002  58461.66206  51.86893  0.03776  18.53675     58502.48 
    14.21883  1.69155   8.0821       0.16465          2425.3048  0.00233  0.01184     0.05117  5.84247     18.90074   5708.42884    -2.41955  0.58551  7077.67851  0.00442  58462.09045  52.24573  0.13725  18.60835  58503.46431 
    14.11782  1.59845  7.52761       0.05447         4412.79971  0.00134  0.08291     0.39427  0.63966     17.15224   8541.68665    -2.55845  0.81912  5869.89341    8e-05  58461.95155  51.74325  0.03615  18.56604  58502.27431 
    14.17484  1.65269  7.35091        0.0508         2738.55634  0.00293  0.04914     0.22692  1.15189     20.15196   6076.97219    -2.74178  0.67245  6357.89923  0.07883  58461.76822  51.93181  0.10394  18.56275  58502.27431 
      14.302  1.57433  7.53268       0.06663         3347.13559  0.00723  0.04655      0.1853  1.45776     16.25534   7590.83703    -2.56591  0.43039  6864.77782    1e-05  58461.94409  52.03828  0.28078  18.56943  58502.27431 
    14.52788  1.67068  8.10136       0.01789         4830.07426  0.01928  0.01446     0.07712  3.82997     16.72049   3909.48974    -2.52979  0.30427  6237.95371    3e-05  58461.98021  52.08851  1.01862   18.5759  58502.63149 
    14.11038  1.62609  7.65112       0.11889         3973.84097  0.00133  0.01823      0.0957   3.4804     17.47492   4468.41157    -2.23368  0.87628  6388.57247  0.00017  58462.27632   52.0977  0.06851  18.55551  58502.27431 
    14.18867  1.87241  8.48607       0.02444          4479.1125  0.00324  0.07011     0.35066  0.86229      17.7786    5295.4726    -2.79434  0.88323   6393.3262  0.00033  58461.71566  51.88203  0.10137   18.5341  58500.62564 
    13.88795  1.31667  6.54988       0.18177         2470.54199  0.00203  0.07055     0.27052  0.89304     18.40074   6684.10189    -3.34904  0.99112  6117.36069   0.0014  58461.16096  51.85069  0.06445  18.56436     58502.48 
    14.03866  1.58836  7.42895        0.0038          3976.7703  0.00291  0.06057     0.33842  0.92216     17.88501   5656.14661    -2.44859  1.13983  6038.07075  0.00043  58462.06141  51.84566  0.09374  18.58351  58503.46431 
    14.22663  2.14285  9.65212        0.2629         4413.39721  0.01197  0.03869     0.16394  1.37087     18.76519   3053.11125      -2.454  0.96781  5729.97278  0.00324    58462.056  51.87128  0.45446  18.58972  58503.46431 
    14.03449  1.76397  8.32247       1.03759         2721.43818   0.0027  0.05526     0.25387  1.14712      17.3865   9962.02878    -2.35095  1.17133  6838.32203  0.00014  58462.15905  51.99435  0.09561  18.59969     58505.48 
    14.03185  1.50462  7.36723       0.21554         2415.56494  0.02206  0.01083     0.05192  5.66463     19.15377   7655.73295    -2.24617  0.94484  6417.57694  0.00792  58462.26383  52.15738  1.28999  18.54307  58502.27431 
    14.17287  1.40815  6.98837       0.05176          5721.7428  0.00155  0.07376       0.315  0.79079     18.19478   4337.80665    -2.09334  0.52761  6235.16568  0.00087  58462.41666  51.84252  0.04648  18.55279  58502.27431 
    14.09462  1.71562  7.96264         0.115         2213.31107  0.00132  0.04762     0.25772  1.18592     17.02545   7851.07999    -2.13647  0.96902  6227.70491    6e-05  58462.37353  51.91897  0.04728  18.56378  58503.46431 
    13.93589   1.5632  7.48018       0.23232         3542.21502  0.00226  0.01872     0.08958  3.32132     17.06121   5434.33893    -2.24357  1.38734  6807.27608    6e-05  58462.26643  52.14709  0.11477  18.55789  58502.63149 
    14.12527  2.18474  9.82279       1.91913          2087.2164  0.00698  0.01099     0.04908  5.20721     19.29414   5340.11863    -2.10412  1.45567  6350.77263  0.01094  58462.40588  52.13915  0.39971   18.5139  58500.62564 
    14.00637  1.62173  7.66127       0.41943         2315.38857  0.00421  0.02923     0.14638  2.23634     18.95866   8557.24538    -3.19246  1.15051  6572.25743  0.00505  58461.31754  52.06465  0.18966  18.58265   58503.3903 
