# STATUS =
# OBJECT = 2018kyt
# TELESCOPE = P200
# INSTRUMENT = SEDM
# DATE-OBS = 2019-03-15 00:00:00.000
# MJD = 58557.0
# EXPTIME =
# AIRMASS =
# SLIT =
# DISPERSER =
# SOURCE = DOI 10.3847/1538-4357/aca161
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS =
# WAVE_UNITS =
# QUALITY =
# MIN_WAVE = 3299.8
# MAX_WAVE = 9199.8
# COMMENT =
 Wavelength         Flux 
     3300.8   4.0775e-17 
     3301.8   4.8993e-17 
     3302.8   6.8161e-17 
     3303.8   5.5014e-17 
     3304.8   4.2805e-17 
     3305.8   4.0639e-17 
     3306.8   1.9979e-17 
     3307.8   1.0016e-17 
     3308.8    7.473e-17 
     3309.8   1.2975e-16 
     3310.8   5.2465e-17 
     3311.8   1.0136e-17 
     3312.8   1.7639e-19 
     3313.8  -3.7428e-18 
     3314.8   2.0107e-18 
     3315.8   7.3141e-17 
     3316.8   7.2108e-17 
     3317.8  -4.8955e-18 
     3318.8   2.6454e-18 
     3319.8   3.7519e-17 
     3320.8   7.7526e-17 
     3321.8   1.0216e-16 
     3322.8   9.4578e-17 
     3323.8   5.3386e-17 
     3324.8   5.0633e-17 
     3325.8   1.0202e-16 
     3326.8   8.8616e-17 
     3327.8   5.7649e-17 
     3328.8   6.7192e-17 
     3329.8   7.3652e-17 
     3330.8   5.3876e-17 
     3331.8  -7.4156e-19 
     3332.8   3.7886e-17 
     3333.8   8.7191e-17 
     3334.8   8.4669e-17 
     3335.8   6.2049e-17 
     3336.8   5.5734e-17 
     3337.8   7.7195e-17 
     3338.8   1.0042e-16 
     3339.8   7.5147e-17 
     3340.8   5.5186e-17 
     3341.8   2.9217e-17 
     3342.8   3.5541e-17 
     3343.8   6.8799e-17 
     3344.8   4.9192e-17 
     3345.8   3.6315e-17 
     3346.8  -2.3223e-17 
     3347.8   -1.004e-17 
     3348.8   4.9699e-17 
     3349.8   8.0151e-17 
     3350.8   7.1348e-17 
     3351.8   4.6984e-17 
     3352.8   4.1177e-17 
     3353.8   5.9857e-17 
     3354.8   1.0164e-16 
     3355.8   8.0904e-17 
     3356.8   4.1638e-17 
     3357.8   5.6149e-17 
     3358.8   1.2475e-17 
     3359.8   1.5893e-17 
     3360.8   5.8263e-17 
     3361.8   5.3427e-17 
     3362.8   1.1668e-17 
     3363.8  -1.6972e-17 
     3364.8   2.3812e-17 
     3365.8   4.4437e-17 
     3366.8   3.7323e-17 
     3367.8   3.5538e-17 
     3368.8   9.3162e-18 
     3369.8   -2.758e-17 
     3370.8    4.472e-17 
     3371.8   7.1716e-17 
     3372.8   5.0386e-17 
     3373.8    9.332e-17 
     3374.8   8.3415e-17 
     3375.8    5.002e-17 
     3376.8   2.9866e-17 
     3377.8   6.2333e-17 
     3378.8   7.9054e-17 
     3379.8   8.1196e-17 
     3380.8   5.6057e-17 
     3381.8   3.8845e-17 
     3382.8   5.5626e-17 
     3383.8   4.0004e-17 
     3384.8    6.071e-18 
     3385.8   3.9428e-17 
     3386.8   2.5329e-17 
     3387.8   1.6752e-17 
     3388.8   5.5067e-17 
     3389.8   6.0814e-17 
     3390.8   5.3199e-17 
     3391.8   2.7654e-17 
     3392.8   2.2759e-17 
     3393.8   3.5309e-17 
     3394.8    5.581e-17 
     3395.8   5.9179e-17 
     3396.8   5.6748e-17 
     3397.8   5.8854e-17 
     3398.8    7.284e-17 
     3399.8   7.5703e-17 
     3400.8   6.8386e-17 
     3401.8   5.7365e-17 
     3402.8    5.416e-17 
     3403.8  -5.2848e-18 
     3404.8   2.0011e-17 
     3405.8   5.9092e-17 
     3406.8   6.3533e-17 
     3407.8   6.1365e-17 
     3408.8   5.6897e-17 
     3409.8   5.6662e-17 
     3410.8   5.7996e-17 
     3411.8    7.466e-17 
     3412.8   1.1011e-16 
     3413.8   1.0206e-16 
     3414.8   5.3553e-17 
     3415.8   4.6049e-17 
     3416.8   5.0213e-17 
     3417.8   5.1258e-17 
     3418.8   4.5546e-17 
     3419.8   7.8024e-17 
     3420.8   7.9364e-17 
     3421.8   3.9713e-17 
     3422.8   6.0547e-18 
     3423.8  -2.9716e-19 
     3424.8   3.9634e-18 
     3425.8   3.1155e-17 
     3426.8   7.4584e-17 
     3427.8   8.5381e-17 
     3428.8   3.1383e-17 
     3429.8   1.0276e-17 
     3430.8   4.2373e-17 
     3431.8   5.3768e-17 
     3432.8    1.585e-17 
     3433.8   4.4362e-17 
     3434.8   2.0045e-17 
     3435.8    1.723e-17 
     3436.8   2.7366e-17 
     3437.8      2.8e-17 
     3438.8   3.6393e-17 
     3439.8   5.0549e-17 
     3440.8   4.9362e-17 
     3441.8   2.7009e-17 
     3442.8  -2.7628e-18 
     3443.8  -4.5657e-18 
     3444.8   5.3555e-17 
     3445.8   4.3665e-17 
     3446.8   2.8951e-17 
     3447.8   6.0327e-17 
     3448.8   6.3672e-17 
     3449.8   1.6243e-17 
     3450.8   4.4087e-17 
     3451.8    4.252e-17 
     3452.8   4.9398e-17 
     3453.8   4.9651e-17 
     3454.8   1.9366e-17 
     3455.8   1.2648e-17 
     3456.8    4.432e-17 
     3457.8   4.7796e-17 
     3458.8   4.5058e-17 
     3459.8   7.7028e-17 
     3460.8   7.8331e-17 
     3461.8   7.4028e-17 
     3462.8   8.5144e-17 
     3463.8   6.5591e-17 
     3464.8   3.7552e-17 
     3465.8   5.8083e-17 
     3466.8     5.39e-17 
