          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
      58439.5    21.92      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58439.56    20.94      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58442.41    20.46      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58442.53    21.35      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58443.46    21.02      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58447.46    20.32      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58447.48    20.76      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58447.52    20.71      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58447.54    20.47      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58448.48    20.68      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58448.54    21.08      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58449.47    19.67      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58449.51    20.85      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58455.52    19.95      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58461.46    21.28      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58464.47    21.64      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58464.54    21.63      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58467.48    20.07      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
 58474.476562  19.7977  19.8591    -1.0        P48         ZTF       r   True      AB   False             ThisWork 
     58474.48    20.66      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
  58476.46875   20.075  20.1364    -1.0        P48         ZTF       r   True      AB   False             ThisWork 
