# STATUS =
# OBJECT = 2019aamp
# TELESCOPE = P200
# INSTRUMENT = SEDM
# DATE-OBS = 2019-04-27 00:00:00.000
# MJD = 58600.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.943063e+00
3010.000000 1.710083e+00
3020.000000 1.814859e+00
3030.000000 1.977326e+00
3040.000000 1.919366e+00
3050.000000 1.909871e+00
3060.000000 1.641600e+00
3070.000000 1.936685e+00
3080.000000 1.833904e+00
3090.000000 1.943338e+00
3100.000000 1.932272e+00
3110.000000 2.020802e+00
3120.000000 2.018267e+00
3130.000000 2.045211e+00
3140.000000 2.148194e+00
3150.000000 1.996993e+00
3160.000000 2.077588e+00
3170.000000 1.962102e+00
3180.000000 1.874914e+00
3190.000000 1.943068e+00
3200.000000 1.775674e+00
3210.000000 1.676913e+00
3220.000000 1.855809e+00
3230.000000 1.627338e+00
3240.000000 1.718201e+00
3250.000000 1.651121e+00
3260.000000 1.761188e+00
3270.000000 1.809819e+00
3280.000000 1.756371e+00
3290.000000 1.755921e+00
3300.000000 1.727252e+00
3310.000000 1.828752e+00
3320.000000 1.735272e+00
3330.000000 1.710522e+00
3340.000000 1.804206e+00
3350.000000 1.697079e+00
3360.000000 1.656316e+00
3370.000000 1.584910e+00
3380.000000 1.698215e+00
3390.000000 1.725873e+00
3400.000000 1.812593e+00
3410.000000 1.808639e+00
3420.000000 1.781157e+00
3430.000000 1.792167e+00
3440.000000 1.868418e+00
3450.000000 1.847248e+00
3460.000000 1.834611e+00
3470.000000 1.874189e+00
3480.000000 1.945301e+00
3490.000000 1.963384e+00
3500.000000 1.920249e+00
3510.000000 1.908609e+00
3520.000000 2.053338e+00
3530.000000 1.976855e+00
