                MJD               R_low               R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
           58136.42                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58139.38120300752                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
 58142.342406015036                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58145.30360902256                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58148.26481203007                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
 58151.226015037595                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58154.18721804511                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58157.14842105263                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58160.10962406015                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58163.07082706767                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
 58166.032030075185                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58168.99323308271                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58171.95443609022                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
 58174.915639097744                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58177.87684210526                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
  58180.83804511278                 0.0                 0.0                     0.0                 nan                 nan                 nan   4.507547937279797e+30  1.7635090232434373e+31   6.372505056785042e+31 
