       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
   58529.4     99.0     99.0     99.0   3608.04     3631.0       u 
 58530.652     99.0     99.0   -6.513   3608.04     3631.0       u 
 58531.904     99.0     99.0   -17.65   3608.04     3631.0       u 
 58533.155     99.0     99.0  -18.855   3608.04     3631.0       u 
 58534.407     99.0  -17.418  -19.539   3608.04     3631.0       u 
 58535.658     99.0  -18.849  -20.022   3608.04     3631.0       u 
  58536.91  -17.495  -19.624  -20.399   3608.04     3631.0       u 
 58538.161  -19.036  -20.118  -20.686   3608.04     3631.0       u 
 58539.413  -19.843  -20.475  -20.917   3608.04     3631.0       u 
 58540.664  -20.302  -20.764  -21.148   3608.04     3631.0       u 
 58541.916  -20.628  -20.996  -21.401   3608.04     3631.0       u 
 58543.168  -20.864  -21.171  -21.592   3608.04     3631.0       u 
 58544.419  -21.066  -21.323  -21.741   3608.04     3631.0       u 
 58545.671   -21.23  -21.443  -21.867   3608.04     3631.0       u 
 58546.296    -21.3  -21.497   -21.93   3608.04     3631.0       u 
 58546.922  -21.364  -21.546  -21.985   3608.04     3631.0       u 
 58548.174  -21.489  -21.639  -22.094   3608.04     3631.0       u 
 58549.425  -21.586  -21.725  -22.188   3608.04     3631.0       u 
 58550.677  -21.673  -21.799  -22.272   3608.04     3631.0       u 
 58551.929  -21.747  -21.861  -22.346   3608.04     3631.0       u 
  58553.18  -21.811  -21.912  -22.407   3608.04     3631.0       u 
 58554.432  -21.865  -21.957   -22.46   3608.04     3631.0       u 
 58555.683  -21.914  -21.996  -22.505   3608.04     3631.0       u 
 58556.935  -21.952   -22.03  -22.538   3608.04     3631.0       u 
 58558.186  -21.986  -22.056  -22.568   3608.04     3631.0       u 
 58559.438   -22.01   -22.08  -22.594   3608.04     3631.0       u 
 58560.689   -22.03    -22.1  -22.608   3608.04     3631.0       u 
 58561.941  -22.044  -22.109  -22.617   3608.04     3631.0       u 
 58563.193  -22.052  -22.115  -22.622   3608.04     3631.0       u 
 58564.444  -22.054  -22.116  -22.622   3608.04     3631.0       u 
 58565.696  -22.049  -22.114  -22.615   3608.04     3631.0       u 
 58566.947  -22.041  -22.106  -22.608   3608.04     3631.0       u 
 58568.199  -22.029  -22.091  -22.596   3608.04     3631.0       u 
  58569.45  -22.011  -22.075  -22.579   3608.04     3631.0       u 
 58570.702  -21.988  -22.053  -22.553   3608.04     3631.0       u 
 58571.954   -21.96  -22.026  -22.524   3608.04     3631.0       u 
 58573.205  -21.926  -21.996  -22.491   3608.04     3631.0       u 
 58574.457  -21.889  -21.961  -22.454   3608.04     3631.0       u 
 58575.708  -21.848  -21.921  -22.413   3608.04     3631.0       u 
  58576.96  -21.802  -21.877  -22.369   3608.04     3631.0       u 
 58578.211   -21.75  -21.831  -22.322   3608.04     3631.0       u 
 58579.463  -21.692  -21.777  -22.272   3608.04     3631.0       u 
 58580.715  -21.633   -21.72   -22.22   3608.04     3631.0       u 
 58581.966  -21.571  -21.657   -22.16   3608.04     3631.0       u 
 58583.218  -21.506   -21.59  -22.096   3608.04     3631.0       u 
 58584.469  -21.433  -21.524  -22.028   3608.04     3631.0       u 
 58585.721   -21.36   -21.45  -21.954   3608.04     3631.0       u 
 58586.972  -21.278  -21.374  -21.875   3608.04     3631.0       u 
 58588.224  -21.189  -21.295  -21.792   3608.04     3631.0       u 
 58589.475  -21.107  -21.205  -21.714   3608.04     3631.0       u 
 58590.727  -21.019  -21.121  -21.635   3608.04     3631.0       u 
 58591.979  -20.922   -21.04  -21.555   3608.04     3631.0       u 
  58593.23  -20.823  -20.966  -21.464   3608.04     3631.0       u 
 58594.482  -20.717  -20.891  -21.356   3608.04     3631.0       u 
 58595.733  -20.605  -20.811  -21.262   3608.04     3631.0       u 
 58596.985   -20.49  -20.717  -21.173   3608.04     3631.0       u 
 58598.236  -20.367  -20.626  -21.083   3608.04     3631.0       u 
 58599.488  -20.249   -20.54   -20.98   3608.04     3631.0       u 
  58600.74  -20.128  -20.455  -20.881   3608.04     3631.0       u 
 58601.991  -20.012  -20.374  -20.807   3608.04     3631.0       u 
 58603.243  -19.877  -20.284  -20.708   3608.04     3631.0       u 
 58604.494   -19.74  -20.194  -20.629   3608.04     3631.0       u 
