                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
       58046.649731                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58049.541307110274                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58052.43288322055                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58055.324459330826                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58058.2160354411                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58061.10761155138                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58063.999187661655                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58066.890763771924                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58069.7823398822                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58072.67391599248                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58075.56549210275                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58078.45706821303                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58081.348644323305                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58084.24022043358                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58087.13179654386                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58090.023372654134                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58092.91494876441                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58095.806524874686                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58098.69810098496                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58101.58967709524                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58104.481253205515                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58107.372829315784                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58110.26440542606                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58113.155981536336                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58116.04755764661                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58118.93913375689                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58121.830709867165                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58124.72228597744                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58127.61386208772                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58130.50543819799                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58133.39701430827                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58136.288590418546                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58139.18016652882                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58142.0717426391                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58144.963318749375                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58147.85489485964                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58150.74647096992                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58153.638047080196                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58156.52962319047                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58159.42119930075                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58162.312775411025                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58165.2043515213                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58168.09592763158                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58170.98750374185                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58173.87907985213                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58176.770655962406                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58179.66223207268                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58182.55380818296                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58185.445384293234                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58188.3369604035                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58191.22853651378                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58194.120112624056                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58197.01168873433                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58199.90326484461                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58202.794840954884                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58205.68641706516                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58208.57799317544                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58211.46956928571                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58214.36114539599                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58217.252721506266                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58220.14429761654                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58223.03587372682                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58225.92744983709                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58228.81902594736                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58231.71060205764                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58234.602178167916                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58237.49375427819                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58240.38533038847                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58243.276906498744                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58246.16848260902                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58249.0600587193                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58251.95163482957                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58254.84321093985                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58257.734787050125                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58260.6263631604                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58263.51793927068                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58266.40951538095                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58269.30109149122                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
   58272.1926676015                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58275.084243711775                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58277.97581982205                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58280.86739593233                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58283.758972042604                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58286.65054815288                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58289.54212426316                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58292.43370037343                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58295.32527648371                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
 58298.216852593985                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58301.10842870426                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58304.00000481454                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
  58306.89158092481                 0.0                 0.0                 0.0                 nan                 nan                 nan   4.260207439429939e+28   5.749474152388713e+28   8.885580197644133e+28 
