 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel           TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -10.03347  0.00512  0.85026     14.33862  1.67716  1.52011  3.24435  0.29305     0.02386  12845.36267   7817.62218  0.09849         3649.34944     18.84821  0.00392    58593.431   3.19335  0.01661   23673.11861  48.26006  18.60998  58629.34911    51.17637       44.71446   12.00233  25.73691   21.5     0.5605  -21.28688  0.99997 
   -7.39409   0.1392    0.973     14.50775  1.60291  0.85333  5.77715  0.16232     0.03714  16268.20679   4631.86467  0.12156         2802.73515     16.20405    1e-05  58596.07038   9.12054  0.80419   13597.11638  48.36408  18.61749  58629.34911    51.13252       44.69489    10.4089  25.41779   22.0    0.57561  -21.70207  0.99778 
   -9.68507  0.08003  1.33953     14.45452  1.56533  0.71902  6.26017  0.14125     0.01778  13734.04595   7706.39487  0.08397         4188.98776     17.88714  0.00043   58593.7794   7.04386  0.50101   32157.78632  47.70226   18.5663  58629.34911    51.20144       44.76284    10.4089  25.41779   22.5    0.53411  -21.43971  0.99532 
   -7.35031  0.00173  1.24486     14.37323   1.6702   0.9505  7.10491  0.06122     0.02452  12161.61959   6472.14285  0.08888          4827.7584     18.21592  0.00091  58596.11416   6.26857  0.01231   43088.65065  47.66701  18.59107  58627.56931    51.10494        44.6737   15.11018   21.2284   25.0    0.58873  -21.56557  0.99991 
    -7.0776  0.05104  1.14732     14.44714  1.79225  1.01891  3.31501  0.22764     0.01653  11300.47008   9942.45703  0.70709         3096.87104     18.76837  0.00326  58596.38687   2.52525  0.16919   27945.19195  47.95657  18.60876  58629.34911    51.34823       44.93913   11.13504  22.10457   20.5    0.53405  -21.52766  0.99924 
   -7.92012  0.08026  3.03115     14.17543  1.65418  1.38632  2.70767  0.25303     0.02879  14161.35682   5183.23028   1.7361         2427.86064     16.78094    3e-05  58595.54435   3.23916  0.21733  629150.46167  45.72546  18.58862  58627.56931    51.14259       44.70715   11.13504  24.01713   24.5    0.57889   -21.6086  0.98883 
  -10.14361   0.0113  1.70907     14.29218  1.58084  0.91092  5.71765  0.13475     0.02159  13429.20943   9080.39849  0.08864         4878.48174     20.09948  0.06986  58593.32086     6.151  0.06461  111653.10733  46.95434  18.57802  58629.34911    51.03755       44.57087   15.11018  23.87689   21.0    0.51972   -21.5771   0.9989 
    -8.2061  0.00244  1.02908     14.38184  1.72721  1.22493  4.22948  0.14067     0.02765  12008.86756   3776.81882  0.11336         5289.55181     16.86397    4e-05  58595.25836   3.63847   0.0103    29267.2338  48.01491   18.5813  58627.56931    51.14319       44.70534   15.30046  22.43879   23.5      0.568  -21.49554  0.99996 
   -8.69678  0.00217  0.84359     14.39137  1.82902  1.30467  4.62411  0.15483     0.01213  12358.26363   3091.47703  0.03234         5484.72559     16.67094    3e-05  58594.76768   4.21279  0.01004   19932.47824  48.37924  18.58626  58627.56931    51.04289       44.58926   15.53008  23.45699   22.0    0.65024  -21.42599  0.99998 
   -8.18139  0.03759  0.76161     14.25356   1.5044  1.28747   4.4582  0.11401     0.01442  11002.45499   5669.67382  0.15045         5563.06933     19.38712  0.01355  58595.28308   3.21933  0.16758   25207.96464   48.2812  18.60294  58629.34911    51.13446       44.66836   12.75503  25.41446   22.5     0.5862  -21.53063  0.99966 
   -4.66084  0.05482  1.29418     14.53032   1.7047  0.96265  7.68102  0.14039     0.02159  16677.99853   4522.84592  0.91331         2895.10539     18.39779  0.00139  58598.80363  12.74483  0.42106   23057.36038   47.9137  18.57015  58627.56931    50.95029       44.48682   13.84946  24.63362   22.5    0.54042  -21.60171  0.99759 
   -4.54275  0.09136  1.43139     14.77108  2.12375  0.62917  7.27679  0.13616     0.01143  15404.43324   5279.65011  1.24679         2157.28394     18.35942  0.00127  58598.92172  10.30051  0.66478   11594.92507  48.22016   18.6123  58629.34911      51.096       44.70369    9.45398   21.2284   22.5    0.61092  -21.60431   0.9965 
   -6.62089  0.23073  1.06255     14.70687  1.96129  0.63041  5.33486  0.13519     0.01446  13668.80157   5706.81982  0.36585         2138.05242     17.35999  0.00013  58596.84358   5.94581   1.2309    7930.62209  48.60938  18.56725  58627.56931    51.14087       44.71039   17.02274  20.71651   22.0    0.60419  -21.55478  0.99689 
   -2.30819  0.00844  1.89116     14.58817  1.87819  0.84255  6.50595  0.10589     0.01484  13420.85652   9050.50454  3.23883         2231.50452     17.69965  0.00028  58601.15628   6.99034  0.05493   41560.35132  47.37045  18.58413  58629.34911    51.45258       45.02146   13.94144  22.22732   22.0    0.46094  -21.52476   0.9992 
   -9.13714  0.04519  0.86626     14.64524  1.78241  0.62279  7.98594  0.13044     0.01079  13835.07353   8695.04814  0.18539         2904.90888     18.29482   0.0011  58594.32733   9.11835  0.36088    6362.62231  48.84092  18.62775  58627.56931    51.07215        44.6319   15.53008  21.91326   20.0    0.57965  -21.35429  0.99942 
   -9.53213  0.00527  1.75819     14.52015  1.64072  0.53775  2.27756  0.30248     0.06019  13413.08628   6180.52598  0.10397          5182.6994     20.01527  0.05754  58593.93233    2.4443  0.01201   42923.08115  47.36106   18.5556  58629.34911    51.07805       44.63504   10.34827  25.41446   24.5    0.53351  -21.58752   0.9998 
   -4.28032  0.02119  1.28008      14.3578  1.52137  1.23984  3.46469   0.2883     0.06376  17230.92614   3027.48813  1.17894          2073.4175     18.13467  0.00076  58599.18414   6.13634  0.07341   44557.56335  47.58768  18.58993  58627.56931    51.04687       44.62929     11.646  21.97223   22.5    0.56469  -21.69293  0.99943 
   -9.11817  0.00569  1.34642     14.40489  1.65916  0.83073  3.18815  0.24064     0.02093  12085.96172   9756.66503   0.2442         3247.51619     16.20993    1e-05  58594.34629   2.77798  0.01814   43280.67633  47.59408  18.60671  58629.34911    51.10634       44.66464   13.56331  23.88004   19.5    0.55572   -21.4463  0.99984 
    -4.3018  0.04756  1.62166     14.58096  1.67851   0.7242  4.49984  0.20576      0.0382  15459.60825    5030.9804  1.10996         3168.30669      19.5766  0.02096  58599.16267   6.41537  0.21403   28231.45636  47.62312  18.60137  58629.34911    51.21541       44.80326   12.02888  22.22732   23.5    0.53067  -21.65325  0.99743 
   -5.61422  0.00983  2.42432     14.34286  1.32906  0.52171  1.56071  0.23191     0.07317  12926.65897   7604.04874  1.11334         2278.56115     17.04977    6e-05  58597.85025   1.55568  0.01535  149562.94422  46.44838  18.55606  58627.56931    51.07201       44.63737   15.11018  22.33316   26.5      0.548  -21.53008  0.99929 
  -11.03879  0.01967  2.64758     14.07452  1.70715  1.48988  3.13841  0.17615     0.01335  12304.34597     3602.387  0.13544         2819.55599     17.75176  0.00031  58592.42567   2.83435  0.06172  788395.37415  45.75867  18.55624  58629.34911     50.9851       44.51771   15.06183  23.42125   25.0    0.58868  -21.51746  0.99767 
   -2.35918  0.00352  1.99004     14.55701  1.79401  0.83798  2.95032  0.32814     0.03883  16517.62706   8031.48007  2.86194         2447.85616     18.63118  0.00238  58601.10529   4.80166  0.01039   50739.41893   47.2196  18.58943  58629.34911    51.00503       44.54083   11.65075  26.60039   21.0    0.54274  -21.64302  0.99981 
   -8.04248  0.00111  1.27356     14.46829  2.01611  1.28834  3.67199  0.16861     0.05806  13185.51068   8816.83278  0.07025         2034.29494     17.93833  0.00048  58595.42198   3.80822  0.00408   35139.83335  47.81752  18.59328  58627.56931    50.95844       44.47931    13.0654  25.07829   21.0    0.54093  -21.54262  0.99998 
   -8.71833  0.08853  1.70607     14.58222  1.84605  0.67603  5.90115  0.11216     0.05705     14543.67   3688.99426  0.04134         5843.65121     16.56764    2e-05  58594.74614    7.4458  0.52243    34168.3068  47.53747  18.63243  58629.34911    51.32925       44.90931   10.75834  23.66769   25.5     0.5274   -21.5704  0.99349 
  -10.22057   0.0019  1.08696      14.6522  1.70617   0.4047  3.27403  0.16784     0.01631  10687.92582   3899.57164  0.07559         3878.80439     19.33975  0.01215   58593.2439   2.23099  0.00623    9286.74082  48.46057  18.58656  58627.56931     51.1987       44.75914   10.81592  24.16643   24.0    0.54743  -21.36202  0.99997 
   -3.62699  0.01641  1.15696     14.71684  1.76203  0.61939  6.57738  0.17899     0.02806  17127.83865   3373.43973  2.06918         2326.06654     18.92809  0.00471  58599.83748  11.51026  0.10797    8068.47582  48.48143   18.5806  58629.34911    51.03335       44.58691   10.92322  25.59917   22.5    0.51611  -21.59407  0.99962 
    -7.1192  0.00151  1.72664     14.56788  2.16839  0.88695  2.08608  0.31214     0.05181  12430.91392   9659.54352  0.98334         2045.05403     19.88469   0.0426  58596.34527   1.92294  0.00316   43912.83327  47.48799  18.62366  58627.56931    51.35253        44.9485   10.75834  21.75513   21.0    0.50696  -21.56167  0.99997 
   -7.79413  0.26811  1.36461     14.48345  1.84484  0.75395  4.10889  0.23939     0.01027  12916.35718   9412.60955   0.7074         3058.66638     20.41062  0.14301  58595.67033   4.08914  1.10163   34425.81084   47.7279  18.56852  58629.34911    51.10824       44.66749    13.3879  22.95068   21.5    0.54245  -21.70178  0.99153 
   -5.95701  0.07286  1.02272     14.72809  1.98845  0.70795  4.87247  0.25596     0.02447  17016.75374   5497.89634  0.38578         3008.03274     19.05456   0.0063  58597.50746   8.41647  0.35501     6755.4962  48.71819  18.57542  58627.49914    51.10515       44.67577   14.11404  21.03813   21.5    0.64592  -21.69119  0.99938 
   -6.17057  0.01063  1.19081     14.28658  1.44694  1.44101  5.56636  0.17454     0.02357  15679.32399   7956.38738  1.25911         2010.15249     18.31665  0.00115   58597.2939   8.16306  0.05915   50907.53275  47.57083  18.61596  58629.34911    51.05705       44.62211   13.00644  22.78002   21.0    0.52828  -21.58678  0.99957 
   -5.05623  0.16711  1.63101     14.72817  1.99514  0.57705  2.57743  0.25428     0.02804  11446.51504   9921.49735  1.32224         2771.29631     19.70998  0.02849  58598.40824   2.01447  0.43071   17233.25369  47.90754  18.56343  58627.49914     50.8344       44.37134   17.21301   21.2124   22.0    0.43788  -21.52252    0.996 
   -5.44193  0.00232  0.78658     14.66198  1.91785  0.85708  2.86465  0.31202     0.04427  14488.34665   3793.17014  0.48989         3625.66466     16.23026    1e-05  58598.02254   3.58704  0.00665     5225.9252  49.04201  18.58231  58627.56931     50.9651       44.51704   18.32259  21.84111   22.0    0.53732  -21.67706      1.0 
   -6.93538   0.0148  2.04488     14.31947  1.63193  1.08929  3.63457  0.28822     0.02483  15340.29628   9411.24906  1.11769         2604.62747     18.82385   0.0037  58596.52909   5.10208  0.05379  145518.42438   46.6973  18.64641  58627.49914     51.1117       44.68041   10.34827   23.7978   19.5    0.55194  -21.62924  0.99874 
   -7.15335  0.07947  1.50022      14.5486  1.82726  0.84888  5.02334  0.21358     0.02502  16284.09613   5185.12318  0.91126         2005.91704     17.78118  0.00034  58596.31111   7.94598  0.39919   30530.52772   47.6936  18.58678  58629.34911     50.9938       44.53455   13.84946  24.63362   22.5    0.56864  -21.61547  0.99654 
  -10.42331  0.00765  0.90943     14.41484  1.79104  1.11661   5.0555  0.20754     0.01326  13618.65332   7109.31797  0.00977         3924.90619     16.01637    1e-05  58593.04116   5.59319  0.03869   20359.83413  48.29563  18.59006  58629.34911    51.03599       44.56632   15.11018  23.87689   22.0    0.58705  -21.28583  0.99991 
    -8.2725  0.02177  1.26743     14.27603  1.59985  1.17917  4.04934  0.31386     0.01474  15355.46129   9210.17906  0.16213          2145.9314     17.10201    7e-05  58595.19197   5.69557  0.08814   66938.87658   47.4414  18.57244  58629.34911     51.1223       44.69747   10.34827   23.7978   19.0    0.59665  -21.60596  0.99927 
   -8.15711   0.0283   1.7961     14.38959  1.75545  1.21014  5.29411  0.19981     0.03338  15109.80397   9176.31332  0.35565         4177.13789     16.77018    3e-05  58595.30736   7.21005  0.14982   87434.49465  47.06289  18.60618  58627.56931    51.10937       44.70193   11.28507   21.2284   21.0    0.49457  -21.63832  0.99772 
