       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 58580.849    99.0    99.0    99.0  4746.48     3631.0       g 
 58580.849    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58580.849    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58580.849    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58580.849    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58580.849    99.0    99.0    99.0  6629.82     3631.0  orange 
 58580.849    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58580.849    99.0    99.0    99.0  7829.03     3631.0       i 
 58581.211    99.0    99.0    99.0  4746.48     3631.0       g 
 58581.211    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58581.211    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58581.211    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58581.211    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58581.211    99.0    99.0    99.0  6629.82     3631.0  orange 
 58581.211    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58581.211    99.0    99.0    99.0  7829.03     3631.0       i 
 58581.383    99.0    99.0    99.0  4746.48     3631.0       g 
 58581.383    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58581.383    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58581.383    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58581.383    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58581.383    99.0    99.0    99.0  6629.82     3631.0  orange 
 58581.383    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58581.383    99.0    99.0    99.0  7829.03     3631.0       i 
 58583.369    99.0    99.0    99.0  4746.48     3631.0       g 
 58583.369    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58583.369    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58583.369    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58583.369    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58583.369    99.0    99.0    99.0  6629.82     3631.0  orange 
 58583.369    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58583.369    99.0    99.0    99.0  7829.03     3631.0       i 
 58583.596    99.0    99.0    99.0  4746.48     3631.0       g 
 58583.596    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58583.596    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58583.596    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58583.596    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58583.596    99.0    99.0    99.0  6629.82     3631.0  orange 
 58583.596    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58583.596    99.0    99.0    99.0  7829.03     3631.0       i 
 58585.369    99.0    99.0    99.0  4746.48     3631.0       g 
 58585.369    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58585.369    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58585.369    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58585.369    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58585.369    99.0    99.0    99.0  6629.82     3631.0  orange 
 58585.369    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58585.369    99.0    99.0    99.0  7829.03     3631.0       i 
 58586.343    99.0    99.0    99.0  4746.48     3631.0       g 
 58586.343    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58586.343    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58586.343    99.0    99.0    99.0  6141.12     3631.0   r-P60 
 58586.343    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58586.343    99.0    99.0    99.0  6629.82     3631.0  orange 
 58586.343    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58586.343    99.0    99.0    99.0  7829.03     3631.0       i 
 58589.089    99.0    99.0    99.0  4746.48     3631.0       g 
 58589.089    99.0    99.0    99.0  5182.42     3631.0    cyan 
