 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -12.53078  0.02176  2.47355     14.17799  2.01521  1.21687  12.35231  0.32498     0.47324   7205.7203   8084.19453  2.86707         3611.99019     21.43366  1.50794    58599.645   3.82587  0.26876   504433.72362  46.08372  18.83208  58668.74656    51.09698       44.08782   48.89713   80.68027   70.5    0.06713  -21.33995  0.99313 
   -5.00227  0.06348  0.81961     13.94725  1.88535  1.15433  24.45537  0.07572      0.4928  4551.06834    8789.5731  4.48258         2260.64029     21.60233  2.22361  58607.17351   3.02154  1.55253   149940.63268   47.5411  18.65055  58685.22734    51.44074        44.4535   46.45228   80.68027   80.5    0.05006  -21.94583  0.99531 
  -10.68232  0.11643  1.19492     14.29881  1.79757  1.24199  16.68266  0.21963     0.48783  5522.99988    7738.4733  2.42917         2724.50988     21.26061  1.01237  58601.49346   3.03559  1.94231    60194.43013   47.5893  18.95345  58676.98695    50.91479        43.8573   52.98871    90.4597   74.0    0.04486  -20.85304  0.98844 
  -19.89453  0.00769   2.1798     14.05281  1.93366  0.77591  19.57116  0.18559     0.46697  6019.39907   8043.87681  2.25887         3830.15362     21.57911  2.10782  58592.28125   4.23009  0.15058   668957.23384  46.05299  18.83338  58682.48054    51.02224       43.95226   55.54419   95.34941   80.5    0.05561  -21.70738  0.99678 
  -21.80276  0.02111  6.53438     14.52557  2.10842  0.44713  10.82977  0.31986     0.44899   5537.5579   3750.62355  1.63297         4689.64483     20.65286   0.2498  58590.37302   1.98099  0.22864   743075.13227  45.09136  18.69963  58685.22734    51.36371       44.41015   35.08073   75.79056   77.0    0.06373  -20.22701  0.96189 
   -30.1361  0.09209   3.7546     14.23244  1.82498  1.20748  13.02105  0.19201     0.16269  3353.55341   7505.59748   0.7631         5637.26681     21.05936  0.63692  58582.03968   0.87354   1.1991   819049.82203  45.46767  18.86964  58682.48054     51.2274       44.21649   47.87015   80.68027   94.5    0.04801  -20.12055   0.9235 
  -11.59622  0.00368   1.3867     14.13409  1.85214   0.9227  12.25617  0.15668     0.04552  4176.74731   5768.26302  1.42105         3055.48753     21.40375  1.40761  58600.57956   1.27544  0.04515   178350.52384  47.00128  18.79511  58682.48054    51.17873       44.17833     37.949   81.84898   76.5    0.06429  -21.28398  0.99959 
  -15.60514  0.00159  2.01116     14.07641  1.73997  0.74213    7.9721   0.3232     0.04063  5010.80006   4994.80605  4.70195         2656.21574     21.47051  1.64147  58596.57064   1.19403  0.01268   459641.88855  46.24008  18.86223  58679.73375    50.85111       43.66106   80.68027  112.46341   81.5    0.05641  -21.39357  0.99973 
  -19.73904  0.00258  0.71847     13.91682  1.53097  1.29232  42.51177   0.0919     0.02821  5986.43337   4724.84146  0.04422         3157.92718     21.45406  1.58049  58592.43674   9.08809  0.10969   107639.42639  47.70902  18.87409  58674.24015    50.94883        43.8972    51.5417   87.45425   72.5    0.06021  -21.26253  0.99967 
  -26.36546  0.00271  1.22028     14.05527  1.77223  0.76296  38.02538  0.06915     0.49612  4872.92703   7960.73779  0.13378         3981.44502     21.46972  1.63851  58585.81032   5.38618  0.10298   189985.06107  47.06572  18.82458  58674.24015    50.95914       43.93245   45.34628   89.12084   73.5    0.05453  -21.26795  0.99922 
