 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)     M_Ni  Peak_mag     Peak_MJD 
    14.49496   2.0968  6.83365       2.94307         2262.11796  0.00121  0.06863     0.01909   3.42718     17.63566   4018.29264    -9.97648  0.95261  8388.75616  0.00024  58621.50618  52.33241  0.06216  18.68571  58648.30065 
    14.75215  1.64563  2.41479       1.69946         4236.38872  0.02252  0.01622     0.13614  12.80119     20.61525   3880.74185    -5.06684   0.6213  4367.04943  0.22908  58626.41582  51.90278  1.58256  18.66463     58649.33 
    14.44694  1.55646   0.8253       1.48779         3802.13922  0.00578  0.02044     0.03546  10.36988     21.12595   4635.09093    -5.57219  0.87625  4110.45378  0.74247  58625.91047  51.83094  0.38862  18.66206  58648.30065 
    14.69098  1.94378  3.57139       1.51432         4524.69106  0.00399  0.01567     0.01281  13.63951     18.72692   5364.98772    -6.10847   1.1796  4124.82222  0.00296  58625.37419  51.85885  0.28399  18.66202  58649.43979 
    14.64301  1.85756  3.11566       1.42662         4536.87957  0.00339   0.0419     0.01966   6.71158     18.40414   5007.03663    -5.85665  1.55662  4949.56653  0.00141  58625.62601  51.94962  0.20661  18.66105     58649.33 
    14.46207   1.6176  3.11599       1.63665         4117.80558  0.01225  0.02856     0.01419   6.60196     20.66428   6149.93564    -5.53572  1.20506  4458.91405  0.25645  58625.94694  51.85724  0.74338  18.67332  58649.43979 
    14.50457  1.67112  3.04306       1.66032         4369.75922  0.01608  0.01145     0.45272  14.89351     20.58956   4334.10938    -5.12686  1.28877  4145.90403  0.21592   58626.3558  51.87097  1.16499  18.62518     58649.33 
    14.64119  1.40504  2.28449       1.22433         4250.92164  0.02294  0.04934     0.20063   5.12484     20.64618   3810.67488    -6.55516  0.55813  5283.26842  0.24598   58624.9275  51.97755  1.30833  18.65889  58648.30065 
    14.66286  1.68298  1.17895       1.91346         3980.94322  0.02878  0.02025     0.04204   9.14368     20.96934   6549.29444    -2.89624  0.83623  3845.75262  0.51769  58628.58642   51.7612  1.88245  18.64629     58649.33 
    14.54406  1.76285   4.6852       1.85916         4358.57732  0.00147  0.01352     0.01595  12.34327     18.14392   6908.81534    -6.50785  1.21458  3779.99429  0.00077  58624.97481  51.77412   0.1026  18.67244     58649.33 
     14.2321  1.19189  2.09782       1.88598         3836.04728  0.00132   0.0213     0.37231   8.77552     20.76571   9943.58442    -5.58924  1.42587  3905.22569  0.32392  58625.89342  51.77057  0.08555  18.64459     58649.33 
    14.56815  1.54185  3.86083         1.189         4008.43774   0.0507  0.05616     0.01132   3.43683     20.68147    5919.9504    -8.02831  0.51043  5958.83776  0.26681  58623.45435  52.03568  2.59841  18.66308  58648.30065 
    14.59698  1.95396  5.34943       1.65419         4279.66247  0.02374  0.04041     0.07008   5.09047     19.26851    6116.5077    -7.76681  1.10376  4507.20068  0.01031  58623.71585  51.83882   1.3519   18.6037     58649.33 
    14.53838  1.92379  5.41803       1.58965         4479.01258  0.00139  0.03469     0.35028   4.31278     19.24102   4155.93678    -6.87338  1.29337  4103.25917  0.00968  58624.60928  51.73858  0.07567  18.67829     58649.33 
    14.41476  1.88792  2.38897       1.66468         3529.85507  0.00231  0.01762     0.01404  10.24076     21.03753   5839.17433    -6.02187  1.36942  4517.27683   0.6057  58625.46079  51.91174  0.15458  18.62667  58648.30065 
     14.6048  1.51787  2.39609       1.39877         4170.31761   0.0259  0.01403     0.22898   12.4131     20.84698   5134.89089    -6.05082  0.60016  4538.09486  0.39057  58625.43184  51.93339  1.80881  18.72249  58648.30065 
    14.66187  1.86665   5.2218       1.75214         4383.77691  0.01208  0.01933     0.05298   7.89656     18.41342   5370.49063    -6.90513  0.84621   3896.2809  0.00144  58624.57753  51.75823  0.76438   18.7046     58649.33 
    14.41681  1.61676  1.66077        1.2991         4151.26809  0.00487  0.03073     0.02177   7.33811     20.93788   7484.30677    -5.31222   1.4943  4766.15264  0.48152  58626.17044  51.92592  0.30288  18.64869  58648.30065 
    14.54354  1.79171  4.89611       1.74743         4420.23336  0.00171  0.03793     0.48791    4.5507     19.34909   4108.13533    -6.75646   1.1972  4010.82016  0.01241   58624.7262  51.72493  0.09486  18.66757  58648.30065 
    14.35312  1.48226  2.33647       1.47485         4107.48163   0.0011  0.02319     0.01495   8.05274     20.86925   5603.49462    -6.65456  1.13522   4232.0438  0.41113   58624.8281  51.83197  0.07017  18.63647     58649.33 
