# STATUS =
# OBJECT = 2019gfm
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-07-03 00:54:19.00
# MJD = 58667.04
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 1.417672e+00
3100.000000 1.385948e+00
3110.000000 1.416022e+00
3120.000000 1.485434e+00
3130.000000 1.528550e+00
3140.000000 1.508932e+00
3150.000000 1.701408e+00
3160.000000 1.695258e+00
3170.000000 1.709149e+00
3180.000000 1.761344e+00
3190.000000 1.921610e+00
3200.000000 1.902701e+00
3210.000000 1.757893e+00
3220.000000 1.520493e+00
3230.000000 1.401329e+00
3240.000000 1.280019e+00
3250.000000 1.278727e+00
3260.000000 1.416746e+00
3270.000000 1.535823e+00
3280.000000 1.529909e+00
3290.000000 1.525401e+00
3300.000000 1.382922e+00
3310.000000 1.337521e+00
3320.000000 1.351651e+00
3330.000000 1.355466e+00
3340.000000 1.320674e+00
3350.000000 1.336343e+00
3360.000000 1.326637e+00
3370.000000 1.355302e+00
3380.000000 1.297064e+00
3390.000000 1.353503e+00
3400.000000 1.433893e+00
3410.000000 1.471262e+00
3420.000000 1.522788e+00
3430.000000 1.629424e+00
3440.000000 1.602877e+00
3450.000000 1.671103e+00
3460.000000 1.725199e+00
3470.000000 1.743997e+00
3480.000000 1.755946e+00
3490.000000 1.723885e+00
3500.000000 1.699418e+00
3510.000000 1.645426e+00
3520.000000 1.588177e+00
3530.000000 1.642467e+00
3540.000000 1.667885e+00
3550.000000 1.656861e+00
3560.000000 1.714977e+00
3570.000000 1.776178e+00
3580.000000 1.813267e+00
3590.000000 1.817688e+00
3600.000000 1.826461e+00
3610.000000 1.855939e+00
3620.000000 1.808985e+00
3630.000000 1.798546e+00
3640.000000 1.868090e+00
3650.000000 1.949322e+00
3660.000000 1.957775e+00
3670.000000 1.977432e+00
3680.000000 1.983162e+00
3690.000000 1.963320e+00
3700.000000 1.864233e+00
3710.000000 1.782199e+00
3720.000000 1.751466e+00
3730.000000 1.721624e+00
3740.000000 1.633290e+00
3750.000000 1.616563e+00
3760.000000 1.626110e+00
3770.000000 1.675496e+00
3780.000000 1.714364e+00
3790.000000 1.773517e+00
3800.000000 1.814917e+00
3810.000000 1.824111e+00
3820.000000 1.754198e+00
3830.000000 1.726293e+00
3840.000000 1.702792e+00
3850.000000 1.735157e+00
3860.000000 1.721601e+00
3870.000000 1.688583e+00
3880.000000 1.704569e+00
3890.000000 1.746051e+00
3900.000000 1.714958e+00
3910.000000 1.729914e+00
3920.000000 1.726493e+00
3930.000000 1.737597e+00
3940.000000 1.713976e+00
3950.000000 1.655046e+00
3960.000000 1.664003e+00
3970.000000 1.710989e+00
3980.000000 1.650559e+00
3990.000000 1.637793e+00
4000.000000 1.611596e+00
4010.000000 1.627187e+00
4020.000000 1.594598e+00
4030.000000 1.581434e+00
4040.000000 1.522719e+00
4050.000000 1.498704e+00
4060.000000 1.445573e+00
4070.000000 1.427743e+00
4080.000000 1.409296e+00
4090.000000 1.419923e+00
4100.000000 1.416160e+00
4110.000000 1.450897e+00
4120.000000 1.385401e+00
4130.000000 1.372976e+00
4140.000000 1.369111e+00
4150.000000 1.406539e+00
4160.000000 1.417679e+00
4170.000000 1.431753e+00
4180.000000 1.461127e+00
4190.000000 1.472477e+00
4200.000000 1.446497e+00
4210.000000 1.437030e+00
4220.000000 1.427555e+00
4230.000000 1.455752e+00
4240.000000 1.473270e+00
4250.000000 1.455300e+00
4260.000000 1.456768e+00
4270.000000 1.430478e+00
4280.000000 1.383973e+00
4290.000000 1.326958e+00
4300.000000 1.297747e+00
4310.000000 1.286482e+00
4320.000000 1.287818e+00
4330.000000 1.286468e+00
4340.000000 1.309530e+00
4350.000000 1.335962e+00
4360.000000 1.348468e+00
4370.000000 1.342296e+00
4380.000000 1.307034e+00
4390.000000 1.273542e+00
4400.000000 1.260293e+00
4410.000000 1.281768e+00
4420.000000 1.373790e+00
4430.000000 1.488546e+00
