          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
  58519.63183  20.6515   20.694    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58529.565038  19.6241  19.6552    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58537.584221  19.1882  19.2193    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58541.588906  19.9843  20.0154    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58545.568264  20.4242  20.4553    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58549.567879  19.9283  19.9593    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58557.514935  20.0637  20.0948    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58561.548981   19.655   19.686    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  58565.52693  19.6679   19.699    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58567.539589  19.9268  19.9579    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58569.517599  19.7891  19.8201    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58571.510612  20.4252  20.4563    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
     58572.34    21.04      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58572.36    20.59      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
 58573.516055  19.7621  19.7931    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
     58575.35    20.72      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58575.42    21.51      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
 58575.528996  20.4751  20.5175    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58577.514517  19.6747  19.7058    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58579.523579  20.4205   20.463    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
     58580.39    21.28      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58580.42    21.17      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58581.39    20.78      nan    -1.0        P48         ZTF       i   True      AB   False  2023ApJ...943...41C 
  58581.51296  19.8901  19.9212    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
     58583.33    21.14      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58583.38    21.29      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
 58583.478074    20.59  20.6325    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58585.325842   20.141  20.1721    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
      58586.3    20.65      nan    -1.0        P48         ZTF       i   True      AB   False  2023ApJ...943...41C 
