# STATUS =
# OBJECT = 2019gqi
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2019-07-02 00:00:00.000
# MJD = 58666.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 8.370293e-01
3010.000000 9.212135e-01
3020.000000 9.562440e-01
3030.000000 9.559830e-01
3040.000000 9.611192e-01
3050.000000 9.152731e-01
3060.000000 9.576923e-01
3070.000000 9.060332e-01
3080.000000 8.994004e-01
3090.000000 8.741524e-01
3100.000000 8.282323e-01
3110.000000 8.619501e-01
3120.000000 8.623066e-01
3130.000000 8.986783e-01
3140.000000 9.128954e-01
3150.000000 8.872449e-01
3160.000000 9.175410e-01
3170.000000 9.452470e-01
3180.000000 9.205048e-01
3190.000000 9.166637e-01
3200.000000 9.651803e-01
3210.000000 9.657299e-01
3220.000000 9.256454e-01
3230.000000 8.907131e-01
3240.000000 9.223417e-01
3250.000000 9.903726e-01
3260.000000 9.693313e-01
3270.000000 9.914806e-01
3280.000000 1.035557e+00
3290.000000 9.866113e-01
3300.000000 9.988985e-01
3310.000000 9.784130e-01
3320.000000 9.703950e-01
3330.000000 1.006808e+00
3340.000000 1.028531e+00
3350.000000 1.033963e+00
3360.000000 1.083778e+00
3370.000000 1.047351e+00
3380.000000 1.076691e+00
3390.000000 1.125508e+00
3400.000000 1.120606e+00
3410.000000 1.122189e+00
3420.000000 1.108182e+00
3430.000000 1.129051e+00
3440.000000 1.090687e+00
3450.000000 1.112370e+00
3460.000000 1.128635e+00
3470.000000 1.175400e+00
3480.000000 1.264958e+00
3490.000000 1.282323e+00
3500.000000 1.255151e+00
3510.000000 1.323715e+00
3520.000000 1.371988e+00
3530.000000 1.283248e+00
3540.000000 1.235161e+00
3550.000000 1.258839e+00
3560.000000 1.290883e+00
3570.000000 1.257661e+00
3580.000000 1.281953e+00
3590.000000 1.312516e+00
3600.000000 1.185342e+00
3610.000000 1.102445e+00
3620.000000 1.137907e+00
3630.000000 1.114138e+00
3640.000000 1.066824e+00
3650.000000 1.070965e+00
3660.000000 1.178725e+00
3670.000000 1.159249e+00
3680.000000 1.177507e+00
3690.000000 1.281679e+00
3700.000000 1.371496e+00
3710.000000 1.355712e+00
3720.000000 1.417895e+00
