# STATUS =
# OBJECT = 2019gqi
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-07-28 23:40:21.00
# MJD = 58692.98
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 8.560398e-01
3010.000000 1.230076e+00
3020.000000 1.254672e+00
3030.000000 1.290783e+00
3040.000000 1.301604e+00
3050.000000 1.020580e+00
3060.000000 7.658103e-01
3070.000000 6.783014e-01
3080.000000 6.029280e-01
3090.000000 3.096597e-01
3100.000000 2.115639e-01
3110.000000 2.739477e-01
3120.000000 4.156380e-01
3130.000000 6.921445e-01
3140.000000 1.000356e+00
3150.000000 1.034758e+00
3160.000000 8.449210e-01
3170.000000 9.285832e-01
3180.000000 1.054389e+00
3190.000000 9.892171e-01
3200.000000 9.188689e-01
3210.000000 8.313878e-01
3220.000000 7.286192e-01
3230.000000 6.548553e-01
3240.000000 6.704240e-01
3250.000000 8.159056e-01
3260.000000 7.748267e-01
3270.000000 7.899321e-01
3280.000000 8.804588e-01
3290.000000 8.832459e-01
3300.000000 9.071277e-01
3310.000000 8.904040e-01
3320.000000 9.626947e-01
3330.000000 1.035984e+00
3340.000000 1.033762e+00
3350.000000 9.283576e-01
3360.000000 7.411781e-01
3370.000000 7.931410e-01
3380.000000 7.207573e-01
3390.000000 6.663776e-01
3400.000000 7.608498e-01
3410.000000 8.000232e-01
3420.000000 7.996013e-01
3430.000000 8.301357e-01
3440.000000 9.393772e-01
3450.000000 1.065215e+00
3460.000000 1.052596e+00
3470.000000 1.046953e+00
3480.000000 9.167194e-01
3490.000000 8.235802e-01
3500.000000 7.675560e-01
3510.000000 8.050113e-01
3520.000000 9.523303e-01
3530.000000 1.132604e+00
3540.000000 1.200488e+00
3550.000000 1.128410e+00
3560.000000 1.016534e+00
3570.000000 9.117483e-01
3580.000000 8.495770e-01
3590.000000 8.017605e-01
3600.000000 8.414364e-01
3610.000000 8.848162e-01
3620.000000 8.426383e-01
3630.000000 7.919543e-01
3640.000000 8.006417e-01
3650.000000 8.310219e-01
3660.000000 8.914360e-01
3670.000000 9.252314e-01
3680.000000 9.830471e-01
3690.000000 9.725293e-01
3700.000000 1.021857e+00
3710.000000 1.152232e+00
3720.000000 1.194780e+00
3730.000000 1.571786e+00
3740.000000 9.826812e-01
3750.000000 4.426707e-01
3760.000000 2.336030e-01
3770.000000 3.083634e-01
3780.000000 4.560795e-01
3790.000000 7.004429e-01
3800.000000 1.243645e+00
3810.000000 7.607874e-01
3820.000000 7.555360e-01
3830.000000 8.545346e-01
3840.000000 9.280878e-01
3850.000000 8.920662e-01
3860.000000 8.935107e-01
3870.000000 9.865127e-01
3880.000000 1.079136e+00
3890.000000 1.207878e+00
3900.000000 1.224463e+00
3910.000000 1.098491e+00
3920.000000 1.055456e+00
3930.000000 1.028552e+00
3940.000000 1.107980e+00
3950.000000 1.215046e+00
3960.000000 1.467852e+00
3970.000000 1.607608e+00
3980.000000 1.680723e+00
3990.000000 1.936720e+00
4000.000000 1.870099e+00
4010.000000 2.201242e+00
4020.000000 2.703941e+00
4030.000000 2.852941e+00
4040.000000 2.790166e+00
4050.000000 2.541224e+00
4060.000000 2.307832e+00
4070.000000 1.740149e+00
4080.000000 1.764763e+00
4090.000000 1.844726e+00
4100.000000 1.490767e+00
4110.000000 1.658561e+00
4120.000000 1.675372e+00
4130.000000 1.547310e+00
4140.000000 1.420765e+00
4150.000000 1.355447e+00
4160.000000 1.124544e+00
4170.000000 9.640044e-01
4180.000000 1.018957e+00
4190.000000 9.674872e-01
4200.000000 8.794914e-01
4210.000000 8.795607e-01
4220.000000 9.369032e-01
4230.000000 9.150367e-01
4240.000000 9.343846e-01
4250.000000 9.913184e-01
4260.000000 1.060452e+00
4270.000000 1.099633e+00
4280.000000 1.086284e+00
4290.000000 1.086515e+00
4300.000000 9.910681e-01
4310.000000 9.712095e-01
4320.000000 1.007063e+00
4330.000000 1.045089e+00
4340.000000 1.090460e+00
4350.000000 1.186925e+00
4360.000000 1.264475e+00
4370.000000 1.314413e+00
4380.000000 1.337943e+00
4390.000000 1.346550e+00
