 texplosion  fnickel     Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel           TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -0.61618  0.10088   8.40939     15.00214  1.01331  1.18789   1.4891  0.18703     0.23255  11424.09865   6141.77936  4.70491         4380.75192     16.78125    3e-05  58659.59043   1.1593  0.15022   65887.02436  45.60626  16.50868  58671.81054    49.59504        43.1244   10.05405  19.35499   17.5    1.18928  -19.21917  0.90823 
   -0.76217  0.08504  10.07093     14.97845  1.02128  1.55822  1.84336  0.08704     0.06617    7506.5393   6345.65995  4.75993         4641.76218     17.56958  0.00021  58659.44443  0.61961  0.15676  106218.71455  45.24565  16.50065  58671.81054    49.57336       43.10314   10.05405  19.35499   17.0    1.09809  -19.26732  0.85961 
   -0.68493  0.11682   9.53624     14.98374   1.0771  1.49284   1.1546  0.24134     0.35902  11500.27848   6189.91725  4.95728         4354.98738     17.53569  0.00019  58659.52167  0.91091  0.13488   98029.14557  45.35099  16.50193  58671.81054     49.6028       43.13714   10.05405  19.19169   17.0    1.25019  -19.28468  0.89676 
   -0.63336   0.1704   8.38595      14.9866  1.01151   1.3758  0.93072  0.30081      0.3634  11741.54124   5985.44638   4.5025         4370.86725     17.09238    7e-05  58659.57325  0.76541   0.1586   70256.43244  45.58002  16.50068  58671.81054    49.59199       43.11823   10.05405  19.35499   17.0    1.20204  -19.20451  0.90528 
    -0.5419  0.06556   7.19968     14.99876  1.01354  1.49637  2.39804  0.10046     0.12656  10513.76624   6396.13958  3.31459         4573.78005     18.56508  0.00204  58659.66471  1.58125  0.15722   49064.18464  45.86929   16.5028  58671.81054    49.58526       43.12271   10.05405  19.19169   17.5    1.18345  -19.21967  0.93951 
   -0.65205  0.07416   7.91169      14.9695  1.01909  1.37353  2.03089  0.11736     0.14641   9894.70032   6634.10889  3.87264         4532.00324     19.99207  0.05455  58659.55456  1.18609  0.15062    68166.4468  45.64695  16.50492  58671.81054     49.5846       43.11585   10.05405  19.19169   17.5    1.16501  -19.24926  0.92025 
   -0.66081    0.063   8.66655     15.00211  1.06454  1.38943   2.2463  0.12413     0.13954  10844.04973   6368.04942  4.52348         4504.94827     16.02293    1e-05   58659.5458  1.57571  0.14152   73526.41471  45.55387   16.4912  58671.81054    49.58738       43.13122   10.05405  18.20594   17.5      1.186  -19.29311  0.91373 
   -0.67453  0.07186   8.86071     14.97778  1.02483  1.53934  2.11879  0.10332     0.10242   9192.34209   6295.59102  4.31286         4576.36296     16.80139    4e-05  58659.53208  1.06799  0.15226   82763.53421  45.46672   16.4975  58671.81054    49.58383       43.12655   10.05405  18.20594   17.5    1.12209  -19.27906  0.89704 
   -0.63534   0.1667   8.57959     14.96223  1.00528  1.55249  0.87961  0.29681     0.39097  10920.63011   6259.61254  4.75094         4353.49505     17.06482    6e-05  58659.57127  0.62577  0.14663   81767.14099  45.49162  16.51006  58671.81054     49.5903       43.12467   10.05405  19.19412   17.0    1.17715   -19.2027   0.9042 
    -0.5675   0.0981   7.88356     14.97883  1.00045  1.38046  1.62035  0.18264     0.22262  11787.51425   6094.22694   4.5842         4424.63208      19.6251  0.02343  58659.63911  1.34301  0.15896   63650.80665  45.67179   16.5038  58671.81054    49.58837       43.12226   10.05405  19.35499   18.0    1.11102  -19.23274  0.91694 
