       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 58659.581     99.0   -4.906  -13.045   3608.04     3631.0       u 
 58660.207  -16.577  -16.676  -16.809   3608.04     3631.0       u 
 58660.832  -17.286  -17.396  -17.538   3608.04     3631.0       u 
 58662.084  -17.817  -17.922  -18.073   3608.04     3631.0       u 
 58663.336  -18.045  -18.138  -18.295   3608.04     3631.0       u 
 58664.587  -18.161  -18.244  -18.408   3608.04     3631.0       u 
 58665.839  -18.221  -18.298  -18.466   3608.04     3631.0       u 
  58667.09  -18.234  -18.313  -18.478   3608.04     3631.0       u 
 58668.342  -18.227  -18.304  -18.464   3608.04     3631.0       u 
 58669.593  -18.197  -18.271  -18.423   3608.04     3631.0       u 
 58670.845  -18.133  -18.209  -18.364   3608.04     3631.0       u 
 58672.096  -18.063  -18.142  -18.291   3608.04     3631.0       u 
 58673.348   -17.96  -18.042  -18.197   3608.04     3631.0       u 
   58674.6  -17.858   -17.94  -18.091   3608.04     3631.0       u 
 58675.851  -17.728  -17.814  -17.964   3608.04     3631.0       u 
 58677.103  -17.582  -17.669  -17.819   3608.04     3631.0       u 
 58678.354  -17.428  -17.515  -17.671   3608.04     3631.0       u 
 58679.606  -17.248  -17.341  -17.504   3608.04     3631.0       u 
 58680.857  -17.052  -17.152  -17.314   3608.04     3631.0       u 
 58682.109  -16.858  -16.959  -17.121   3608.04     3631.0       u 
 58683.361  -16.649   -16.75  -16.913   3608.04     3631.0       u 
 58684.612  -16.424  -16.529  -16.695   3608.04     3631.0       u 
 58685.864  -16.196  -16.316  -16.477   3608.04     3631.0       u 
 58687.115  -16.034  -16.158  -16.305   3608.04     3631.0       u 
 58688.367   -15.92  -16.038  -16.159   3608.04     3631.0       u 
 58689.618  -15.825  -15.938  -16.056   3608.04     3631.0       u 
  58690.87  -15.733  -15.839  -15.961   3608.04     3631.0       u 
 58692.122  -15.645  -15.747   -15.87   3608.04     3631.0       u 
 58693.373  -15.562   -15.66  -15.784   3608.04     3631.0       u 
 58694.625  -15.482   -15.58  -15.704   3608.04     3631.0       u 
 58695.876  -15.406  -15.505  -15.626   3608.04     3631.0       u 
 58697.128  -15.335  -15.432  -15.554   3608.04     3631.0       u 
 58698.379   -15.27  -15.367  -15.487   3608.04     3631.0       u 
 58699.631  -15.209  -15.305  -15.425   3608.04     3631.0       u 
 58700.882  -15.153  -15.251  -15.369   3608.04     3631.0       u 
 58702.134  -15.102  -15.202  -15.318   3608.04     3631.0       u 
 58703.386  -15.054  -15.156  -15.272   3608.04     3631.0       u 
 58704.637  -15.011  -15.115   -15.23   3608.04     3631.0       u 
 58705.889  -14.971  -15.077  -15.191   3608.04     3631.0       u 
  58707.14  -14.934  -15.042  -15.155   3608.04     3631.0       u 
 58708.392    -14.9  -15.009  -15.121   3608.04     3631.0       u 
 58709.643  -14.866  -14.978   -15.09   3608.04     3631.0       u 
 58710.895  -14.835  -14.948   -15.06   3608.04     3631.0       u 
 58712.147  -14.806  -14.918  -15.032   3608.04     3631.0       u 
 58713.398  -14.779   -14.89  -15.004   3608.04     3631.0       u 
  58714.65  -14.752  -14.863  -14.978   3608.04     3631.0       u 
 58715.901  -14.726  -14.837  -14.952   3608.04     3631.0       u 
 58717.153    -14.7   -14.81  -14.927   3608.04     3631.0       u 
 58718.404  -14.676  -14.784  -14.903   3608.04     3631.0       u 
 58719.656  -14.651   -14.76  -14.879   3608.04     3631.0       u 
 58720.907  -14.627  -14.736  -14.855   3608.04     3631.0       u 
 58722.159  -14.603  -14.712  -14.832   3608.04     3631.0       u 
 58723.411   -14.58  -14.688  -14.809   3608.04     3631.0       u 
 58724.662  -14.556  -14.665  -14.786   3608.04     3631.0       u 
 58725.914  -14.532   -14.64  -14.763   3608.04     3631.0       u 
 58727.165  -14.508  -14.617   -14.74   3608.04     3631.0       u 
 58728.417  -14.486  -14.594  -14.717   3608.04     3631.0       u 
 58729.668   -14.46  -14.569  -14.694   3608.04     3631.0       u 
  58730.92  -14.435  -14.543  -14.671   3608.04     3631.0       u 
 58732.172  -14.411  -14.517  -14.648   3608.04     3631.0       u 
 58733.423  -14.387  -14.493  -14.625   3608.04     3631.0       u 
 58734.675  -14.363  -14.471  -14.601   3608.04     3631.0       u 
 58735.926   -14.34  -14.447  -14.577   3608.04     3631.0       u 
 58737.178  -14.316  -14.424  -14.553   3608.04     3631.0       u 
 58738.429  -14.292  -14.402  -14.528   3608.04     3631.0       u 
 58739.681  -14.267   -14.38  -14.503   3608.04     3631.0       u 
 58740.933  -14.243  -14.357  -14.478   3608.04     3631.0       u 
 58742.184  -14.218  -14.333  -14.452   3608.04     3631.0       u 
 58743.436  -14.193  -14.309  -14.429   3608.04     3631.0       u 
 58744.687  -14.169  -14.286  -14.405   3608.04     3631.0       u 
 58745.939  -14.144  -14.261  -14.381   3608.04     3631.0       u 
  58747.19  -14.119  -14.235  -14.356   3608.04     3631.0       u 
 58748.442  -14.094  -14.209  -14.332   3608.04     3631.0       u 
 58749.693  -14.069  -14.183  -14.306   3608.04     3631.0       u 
 58750.945  -14.045  -14.156   -14.28   3608.04     3631.0       u 
 58752.197  -14.019  -14.129  -14.253   3608.04     3631.0       u 
 58753.448  -13.994  -14.103  -14.227   3608.04     3631.0       u 
   58754.7  -13.969  -14.078  -14.203   3608.04     3631.0       u 
 58755.951  -13.943  -14.052  -14.179   3608.04     3631.0       u 
 58757.203  -13.918  -14.025  -14.154   3608.04     3631.0       u 
 58758.454  -13.894  -14.001   -14.13   3608.04     3631.0       u 
