# STATUS =
# OBJECT = 2019ieh
# TELESCOPE = P60
# INSTRUMENT = SEDM
# DATE-OBS = 2019-07-26 07:55:58.00
# MJD = 58690.33053239994
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3776.7
# MAX_WAVE = 9223.3
# COMMENT = [TNS source group:  48 - ZTF ]
 Wavelength       Flux      Error 
     3802.3  1.351e-15  4.193e-31 
     3827.9  1.655e-15  3.522e-31 
     3853.4   1.86e-15  3.006e-31 
     3879.0  2.405e-15   2.59e-31 
     3904.6   2.08e-15  2.243e-31 
     3930.1   1.68e-15  1.949e-31 
     3955.7  1.903e-15  1.696e-31 
     3981.3  1.532e-15  1.479e-31 
     4006.8  1.558e-15  1.292e-31 
     4032.4  1.731e-15  1.132e-31 
     4058.0  1.296e-15   9.95e-32 
     4083.6  1.273e-15  8.781e-32 
     4109.1  1.442e-15  7.787e-32 
     4134.7  1.747e-15  6.941e-32 
     4160.3  1.816e-15  6.221e-32 
     4185.8   1.77e-15  5.607e-32 
     4211.4  1.703e-15  5.083e-32 
     4237.0  1.537e-15  4.635e-32 
     4262.6  1.772e-15   4.25e-32 
     4288.1  1.496e-15  3.918e-32 
     4313.7  1.572e-15   3.63e-32 
     4339.3  1.422e-15   3.38e-32 
     4364.8  1.406e-15   3.16e-32 
     4390.4  1.172e-15  2.965e-32 
     4416.0  1.188e-15  2.792e-32 
     4441.6  1.397e-15  2.637e-32 
     4467.1  1.441e-15  2.496e-32 
     4492.7  1.493e-15  2.368e-32 
     4518.3  1.825e-15   2.25e-32 
     4543.8  1.771e-15   2.14e-32 
     4569.4  2.035e-15  2.036e-32 
     4595.0  2.125e-15  1.939e-32 
     4620.5  2.202e-15  1.846e-32 
     4646.1  2.155e-15  1.758e-32 
     4671.7   1.77e-15  1.673e-32 
     4697.3  1.841e-15  1.592e-32 
     4722.8  1.577e-15  1.514e-32 
     4748.4  1.469e-15  1.439e-32 
     4774.0  1.499e-15  1.366e-32 
     4799.5  1.441e-15  1.297e-32 
     4825.1  1.473e-15  1.231e-32 
     4850.7  1.367e-15  1.168e-32 
     4876.3  1.477e-15  1.108e-32 
     4901.8  1.594e-15  1.051e-32 
