# STATUS =
# OBJECT = 2019itq
# TELESCOPE = Baade
# INSTRUMENT = IMACS
# DATE-OBS = 2019-07-30
# MJD = 58694.34
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.382785e+00
3010.000000 1.403572e+00
3020.000000 1.322005e+00
3030.000000 1.364999e+00
3040.000000 1.387875e+00
3050.000000 1.370098e+00
3060.000000 1.478385e+00
3070.000000 1.349800e+00
3080.000000 1.375019e+00
3090.000000 1.415841e+00
3100.000000 1.382336e+00
3110.000000 1.304847e+00
3120.000000 1.310117e+00
3130.000000 1.366983e+00
3140.000000 1.368019e+00
3150.000000 1.386004e+00
3160.000000 1.334452e+00
3170.000000 1.370859e+00
3180.000000 1.321904e+00
3190.000000 1.321869e+00
3200.000000 1.385088e+00
3210.000000 1.354930e+00
3220.000000 1.341077e+00
3230.000000 1.298807e+00
3240.000000 1.354010e+00
3250.000000 1.381823e+00
3260.000000 1.303776e+00
3270.000000 1.281244e+00
3280.000000 1.372670e+00
3290.000000 1.371339e+00
3300.000000 1.376992e+00
3310.000000 1.441440e+00
3320.000000 1.318900e+00
3330.000000 1.452808e+00
3340.000000 1.500341e+00
3350.000000 1.446546e+00
3360.000000 1.409108e+00
3370.000000 1.377538e+00
3380.000000 1.428216e+00
3390.000000 1.361924e+00
3400.000000 1.410954e+00
3410.000000 2.260864e+00
3420.000000 9.895464e-01
3430.000000 1.408876e+00
3440.000000 1.440818e+00
3450.000000 1.448552e+00
3460.000000 1.411009e+00
3470.000000 1.429046e+00
3480.000000 1.452415e+00
3490.000000 1.386449e+00
3500.000000 1.456209e+00
3510.000000 1.352077e+00
3520.000000 1.469314e+00
3530.000000 1.498057e+00
3540.000000 1.477239e+00
3550.000000 1.468704e+00
3560.000000 1.512811e+00
3570.000000 1.527686e+00
3580.000000 1.492683e+00
3590.000000 1.457119e+00
3600.000000 1.477745e+00
3610.000000 1.426352e+00
3620.000000 1.433015e+00
3630.000000 1.408000e+00
3640.000000 1.390890e+00
3650.000000 1.369346e+00
3660.000000 1.328991e+00
3670.000000 1.370702e+00
3680.000000 1.359560e+00
3690.000000 1.319877e+00
3700.000000 1.370287e+00
3710.000000 1.389826e+00
3720.000000 1.355183e+00
3730.000000 1.376046e+00
3740.000000 1.374839e+00
3750.000000 1.400177e+00
3760.000000 1.322032e+00
3770.000000 1.385672e+00
3780.000000 1.297145e+00
3790.000000 1.312287e+00
3800.000000 1.331947e+00
3810.000000 1.263963e+00
3820.000000 1.241315e+00
3830.000000 1.304477e+00
3840.000000 1.245956e+00
3850.000000 1.257032e+00
3860.000000 1.299520e+00
3870.000000 1.286091e+00
3880.000000 1.295938e+00
3890.000000 1.317417e+00
3900.000000 1.301652e+00
3910.000000 1.279398e+00
3920.000000 1.350369e+00
3930.000000 1.364294e+00
3940.000000 1.343258e+00
3950.000000 1.270855e+00
3960.000000 1.304572e+00
3970.000000 1.339464e+00
3980.000000 1.275421e+00
3990.000000 1.308386e+00
4000.000000 1.171609e+00
4010.000000 1.272604e+00
4020.000000 1.293949e+00
4030.000000 1.307590e+00
4040.000000 1.308182e+00
4050.000000 1.402725e+00
4060.000000 1.274954e+00
4070.000000 1.273731e+00
4080.000000 1.324969e+00
4090.000000 1.345870e+00
4100.000000 1.311797e+00
4110.000000 1.267111e+00
4120.000000 1.237095e+00
4130.000000 1.310295e+00
4140.000000 1.315409e+00
4150.000000 1.244392e+00
4160.000000 1.319811e+00
4170.000000 1.205055e+00
4180.000000 1.206569e+00
4190.000000 1.258757e+00
4200.000000 1.269154e+00
4210.000000 1.213985e+00
4220.000000 1.154174e+00
4230.000000 1.245341e+00
4240.000000 1.235284e+00
4250.000000 1.216702e+00
4260.000000 1.160386e+00
4270.000000 1.250252e+00
4280.000000 1.138432e+00
