       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 58615.477    99.0    99.0    99.0  2083.95     3631.0    UVW2 
 58615.477    99.0    99.0    99.0  2245.03     3631.0    UVM2 
 58615.477    99.0    99.0    99.0  2681.67     3631.0    UVW1 
 58615.477    99.0    99.0    99.0  3520.88     3631.0       U 
 58615.477    99.0    99.0    99.0  4345.28     3631.0       B 
 58615.477    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58615.477    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58615.477    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58615.477    99.0    99.0    99.0   5980.7     3631.0       w 
 58615.477    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58615.477    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58615.477    99.0    99.0    99.0  6629.82     3631.0  orange 
 58615.477    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58615.477    99.0    99.0    99.0  7829.03     3631.0   i-P48 
  58616.23    99.0    99.0    99.0  2083.95     3631.0    UVW2 
  58616.23    99.0    99.0    99.0  2245.03     3631.0    UVM2 
  58616.23    99.0    99.0    99.0  2681.67     3631.0    UVW1 
  58616.23    99.0    99.0    99.0  3520.88     3631.0       U 
  58616.23    99.0    99.0    99.0  4345.28     3631.0       B 
  58616.23    99.0    99.0    99.0  4746.48     3631.0   g-P48 
  58616.23    99.0    99.0    99.0  4793.46     3631.0    g-LT 
  58616.23    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58616.23    99.0    99.0    99.0   5980.7     3631.0       w 
  58616.23    99.0    99.0    99.0  6120.65     3631.0    r-LT 
  58616.23    99.0    99.0    99.0  6366.38     3631.0   r-P48 
  58616.23    99.0    99.0    99.0  6629.82     3631.0  orange 
  58616.23    99.0    99.0    99.0  7589.41     3631.0    i-LT 
  58616.23    99.0    99.0    99.0  7829.03     3631.0   i-P48 
   58616.3    99.0    99.0    99.0  2083.95     3631.0    UVW2 
   58616.3    99.0    99.0    99.0  2245.03     3631.0    UVM2 
   58616.3    99.0    99.0    99.0  2681.67     3631.0    UVW1 
   58616.3    99.0    99.0    99.0  3520.88     3631.0       U 
   58616.3    99.0    99.0    99.0  4345.28     3631.0       B 
   58616.3    99.0    99.0    99.0  4746.48     3631.0   g-P48 
   58616.3    99.0    99.0    99.0  4793.46     3631.0    g-LT 
   58616.3    99.0    99.0    99.0  5182.42     3631.0    cyan 
   58616.3    99.0    99.0    99.0   5980.7     3631.0       w 
   58616.3    99.0    99.0    99.0  6120.65     3631.0    r-LT 
   58616.3    99.0    99.0    99.0  6366.38     3631.0   r-P48 
   58616.3    99.0    99.0    99.0  6629.82     3631.0  orange 
   58616.3    99.0    99.0    99.0  7589.41     3631.0    i-LT 
   58616.3    99.0    99.0    99.0  7829.03     3631.0   i-P48 
  58616.33    99.0    99.0    99.0  2083.95     3631.0    UVW2 
  58616.33    99.0    99.0    99.0  2245.03     3631.0    UVM2 
  58616.33    99.0    99.0    99.0  2681.67     3631.0    UVW1 
  58616.33    99.0    99.0    99.0  3520.88     3631.0       U 
  58616.33    99.0    99.0    99.0  4345.28     3631.0       B 
  58616.33    99.0    99.0    99.0  4746.48     3631.0   g-P48 
  58616.33    99.0    99.0    99.0  4793.46     3631.0    g-LT 
  58616.33    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58616.33    99.0    99.0    99.0   5980.7     3631.0       w 
  58616.33    99.0    99.0    99.0  6120.65     3631.0    r-LT 
  58616.33    99.0    99.0    99.0  6366.38     3631.0   r-P48 
  58616.33    99.0    99.0    99.0  6629.82     3631.0  orange 
  58616.33    99.0    99.0    99.0  7589.41     3631.0    i-LT 
  58616.33    99.0    99.0    99.0  7829.03     3631.0   i-P48 
 58616.478    99.0    99.0    99.0  2083.95     3631.0    UVW2 
 58616.478    99.0    99.0    99.0  2245.03     3631.0    UVM2 
 58616.478    99.0    99.0    99.0  2681.67     3631.0    UVW1 
 58616.478    99.0    99.0    99.0  3520.88     3631.0       U 
 58616.478    99.0    99.0    99.0  4345.28     3631.0       B 
 58616.478    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58616.478    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58616.478    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58616.478    99.0    99.0    99.0   5980.7     3631.0       w 
 58616.478    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58616.478    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58616.478    99.0    99.0    99.0  6629.82     3631.0  orange 
 58616.478    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58616.478    99.0    99.0    99.0  7829.03     3631.0   i-P48 
 58619.315    99.0    99.0    99.0  2083.95     3631.0    UVW2 
 58619.315    99.0    99.0    99.0  2245.03     3631.0    UVM2 
 58619.315    99.0    99.0    99.0  2681.67     3631.0    UVW1 
 58619.315    99.0    99.0    99.0  3520.88     3631.0       U 
 58619.315    99.0    99.0    99.0  4345.28     3631.0       B 
 58619.315    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58619.315    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58619.315    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58619.315    99.0    99.0    99.0   5980.7     3631.0       w 
 58619.315    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58619.315    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58619.315    99.0    99.0    99.0  6629.82     3631.0  orange 
 58619.315    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58619.315    99.0    99.0    99.0  7829.03     3631.0   i-P48 
 58622.152    99.0    99.0    99.0  2083.95     3631.0    UVW2 
 58622.152    99.0    99.0    99.0  2245.03     3631.0    UVM2 
 58622.152    99.0    99.0    99.0  2681.67     3631.0    UVW1 
 58622.152    99.0    99.0    99.0  3520.88     3631.0       U 
 58622.152    99.0    99.0    99.0  4345.28     3631.0       B 
 58622.152    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58622.152    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58622.152    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58622.152    99.0    99.0    99.0   5980.7     3631.0       w 
 58622.152    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58622.152    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58622.152    99.0    99.0    99.0  6629.82     3631.0  orange 
 58622.152    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58622.152    99.0    99.0    99.0  7829.03     3631.0   i-P48 
 58624.989    99.0    99.0    99.0  2083.95     3631.0    UVW2 
 58624.989    99.0    99.0    99.0  2245.03     3631.0    UVM2 
 58624.989    99.0    99.0    99.0  2681.67     3631.0    UVW1 
 58624.989    99.0    99.0    99.0  3520.88     3631.0       U 
 58624.989    99.0    99.0    99.0  4345.28     3631.0       B 
 58624.989    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58624.989    99.0    99.0    99.0  4793.46     3631.0    g-LT 
 58624.989    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58624.989    99.0    99.0    99.0   5980.7     3631.0       w 
 58624.989    99.0    99.0    99.0  6120.65     3631.0    r-LT 
 58624.989    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58624.989    99.0    99.0    99.0  6629.82     3631.0  orange 
 58624.989    99.0    99.0    99.0  7589.41     3631.0    i-LT 
 58624.989    99.0    99.0    99.0  7829.03     3631.0   i-P48 
  58627.42    99.0  30.007  25.957  4345.28     3631.0       B 
  58627.42    99.0  30.045  25.982  4793.46     3631.0    g-LT 
  58627.42    99.0  30.065  26.003  4746.48     3631.0   g-P48 
  58627.42    99.0  30.151  26.086  5182.42     3631.0    cyan 
  58627.42    99.0  30.179  25.952  3520.88     3631.0       U 
  58627.42    99.0  30.282  26.213   5980.7     3631.0       w 
  58627.42    99.0  30.356   26.29  6120.65     3631.0    r-LT 
  58627.42    99.0   30.39  26.324  6366.38     3631.0   r-P48 
