 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy   mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -33.33322  0.35661  3.49995     14.01448  1.79736  1.04737   27.7284  0.02144     0.25821  5841.06617   9295.98015  2.86062         3022.71344     17.86179   0.0004   58493.1824   5.64334   9.88815  1912545.01712  45.15375  19.70993  58554.64472    51.44963       44.52966   33.47034  59.76847   93.5     0.1133    -21.684  0.61887 
  -18.73133  0.26031  0.73072     14.67213  1.60948  0.52658  54.99498  0.02063     0.03965  8073.42217   9423.39704  2.84819         2984.97888     18.95103  0.00496  58507.78429  21.38285  14.31555     3611.92877  49.19029  19.73822    58554.767    51.54189       44.65984   21.51665  57.37773   82.0     0.0977  -21.86228  0.98547 
  -31.35093  0.23779  0.92878     14.27032  1.55796  0.88591  48.53876  0.03237     0.04641  6842.52395   9358.70843  2.55429         2987.44324     19.11833   0.0073   58495.1647  13.55653  11.54199    35937.76176  47.97002  19.78137  58557.39453     51.4241        44.4958   23.90739  64.54995   85.0    0.07103  -21.51272  0.95313 
  -18.91621  0.28356  1.06878     14.54325  1.68327  0.90787  52.80704  0.01866     0.03131  7238.82737   9375.11783  4.22409         2925.90792     18.67454  0.00263  58507.59941  16.50652  14.97382    14629.70624  48.27199  19.76917    58554.767    51.43395       44.51371   26.92822  63.91986  100.0    0.09348  -21.70209  0.95537 
  -37.47885  0.43418  3.73556     14.01084  1.80699  0.99983  24.59689  0.02552     0.02681  5692.12215   8358.12691  4.09333         2703.35327     16.09483    1e-05  58489.03677   4.75396  10.67944  2227451.76728  45.03328  19.72365    58554.767    51.43566       44.50841   26.29813  64.54995  107.5    0.10008  -21.59234  0.56969 
  -14.32021  0.27801    0.909     14.40957  1.61756  1.25584  46.57138  0.02117     0.01675  6821.03036   9443.70058   3.7195         3211.94022     18.29663   0.0011  58512.19541  12.92547  12.94725    18821.63914  48.28592  19.79152    58554.767    51.51129        44.5914   25.91122  60.95585   89.5    0.12416   -21.7695  0.97286 
  -21.08835  0.28671  0.98824     14.37794  1.67379  1.25292  45.19949  0.03285     0.16629  8886.50823   9116.53699  4.81976         2816.76713     18.05541  0.00063  58505.42728  21.29232    12.959    26629.78878  48.07745  19.72677    58554.767    51.42031       44.48032   25.98766  64.86042   82.5    0.10512  -21.78627  0.96106 
  -36.34752  0.49192  2.48665     14.33098  1.35013  0.24595  18.16195  0.04322     0.26827  6334.57338   9441.35591   2.4031          2926.9076     19.84431  0.03882  58490.16811   4.34735   8.93419   168834.61394  46.38053  19.77927    58554.767     51.6894       44.85919   25.03379  50.16172   85.5    0.10198  -21.71885  0.69874 
   -33.3537   0.3507  2.93208     14.26723  1.44376  0.35041  23.78773  0.03161     0.34981  6142.03954   9580.87179     3.56         2884.94644     19.15115  0.00787  58493.16193    5.3531    8.3424    336671.0222  45.96678  19.75363  58557.39453    51.43699       44.49781   38.25182  62.15921   83.0    0.11338  -21.66197  0.66377 
  -13.68681   0.3759  1.34767     14.58784   1.6017  0.69859  34.21653  0.02141     0.01542   6779.3877   9528.10538  3.58944         3280.85242     16.46512    2e-05  58512.82882   9.38089  12.86194    18025.09697  47.95838  19.75887   58551.2048    51.40998       44.49795   36.49118  63.91986   90.0    0.13821  -21.77772  0.91088 
  -20.85619  0.30401  0.85281     14.63767  1.78651  0.61966  39.54727  0.03168     0.03204  7399.85177    9779.2992  4.16345         2949.64457     19.14377  0.00774  58505.65943  12.91784  12.02269     6400.06129  48.85297   19.7157  58554.64472    51.43465       44.54915   31.07961  55.91291   78.5    0.10205  -21.75908  0.98135 
   -37.3504  0.44331  3.25549     14.12213  1.61052    0.619  24.20543  0.03112     0.05933  6063.37595   9877.07575  3.56427         2967.81928     19.26482  0.01022  58489.16522   5.30846  10.73051   903142.10323  45.49482  19.69583  58557.39453    51.39404        44.4712   23.90739  64.54995   87.5    0.10065  -21.69933  0.59466 
  -19.39923  0.23698  0.74837     14.60189  1.57223  0.66857  63.03392  0.01823     0.03289  8514.93917   8740.90452  3.52495         2843.26776     18.47319  0.00165   58507.1164  27.26243  14.93752     5114.37065  49.00834  19.78619  58554.64472    51.48767       44.55656   23.91353  64.54381   97.5      0.094  -21.76222   0.9847 
   -31.7435  0.38184  4.36895     13.99666  1.91649  1.18674  26.30004  0.01755     0.09475  5679.20486   9349.54635  3.35279         3044.81852     16.65979    3e-05  58494.77213   5.06009  10.04228  3449435.92181  44.73285  19.73537    58554.767    51.37286       44.48856   26.29813  64.54995  103.0    0.11608  -21.63732  0.52727 
  -21.30154  0.20831  0.80813     14.73915  1.87233  0.48954  59.72424  0.02456     0.06828  8033.28234   9567.96397  3.47947         2807.28196     18.59901  0.00221  58505.21408  22.99132  12.44127     3774.45836  49.14941  19.74365    58554.767    51.44117       44.51252   22.19655  63.87005   76.0    0.11317  -21.77766  0.98481 
  -20.10111  0.35827  1.01501     14.43138  1.52072  0.83026  36.85397  0.03462     0.16662   8061.5879   9438.99044  4.33998          2862.8462     18.44853  0.00156  58506.41451  14.28738  13.20381    19954.34987  48.13792  19.75337    58554.767    51.48661       44.59609   19.12591  57.37773   85.0    0.11209   -21.7319  0.94736 
  -17.30635  0.27697  0.70273     14.42905  1.61416  1.05706  46.90597  0.02772     0.16998  8631.88655   9204.58113  4.57679         2726.76955      18.1761  0.00083  58509.20928  20.84811  12.99158    10261.87416  48.77199   19.7547  58554.64472    51.41833       44.49441   25.91122  64.93686   82.0    0.12183  -21.82009  0.98838 
  -28.92283  0.46887  1.30983     14.48376  1.39172  0.36034  27.18261  0.04296     0.07123  6663.63673   8894.96333  2.94075          2981.9377     20.11687  0.07271  58497.59279   7.20014  12.74511    23893.52375  47.79969  19.75421    58554.767    51.43175       44.49465   23.90739  66.94069   91.5    0.09277  -21.73637   0.8658 
  -28.17926  0.46599  3.93756     14.53288  1.80585  0.32063  22.89017  0.03092     0.21996  6768.65541   9246.58589  4.44079         2899.27362     18.56614  0.00205  58498.33636   6.25577  10.66663   223452.77879  45.98589  19.74202    58554.767    51.39752       44.50445   26.29813  62.15921   88.0    0.12446  -21.74964  0.54558 
  -15.20209  0.27834  0.83711     14.34844  1.48183  1.28762  47.51611  0.02486     0.06473  8123.02893   9308.43152  4.70374         2901.76088     18.70299   0.0028  58511.31353  18.70269  13.22578    19377.37482  48.30678  19.74101    58554.767    51.41945       44.49213   35.86108  62.15921   84.0    0.11085  -21.86157  0.97386 
  -29.77609  0.34972  3.13647     13.87066  1.55978  1.04572  19.19504  0.02216     0.26058   5046.2516    9603.7033  3.29961         3185.71171     19.58463  0.02135  58496.73954   2.91577   6.71294  2584938.04068  45.05658   19.7373  58557.39453    51.39611        44.4736   26.29813  64.54995   87.5    0.14198  -21.71816  0.70544 
  -33.38863  0.34592  3.23346     14.01391  1.64886  0.71003  19.13037  0.03184     0.47982  6117.78364   9394.47065    4.232         2801.46881     18.70196   0.0028    58493.127   4.27109   6.61756   1501444.1791  45.29019  19.74074  58554.64472    51.40215       44.46503   26.29813  66.94069   84.5    0.12605   -21.6858  0.71273 
  -34.72945  0.39329  3.52259     14.27619  1.73934  0.35393  20.36047  0.03026     0.15526  6227.18286   9140.29426  4.18121         2841.32055     19.02647   0.0059  58491.78618   4.70975   8.00757   561741.52907  45.66597  19.75514  58558.45312    51.40037       44.47797   23.90739  64.54995   94.5    0.10945  -21.71489  0.64957 
  -34.03339  0.40483  3.66693     14.30328  1.81629  0.44365  23.53418  0.02886     0.03294  6087.39246     9805.117  2.84765         2959.45312     18.16453  0.00081  58492.48224   5.20222   9.52744   561112.31259  45.65037  19.73563  58557.39453    51.39267       44.50719   23.90739  62.15921   88.0    0.10397   -21.6472  0.60833 
  -20.78408  0.42944  1.40341     14.67317  1.67624  0.47483  29.21472   0.0353     0.07894  7172.87961   9143.81259  3.72383         2950.20961     18.63119  0.00238  58505.73154   8.96636  12.54603    13809.63347  48.05863  19.73984  58557.39453     51.4474       44.51984   25.98766  62.46968   90.0    0.09504  -21.70226  0.89761 
  -21.50798    0.404  1.72435     14.26345  1.59111  1.15317  28.94282  0.02785     0.03573  5778.87184   9983.17147  2.93472         3341.88036     18.38049  0.00133  58505.00765   5.76573  11.69295   130577.41314  46.88143  19.72275  58554.64472    51.43353       44.47082   23.59692   72.5538   84.5    0.12122  -21.70846   0.8336 
  -26.24288  0.27899  1.15228     14.76357  1.74391  0.35962  42.89252  0.03265     0.32376  7381.02054    9574.4059  3.85356         2953.68628     16.14432    1e-05  58500.27275  13.93932   11.9665     6387.19503  48.58195  19.68659    58554.767    51.37868       44.45523   23.90739  64.54995   81.0    0.09169  -21.71608  0.93979 
    -36.937  0.37949  1.29433     14.12049  1.67788  1.27062  39.52081  0.03497      0.1575  6447.84524   8383.49897  3.51632         2716.17748     20.48254  0.16876  58489.57862   9.80127  14.99783   149858.57988  47.09383  19.70402  58557.39453    51.35817       44.43521   23.90739  65.12576  102.0    0.06916  -21.65533  0.88185 
  -46.51316   0.3274  2.87615     13.91198  1.75626  0.72882  15.76037  0.04926     0.34119  6416.51354   9019.68608  4.04364         2453.57836     19.02707  0.00591  58480.00247   3.87072   5.15991  2023355.68625  45.28974  19.71482    58554.767    51.40627       44.47321   25.98766  64.86042   90.0    0.09951  -21.68855  0.81417 
  -21.53088  0.45882  1.70667     14.55732  1.74812   0.6309  27.96476  0.03676     0.05878  7238.08227   8990.77924  3.95203         2936.71592     17.61287  0.00023  58504.98475   8.73948  12.83079    36311.63546  47.48707  19.76893  58558.45312    51.39591       44.46501   23.90739   67.5165   91.0    0.11606  -21.73136  0.84804 
  -14.45459  0.39268   1.0835     14.40699  1.78077  1.44613  39.08008  0.02441     0.19333  8179.46579    8335.2945  3.67087         2685.00405     20.13522  0.07585  58512.06104  15.59669  15.34609    29792.23868  47.97569  19.78483    58554.767    51.48287       44.57518   28.68887  59.76847  103.5    0.12264   -21.7945   0.9484 
  -13.02966  0.45738  0.92191     14.66265   1.5355  0.48828  26.06554  0.03352     0.02133   6761.7571   9406.42605  3.24709         3229.29445     19.37313  0.01312  58513.48597   7.10907  11.92193     5729.81781  48.76758  19.72437   58551.2048    51.42233       44.49392   35.55062  60.07894   86.0    0.12034  -21.70846  0.96804 
