# STATUS =
# OBJECT = 2019kws
# TELESCOPE = P200
# INSTRUMENT = SEDM
# DATE-OBS = 2019-04-27 00:00:00.000
# MJD = 58600.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 7.733417e-01
3010.000000 1.530938e+00
3020.000000 5.643239e-01
3030.000000 5.773523e-01
3040.000000 2.188132e-01
3050.000000 7.654708e-01
3060.000000 8.483319e-01
3070.000000 9.431818e-01
3080.000000 8.589478e-01
3090.000000 9.140125e-01
3100.000000 4.655965e-01
3110.000000 5.439787e-01
3120.000000 8.852298e-01
3130.000000 4.176608e-01
3140.000000 8.280650e-01
3150.000000 1.275100e+00
3160.000000 1.031588e+00
3170.000000 6.547070e-01
3180.000000 8.896964e-01
3190.000000 9.994151e-01
3200.000000 8.987849e-01
3210.000000 9.703654e-01
3220.000000 1.331246e+00
3230.000000 1.012095e+00
3240.000000 9.551988e-01
3250.000000 1.331656e+00
3260.000000 1.211945e+00
3270.000000 8.123367e-01
3280.000000 7.241365e-01
3290.000000 9.302795e-01
3300.000000 1.241154e+00
3310.000000 1.000516e+00
3320.000000 9.059590e-01
3330.000000 1.052065e+00
3340.000000 9.485791e-01
3350.000000 1.232515e+00
3360.000000 8.826921e-01
3370.000000 1.063889e+00
3380.000000 1.006329e+00
3390.000000 1.183160e+00
3400.000000 1.311955e+00
3410.000000 1.250993e+00
3420.000000 1.230562e+00
3430.000000 1.135851e+00
3440.000000 1.562415e+00
3450.000000 1.288296e+00
3460.000000 1.177637e+00
3470.000000 1.279229e+00
3480.000000 1.248717e+00
3490.000000 1.268964e+00
3500.000000 1.187078e+00
3510.000000 1.785168e+00
3520.000000 9.677188e-01
3530.000000 1.299395e+00
3540.000000 1.496889e+00
3550.000000 1.306519e+00
3560.000000 1.110526e+00
3570.000000 1.375378e+00
3580.000000 1.667314e+00
3590.000000 1.362678e+00
3600.000000 1.450530e+00
3610.000000 1.428188e+00
3620.000000 1.406642e+00
3630.000000 1.513606e+00
3640.000000 1.422833e+00
3650.000000 1.557331e+00
3660.000000 1.680733e+00
3670.000000 1.187498e+00
3680.000000 1.737224e+00
3690.000000 1.518982e+00
3700.000000 1.759685e+00
3710.000000 1.495651e+00
3720.000000 1.613227e+00
3730.000000 1.599489e+00
3740.000000 1.586111e+00
3750.000000 1.490328e+00
3760.000000 1.660580e+00
3770.000000 1.206564e+00
3780.000000 9.267970e-01
3790.000000 1.297064e+00
3800.000000 1.084952e+00
3810.000000 1.128956e+00
3820.000000 1.159767e+00
3830.000000 1.264413e+00
3840.000000 1.171671e+00
3850.000000 1.360491e+00
3860.000000 1.431063e+00
3870.000000 1.320268e+00
3880.000000 1.339958e+00
3890.000000 1.484936e+00
3900.000000 1.492315e+00
3910.000000 1.535223e+00
3920.000000 1.687903e+00
3930.000000 1.578792e+00
3940.000000 1.609846e+00
3950.000000 1.604920e+00
3960.000000 1.591014e+00
3970.000000 1.565246e+00
3980.000000 1.617440e+00
3990.000000 1.827653e+00
4000.000000 1.784941e+00
4010.000000 1.438446e+00
4020.000000 1.685785e+00
4030.000000 1.745682e+00
4040.000000 1.512920e+00
4050.000000 1.601165e+00
4060.000000 1.418602e+00
4070.000000 1.650897e+00
4080.000000 1.407759e+00
4090.000000 1.413065e+00
4100.000000 1.363049e+00
4110.000000 1.552577e+00
4120.000000 1.439613e+00
4130.000000 1.250616e+00
4140.000000 1.479782e+00
4150.000000 1.441879e+00
4160.000000 1.312139e+00
4170.000000 1.140895e+00
4180.000000 1.325710e+00
4190.000000 1.431987e+00
4200.000000 1.359245e+00
4210.000000 1.354774e+00
4220.000000 1.202018e+00
4230.000000 1.353507e+00
4240.000000 1.287491e+00
4250.000000 1.052391e+00
4260.000000 1.503354e+00
4270.000000 1.271758e+00
4280.000000 1.211375e+00
4290.000000 1.428848e+00
4300.000000 1.350016e+00
4310.000000 1.266254e+00
4320.000000 1.432477e+00
4330.000000 1.281367e+00
4340.000000 1.145087e+00
4350.000000 1.216641e+00
4360.000000 9.937851e-01
4370.000000 1.190327e+00
4380.000000 1.058340e+00
4390.000000 9.718048e-01
4400.000000 1.312413e+00
4410.000000 1.310456e+00
4420.000000 1.258706e+00
4430.000000 1.116822e+00
4440.000000 1.057830e+00
4450.000000 1.369984e+00
4460.000000 1.474141e+00
4470.000000 1.159052e+00
4480.000000 1.372810e+00
4490.000000 1.473132e+00
4500.000000 1.579376e+00
4510.000000 1.384348e+00
4520.000000 1.749890e+00
4530.000000 1.438093e+00
4540.000000 1.700226e+00
4550.000000 1.614457e+00
4560.000000 1.609810e+00
4570.000000 1.783572e+00
4580.000000 1.698852e+00
4590.000000 1.705006e+00
4600.000000 1.861934e+00
4610.000000 1.730925e+00
4620.000000 1.598031e+00
4630.000000 1.681481e+00
4640.000000 1.667783e+00
4650.000000 1.531595e+00
4660.000000 1.594099e+00
4670.000000 1.474109e+00
4680.000000 1.546576e+00
4690.000000 1.555462e+00
4700.000000 1.358437e+00
4710.000000 1.448364e+00
4720.000000 1.337782e+00
4730.000000 1.282195e+00
4740.000000 1.363347e+00
4750.000000 1.300161e+00
4760.000000 1.308080e+00
4770.000000 1.139361e+00
4780.000000 1.259223e+00
4790.000000 1.211583e+00
4800.000000 1.055568e+00
4810.000000 1.117802e+00
4820.000000 1.095428e+00
4830.000000 1.072707e+00
4840.000000 1.161351e+00
4850.000000 1.129024e+00
4860.000000 1.092590e+00
4870.000000 1.211038e+00
4880.000000 1.146913e+00
4890.000000 1.227292e+00
4900.000000 1.196339e+00
4910.000000 1.255033e+00
4920.000000 1.219346e+00
4930.000000 1.269506e+00
4940.000000 1.329748e+00
4950.000000 1.262686e+00
4960.000000 1.252665e+00
4970.000000 1.233284e+00
4980.000000 1.179829e+00
4990.000000 1.155590e+00
5000.000000 1.188618e+00
5010.000000 1.121088e+00
5020.000000 1.008434e+00
5030.000000 1.053857e+00
5040.000000 9.236226e-01
5050.000000 1.246722e+00
5060.000000 1.065179e+00
5070.000000 1.184016e+00
5080.000000 1.159793e+00
5090.000000 1.149098e+00
5100.000000 1.245445e+00
5110.000000 1.116948e+00
5120.000000 1.110426e+00
5130.000000 1.201943e+00
5140.000000 1.250908e+00
5150.000000 1.249555e+00
5160.000000 1.100681e+00
5170.000000 1.247877e+00
5180.000000 1.269870e+00
5190.000000 1.285058e+00
5200.000000 1.269858e+00
5210.000000 1.313997e+00
5220.000000 1.361319e+00
5230.000000 1.478938e+00
5240.000000 1.382220e+00
5250.000000 1.336899e+00
5260.000000 1.321272e+00
5270.000000 1.378587e+00
5280.000000 1.377534e+00
5290.000000 1.412181e+00
5300.000000 1.409206e+00
5310.000000 1.365343e+00
5320.000000 1.263268e+00
5330.000000 1.278349e+00
5340.000000 1.421689e+00
5350.000000 1.266012e+00
5360.000000 1.296771e+00
5370.000000 1.244003e+00
5380.000000 1.326339e+00
5390.000000 1.325802e+00
5400.000000 1.321730e+00
5410.000000 1.236729e+00
5420.000000 1.309052e+00
5430.000000 1.442169e+00
5440.000000 1.377681e+00
5450.000000 1.362653e+00
5460.000000 1.390712e+00
5470.000000 1.464677e+00
5480.000000 1.385771e+00
5490.000000 1.434921e+00
5500.000000 1.310581e+00
5510.000000 1.334062e+00
5520.000000 1.277627e+00
5530.000000 1.286464e+00
5540.000000 1.245840e+00
5550.000000 1.287146e+00
5560.000000 1.307740e+00
5570.000000 1.233688e+00
5580.000000 1.237230e+00
5590.000000 1.231873e+00
5600.000000 1.203321e+00
5610.000000 1.172551e+00
5620.000000 1.218508e+00
5630.000000 1.091604e+00
