          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 58494.659726  19.6178   19.651    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58498.659134  19.4536  19.4868    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58500.659701  19.2791  19.3123    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58502.648648  19.4816  19.5149    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58506.653816  19.3924  19.4257    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58508.654483  20.1847  20.2179    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58510.649724  19.7854  19.8187    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58514.647552  20.1665  20.1997    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58518.615932  20.1709  20.2042    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
  58520.66068  20.2398  20.2852    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58522.661849  19.3039  19.3372    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58530.623111   19.926  19.9592    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58538.610713  19.8864  19.9196    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58542.630601   19.673  19.7062    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58546.613258  20.3181  20.3514    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58550.573245  19.7232  19.7565    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
