# STATUS =
# OBJECT = 2019kwu
# TELESCOPE = Keck1
# INSTRUMENT = LRIS
# DATE-OBS = 2019-07-02 00:00:00.000
# MJD = 58666.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 7.813902e-01
3010.000000 8.200192e-01
3020.000000 7.409672e-01
3030.000000 8.486546e-01
3040.000000 7.317576e-01
3050.000000 7.045841e-01
3060.000000 9.161791e-01
3070.000000 9.136028e-01
3080.000000 8.530440e-01
3090.000000 8.907218e-01
3100.000000 9.336811e-01
3110.000000 9.910419e-01
3120.000000 9.404112e-01
3130.000000 1.013060e+00
3140.000000 1.076235e+00
3150.000000 9.785988e-01
3160.000000 1.047291e+00
3170.000000 9.940499e-01
3180.000000 9.867672e-01
3190.000000 1.095409e+00
3200.000000 1.075702e+00
3210.000000 1.036069e+00
3220.000000 1.048011e+00
3230.000000 1.039110e+00
3240.000000 1.062989e+00
3250.000000 1.130228e+00
3260.000000 1.104520e+00
3270.000000 1.019318e+00
3280.000000 9.936566e-01
3290.000000 1.012158e+00
3300.000000 1.002915e+00
3310.000000 1.013470e+00
3320.000000 1.039776e+00
3330.000000 9.709809e-01
3340.000000 9.822331e-01
3350.000000 1.081574e+00
3360.000000 1.055324e+00
3370.000000 1.134134e+00
3380.000000 1.197191e+00
3390.000000 1.100429e+00
3400.000000 1.129902e+00
3410.000000 1.099199e+00
3420.000000 1.125538e+00
3430.000000 1.161510e+00
3440.000000 1.144096e+00
3450.000000 1.188671e+00
3460.000000 1.182756e+00
3470.000000 1.131004e+00
3480.000000 1.066845e+00
3490.000000 1.251221e+00
3500.000000 1.275109e+00
3510.000000 1.129584e+00
3520.000000 1.229198e+00
3530.000000 1.176663e+00
3540.000000 1.175737e+00
3550.000000 1.232166e+00
3560.000000 1.192670e+00
3570.000000 1.649352e+00
3580.000000 1.581065e+00
3590.000000 1.328868e+00
3600.000000 1.348755e+00
3610.000000 1.244825e+00
3620.000000 1.412378e+00
3630.000000 1.098404e+00
3640.000000 1.346899e+00
3650.000000 1.197111e+00
3660.000000 1.340058e+00
3670.000000 1.432714e+00
3680.000000 1.441599e+00
3690.000000 1.253795e+00
3700.000000 1.451074e+00
3710.000000 1.254144e+00
3720.000000 1.241919e+00
3730.000000 1.152192e+00
3740.000000 1.212808e+00
3750.000000 1.164570e+00
3760.000000 1.022326e+00
3770.000000 1.196747e+00
3780.000000 1.238795e+00
3790.000000 1.360319e+00
3800.000000 1.177288e+00
3810.000000 1.292780e+00
3820.000000 1.202267e+00
3830.000000 1.242759e+00
3840.000000 1.239402e+00
3850.000000 1.243328e+00
3860.000000 1.312916e+00
3870.000000 1.267661e+00
3880.000000 1.341132e+00
3890.000000 1.375304e+00
3900.000000 1.463900e+00
3910.000000 1.251245e+00
3920.000000 1.384656e+00
3930.000000 1.706356e+00
3940.000000 1.292825e+00
3950.000000 1.267159e+00
3960.000000 1.306180e+00
3970.000000 1.393328e+00
3980.000000 1.412102e+00
3990.000000 1.308744e+00
4000.000000 1.328850e+00
4010.000000 1.377334e+00
4020.000000 1.288500e+00
4030.000000 1.352722e+00
4040.000000 1.292160e+00
4050.000000 1.315012e+00
4060.000000 1.324661e+00
4070.000000 1.157267e+00
4080.000000 1.302506e+00
4090.000000 1.356339e+00
4100.000000 1.302399e+00
4110.000000 1.362918e+00
4120.000000 1.383378e+00
4130.000000 1.287481e+00
4140.000000 1.281388e+00
4150.000000 1.358649e+00
4160.000000 1.403460e+00
4170.000000 1.183041e+00
4180.000000 1.218803e+00
4190.000000 1.136213e+00
4200.000000 1.268116e+00
4210.000000 1.166257e+00
4220.000000 1.165396e+00
4230.000000 1.124287e+00
4240.000000 1.100939e+00
4250.000000 1.134369e+00
4260.000000 1.067631e+00
4270.000000 1.140902e+00
4280.000000 1.066557e+00
4290.000000 1.345749e+00
4300.000000 1.043843e+00
4310.000000 9.965112e-01
4320.000000 1.064307e+00
4330.000000 1.021986e+00
4340.000000 1.041550e+00
4350.000000 9.860585e-01
4360.000000 9.848898e-01
4370.000000 1.071682e+00
4380.000000 1.038353e+00
4390.000000 1.006317e+00
4400.000000 9.404565e-01
4410.000000 1.047646e+00
4420.000000 1.008564e+00
4430.000000 1.139688e+00
4440.000000 1.107586e+00
4450.000000 1.071439e+00
4460.000000 1.232609e+00
4470.000000 1.148042e+00
4480.000000 1.129321e+00
4490.000000 1.161318e+00
4500.000000 1.221382e+00
4510.000000 1.228586e+00
4520.000000 1.417541e+00
4530.000000 1.413535e+00
4540.000000 1.155402e+00
4550.000000 1.471064e+00
4560.000000 1.407916e+00
4570.000000 1.245748e+00
4580.000000 1.398371e+00
4590.000000 1.406088e+00
4600.000000 1.428603e+00
4610.000000 1.242313e+00
4620.000000 1.270218e+00
4630.000000 1.364433e+00
4640.000000 1.462723e+00
4650.000000 1.323941e+00
4660.000000 1.297559e+00
4670.000000 1.250595e+00
4680.000000 1.440552e+00
4690.000000 1.161919e+00
4700.000000 1.233106e+00
4710.000000 1.146054e+00
4720.000000 1.086360e+00
4730.000000 9.871878e-01
4740.000000 1.247610e+00
4750.000000 1.365480e+00
4760.000000 9.244507e-01
4770.000000 1.138970e+00
4780.000000 1.045083e+00
4790.000000 1.061224e+00
4800.000000 1.041136e+00
4810.000000 1.068740e+00
4820.000000 9.772975e-01
4830.000000 1.083437e+00
4840.000000 1.008346e+00
4850.000000 8.758577e-01
4860.000000 9.915627e-01
4870.000000 9.203674e-01
4880.000000 1.025392e+00
4890.000000 8.969083e-01
4900.000000 9.556520e-01
4910.000000 9.797585e-01
4920.000000 9.131609e-01
4930.000000 1.009239e+00
4940.000000 9.497707e-01
4950.000000 1.039978e+00
4960.000000 9.589121e-01
4970.000000 1.033189e+00
4980.000000 1.007620e+00
4990.000000 8.684232e-01
5000.000000 1.018467e+00
5010.000000 9.928997e-01
5020.000000 9.887684e-01
5030.000000 9.465558e-01
5040.000000 7.965948e-01
5050.000000 1.080232e+00
5060.000000 9.155693e-01
5070.000000 1.039059e+00
5080.000000 9.082231e-01
5090.000000 9.071828e-01
5100.000000 8.820084e-01
5110.000000 9.118125e-01
5120.000000 9.850711e-01
5130.000000 9.942645e-01
5140.000000 8.643949e-01
5150.000000 1.079128e+00
5160.000000 9.912812e-01
5170.000000 9.237965e-01
5180.000000 8.097597e-01
5190.000000 9.597216e-01
5200.000000 9.256131e-01
5210.000000 1.034735e+00
5220.000000 1.080421e+00
5230.000000 1.045630e+00
5240.000000 1.047421e+00
5250.000000 1.113921e+00
5260.000000 1.020866e+00
