       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
  58701.28  24.931   24.44  23.993  3520.88     3631.0       U 
  58701.28   24.94  24.448  24.002  3513.68     3631.0       u 
  58701.28  25.075  24.571  24.127  4345.28     3631.0       B 
  58701.28  25.142  24.637  24.191  4793.46     3631.0       g 
  58701.28  25.173  24.668  24.222  4746.48     3631.0   g-P48 
  58701.28  25.262  24.756  24.309  5182.42     3631.0    cyan 
  58701.28  25.296  24.802  24.329  2681.67     3631.0    UVW1 
  58701.28  25.304  24.798  24.351  5411.45     3631.0       V 
  58701.28  25.463  24.958   24.51  6120.65     3631.0    r-LT 
  58701.28  25.464  24.959  24.511  6141.12     3631.0       r 
  58701.28   25.48  24.987  24.492  2245.03     3631.0    UVM2 
  58701.28  25.496  24.992  24.544  6366.38     3631.0   r-P48 
  58701.28  25.555   25.05  24.602  6629.82     3631.0  orange 
  58701.28  25.717  25.212  24.766  7457.89     3631.0       i 
  58701.28  25.734  25.228  24.782  7503.03     3631.0   i-PS1 
  58701.28   25.75  25.266  24.748  2083.95     3631.0    UVW2 
  58701.28   25.76  25.254  24.808  7589.41     3631.0    i-LT 
  58701.28    25.8  25.294  24.848  7829.03     3631.0   i-P48 
  58701.28  26.017   25.51  25.065  8970.57     3631.0       z 
  58701.31  24.777  24.314  23.891  3520.88     3631.0       U 
  58701.31  24.786  24.325  23.901  3513.68     3631.0       u 
  58701.31  24.919  24.447  24.025  4345.28     3631.0       B 
  58701.31  24.985  24.513   24.09  4793.46     3631.0       g 
  58701.31  25.017  24.544  24.121  4746.48     3631.0   g-P48 
  58701.31  25.105  24.632  24.208  5182.42     3631.0    cyan 
  58701.31  25.137  24.677  24.227  2681.67     3631.0    UVW1 
  58701.31  25.148  24.674   24.25  5411.45     3631.0       V 
  58701.31  25.307  24.834   24.41  6120.65     3631.0    r-LT 
  58701.31  25.307  24.834   24.41  6141.12     3631.0       r 
  58701.31  25.319  24.863  24.392  2245.03     3631.0    UVM2 
  58701.31   25.34  24.867  24.443  6366.38     3631.0   r-P48 
  58701.31  25.399  24.926  24.502  6629.82     3631.0  orange 
  58701.31  25.561  25.087  24.665  7457.89     3631.0       i 
  58701.31  25.577  25.104  24.681  7503.03     3631.0   i-PS1 
  58701.31  25.595  25.141  24.648  2083.95     3631.0    UVW2 
  58701.31  25.604   25.13  24.708  7589.41     3631.0    i-LT 
