# STATUS =
# OBJECT = 2019neq
# TELESCOPE = P200
# INSTRUMENT = SEDM
# DATE-OBS = 2019-09-22 00:00:00.000
# MJD = 58748.0
# EXPTIME =
# AIRMASS =
# SLIT =
# DISPERSER =
# SOURCE = DOI 10.3847/1538-4357/aca161
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS =
# WAVE_UNITS =
# QUALITY =
# MIN_WAVE = 3299.8
# MAX_WAVE = 9199.8
# COMMENT =
 Wavelength        Flux 
     3300.8  2.4787e-16 
     3301.8  2.6079e-16 
     3302.8  2.5299e-16 
     3303.8  2.5042e-16 
     3304.8  2.4011e-16 
     3305.8  2.1502e-16 
     3306.8  2.1692e-16 
     3307.8  2.3842e-16 
     3308.8  2.1759e-16 
     3309.8  1.7654e-16 
     3310.8  1.9803e-16 
     3311.8  2.5564e-16 
     3312.8  2.6382e-16 
     3313.8  2.4005e-16 
     3314.8  2.6111e-16 
     3315.8  2.5499e-16 
     3316.8  2.2489e-16 
     3317.8  2.3049e-16 
     3318.8  2.3229e-16 
     3319.8  2.1539e-16 
     3320.8  2.0505e-16 
     3321.8  2.0868e-16 
     3322.8   2.317e-16 
     3323.8  2.4147e-16 
     3324.8  2.1955e-16 
     3325.8  2.3946e-16 
     3326.8  2.7493e-16 
     3327.8  2.2965e-16 
     3328.8  2.2171e-16 
     3329.8  2.5409e-16 
     3330.8  2.7385e-16 
     3331.8  2.7014e-16 
     3332.8  2.2392e-16 
     3333.8  2.0269e-16 
     3334.8    2.11e-16 
     3335.8  2.1342e-16 
     3336.8  2.0723e-16 
     3337.8  2.4315e-16 
     3338.8  2.6678e-16 
     3339.8  2.4507e-16 
     3340.8  2.3624e-16 
     3341.8  2.3958e-16 
     3342.8  2.5553e-16 
     3343.8  2.8978e-16 
     3344.8   3.045e-16 
     3345.8  3.0019e-16 
     3346.8  2.9169e-16 
     3347.8  2.9906e-16 
     3348.8  3.1133e-16 
     3349.8  3.0497e-16 
     3350.8  2.7557e-16 
     3351.8  2.5565e-16 
     3352.8  2.5308e-16 
     3353.8  2.6754e-16 
     3354.8  2.7438e-16 
     3355.8  2.6605e-16 
     3356.8  2.5109e-16 
     3357.8  2.4294e-16 
     3358.8  2.1818e-16 
     3359.8  2.4507e-16 
     3360.8  2.7616e-16 
     3361.8  2.5955e-16 
     3362.8  2.3388e-16 
     3363.8  2.2881e-16 
     3364.8  2.4447e-16 
     3365.8  2.6118e-16 
     3366.8  2.4481e-16 
     3367.8  2.2254e-16 
     3368.8  2.6112e-16 
     3369.8  2.4211e-16 
     3370.8  2.3431e-16 
     3371.8   2.467e-16 
     3372.8  2.4068e-16 
     3373.8  2.6147e-16 
     3374.8  2.4172e-16 
     3375.8  2.2363e-16 
     3376.8  1.9843e-16 
     3377.8  1.8708e-16 
     3378.8  1.9352e-16 
     3379.8  1.9632e-16 
     3380.8  1.8949e-16 
     3381.8  1.9983e-16 
     3382.8  2.0716e-16 
     3383.8  2.3184e-16 
     3384.8  2.4483e-16 
     3385.8  2.0909e-16 
     3386.8  1.8658e-16 
     3387.8  1.9648e-16 
     3388.8  2.1006e-16 
     3389.8  2.0877e-16 
     3390.8  2.0114e-16 
     3391.8  1.8877e-16 
     3392.8  1.9242e-16 
     3393.8  2.2195e-16 
     3394.8  2.3656e-16 
     3395.8  2.2822e-16 
     3396.8   2.264e-16 
     3397.8   2.391e-16 
     3398.8  2.5724e-16 
     3399.8  2.5616e-16 
     3400.8  2.2826e-16 
     3401.8  2.1808e-16 
     3402.8  1.9287e-16 
     3403.8  2.1139e-16 
     3404.8  2.5013e-16 
     3405.8  2.5542e-16 
     3406.8  2.5193e-16 
     3407.8   2.465e-16 
     3408.8  2.3539e-16 
     3409.8  2.2394e-16 
     3410.8  2.2335e-16 
     3411.8  2.3702e-16 
     3412.8  2.4397e-16 
     3413.8  2.3065e-16 
     3414.8  2.3236e-16 
     3415.8  2.3344e-16 
     3416.8  2.5138e-16 
     3417.8  2.6787e-16 
     3418.8  2.6519e-16 
     3419.8  2.7063e-16 
     3420.8  2.3865e-16 
     3421.8  2.2003e-16 
     3422.8  2.3509e-16 
     3423.8  2.5035e-16 
     3424.8  2.4386e-16 
     3425.8  2.4152e-16 
     3426.8  2.5946e-16 
     3427.8  2.7032e-16 
     3428.8  2.7683e-16 
     3429.8  2.5394e-16 
     3430.8   2.365e-16 
     3431.8  2.5469e-16 
     3432.8  2.3898e-16 
     3433.8  2.1215e-16 
     3434.8   2.081e-16 
     3435.8  2.0241e-16 
     3436.8  2.1291e-16 
     3437.8  2.1883e-16 
     3438.8  2.0194e-16 
     3439.8  1.8184e-16 
     3440.8  1.8166e-16 
     3441.8  2.0402e-16 
     3442.8  1.9464e-16 
     3443.8  2.0679e-16 
     3444.8  1.9841e-16 
     3445.8  1.8638e-16 
     3446.8  1.9759e-16 
     3447.8  2.1367e-16 
     3448.8  2.1609e-16 
     3449.8  2.4172e-16 
     3450.8  2.4642e-16 
     3451.8  2.3866e-16 
     3452.8  2.2711e-16 
     3453.8  2.3146e-16 
     3454.8  2.5143e-16 
     3455.8  2.3318e-16 
     3456.8  2.1214e-16 
     3457.8  2.2394e-16 
