                MJD               R_low                   R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
           58194.46                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58199.983116774434                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58205.50623354887                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58211.029350323304                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58216.55246709775                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58222.07558387218                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58227.59870064662                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58233.12181742105                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58238.64493419549                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58244.16805096992                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58249.69116774436                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
   58255.2142845188                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58260.737401293234                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58266.26051806767                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58271.783634842104                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58277.30675161654                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58282.829868390974                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58288.35298516541                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58293.87610193985                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58299.39921871429                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58304.92233548872                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58310.44545226316                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58315.96856903759                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58321.49168581203                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58327.01480258646                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58332.537919360904                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58338.06103613534                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58343.584152909774                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58349.10726968421                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58354.630386458644                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58360.15350323308                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58365.67662000752                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58371.19973678196                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58376.72285355639                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58382.24597033083                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58387.76908710526                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
   58393.2922038797                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58398.81532065413                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58404.338437428574                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58409.86155420301                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58415.384670977444                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58420.90778775188                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58426.430904526314                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58431.95402130075                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58437.477138075184                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58443.00025484963                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58448.52337162406                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
   58454.0464883985                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58459.56960517293                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58465.09272194737                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
   58470.6158387218                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58476.13895549624                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58481.66207227068                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58487.185189045114                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58492.70830581955                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58498.231422593984                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58503.75453936842                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
 58509.277656142855                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58514.80077291729                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58520.32388969173                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58525.84700646617                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
   58531.3701232406                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58536.89324001504                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58542.41635678947                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58547.93947356391                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
  58553.46259033834                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.1428959174917265e+31  4.0139234121994195e+31    1.13700709112156e+32 
