 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
     13.8353  1.75354  1.12294       0.86986         2457.64783  0.01294  0.12105     0.44763  24.03714     16.50059   6050.65112   -61.82435  1.18225   8654.57827    2e-05  58632.63565  52.54985   1.02696  19.27113  58708.10986 
    13.95367  1.82495  0.82875       0.46865          2757.4497  0.00792  0.05968     0.10512  53.05239     20.29124   6668.75461   -70.64588  0.80503   8060.40182  0.10864  58623.81412  52.54658   0.71951  19.38086     58714.48 
    14.00797  1.82097  0.71515       4.06065         2578.57089  0.45536   0.1911       0.048  19.19242     20.64214   3515.11875   -41.24309  1.09378  10943.83265  0.24371  58653.21691  52.73551  34.66583  19.33222  58715.54365 
    13.76195  1.48061  0.71391       1.66994         2284.81774  0.08465  0.14747     0.06488  17.76672     18.87639   4152.00174   -64.06169  1.40637   6683.02813  0.00418  58630.39831   52.3007   6.34953  19.36785  58715.54365 
     13.9215  1.77389  1.05049       0.02805         4401.87183  0.06131  0.05522     0.01789  60.98114     17.61856   3950.86104   -56.40817  1.05063   9898.07205  0.00023  58638.05183   52.7345   5.69231   19.3528  58715.54365 
    14.09355  1.59609  1.93331       0.38742         2080.42399  0.39767  0.02225     0.01032  70.85698      16.1431   3897.11902   -37.74873  1.40527  13530.47444    1e-05  58656.71127  53.01606  37.78585   19.3308  58702.58674 
    13.93379  1.96914  1.09445       1.89358         2553.95617  0.03663  0.13066     0.03915  22.76397     19.10235   4183.74623   -59.62395  1.55449   7401.28998  0.00703  58634.83605  52.40964   2.87936  19.33153  58715.54365 
    13.84834  1.83042  0.96903        3.6359         2101.02774  0.40796  0.26747     0.03147  12.67479     20.54005    3367.6861   -53.39153  1.53411   8821.52975  0.19265  58641.06847  52.51261  28.60966  19.32983  58708.10986 
    14.12852  1.92172  0.96716       0.63016          2725.1368  0.02202  0.04663     0.23993  71.14299     19.49737    9953.2813   -61.69237  0.64658   8670.61026  0.01746  58632.76763   52.6298   2.09318  19.30125     58711.42 
    14.09149  1.78726  0.77414       0.05098          5900.7698  0.00234  0.04984     0.02721  52.45321     16.84282   7085.74432   -64.97437  0.61067     7558.049    4e-05  58629.48563   52.4899   0.21245  19.30641     58714.42 
    13.83248  1.65565  1.01574       2.67968         2608.54095  0.07777  0.12884     0.49798  23.87433     18.39478   3208.48228   -57.42925  1.55135   7638.22755  0.00138  58637.03075   52.4408   6.16585  19.36914     58711.42 
    14.00504  1.95728  0.92002       1.71265         2308.66911   0.1849   0.1076     0.05931  24.45754     19.99335   3998.51074   -46.11026  1.46762   8722.54895  0.05471  58648.34974  52.55801  14.72443  19.34659     58711.42 
    14.31791  1.75065   0.9798        1.8562         2190.54242  0.16383  0.08869     0.01417  42.16495     18.72386   4028.82921   -64.46213  0.35585   9487.86192  0.00294  58629.99787  52.67203  14.33655  19.32013  58702.58674 
    14.00271  2.16442  1.33348       3.93446         2087.81617  0.01178   0.1206     0.15468  23.69273      16.2807   5860.49354   -47.78519  1.50458   8650.12119    1e-05  58646.67481  52.54826   0.93271  19.33022     58712.44 
    14.12847  2.02598  0.78209       0.04496         5435.42287  0.12241  0.10394     0.01561  28.14495      17.8765   8485.50057    -74.0566  0.68151   7188.32504  0.00042   58620.4034  52.40092   9.99652  19.35186  58717.63137 
