# STATUS =
# OBJECT = 2019otl
# TELESCOPE = Baade
# INSTRUMENT = IMACS
# DATE-OBS = 2020-01-01
# MJD = 58849.17
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 1.010988e-01
3760.000000 1.414251e-01
3770.000000 9.486668e-02
3780.000000 1.268185e-01
3790.000000 1.533717e-01
3800.000000 1.850029e-01
3810.000000 1.588801e-01
3820.000000 2.255224e-01
3830.000000 2.311881e-01
3840.000000 1.980024e-01
3850.000000 1.697016e-01
3860.000000 1.482157e-01
3870.000000 2.667755e-01
3880.000000 1.496390e-01
3890.000000 2.632353e-01
3900.000000 1.652876e-01
3910.000000 2.537658e-01
3920.000000 3.560185e-01
3930.000000 2.951334e-01
3940.000000 4.577822e-01
3950.000000 3.252989e-01
3960.000000 2.292847e-01
3970.000000 4.425573e-01
3980.000000 4.219851e-01
3990.000000 3.087316e-01
4000.000000 4.914439e-01
4010.000000 4.918264e-01
4020.000000 4.492706e-01
4030.000000 4.144265e-01
4040.000000 5.640512e-01
4050.000000 5.810529e-01
4060.000000 5.964611e-01
4070.000000 4.234660e-01
4080.000000 4.669445e-01
4090.000000 5.209560e-01
4100.000000 5.410389e-01
4110.000000 4.882311e-01
4120.000000 5.363671e-01
4130.000000 6.217019e-01
4140.000000 6.014312e-01
4150.000000 5.371657e-01
4160.000000 7.433458e-01
4170.000000 3.502849e-01
4180.000000 4.983846e-01
4190.000000 4.539509e-01
4200.000000 4.665811e-01
4210.000000 5.355772e-01
4220.000000 5.795148e-01
4230.000000 6.343947e-01
4240.000000 5.726665e-01
4250.000000 5.523304e-01
4260.000000 7.653788e-01
4270.000000 6.123404e-01
4280.000000 6.952899e-01
4290.000000 5.365181e-01
4300.000000 7.076428e-01
4310.000000 7.958722e-01
4320.000000 8.731942e-01
4330.000000 7.507754e-01
4340.000000 8.027994e-01
4350.000000 8.332579e-01
4360.000000 8.277041e-01
4370.000000 8.051980e-01
4380.000000 8.364205e-01
4390.000000 8.707757e-01
4400.000000 8.111553e-01
4410.000000 8.004197e-01
4420.000000 1.031749e+00
4430.000000 1.112087e+00
4440.000000 7.804993e-01
4450.000000 7.948204e-01
4460.000000 9.585030e-01
4470.000000 1.072035e+00
4480.000000 1.189764e+00
4490.000000 8.848508e-01
4500.000000 8.292345e-01
4510.000000 1.055729e+00
4520.000000 1.101237e+00
4530.000000 1.522486e+00
4540.000000 1.017100e+00
4550.000000 8.643733e-01
4560.000000 1.177900e+00
4570.000000 1.491663e+00
4580.000000 1.152817e+00
4590.000000 1.721107e+00
4600.000000 1.358677e+00
4610.000000 1.295551e+00
4620.000000 1.484496e+00
4630.000000 1.079523e+00
4640.000000 1.601716e+00
4650.000000 1.327200e+00
4660.000000 9.666933e-01
4670.000000 1.183600e+00
4680.000000 8.672949e-01
