# STATUS =
# OBJECT = 2019pvs
# TELESCOPE = Clay
# INSTRUMENT = LDSS3-C
# DATE-OBS = 2019-11-27
# MJD = 58814.02
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 nan
3760.000000 nan
3770.000000 nan
3780.000000 nan
3790.000000 nan
3800.000000 nan
3810.000000 nan
3820.000000 nan
3830.000000 nan
3840.000000 nan
3850.000000 nan
3860.000000 nan
3870.000000 nan
3880.000000 nan
3890.000000 nan
3900.000000 nan
3910.000000 nan
3920.000000 nan
3930.000000 nan
3940.000000 nan
3950.000000 nan
3960.000000 nan
3970.000000 nan
3980.000000 nan
3990.000000 nan
4000.000000 nan
4010.000000 1.116216e+00
4020.000000 1.725484e+00
4030.000000 1.699384e+00
4040.000000 1.747598e+00
4050.000000 1.819513e+00
4060.000000 1.591630e+00
4070.000000 1.397137e+00
4080.000000 1.168260e+00
4090.000000 1.178249e+00
4100.000000 1.253875e+00
4110.000000 1.172816e+00
4120.000000 1.399536e+00
4130.000000 1.231754e+00
4140.000000 1.069976e+00
4150.000000 1.275692e+00
4160.000000 1.304815e+00
4170.000000 1.415239e+00
4180.000000 1.259152e+00
4190.000000 1.093920e+00
4200.000000 9.086687e-01
4210.000000 9.878919e-01
4220.000000 1.124648e+00
4230.000000 1.105780e+00
4240.000000 1.177469e+00
4250.000000 1.531180e+00
4260.000000 1.436645e+00
4270.000000 8.565622e-01
4280.000000 1.040461e+00
4290.000000 1.201577e+00
4300.000000 1.320113e+00
4310.000000 1.352083e+00
4320.000000 1.406315e+00
4330.000000 1.253328e+00
4340.000000 1.273550e+00
4350.000000 1.209170e+00
4360.000000 1.173386e+00
4370.000000 1.123410e+00
4380.000000 1.200243e+00
4390.000000 1.122691e+00
4400.000000 1.072926e+00
4410.000000 1.413017e+00
4420.000000 1.380026e+00
4430.000000 1.240694e+00
4440.000000 1.169559e+00
4450.000000 1.239512e+00
4460.000000 1.233986e+00
4470.000000 1.060049e+00
4480.000000 1.098143e+00
4490.000000 1.336095e+00
4500.000000 1.288523e+00
4510.000000 1.305553e+00
4520.000000 1.236272e+00
4530.000000 1.278798e+00
4540.000000 1.366254e+00
4550.000000 1.535896e+00
4560.000000 1.665234e+00
4570.000000 1.591798e+00
4580.000000 1.564651e+00
4590.000000 1.534189e+00
4600.000000 1.522351e+00
4610.000000 1.513790e+00
4620.000000 1.493797e+00
4630.000000 1.580852e+00
4640.000000 1.693637e+00
4650.000000 1.544953e+00
4660.000000 1.597344e+00
4670.000000 1.611710e+00
4680.000000 1.617395e+00
4690.000000 1.565980e+00
4700.000000 1.332920e+00
4710.000000 1.208935e+00
4720.000000 1.490418e+00
4730.000000 1.519326e+00
4740.000000 1.349992e+00
4750.000000 1.365764e+00
4760.000000 1.281264e+00
4770.000000 1.163744e+00
