# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = 2019sgg
# TELESCOPE = P200
# INSTRUMENT =
# DATE-OBS = 2019.1006
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE = 2023ApJ...943...41C
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS = erg/s/cm^2/Angstroms
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3300.0 3.8898e-17
3301.534239 8.7433e-17
3303.068478 4.5079e-17
3304.602717 4.9979e-17
3306.136956 9.1781e-17
3307.671195 8.6895e-17
3309.205434 9.4626e-17
3310.739673 1.1765e-16
3312.273912 5.6919e-17
3313.808151 6.207e-17
3315.34239 3.3741e-17
3316.876629 6.7926e-17
3318.410868 1.1792e-16
3319.945107 1.158e-16
3321.479346 6.7774e-17
3323.013585 7.3598e-17
3324.547824 9.5422e-17
3326.082063 8.7506e-17
3327.616302 9.7466e-17
3329.150541 8.7748e-17
3330.68478 6.6823e-17
3332.219019 3.0612e-17
3333.753258 1.0763e-16
3335.287497 5.7776e-17
3336.821736 4.1492e-17
3338.355975 7.8452e-17
3339.890214 4.6628e-17
3341.424453 3.7991e-17
3342.958692 5.8045e-17
3344.492931 4.2293e-17
3346.02717 6.801e-17
3347.561409 3.2014e-17
3349.095648 6.1813e-17
3350.629887 6.6196e-17
3352.164126 5.1461e-17
3353.698365 4.4287e-17
3355.232604 8.6658e-17
3356.766843 7.1361e-17
3358.301082 9.5819e-17
3359.835321 8.8273e-17
3361.36956 3.5335e-17
3362.903799 5.4307e-17
3364.438038 3.8766e-17
3365.972277 7.1985e-17
3367.506516 4.5914e-17
3369.040755 7.3278e-17
3370.574994 9.9761e-17
3372.109233 1.0552e-16
3373.643472 5.6674e-17
3375.177711 1.1171e-17
3376.71195 4.1882e-17
3378.246189 3.7743e-17
3379.780428 5.0483e-17
3381.314667 6.4959e-17
3382.848906 4.5193e-17
3384.383145 5.8304e-17
3385.917384 7.4155e-17
3387.451623 7.2416e-17
3388.985862 4.7937e-17
3390.520101 4.3628e-17
3392.05434 5.1276e-17
3393.588579 4.9176e-17
3395.122818 4.5671e-17
3396.657057 3.4646e-17
3398.191296 2.4671e-17
3399.725535 1.7492e-17
3401.259774 2.4183e-17
3402.794013 2.2663e-17
3404.328252 5.2086e-17
3405.862491 5.859e-17
3407.39673 5.3972e-17
3408.930969 3.4817e-17
3410.465208 2.2587e-17
3411.999447 4.849e-17
3413.533686 5.0293e-17
3415.067925 4.2811e-17
3416.602164 4.2933e-17
3418.136403 5.6684e-17
3419.670642 3.069e-17
3421.204881 1.8142e-17
3422.73912 7.8611e-18
3424.273359 3.0308e-17
3425.807598 6.1836e-17
3427.341837 3.658e-17
3428.876076 1.8271e-17
3430.410315 2.8765e-17
3431.944554 6.9723e-17
