 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel           TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -6.94557  0.00785  2.65522     14.40696   1.4685  0.93315  13.25194  0.02561     0.28593   4458.12939   6027.61994  3.05033          3740.0959     16.70443    3e-05  58731.39443   1.57113  0.10396  147559.88684  46.41855  19.56059     58760.39    50.81563       44.23258    17.1609  30.36373   35.0    0.30521  -20.87699  0.99518 
   -3.60524  0.00817  1.27927     14.63897  1.69934  0.89235  11.46739   0.0618     0.01381   7196.04444   4783.57222  3.65562         3100.99552     17.14892    8e-05  58734.73476   3.54225  0.09374   13616.98797  48.15112  19.57461  58762.48794    50.83591       44.24649    17.1609  30.36373   34.5    0.27461  -21.25351   0.9996 
   -4.05894  0.00375  1.65859     14.67763  1.88446  0.90594  33.84279  0.01457     0.37403   5631.00708   3480.84709  2.63979         3620.60049     16.90214    4e-05  58734.28106   6.40126  0.12678   21242.74845  47.77735  19.61649  58762.26488    50.96678       44.40887   12.65559  31.63896   33.5    0.27775    -21.012  0.99894 
   -1.74627  0.02796  0.93651     14.65085  1.62946  0.85322  10.60103  0.04193     0.16148   5234.93979   6059.14057   2.9098         3710.22691     20.09101  0.06851  58736.59373     1.733  0.29644     6625.0248  48.71667  19.62609     58763.28     50.8363       44.24543   15.88566  31.63896   33.0    0.27559  -21.28128  0.99959 
   -5.52662  0.00385  1.16755     14.50591  1.64412   1.1005  13.66662  0.03754     0.03019   5814.38464   8344.91866  2.07146          3739.4396     20.07064  0.06537  58732.81338   2.75611  0.05268   20252.78245  48.04374  19.58616      58761.4    50.80874       44.22477    17.1609  30.36373   33.5    0.29331  -20.84447  0.99979 
   -3.78201  0.03587  1.30484     14.55467  1.76771  1.31913   8.21089  0.06473     0.26357   5721.94752   6766.45368    2.972         3600.33838     20.17229  0.08261  58734.55799   1.60363  0.29454   21726.41908  47.94816  19.60189  58762.26488    50.77997       44.19949   13.93082  32.47299   35.0    0.28252  -21.19952  0.99872 
   -1.44334  0.00204  1.10576     14.77541   2.0343  0.99477   8.14966  0.06005     0.15019   4737.44558   7697.53976  3.90611          3562.8625      19.4739  0.01654  58736.89666   1.09108  0.01665    6497.21781  48.67721  19.63795     58763.39    50.86456       44.27478    15.1328  33.38028   35.5     0.2384  -20.95562  0.99998 
   -3.43446  0.00951  1.11825     14.64406  1.85556  1.22668   9.59988  0.05504     0.15365   5036.25146   6887.46133   3.1209         3772.99348      18.2967   0.0011  58734.90554   1.45247   0.0913   11098.24291  48.39499   19.5437  58762.48794    50.87536       44.32823   11.73143  30.45386   34.5    0.28665  -21.00391  0.99983 
   -3.77949    0.017  1.26958     14.71528  1.96514   0.9519  24.83362  0.03388     0.04289    8444.6658    3330.1735  2.84073         3275.64409     19.71267  0.02867  58734.56051  10.56409  0.42211   10913.43738  48.31696  19.60482     58763.28    50.80246       44.23797   13.14438  33.25943   35.0    0.27282  -21.19332  0.99881 
   -3.28068  0.00454  0.93562     14.59743  1.65142   1.0948  19.28795  0.04241     0.27538   7631.20189   3108.61484   2.9773          3557.9387     16.64278    2e-05  58735.05932   6.70037   0.0876    8570.52135  48.61149  19.57185      58761.4     50.8521       44.31492   10.54632  31.63896   34.5    0.27951    -21.181  0.99989 
