 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.52916  1.50383  1.98691       3.79079         2240.53322  0.01012  0.01836      0.0195  96.45725      20.4588   5330.52873   -48.81481  0.74131  2031.91302  0.15978  58726.37519  51.38917   1.00689  18.67097  58880.44487 
    13.87492  1.57019  1.41706       4.99941         2174.57251  0.16537  0.03412     0.06612  90.79362     19.98932   4446.22794   -24.57647  1.16567  2355.92995  0.05421  58750.61353  51.51384   16.3065  18.79925     58856.42 
    13.49477  1.43588  2.03736       0.38005         3748.49855  0.01247  0.02823     0.01634  78.59983     19.34124   4974.66944   -55.60429  0.94478  1861.17988  0.01219  58719.58571  51.29981   1.20354   18.6228  58894.49718 
    13.51898  1.90665  2.88662       3.39504         2417.98646  0.01026  0.01064     0.01552  86.20455     19.37005    4006.2974   -44.62448  1.11435  1956.58183  0.01303  58730.56552   51.3492   1.00387  18.72811   58886.6594 
    14.03898  1.72517  1.52754       4.57023         2189.80748   0.0176   0.0357     0.01733  97.98113     19.28371    6242.3517   -28.74674  0.49857  1969.66522  0.01068  58746.44326  51.36313   1.75512  18.82309  58859.22719 
    13.68934  1.82981  2.52609       4.92037         2103.42952  0.00145  0.02194     0.02184   81.4039     19.85886   4641.26194   -51.79324   0.7528  1892.77306  0.04014  58723.39676  51.31671   0.14078  18.77585     58860.28 
    13.40419  1.49336  2.22357       0.88538         3092.53855  0.00124  0.01966     0.02116  99.54998     19.29526   3810.13949   -54.11572  1.43125  1964.98681  0.01096  58721.07428  51.36206   0.12413  18.82713     58860.28 
    13.34813  1.23939  1.93847       0.81803         3692.64364  0.05057  0.02476     0.01298  97.41862     18.71705   6869.54917   -74.36687  1.44569  1626.01973   0.0029  58700.82313  51.19623   5.03769  18.78111  58877.69319 
    14.23932  1.28951  0.90749       4.97223         2066.01077  0.31133  0.05323     0.12096  62.32509     19.95456   5822.25853   -26.38458  0.45928  2611.56536  0.05004  58748.80542  51.57867  29.00391  18.87106    58855.251 
    14.04922  1.57073  0.96375       1.42461          2924.1174  0.01761  0.08337     0.09217  63.24096     19.84288   7004.83869   -30.49875  0.48844  2041.78088  0.03869  58744.69125  51.36587   1.64439  18.74284  58894.49718 
    14.47428  1.68339  0.80543       0.56269         3729.99374  0.31416   0.0332      0.4951  79.15688     19.71648   6178.06971   -29.61361  0.62546  2417.61481  0.02892  58745.57639  51.52747  30.35369   18.8025  58890.57829 
    13.37531  1.61408  2.64621       3.74427         2285.23281  0.03702  0.01047     0.02218  81.37097     19.71547    4128.8003   -51.79362  1.08599  1980.86675  0.02885  58723.39638  51.35619   3.59128  18.78116  58863.14607 
    13.49318  1.73083  3.06093       1.47911         3080.58091  0.10912   0.0101     0.02715  49.89439     20.05697   4380.99211   -35.78238  0.74609  2515.29288  0.06334  58739.40762  51.53078   9.81516  18.70308  58882.74052 
    13.54986   1.4914  2.27109        4.8838         2228.56422  0.01539  0.01479     0.01144  74.97334     20.16168   4784.90219   -44.87889  0.69496  1944.02358  0.08061  58730.31111  51.33455   1.47455  18.72974  58881.44546 
    14.56815  1.67744   0.7456       0.38635         3439.48169  0.38146  0.04434     0.28256  67.47929      16.8729   4179.17773    -31.6254  0.53655  2798.09048    4e-05   58743.5646  51.64391  35.97587  18.79815     58852.44 
    13.40942  1.06736  1.08383        4.2978         2183.20228  0.02388  0.03636     0.01623  96.08402     20.24937   5564.73376   -41.63535  1.09992  1799.15626  0.09865  58733.55465  51.28325   2.37408  18.76314  58847.47052 
    14.18002   1.3029  0.92909       4.89433         2261.80661  0.34713  0.04784     0.12653  55.97692     18.95427   5076.29235   -28.12575  0.60183  2344.30851    0.005  58747.06425  51.47759  31.79973  18.74009   58886.6594 
    13.57474  1.72759  2.53521       1.19982         3400.79192  0.00166   0.0112     0.03173  75.93872     20.27557   3796.91644   -46.01893  0.66843  2017.10307  0.10479  58729.17107  51.36744   0.15958  18.56374  58890.57829 
    13.49268  2.00067  3.37473        4.7074         2106.71165  0.05768   0.0101     0.02202  79.27081     18.95781   5970.55431   -55.57417  1.23341  2066.46163  0.00504  58719.61583  51.39124   5.57448  18.78349  58867.26072 
    13.46454  1.41635  2.24031       4.12705         2228.30544  0.02206  0.01305     0.02009  83.44749     20.04082   4640.78725   -45.03397  0.79381  1841.98141  0.06103  58730.15603  51.29468   2.14829  18.80592    58855.251 
    13.55285  1.82836  2.87967       4.74304         2345.42155  0.01275  0.01017     0.01232  82.45125     18.69789    4366.9948   -36.05134  1.06417   1952.6291  0.00277  58739.13866  51.34457   1.23974  18.73035  58869.24301 
     13.3243  1.68503  2.53936       0.87277         3575.47089  0.01735  0.01034     0.01101  76.68733     20.28051    4537.4013   -57.82104   1.3294  1971.54213  0.10598  58717.36896  51.34824   1.66804  18.74791  58871.22494 
     13.4134  1.62964  2.54347       3.46537         2356.82471  0.00429  0.01036     0.03335  92.27085     19.53116   3070.22403   -51.56678  0.97932  1995.39432  0.01887  58723.62322   51.3706   0.42428  18.71346  58867.06496 
    13.38027   1.2917   2.1444       4.43148         2157.23116  0.00856  0.01139     0.01797   80.9689     20.02454   5698.58268   -50.30638  0.78667  1805.84746  0.05879  58724.88362  51.27552   0.83013  18.76003    58855.251 
    13.43929  1.44015  2.21703       1.19491          3412.7305  0.00304   0.0206      0.0103  72.99859     19.55789    3986.1756    -54.6953  0.98518  1911.04189  0.02007   58720.4947  51.31794   0.29023  18.64629  58898.41607 
    14.40755  1.67938  1.65652       4.69999         2079.35764  0.34252  0.03605     0.10214  71.50354     20.43548    5535.9099   -23.41342  0.42595  2788.58255  0.15143  58751.77658   51.6448  32.59039  18.63951  58890.57829 
    13.37228  1.35841  1.87136       0.40889         3574.89169  0.02336  0.02933     0.01754  94.87531      19.0592   6635.34539   -68.34923  1.50766  1916.66611  0.00637  58706.84077   51.3374   2.31811  18.59714   58886.6594 
    13.36459  1.20065  1.65155       2.61819         2280.30551  0.00417    0.024     0.01813  79.57213      20.3975   4144.67845   -49.11631  0.88277  1998.22789  0.13875  58726.07369  51.36232   0.40294  18.70503   58886.6594 
    13.50879  1.36576  2.38015         1.148         3521.23032  0.01101   0.0114     0.01263  77.14164     19.68386   7427.54255   -54.95953  0.65626  1774.21204  0.02683  58720.23047  51.25702   1.05922  18.79906   58877.1189 
    14.37558  1.22736  0.77039       4.91124         2265.19895  0.49109  0.04568     0.05723  51.88469     19.41721    4725.3801   -17.29522  0.48855  2639.65389  0.01452  58757.89478  51.57542  44.44865  18.79217  58859.22719 
    13.90294  1.56748  1.31933       4.35473         2030.51101  0.06203  0.06028     0.18153   79.2174     18.79894   5993.35681    -45.4886  0.59773  2064.59648   0.0035   58729.7014  51.39041   5.99408  18.77218     58856.13 
    14.71258  1.86931  0.72221       0.36547         3417.67155  0.27227  0.05013     0.42057  72.86711     18.58407   5759.79105   -34.93342  0.32003  2568.58501  0.00213  58740.25658  51.57466  25.98051  18.82443  58863.14607 
    13.55377  1.62735  1.78654       0.19517          3677.5748  0.00461  0.05836     0.03274   78.0525     19.63923   5467.86596   -60.05469  1.18005  2150.46578  0.02421  58715.13531  51.42484   0.44435  18.79545     58860.28 
    13.39957  1.45958  2.22452        3.7557         2283.39684  0.00301  0.01621     0.02226  68.49674     20.13185   5265.27413   -47.63179  1.00199  2135.60132  0.07526  58727.55821  51.41023   0.28433  18.80997     58862.42 
    13.66474  1.53568  2.19605       0.40751         3509.57618  0.00108  0.01079     0.02467  86.77467     20.53311   3994.71305    -61.1066  0.39613  2181.56314   0.1896   58714.0834  51.44416   0.10581  18.72415  58894.49718 
     14.0038  1.25596  0.95735       4.90249         2228.40064  0.35942  0.05988     0.12604  54.54228      18.3523   4237.65896   -21.14208  0.87491  2696.21985  0.00125  58754.04792  51.59729  32.79078   18.5269  58894.49718 
    13.45194  1.25914  1.81004       1.27685         3238.30849  0.00106  0.01914     0.01346  93.64608     20.06533   6280.57023   -50.21238  0.76746  1799.04879  0.06457  58724.97762  51.28157   0.10527  18.55443  58902.33496 
    13.61384  1.50217  1.32315       4.44632         2047.76027  0.04003  0.05497     0.09791  79.45227     20.24517   6307.24809    -38.9585  1.17661  2149.56197   0.0977   58736.2315  51.42563   3.86941  18.58825  58894.49718 
    13.60504  1.61437  1.86126       0.02571         3790.95194  0.01194  0.04886     0.01458  81.93364      19.2456   5625.59678   -63.94618  1.01079  2073.06747  0.00978  58711.24382  51.39616   1.15918  18.57241  58890.57829 
    13.54157  1.93454  2.83227       3.46868         2330.94817  0.00836  0.01063     0.07239  85.10898     20.03522   3453.07085    -50.5655   1.0282  1907.32753  0.06025   58724.6245  51.32623   0.81646  18.80503     58862.42 
    13.49269  1.32225  1.60104       0.89767         3534.93472  0.00289  0.02842     0.01957  95.96127     20.19195    4651.6885   -43.27476   1.1018  1787.06439  0.08643  58731.91524  51.27731   0.28772  18.77442     58856.13 
    14.86059  1.71068  0.72257       0.53586         3697.25828   0.2842  0.02348     0.17167  78.31528     19.92502   5159.95977   -24.60289  0.30605  2530.92952  0.04675  58750.58711  51.56656  27.41556  18.71606  58867.26072 
    13.43063  1.78728  2.81217        4.3189         2058.85289  0.00707  0.01133     0.01088  59.93976     19.98932   3001.48303   -50.89692   1.2563  2119.37912  0.05421  58724.29308  51.39465   0.65459  18.82273  58869.24301 
