       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
  58706.98     99.0     99.0     99.0   3608.04     3631.0       u 
 58708.231     99.0     99.0     99.0   3608.04     3631.0       u 
 58709.483     99.0     99.0     99.0   3608.04     3631.0       u 
 58710.734     99.0     99.0     99.0   3608.04     3631.0       u 
 58711.986     99.0     99.0     99.0   3608.04     3631.0       u 
 58713.238     99.0     99.0     99.0   3608.04     3631.0       u 
 58714.489     99.0     99.0     99.0   3608.04     3631.0       u 
 58715.741     99.0     99.0     99.0   3608.04     3631.0       u 
 58716.992     99.0     99.0   -11.86   3608.04     3631.0       u 
 58718.244     99.0     99.0  -14.816   3608.04     3631.0       u 
 58719.495     99.0     99.0  -16.076   3608.04     3631.0       u 
 58720.747     99.0     99.0  -16.772   3608.04     3631.0       u 
 58721.999     99.0  -13.361  -17.285   3608.04     3631.0       u 
  58723.25     99.0  -15.499  -17.676   3608.04     3631.0       u 
 58724.502     99.0  -16.409  -17.998   3608.04     3631.0       u 
 58725.753     99.0  -17.066  -18.258   3608.04     3631.0       u 
 58727.005     99.0  -17.544  -18.489   3608.04     3631.0       u 
 58728.256  -13.929  -17.877  -18.687   3608.04     3631.0       u 
 58729.508  -15.833   -18.14  -18.859   3608.04     3631.0       u 
 58730.759  -16.749  -18.389  -19.013   3608.04     3631.0       u 
 58732.011  -17.263  -18.609  -19.152   3608.04     3631.0       u 
 58733.263  -17.739  -18.791   -19.28   3608.04     3631.0       u 
 58734.514  -18.084  -18.959  -19.396   3608.04     3631.0       u 
 58735.766  -18.339  -19.123  -19.502   3608.04     3631.0       u 
 58737.017  -18.569  -19.252  -19.599   3608.04     3631.0       u 
 58738.269   -18.78  -19.366  -19.689   3608.04     3631.0       u 
  58739.52  -18.954   -19.48  -19.773   3608.04     3631.0       u 
 58740.772  -19.113  -19.579  -19.851   3608.04     3631.0       u 
 58742.024  -19.258  -19.667  -19.924   3608.04     3631.0       u 
 58743.275  -19.387  -19.754  -19.995   3608.04     3631.0       u 
 58744.527  -19.496  -19.836  -20.062   3608.04     3631.0       u 
 58745.778  -19.598  -19.911  -20.122   3608.04     3631.0       u 
