# STATUS =
# OBJECT = 2019unb
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2019-11-27 08:00:05.00
# MJD = 58814.33
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 2.269132e+00
3450.000000 2.305619e+00
3460.000000 2.342392e+00
3470.000000 2.371121e+00
3480.000000 2.363768e+00
3490.000000 2.342516e+00
3500.000000 2.340247e+00
3510.000000 2.337898e+00
3520.000000 2.319239e+00
3530.000000 2.296811e+00
3540.000000 2.267994e+00
3550.000000 2.253515e+00
3560.000000 2.248812e+00
3570.000000 2.241774e+00
3580.000000 2.255905e+00
3590.000000 2.283122e+00
3600.000000 2.305508e+00
3610.000000 2.306879e+00
3620.000000 2.278249e+00
3630.000000 2.237405e+00
3640.000000 2.176328e+00
3650.000000 2.112150e+00
3660.000000 2.046893e+00
3670.000000 1.991637e+00
3680.000000 1.957346e+00
3690.000000 1.927256e+00
3700.000000 1.891856e+00
3710.000000 1.856951e+00
3720.000000 1.830885e+00
3730.000000 1.793338e+00
3740.000000 1.762083e+00
3750.000000 1.746562e+00
3760.000000 1.738677e+00
3770.000000 1.749869e+00
3780.000000 1.760119e+00
3790.000000 1.786409e+00
3800.000000 1.808950e+00
3810.000000 1.827007e+00
3820.000000 1.831434e+00
3830.000000 1.839016e+00
3840.000000 1.854188e+00
3850.000000 1.859064e+00
3860.000000 1.866280e+00
3870.000000 1.872490e+00
3880.000000 1.883573e+00
3890.000000 1.883341e+00
3900.000000 1.886395e+00
3910.000000 1.896405e+00
3920.000000 1.912236e+00
3930.000000 1.929348e+00
3940.000000 1.938822e+00
3950.000000 1.946698e+00
3960.000000 1.947842e+00
3970.000000 1.946877e+00
3980.000000 1.921277e+00
3990.000000 1.897833e+00
4000.000000 1.872740e+00
4010.000000 1.849617e+00
4020.000000 1.826921e+00
4030.000000 1.802805e+00
4040.000000 1.797184e+00
4050.000000 1.794036e+00
4060.000000 1.799742e+00
4070.000000 1.795898e+00
4080.000000 1.798013e+00
4090.000000 1.798660e+00
4100.000000 1.806165e+00
4110.000000 1.799851e+00
4120.000000 1.782795e+00
4130.000000 1.770730e+00
4140.000000 1.748457e+00
4150.000000 1.723535e+00
4160.000000 1.710755e+00
4170.000000 1.699131e+00
4180.000000 1.693671e+00
4190.000000 1.690726e+00
4200.000000 1.677149e+00
4210.000000 1.666135e+00
4220.000000 1.653558e+00
4230.000000 1.629297e+00
4240.000000 1.607693e+00
4250.000000 1.605475e+00
4260.000000 1.592136e+00
4270.000000 1.584925e+00
4280.000000 1.577522e+00
4290.000000 1.574687e+00
4300.000000 1.570909e+00
4310.000000 1.556786e+00
4320.000000 1.539630e+00
4330.000000 1.532467e+00
4340.000000 1.535620e+00
4350.000000 1.528398e+00
4360.000000 1.540156e+00
4370.000000 1.552496e+00
4380.000000 1.567921e+00
4390.000000 1.578573e+00
4400.000000 1.583254e+00
4410.000000 1.583616e+00
4420.000000 1.580923e+00
4430.000000 1.566304e+00
4440.000000 1.541650e+00
4450.000000 1.518667e+00
4460.000000 1.500126e+00
4470.000000 1.491614e+00
4480.000000 1.493153e+00
4490.000000 1.508321e+00
4500.000000 1.526546e+00
4510.000000 1.548660e+00
4520.000000 1.555169e+00
4530.000000 1.550524e+00
4540.000000 1.539212e+00
4550.000000 1.527695e+00
4560.000000 1.508592e+00
