       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 58745.864    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 58745.864    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58745.864    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58745.864    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 58745.864    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58745.864    99.0    99.0    99.0  6629.82     3631.0  orange 
 58745.864    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 58745.864    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
 58748.456    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 58748.456    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58748.456    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58748.456    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 58748.456    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58748.456    99.0    99.0    99.0  6629.82     3631.0  orange 
 58748.456    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 58748.456    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
 58751.048    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 58751.048    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58751.048    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58751.048    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 58751.048    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58751.048    99.0    99.0    99.0  6629.82     3631.0  orange 
 58751.048    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 58751.048    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
  58753.64    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
  58753.64    99.0    99.0    99.0  4746.48     3631.0   g-P48 
  58753.64    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58753.64    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
  58753.64    99.0    99.0    99.0  6366.38     3631.0   r-P48 
  58753.64    99.0    99.0    99.0  6629.82     3631.0  orange 
  58753.64    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
  58753.64    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
 58756.232    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 58756.232    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 58756.232    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58756.232    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 58756.232    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 58756.232    99.0    99.0    99.0  6629.82     3631.0  orange 
 58756.232    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 58756.232    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
 58758.528    99.0    99.0  25.165  4735.89     3631.0  g-FLWO 
 58758.528    99.0    99.0  25.184  4746.48     3631.0   g-P48 
 58758.528    99.0    99.0  25.217  5182.42     3631.0    cyan 
 58758.528    99.0    99.0  25.321  6198.96     3631.0  r-FLWO 
 58758.528    99.0    99.0  25.339  6366.38     3631.0   r-P48 
 58758.528    99.0    99.0  25.381  6629.82     3631.0  orange 
 58758.528    99.0    99.0  25.495  7645.77     3631.0  i-FLWO 
 58758.528    99.0    99.0   25.51  7503.03     3631.0   i-PS1 
 58758.825    99.0    99.0  24.838  4735.89     3631.0  g-FLWO 
 58758.825    99.0    99.0  24.856  4746.48     3631.0   g-P48 
 58758.825    99.0    99.0  24.889  5182.42     3631.0    cyan 
 58758.825    99.0    99.0  24.992  6198.96     3631.0  r-FLWO 
 58758.825    99.0    99.0   25.01  6366.38     3631.0   r-P48 
 58758.825    99.0    99.0  25.052  6629.82     3631.0  orange 
 58758.825    99.0    99.0  25.165  7645.77     3631.0  i-FLWO 
 58758.825    99.0    99.0   25.18  7503.03     3631.0   i-PS1 
 58761.417    99.0    99.0  23.026  4735.89     3631.0  g-FLWO 
 58761.417    99.0    99.0  23.047  4746.48     3631.0   g-P48 
 58761.417    99.0    99.0   23.09  5182.42     3631.0    cyan 
 58761.417    99.0    99.0  23.211  6198.96     3631.0  r-FLWO 
 58761.417    99.0    99.0  23.229  6366.38     3631.0   r-P48 
 58761.417    99.0    99.0  23.277  6629.82     3631.0  orange 
 58761.417    99.0    99.0    23.4  7645.77     3631.0  i-FLWO 
 58761.417    99.0    99.0  23.416  7503.03     3631.0   i-PS1 
 58761.507    99.0    99.0  22.986  4735.89     3631.0  g-FLWO 
 58761.507    99.0    99.0  23.006  4746.48     3631.0   g-P48 
 58761.507    99.0    99.0  23.049  5182.42     3631.0    cyan 
 58761.507    99.0    99.0  23.169  6198.96     3631.0  r-FLWO 
 58761.507    99.0    99.0  23.187  6366.38     3631.0   r-P48 
 58761.507    99.0    99.0  23.234  6629.82     3631.0  orange 
 58761.507    99.0    99.0  23.358  7645.77     3631.0  i-FLWO 
 58761.507    99.0    99.0  23.374  7503.03     3631.0   i-PS1 
 58764.009    99.0    99.0  22.085  4735.89     3631.0  g-FLWO 
 58764.009    99.0    99.0  22.104  4746.48     3631.0   g-P48 
 58764.009    99.0    99.0  22.126  5182.42     3631.0    cyan 
 58764.009    99.0    99.0  22.203  6198.96     3631.0  r-FLWO 
 58764.009    99.0    99.0  22.214  6366.38     3631.0   r-P48 
 58764.009    99.0    99.0  22.261  6629.82     3631.0  orange 
 58764.009    99.0    99.0   22.38  7645.77     3631.0  i-FLWO 
 58764.009    99.0    99.0  22.396  7503.03     3631.0   i-PS1 
 58764.493    99.0    99.0  21.928  4735.89     3631.0  g-FLWO 
 58764.493    99.0    99.0  21.946  4746.48     3631.0   g-P48 
 58764.493    99.0    99.0  21.967  5182.42     3631.0    cyan 
 58764.493    99.0    99.0  22.047  6198.96     3631.0  r-FLWO 
 58764.493    99.0    99.0  22.063  6366.38     3631.0   r-P48 
 58764.493    99.0    99.0   22.11  6629.82     3631.0  orange 
 58764.493    99.0    99.0   22.23  7645.77     3631.0  i-FLWO 
 58764.493    99.0    99.0  22.246  7503.03     3631.0   i-PS1 
 58764.516    99.0    99.0  21.921  4735.89     3631.0  g-FLWO 
 58764.516    99.0    99.0  21.939  4746.48     3631.0   g-P48 
 58764.516    99.0    99.0   21.96  5182.42     3631.0    cyan 
 58764.516    99.0    99.0  22.041  6198.96     3631.0  r-FLWO 
 58764.516    99.0    99.0  22.056  6366.38     3631.0   r-P48 
 58764.516    99.0    99.0  22.103  6629.82     3631.0  orange 
 58764.516    99.0    99.0  22.223  7645.77     3631.0  i-FLWO 
 58764.516    99.0    99.0  22.239  7503.03     3631.0   i-PS1 
 58766.601    99.0  24.433  21.447  4735.89     3631.0  g-FLWO 
 58766.601    99.0   24.45  21.464  4746.48     3631.0   g-P48 
 58766.601    99.0   24.47  21.487  5182.42     3631.0    cyan 
 58766.601    99.0  24.588  21.585  6198.96     3631.0  r-FLWO 
 58766.601    99.0  24.611  21.605  6366.38     3631.0   r-P48 
 58766.601    99.0   24.66  21.652  6629.82     3631.0  orange 
 58766.601    99.0  24.783  21.775  7645.77     3631.0  i-FLWO 
