 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)     M_Ni  Peak_mag     Peak_MJD 
    13.98929  1.50706  2.67556       3.36878         2906.87498  0.00329  0.01032     0.35431  37.17233     21.34619   7334.65745   -30.27326  0.86521  2092.15139  1.23288  58758.24247  51.34974  0.28205   19.4687  58811.11267 
    14.20228  1.74661  2.60023       4.43358         2852.10752  0.02593  0.01201     0.01703  37.99405     21.33557   9472.16428   -28.25048  0.87443  1976.60415   1.2031  58760.26524  51.30199  2.23014  19.44837  58811.11267 
    14.08074  1.54806  2.90854       2.28311         3049.42727  0.00274  0.01618      0.3631  29.41978     21.24441    5783.7009   -32.48799  0.92805    2136.317   0.9753  58756.02774  51.35039  0.22557  19.53026   58814.5831 
    14.08472  1.54543  3.75487       4.41974         3079.42381  0.00654  0.01428     0.02967  22.82839     21.27304   6338.75255   -31.22337  0.75049  2118.40136  1.04175  58757.29235  51.32327  0.51446  19.50812  58807.97298 
     14.0129   1.5697  5.18745        4.6863         3443.90114  0.00148   0.0371     0.06481   6.61202     21.16436   8956.34982   -27.23928  0.93107  2307.21176  0.81112  58761.27644  51.28511   0.0901  19.53171  58811.11267 
    14.09101  1.95298   5.1598       3.78709         3443.47915  0.00175   0.0118     0.39255   30.1683     21.23331   4326.18333   -29.03089  1.50577  2180.69336  0.95069  58759.48484  51.37016  0.14431  19.53737  58804.47883 
    14.03032  1.80253  4.22053       3.76388         3240.98567  0.00377   0.0134      0.1159  23.65907     21.26501   9233.55606   -29.46068  1.44784  2073.55758  1.02269  58759.05505  51.30753  0.29864  19.51041  58811.11267 
    14.08256  1.92361  5.86067       3.80954         3472.60613  0.00302  0.01806     0.08496  15.44602      21.1879   9626.38537    -28.2691  1.17122  2711.33692   0.8563  58760.24663  51.50524  0.22041  19.40143  58807.97298 
    14.03849  1.59464  2.90296       4.78325         3109.24986  0.01209  0.01388     0.26382  32.07628     21.37235   4363.87019   -31.54308   0.9143  1977.72381  1.30942  58756.97265  51.28994  1.01013  19.47467  58814.25236 
    14.05613  1.37769  3.28347       4.80628         3451.44792  0.03511  0.01106     0.01409  32.49598     21.37385   3324.24352   -31.49763  0.65315  1963.05833  1.31395   58757.0181  51.28445  2.94061  19.52877  58811.11267 
    14.41404  1.47658  3.03659       4.59885         3230.73326  0.02909  0.01179     0.02353  49.12586     21.24143   6298.11522   -38.10604  0.46754  1881.77762  0.96863  58750.40969  51.27766  2.61009  19.58445  58811.11267 
    14.11137  1.70381  3.89547       3.58092         3314.33044  0.08865  0.02673     0.02276  17.70145     21.28675   4336.08553   -28.34556  1.56326    2475.093  1.07518  58760.17017  51.43763   6.6452  19.49837  58814.25236 
    13.89988  1.55328  2.41455       4.23358         2858.05672  0.00458   0.0101     0.01415  42.40333     21.39908   5534.79295   -30.11499  1.35475  1970.43819  1.39253  58758.40074  51.30722  0.40121   19.4926  58811.11267 
    13.94998  1.56836  3.59775       2.76883         3672.38114  0.00588  0.01453     0.03969  28.20415     21.31634   5519.61465   -26.70753  1.55758  2281.92445  1.15097   58761.8082  51.40443  0.48059   19.5393  58814.25236 
    14.12557  1.74635  2.87777        1.7809         3721.00219  0.01781  0.01799      0.0371  29.95172     21.28305   5943.07284   -37.89021  1.10351   1997.0767  1.06606  58750.62552  51.29321  1.47011  19.50908  58814.25236 
    14.10944  1.48921  2.64281       2.75916         3543.75823  0.00421  0.01116     0.31909  50.79513     21.30725   6809.74692   -38.02342  0.79834  1852.11321  1.12715  58750.49231  51.26619  0.38021  19.46241  58814.25236 
    14.22214  1.52109  4.12447       2.29409         3505.06344  0.00183   0.0195     0.49114  23.23688     21.14426    6239.3768   -40.12717  0.55041  2291.43297  0.77443  58748.38856  51.39288   0.1441  19.39889  58814.25236 
    14.08092  1.59147   2.9348       4.16176         2961.61145  0.00388   0.0104     0.45478   39.8334     21.37216    4308.3175    -29.5174  0.73792  2077.24791  1.30883  58758.99833  51.34856   0.3367  19.51301  58811.11267 
    13.94696  1.75337  4.50589       4.97405         3513.95762  0.00138  0.11722     0.01076   1.31351     21.35156   8366.54864   -22.80314  0.86336  2061.64443  1.24822  58765.71259  50.97627  0.05148  19.52201  58811.11267 
    13.74583  1.73549  3.54604        4.9288         3299.96747   0.0016  0.17922     0.01412   0.55824     21.44143   8989.37617   -22.07005  1.06677   1763.5965  1.53518  58766.44568  50.66583  0.03995  19.46925  58811.11267 
    14.17379   1.9644  4.34782       2.53692         3351.28998  0.02105  0.01622     0.34793  29.68562     21.19666   6108.86939    -37.2566  1.36645  2131.30865  0.87375  58751.25913  51.34904  1.73515  19.51644  58811.11267 
    14.12853  1.98895  3.79652       4.68151         3401.20482  0.01447  0.01691     0.16375  33.00858     21.30822   6377.41584   -42.37911  1.51602  1762.16017  1.12966  58746.13662  51.19184  1.21529  19.47939  58814.25236 
    14.26779   1.6559  2.07701       4.94407         2768.16399  0.04899  0.01907     0.09395  34.70853     21.24119   9061.54037   -27.71082  1.23938  2204.65863  0.96808  58760.80491  51.39018  4.14913  19.50453  58811.11267 
    14.27399  1.81926  2.08979       4.69592         3522.81794  0.07594  0.01044     0.01472   43.6392     21.41885   9101.47291   -21.25044  1.53087  1770.95487  1.45739  58767.26529  51.21656   6.6831  19.48851  58811.11267 
    14.01131  1.56233  2.78457       2.39126         3537.66364  0.02718  0.01412     0.04465   40.7458     21.32263   5535.85846   -37.81612  1.29039  2141.08335  1.16777  58750.69961  51.37649   2.3654  19.51754  58814.25236 
    14.20996   1.5475  1.98875        3.9669         2399.59598  0.00206  0.01609     0.07111  42.87533     21.20921   6016.29965   -40.48571  0.75722   1965.6197  0.89938  58748.03002  51.30589  0.18078  19.49776   58816.5284 
    14.08494  1.95084  3.04655       3.49849         3251.50832  0.00318  0.01044     0.45013  52.96966     21.35157   8595.34606   -40.47683  1.33016  1906.40618  1.24824   58748.0389  51.29419  0.28878  19.43759  58811.11267 
    14.07953  1.44926  3.23648       4.85761          3455.3427  0.00123  0.01265     0.35687  34.96856     21.33686   4935.92738   -44.88226  0.58685  1705.17755  1.20665  58743.63347  51.16759  0.10394  19.47346  58814.25236 
    14.23514  1.45307  3.24987       3.67014         3570.31875  0.00283  0.01687     0.33228  40.69935     21.17937   4980.28543   -59.59763  0.51661  1716.11492  0.83965  58728.91809  51.18424  0.24597  19.50972  58811.11267 
    14.06212  1.45945  1.85285       3.41962         3382.07266  0.04524  0.01115      0.0796   45.6981     21.37402   4421.60606   -29.91895  1.27552  1811.54624  1.31446  58758.59678  51.23953  4.01147  19.50874  58807.97298 
    14.08881  1.82015  2.51831       3.73137         3350.56999  0.00295  0.01005     0.03691  54.79292     21.38406   6793.88802   -32.29954  1.46044  1770.04565  1.34521  58756.21619  51.23206  0.26958  19.58528  58811.11267 
    14.01763  1.81233  3.37598       4.48586         2898.52525  0.00128  0.01227     0.01108  30.41637     21.34319   4044.02895    -27.3358   1.4199  2079.69372   1.2244  58761.17993  51.32959  0.10591  19.50544   58814.5831 
    14.10172  1.89804  3.41817       4.61373         3250.62841  0.00199  0.01852     0.03696  31.38895     21.32193    8353.8314   -37.92365  1.40761  1850.16786  1.16588  58750.59208   51.2304  0.16594  19.47938  58814.50809 
    14.07804  1.70631  2.68384        3.9816         2738.37825  0.00357   0.0106     0.02218  51.32317     21.32031   3557.51913   -34.53275  1.06924  2107.13142  1.16155  58753.98298  51.37896  0.32295  19.50192  58807.97298 
    14.23634  1.65173  1.03954       1.19559         3739.49679  0.04214  0.01015     0.25478  53.91519     21.30341   8404.35018   -24.85881  1.55872  2354.13484  1.11722  58763.65692  51.47865  3.83727  19.49228  58814.25236 
    14.32803  1.74505  1.64672       3.72939         3174.33077  0.11005  0.01243     0.05245  34.44473     21.39031   9886.99622    -16.0051  1.11001   2064.0072  1.36471  58772.51063  51.33235  9.30897   19.4668  58807.97298 
    14.23325  1.71454   6.3736       4.76381         3642.90524  0.00282  0.01821     0.39636  25.70554     20.94129   4296.44462   -36.78988   0.7315  2344.87836   0.4853  58751.72585  51.42087  0.22642  19.44355  58814.25236 
    14.39871   2.0675  5.51483       4.66491         3643.29712  0.08188  0.01947     0.01555  21.70414     21.20359   4594.56103   -21.51833  1.47243  2172.71411  0.88781   58766.9974  51.34121  6.37927  19.44216  58811.11267 
