          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 58672.314891  19.3645  19.6064    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58675.322579  19.3846  19.6265    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58676.310906  19.1261  19.3679    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58678.290601  19.0336  19.2755    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58680.294586  19.0111   19.253    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58682.295661  19.4865  19.7284    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58684.306542  19.5892   19.831    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  58688.29652  19.4686  19.7104    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58690.291025  19.7648  20.0066    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58694.297265  19.5287  19.7706    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58696.296222  19.9424  20.2728    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58700.320997  19.9928  20.3233    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 58708.321373   18.699  19.0294    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 58714.268421  19.8142   20.056    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58732.260814  19.3108  19.5526    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58764.239026  19.4274  19.6693    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58772.216987   19.335  19.5769    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58784.362997  21.2159     21.5    -1.0       Gaia        Gaia       G   True      AB   False                 Gaia 
  58817.59969  19.9459    20.23  0.0542       Gaia        Gaia       G  False      AB   False                 Gaia 
 58830.562048  18.5248  18.8976  0.1478        P48         ZTF       g  False      AB   False                  ZTF 
