       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
  58772.51    99.0    99.0    99.0  4746.48     3631.0       g 
  58772.51    99.0    99.0    99.0  5182.42     3631.0    cyan 
  58772.51    99.0    99.0    99.0   5980.7     3631.0       w 
  58772.51    99.0    99.0    99.0  6366.38     3631.0       r 
  58772.51    99.0    99.0    99.0  6629.82     3631.0  orange 
 58773.044    99.0    99.0    99.0  4746.48     3631.0       g 
 58773.044    99.0    99.0    99.0  5182.42     3631.0    cyan 
 58773.044    99.0    99.0    99.0   5980.7     3631.0       w 
 58773.044    99.0    99.0    99.0  6366.38     3631.0       r 
 58773.044    99.0    99.0    99.0  6629.82     3631.0  orange 
 58775.539  27.928  26.274  25.041  4746.48     3631.0       g 
 58775.539  27.988  26.323  25.086  5182.42     3631.0    cyan 
 58775.539   28.09  26.415  25.168   5980.7     3631.0       w 
 58775.539  28.214  26.524  25.275  6629.82     3631.0  orange 
 58778.035  24.198  23.765  23.382  4746.48     3631.0       g 
 58778.035   24.25  23.825  23.429  5182.42     3631.0    cyan 
 58778.035  24.338  23.925  23.527   5980.7     3631.0       w 
 58778.035  24.386  23.993  23.595  6366.38     3631.0       r 
 58778.035  24.435  24.042  23.638  6629.82     3631.0  orange 
  58780.53  22.912  22.693  22.504  4746.48     3631.0       g 
  58780.53  22.964  22.742  22.543  5182.42     3631.0    cyan 
  58780.53  23.057  22.835  22.623   5980.7     3631.0       w 
  58780.53  23.151  22.945  22.735  6629.82     3631.0  orange 
 58782.516   22.29  22.149  21.996  4746.48     3631.0       g 
 58782.516  22.335  22.188  22.047  5182.42     3631.0    cyan 
 58782.516  22.423  22.269  22.125   5980.7     3631.0       w 
 58782.516  22.483  22.327  22.176  6366.38     3631.0       r 
 58782.516  22.526   22.37  22.219  6629.82     3631.0  orange 
 58783.026  22.156  22.028  21.886  4746.48     3631.0       g 
 58783.026  22.204  22.065  21.938  5182.42     3631.0    cyan 
 58783.026  22.292  22.149  22.017   5980.7     3631.0       w 
 58783.026  22.389   22.25   22.11  6629.82     3631.0  orange 
  58783.49  22.041  21.923  21.797  4746.48     3631.0       g 
  58783.49  22.091  21.965  21.844  5182.42     3631.0    cyan 
  58783.49  22.176  22.046  21.925   5980.7     3631.0       w 
  58783.49  22.231  22.103  21.969  6366.38     3631.0       r 
  58783.49  22.277  22.146  22.014  6629.82     3631.0  orange 
 58783.573  22.021  21.905  21.782  4746.48     3631.0       g 
 58783.573  22.071  21.947  21.827  5182.42     3631.0    cyan 
 58783.573  22.156  22.028  21.909   5980.7     3631.0       w 
 58783.573  22.211  22.085  21.953  6366.38     3631.0       r 
 58783.573  22.258  22.128  21.998  6629.82     3631.0  orange 
 58785.521  21.624  21.531  21.439  4746.48     3631.0       g 
 58785.521  21.665  21.575  21.484  5182.42     3631.0    cyan 
 58785.521  21.753  21.656   21.56   5980.7     3631.0       w 
 58785.521  21.846  21.742   21.65  6629.82     3631.0  orange 
 58787.593  21.284  21.207  21.135  4746.48     3631.0       g 
 58787.593  21.314  21.245  21.181  5182.42     3631.0    cyan 
 58787.593    21.4  21.328  21.258   5980.7     3631.0       w 
 58787.593  21.456  21.376  21.303  6366.38     3631.0       r 
 58787.593  21.497  21.414  21.342  6629.82     3631.0  orange 
 58788.017  21.227  21.148  21.079  4746.48     3631.0       g 
 58788.017  21.254  21.186  21.127  5182.42     3631.0    cyan 
 58788.017  21.336  21.267  21.203   5980.7     3631.0       w 
 58788.017  21.432  21.355  21.285  6629.82     3631.0  orange 
 58788.504   21.16  21.082  21.018  4746.48     3631.0       g 
 58788.504   21.19  21.119  21.064  5182.42     3631.0    cyan 
 58788.504  21.265    21.2  21.141   5980.7     3631.0       w 
 58788.504  21.323  21.251  21.183  6366.38     3631.0       r 
 58788.504  21.363  21.291  21.221  6629.82     3631.0  orange 
 58788.527  21.157  21.079  21.015  4746.48     3631.0       g 
 58788.527  21.187  21.116  21.061  5182.42     3631.0    cyan 
 58788.527  21.262  21.197  21.138   5980.7     3631.0       w 
 58788.527   21.36  21.288  21.218  6629.82     3631.0  orange 
 58790.512  20.914  20.842  20.789  4746.48     3631.0       g 
 58790.512  20.942  20.872  20.824  5182.42     3631.0    cyan 
 58790.512  21.008  20.953  20.906   5980.7     3631.0       w 
 58790.512  21.058    21.0  20.948  6366.38     3631.0       r 
 58790.512  21.098   21.04  20.985  6629.82     3631.0  orange 
 58790.547   20.91  20.838  20.785  4746.48     3631.0       g 
 58790.547  20.938  20.868   20.82  5182.42     3631.0    cyan 
 58790.547  21.004  20.949  20.902   5980.7     3631.0       w 
 58790.547  21.094  21.036  20.981  6629.82     3631.0  orange 
 58791.527  20.805  20.734  20.682  4746.48     3631.0       g 
 58791.527  20.829  20.763  20.719  5182.42     3631.0    cyan 
 58791.527  20.894  20.841  20.797   5980.7     3631.0       w 
 58791.527  20.937  20.886  20.841  6366.38     3631.0       r 
 58791.527  20.981  20.928  20.878  6629.82     3631.0  orange 
 58791.593  20.798  20.727  20.675  4746.48     3631.0       g 
 58791.593  20.822  20.756  20.713  5182.42     3631.0    cyan 
 58791.593  20.887  20.834   20.79   5980.7     3631.0       w 
 58791.593  20.973   20.92  20.871  6629.82     3631.0  orange 
 58793.008  20.657   20.59  20.544  4746.48     3631.0       g 
 58793.008  20.679   20.62  20.579  5182.42     3631.0    cyan 
 58793.008  20.742  20.694  20.653   5980.7     3631.0       w 
 58793.008  20.781  20.735  20.696  6366.38     3631.0       r 
 58793.008  20.823  20.776  20.734  6629.82     3631.0  orange 
 58794.547  20.516  20.457  20.411  4746.48     3631.0       g 
 58794.547  20.538  20.485  20.446  5182.42     3631.0    cyan 
 58794.547  20.603  20.554  20.517   5980.7     3631.0       w 
 58794.547  20.678  20.631  20.597  6629.82     3631.0  orange 
 58795.441  20.441  20.382  20.339  4746.48     3631.0       g 
 58795.441  20.463  20.412  20.374  5182.42     3631.0    cyan 
 58795.441  20.525  20.478  20.446   5980.7     3631.0       w 
 58795.441  20.558  20.518  20.486  6366.38     3631.0       r 
 58795.441  20.599  20.556  20.524  6629.82     3631.0  orange 
 58795.449   20.44  20.382  20.339  4746.48     3631.0       g 
 58795.449  20.463  20.411  20.374  5182.42     3631.0    cyan 
 58795.449  20.524  20.477  20.445   5980.7     3631.0       w 
 58795.449  20.598  20.556  20.524  6629.82     3631.0  orange 
 58795.457   20.44  20.381  20.338  4746.48     3631.0       g 
 58795.457  20.462  20.411  20.373  5182.42     3631.0    cyan 
 58795.457  20.523  20.476  20.445   5980.7     3631.0       w 
 58795.457  20.557  20.517  20.485  6366.38     3631.0       r 
 58795.457  20.597  20.555  20.523  6629.82     3631.0  orange 
 58795.469  20.439   20.38  20.337  4746.48     3631.0       g 
 58795.469  20.461   20.41  20.372  5182.42     3631.0    cyan 
 58795.469  20.522  20.475  20.444   5980.7     3631.0       w 
 58795.469  20.596  20.554  20.522  6629.82     3631.0  orange 
  58795.48  20.438  20.379  20.336  4746.48     3631.0       g 
  58795.48   20.46  20.409  20.372  5182.42     3631.0    cyan 
  58795.48  20.521  20.474  20.443   5980.7     3631.0       w 
  58795.48  20.555  20.515  20.483  6366.38     3631.0       r 
  58795.48  20.595  20.553  20.521  6629.82     3631.0  orange 
 58795.488  20.437  20.378  20.336  4746.48     3631.0       g 
 58795.488   20.46  20.408  20.371  5182.42     3631.0    cyan 
 58795.488  20.521  20.474  20.442   5980.7     3631.0       w 
 58795.488  20.595  20.553   20.52  6629.82     3631.0  orange 
   58795.5  20.436  20.378  20.335  4746.48     3631.0       g 
   58795.5  20.459  20.407   20.37  5182.42     3631.0    cyan 
   58795.5   20.52  20.473  20.441   5980.7     3631.0       w 
   58795.5  20.553  20.514  20.482  6366.38     3631.0       r 
   58795.5  20.594  20.552  20.519  6629.82     3631.0  orange 
 58795.503  20.436  20.377  20.335  4746.48     3631.0       g 
 58795.503  20.458  20.407   20.37  5182.42     3631.0    cyan 
 58795.503  20.519  20.473  20.441   5980.7     3631.0       w 
 58795.503  20.593  20.551  20.519  6629.82     3631.0  orange 
 58795.508  20.436  20.377  20.334  4746.48     3631.0       g 
 58795.508  20.458  20.407  20.369  5182.42     3631.0    cyan 
 58795.508  20.519  20.472  20.441   5980.7     3631.0       w 
 58795.508  20.553  20.513  20.481  6366.38     3631.0       r 
 58795.508  20.593  20.551  20.519  6629.82     3631.0  orange 
  58795.52  20.435  20.376  20.333  4746.48     3631.0       g 
  58795.52  20.457  20.406  20.369  5182.42     3631.0    cyan 
  58795.52  20.518  20.471   20.44   5980.7     3631.0       w 
  58795.52  20.592   20.55  20.518  6629.82     3631.0  orange 
 58795.527  20.434  20.375  20.333  4746.48     3631.0       g 
 58795.527  20.456  20.405  20.368  5182.42     3631.0    cyan 
 58795.527  20.517  20.471  20.439   5980.7     3631.0       w 
 58795.527  20.551  20.511   20.48  6366.38     3631.0       r 
 58795.527  20.591  20.549  20.517  6629.82     3631.0  orange 
 58795.618  20.427  20.368  20.326  4746.48     3631.0       g 
 58795.618  20.449  20.398  20.361  5182.42     3631.0    cyan 
 58795.618   20.51  20.463  20.432   5980.7     3631.0       w 
 58795.618  20.584  20.542   20.51  6629.82     3631.0  orange 
 58797.531  20.289  20.228  20.186  4746.48     3631.0       g 
 58797.531  20.305  20.253  20.218  5182.42     3631.0    cyan 
 58797.531  20.364   20.32  20.292   5980.7     3631.0       w 
 58797.531  20.392  20.356  20.329  6366.38     3631.0       r 
 58797.531  20.429  20.394  20.365  6629.82     3631.0  orange 
 58797.999  20.258  20.196  20.155  4746.48     3631.0       g 
 58797.999  20.271  20.221  20.186  5182.42     3631.0    cyan 
 58797.999   20.33  20.287  20.259   5980.7     3631.0       w 
 58797.999  20.395   20.36  20.332  6629.82     3631.0  orange 
 58799.473  20.166  20.101  20.065  4746.48     3631.0       g 
 58799.473  20.172  20.122  20.093  5182.42     3631.0    cyan 
 58799.473   20.23  20.189  20.163   5980.7     3631.0       w 
 58799.473  20.253  20.222  20.197  6366.38     3631.0       r 
 58799.473   20.29  20.257  20.232  6629.82     3631.0  orange 
 58800.492  20.107   20.04  20.005  4746.48     3631.0       g 
 58800.492   20.11   20.06  20.032  5182.42     3631.0    cyan 
 58800.492  20.165  20.125    20.1   5980.7     3631.0       w 
 58800.492  20.223  20.192  20.168  6629.82     3631.0  orange 
 58800.495  20.107   20.04  20.005  4746.48     3631.0       g 
 58800.495  20.109   20.06  20.031  5182.42     3631.0    cyan 
 58800.495  20.165  20.125    20.1   5980.7     3631.0       w 
 58800.495  20.187  20.157  20.132  6366.38     3631.0       r 
 58800.495  20.223  20.192  20.168  6629.82     3631.0  orange 
 58800.547  20.104  20.037  20.002  4746.48     3631.0       g 
 58800.547  20.106  20.057  20.028  5182.42     3631.0    cyan 
 58800.547  20.162  20.122  20.097   5980.7     3631.0       w 
 58800.547  20.219  20.189  20.164  6629.82     3631.0  orange 
 58801.473  20.052  19.984  19.951  4746.48     3631.0       g 
 58801.473  20.054  20.005  19.975  5182.42     3631.0    cyan 
 58801.473  20.106  20.067  20.043   5980.7     3631.0       w 
 58801.473  20.126  20.097  20.072  6366.38     3631.0       r 
 58801.473  20.162  20.133  20.108  6629.82     3631.0  orange 
  58802.99  19.971  19.908  19.872  4746.48     3631.0       g 
  58802.99  19.976  19.923  19.895  5182.42     3631.0    cyan 
  58802.99   20.02  19.984  19.961   5980.7     3631.0       w 
  58802.99  20.073  20.047   20.02  6629.82     3631.0  orange 
 58805.486  19.852  19.804  19.775  5182.42     3631.0    cyan 
 58805.486  19.857  19.794  19.759  4746.48     3631.0       g 
 58805.486  19.894  19.865  19.838   5980.7     3631.0       w 
 58805.486  19.909  19.884  19.859  6366.38     3631.0       r 
 58805.486  19.943  19.918  19.893  6629.82     3631.0  orange 
 58806.488  19.808  19.762  19.732  5182.42     3631.0    cyan 
 58806.488  19.818  19.752  19.716  4746.48     3631.0       g 
 58806.488   19.85   19.82  19.793   5980.7     3631.0       w 
 58806.488  19.895  19.871  19.845  6629.82     3631.0  orange 
 58807.981  19.748  19.702  19.672  5182.42     3631.0    cyan 
 58807.981  19.762  19.695  19.657  4746.48     3631.0       g 
 58807.981  19.787  19.758  19.731   5980.7     3631.0       w 
 58807.981  19.798  19.773  19.746  6366.38     3631.0       r 
 58807.981  19.829  19.806   19.78  6629.82     3631.0  orange 
 58810.477   19.66  19.615  19.581  5182.42     3631.0    cyan 
 58810.477  19.679   19.61  19.574  4746.48     3631.0       g 
 58810.477  19.693  19.665  19.635   5980.7     3631.0       w 
 58810.477   19.73  19.706   19.68  6629.82     3631.0  orange 
 58812.438    19.6  19.555  19.518  5182.42     3631.0    cyan 
 58812.438  19.623  19.554  19.515  4746.48     3631.0       g 
 58812.438  19.626  19.601  19.571   5980.7     3631.0       w 
 58812.438   19.63  19.607  19.581  6366.38     3631.0       r 
 58812.438  19.659  19.636  19.611  6629.82     3631.0  orange 
 58812.972  19.585  19.539  19.503  5182.42     3631.0    cyan 
 58812.972  19.609  19.541  19.501  4746.48     3631.0       g 
 58812.972  19.611  19.585  19.554   5980.7     3631.0       w 
 58812.972  19.641  19.618  19.593  6629.82     3631.0  orange 
 58813.622  19.567  19.522  19.485  5182.42     3631.0    cyan 
 58813.622  19.592  19.566  19.535   5980.7     3631.0       w 
 58813.622  19.593  19.524  19.484  4746.48     3631.0       g 
 58813.622  19.593  19.569  19.542  6366.38     3631.0       r 
 58813.622  19.621  19.598  19.572  6629.82     3631.0  orange 
 58815.468   19.52  19.476  19.438  5182.42     3631.0    cyan 
 58815.468  19.544  19.516  19.484   5980.7     3631.0       w 
 58815.468  19.551  19.484  19.442  4746.48     3631.0       g 
 58815.468  19.566  19.543  19.516  6629.82     3631.0  orange 
 58815.539  19.518  19.474  19.437  5182.42     3631.0    cyan 
 58815.539  19.537  19.515  19.488  6366.38     3631.0       r 
 58815.539  19.543  19.515  19.482   5980.7     3631.0       w 
 58815.539   19.55  19.482  19.441  4746.48     3631.0       g 
 58815.539  19.564  19.541  19.514  6629.82     3631.0  orange 
 58817.621  19.474   19.43  19.393  5182.42     3631.0    cyan 
 58817.621  19.495  19.468  19.434   5980.7     3631.0       w 
 58817.621  19.508  19.487  19.461  6629.82     3631.0  orange 
 58817.621   19.51  19.444  19.402  4746.48     3631.0       g 
 58817.963  19.467  19.423  19.386  5182.42     3631.0    cyan 
 58817.963  19.476  19.455  19.429  6366.38     3631.0       r 
 58817.963  19.488  19.461  19.427   5980.7     3631.0       w 
 58817.963    19.5  19.479  19.452  6629.82     3631.0  orange 
 58817.963  19.504  19.439  19.397  4746.48     3631.0       g 
 58819.438  19.441  19.398  19.361  5182.42     3631.0    cyan 
 58819.438  19.459  19.431  19.398   5980.7     3631.0       w 
 58819.438  19.467  19.445  19.419  6629.82     3631.0  orange 
 58819.438  19.482  19.417  19.375  4746.48     3631.0       g 
 58820.459  19.423  19.401  19.378  6366.38     3631.0       r 
