 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.38247  1.70491   3.79604       2.81825         3293.36818  0.11308  0.03185     0.01137  13.06138     18.98316   7003.03607     -5.7857  1.53098   7694.66811  0.00534   58855.7143  52.39658   7.97929  19.22164  58883.62347 
     14.7747  1.95632   0.79948       1.08248         3303.63903  0.06856  0.03193     0.06528  17.98272     19.51135   6573.37705    -3.12196  0.88702   8935.73855  0.01803  58858.37804  52.55403   5.15475  19.24278  58883.62347 
    14.16548  1.48772   3.45335         3.533         3109.72855  0.05985  0.05506     0.26862   7.81717      20.4272   8660.07251    -8.05179  1.21054   7810.25032  0.14857  58853.44821  52.36125   3.77909  19.20844     58884.46 
    14.57404  1.84041   1.93179       1.85059         3529.94735   0.0157  0.04054      0.1013  12.03038      20.1558   8550.84685    -4.67267  0.95456   6890.91342  0.07953  58856.82733  52.29337   1.08905  19.25214     58883.48 
    14.68693  1.66732   1.02818       2.85673          2188.5584  0.05763  0.02745     0.05976  21.19747     20.54069   6177.17572    -3.01332  0.57066   9462.57349  0.19294  58858.48668  52.61731   4.47007  19.21248  58882.88474 
    14.39866  1.64198   1.93059       4.83641         2271.57858   0.0105  0.03164     0.19635  21.41951     16.69002   6281.66401    -8.15643  1.18727   8376.07059    3e-05  58853.34357  52.51222   0.81567  19.24074      58884.5 
    14.65375  1.91158   3.09693       3.25356          3124.0693  0.04375  0.02944      0.0459  20.10395     17.18908   7675.90994    -3.71444  0.83313    8805.0579    9e-05  58857.78556  52.55045   3.35961  19.28906      58884.5 
    14.77391  2.00573   1.02267       2.31338         3461.87254  0.07074  0.02373     0.08853  16.16688     20.82083   8304.13557     -2.5726  0.65201   5871.88216  0.36775   58858.9274  52.18034   5.20973  19.22978     58883.48 
    14.42568  1.26639   1.19839       1.47546         2763.24769  0.09751  0.03292     0.09161  13.53715     20.83187   6829.57032    -3.51183  0.52484   9423.58992  0.37722  58857.98817  52.57581    6.9307  19.24507     58884.46 
    14.65649  1.91083   1.70961       3.47394         3169.30764  0.05553  0.03285     0.13491  18.34824     20.34631   5619.98446    -2.27314  1.00682   8333.84846  0.12332  58859.22686  52.49514     4.191  19.22787     58883.48 
    14.63055  1.51099   2.02698       0.91835         3465.91689  0.28345  0.06765     0.46609   6.11356     16.11439    6602.4675    -5.95941  0.55185   8302.95333    1e-05  58855.54059  52.38922  16.88909  19.21037     58884.46 
    14.65559   1.5475   1.92325       1.46597         2254.72741  0.06274  0.02446     0.09434  21.44881     20.16692   4190.75571     -5.9045  0.47959  10424.06472  0.08159   58855.5955  52.70232   4.87733  19.25475  58885.50833 
    14.71233  1.85064   2.59632       1.52191           3418.081  0.09565  0.03966     0.07382  12.36743     16.32547   7130.24119    -5.46278  0.67392   8671.91421    1e-05  58856.03722  52.49554   6.67355  19.24858  58883.62347 
    14.80954  1.85318   1.69092       1.58103         2713.55502  0.05432  0.03875     0.08849  16.05202     17.71145    6963.5157    -5.37797  0.53996   9688.34031  0.00029  58856.12203  52.61467   3.99524  19.26064  58882.88474 
    14.35572  1.65061   4.31464       4.17139         3212.53075  0.04558  0.04049     0.01916   8.67402      18.3033    5066.6358    -7.53841  0.90973   6512.90305  0.00112  58853.96159   52.2137   2.94661  19.22143     58883.48 
    14.63203  1.88332    2.6216       2.64034         3083.41294  0.02252  0.02107     0.26106  23.76033     20.42225   7602.97918     -5.1275  0.69655   7861.01441  0.14688   58856.3725   52.4654   1.78395  19.22626      58884.5 
    14.71227  1.89172   4.40036       4.82987          2724.5431  0.34166  0.05444     0.01908   8.46514     16.41903   7013.23941     -7.5315  0.58328   8664.43769    1e-05   58853.9685  52.45925  21.96566  19.25262  58885.50833 
    14.33483  1.79021   4.19768       3.20928         2843.22242  0.04543  0.05583     0.01326   7.09376     18.90132   5634.84923    -5.79652  1.22426   8911.39835  0.00443  58855.70348  52.46604   2.80444  19.22145  58883.62347 
    14.50774  1.45536   1.46703       4.80435         2421.16624  0.19393   0.0442     0.04982   12.4415     19.08805   8617.95315    -5.22175  0.98573   8983.14783   0.0068  58856.27825  52.52671  13.54753  19.24546     58884.46 
    14.33833  1.54544   2.02055       1.18305         3687.17081  0.04883    0.047     0.15101   9.08261     17.23127   4807.97179    -6.81124  1.38654    6576.8739    9e-05  58854.68876  52.22664   3.18907  19.23255     58883.54 
    14.66046  1.85947   1.04183       0.09059         3531.33121  0.36059  0.05287     0.45593  10.45648     17.47721   6293.04361    -4.78866  1.15562  12176.26461  0.00017  58856.71134  52.77496  24.28418  19.21986  58883.62347 
    14.20229  1.35257   2.45601       4.01603         2317.44844  0.04344  0.04247       0.411  14.61875     18.58736   3644.55619    -6.24113  1.35277   9932.83041  0.00215  58855.25887  52.62826   3.13612  19.22854      58884.5 
    14.95011   1.9919   0.91683       3.11495         2457.73733  0.38377   0.0335     0.02534  16.61111     17.44901   6345.83591    -4.56395  1.07217  13599.06856  0.00016  58856.93605  52.91211  28.41426  19.21792     58884.46 
    14.37727  1.56759   4.46756        3.3694         2989.88767  0.08246  0.04047     0.15931   9.97422     17.69736   5228.41282     -9.3532  0.60876   9160.15227  0.00028   58852.1468  52.52332   5.49707  19.21771  58883.62347 
    14.62482  1.75363    2.6645       3.71365         3456.98247  0.00305  0.03054      0.0535  16.11252     19.16128   9719.54935    -4.60243  0.78566   6246.43346  0.00805  58856.89757  52.23376   0.22474  19.27243  58882.88474 
    14.82556   1.7154   1.18279       3.07252         3500.95644  0.00267  0.02317     0.11427  19.84242     18.15758    8291.8974    -2.10171  0.57234   5263.81574   0.0008  58859.39829  52.10251    0.2048  19.19771  58885.50833 
    14.56258  1.64566   3.22375       2.14014         2642.61787  0.01543  0.01813     0.11699  21.55717     18.99827   8244.35814     -9.4997  0.48575   7218.73132  0.00553   58852.0003  52.38358   1.20082  19.22441      58884.5 
    14.90076   1.9667   1.34826       3.69473         2914.59581  0.02273  0.02941      0.1565  20.53974     17.23259    5383.6743    -3.97507  0.56857   7453.09954    9e-05  58857.52493  52.40741   1.75241  19.27038  58882.88474 
    14.43576  1.40949   1.60096       2.49474         3161.67417  0.11747  0.03402     0.05746  16.44428      17.5937   3511.37506    -3.63181  1.34229   9177.06816  0.00022  58857.86819  52.56964   8.68023  19.21052     58881.54 
    14.73164  1.95195   3.27393       4.50143          3120.8038  0.06209  0.03415     0.01121  18.29775     16.90411   7179.14218     -5.4136   0.6611   8080.68494    4e-05   58856.0864  52.46811   4.68425  19.27368  58882.88474 
    14.45163  1.84475   4.16574       3.86367          2984.3372  0.06904  0.03025     0.28816  13.69601     19.97405   5252.10693    -5.56388  1.02087   8248.19538  0.05233  58855.93612  52.46112   4.91918  19.26835  58881.58133 
    14.48757   2.0354   5.39514       4.77729         3127.01276  0.07247  0.03106     0.24833  10.97024     18.98053   8438.92178   -11.04675  0.79061   6514.94435  0.00531  58850.45325  52.23621   4.93087  19.18949      58884.5 
    14.63051  1.73963   3.47354       4.51033         2478.13552  0.01641  0.03446     0.01754    14.805     17.06019   8243.57317    -5.57449   0.5239   9230.84863    6e-05  58855.92551   52.5657   1.18775   19.2401  58883.62347 
