       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 58837.157     99.0     99.0     99.0   3608.04     3631.0       u 
 58838.409     99.0     99.0     99.0   3608.04     3631.0       u 
  58839.66     99.0     99.0     99.0   3608.04     3631.0       u 
 58840.912     99.0     99.0     99.0   3608.04     3631.0       u 
 58842.163     99.0     99.0     99.0   3608.04     3631.0       u 
 58843.415     99.0     99.0     99.0   3608.04     3631.0       u 
 58844.666     99.0     99.0  -15.469   3608.04     3631.0       u 
 58845.918     99.0     99.0  -19.634   3608.04     3631.0       u 
  58847.17     99.0  -15.199  -20.413   3608.04     3631.0       u 
 58848.421     99.0  -20.064  -20.884   3608.04     3631.0       u 
 58849.673  -20.196  -20.769  -21.192   3608.04     3631.0       u 
 58850.924  -20.824  -21.145  -21.407   3608.04     3631.0       u 
  58851.55  -21.034   -21.28  -21.486   3608.04     3631.0       u 
 58852.176  -21.164  -21.386  -21.584   3608.04     3631.0       u 
 58853.427  -21.392  -21.548  -21.721   3608.04     3631.0       u 
 58854.679  -21.528  -21.688  -21.824   3608.04     3631.0       u 
  58855.93   -21.65   -21.79   -21.91   3608.04     3631.0       u 
 58857.182  -21.738  -21.868  -21.962   3608.04     3631.0       u 
 58858.434  -21.809  -21.934  -22.023   3608.04     3631.0       u 
 58859.685  -21.868  -21.981  -22.065   3608.04     3631.0       u 
 58860.937  -21.916  -22.014  -22.093   3608.04     3631.0       u 
 58862.188  -21.942   -22.04  -22.107   3608.04     3631.0       u 
  58863.44  -21.969  -22.055   -22.12   3608.04     3631.0       u 
 58864.691  -21.977  -22.066  -22.129   3608.04     3631.0       u 
 58865.943  -21.986  -22.064  -22.131   3608.04     3631.0       u 
 58867.195   -21.98  -22.058  -22.126   3608.04     3631.0       u 
 58868.446  -21.965  -22.045  -22.119   3608.04     3631.0       u 
 58869.698  -21.948  -22.024  -22.098   3608.04     3631.0       u 
 58870.949  -21.926  -22.001  -22.073   3608.04     3631.0       u 
 58872.201  -21.895  -21.973  -22.041   3608.04     3631.0       u 
 58873.452  -21.862  -21.937  -22.007   3608.04     3631.0       u 
 58874.704  -21.815  -21.905  -21.967   3608.04     3631.0       u 
 58875.956  -21.774  -21.863  -21.926   3608.04     3631.0       u 
 58877.207  -21.725  -21.816  -21.879   3608.04     3631.0       u 
 58878.459  -21.675  -21.764  -21.828   3608.04     3631.0       u 
  58879.71  -21.621  -21.706  -21.773   3608.04     3631.0       u 
 58880.962  -21.563  -21.645  -21.715   3608.04     3631.0       u 
 58882.213  -21.505  -21.584  -21.656   3608.04     3631.0       u 
