# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = 2020dlb
# TELESCOPE = HET
# INSTRUMENT =
# DATE-OBS = 2020.0410
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE = 2023ApJ...943...41C
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS = erg/s/cm^2/Angstroms
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3640.0 6.54465143e-17
3640.48715 5.68924856e-17
3640.97431 8.36727613e-17
3641.46146 7.28697899e-17
3641.94862 6.80517398e-17
3642.43577 7.94879555e-17
3642.92293 8.83619259e-17
3643.41008 9.69501439e-17
3643.89724 5.2426298e-17
3644.38439 7.53665917e-17
3644.87155 7.9934917e-17
3645.3587 6.84507974e-17
3645.84586 7.52003071e-17
3646.33301 7.80298615e-17
3646.82016 7.89206705e-17
3647.30732 8.21169527e-17
3647.79447 1.05314782e-16
3648.28163 9.33451562e-17
3648.76878 7.19921382e-17
3649.25594 7.47619615e-17
3649.74309 8.61110563e-17
3650.23025 1.10336365e-16
3650.7174 1.11513244e-16
3651.20456 1.05324801e-16
3651.69171 7.55504253e-17
3652.17887 6.21279463e-17
3652.66602 7.22286398e-17
3653.15317 9.0366178e-17
3653.64033 9.80537106e-17
3654.12748 1.17300414e-16
3654.61464 1.28121855e-16
3655.10179 1.00205395e-16
3655.58895 9.48920551e-17
3656.0761 8.41737379e-17
3656.56326 8.64645747e-17
3657.05041 8.44472465e-17
3657.53757 9.48640739e-17
3658.02472 9.15903401e-17
3658.51188 1.14435435e-16
3658.99903 1.0815243e-16
3659.48619 9.89313017e-17
3659.97334 1.04811004e-16
3660.46049 8.92538773e-17
3660.94765 9.19803534e-17
3661.4348 8.36543435e-17
3661.92196 9.73267842e-17
3662.40911 1.36188636e-16
3662.89627 1.13061375e-16
3663.38342 8.60289617e-17
3663.87058 1.10815044e-16
3664.35773 1.15612948e-16
3664.84489 1.14184432e-16
3665.33204 1.03235504e-16
3665.8192 1.20304995e-16
3666.30635 1.1868983e-16
3666.7935 1.10687357e-16
3667.28066 1.12759487e-16
3667.76781 1.16031981e-16
3668.25497 1.17282169e-16
3668.74212 1.04097722e-16
3669.22928 1.31778813e-16
3669.71643 1.32614497e-16
3670.20359 9.89267646e-17
3670.69074 1.19806185e-16
3671.1779 1.20221199e-16
3671.66505 1.27193778e-16
3672.15221 1.14337767e-16
3672.63936 9.48661862e-17
3673.12651 1.04355004e-16
3673.61367 8.91215164e-17
3674.10082 8.6006923e-17
3674.58798 1.23638435e-16
3675.07513 1.0020533e-16
3675.56229 1.0121664e-16
3676.04944 1.12866227e-16
3676.5366 1.27690425e-16
3677.02375 1.36176068e-16
3677.51091 1.21614992e-16
3677.99806 1.02269789e-16
3678.48522 1.36839149e-16
3678.97237 1.31544485e-16
3679.45952 1.29160748e-16
3679.94668 1.09591295e-16
3680.43383 1.19874635e-16
3680.92099 1.07398535e-16
3681.40814 1.17164249e-16
3681.8953 8.34664773e-17
3682.38245 1.00445575e-16
3682.86961 1.33258528e-16
3683.35676 1.04534637e-16
3683.84392 9.31825832e-17
3684.33107 1.35755803e-16
3684.81823 1.01585612e-16
3685.30538 1.09030446e-16
3685.79254 1.11536353e-16
3686.27969 1.09214833e-16
3686.76684 1.14875604e-16
3687.254 1.14907297e-16
3687.74115 1.03759777e-16
3688.22831 1.31849307e-16
3688.71546 1.26753121e-16
3689.20262 1.29824891e-16
3689.68977 1.2125489e-16
3690.17693 1.15730975e-16
3690.66408 1.23486402e-16
3691.15124 1.2435339e-16
3691.63839 1.26966464e-16
3692.12555 1.23420507e-16
3692.6127 1.07898421e-16
3693.09985 1.1815766e-16
3693.58701 1.17668542e-16
3694.07416 1.33602444e-16
3694.56132 1.12593305e-16
3695.04847 9.99730151e-17
3695.53563 1.30166308e-16
3696.02278 1.35583457e-16
3696.50994 1.1130012e-16
3696.99709 1.10098154e-16
3697.48425 1.1210002e-16
3697.9714 1.07347666e-16
3698.45856 8.0087952e-17
3698.94571 1.00370361e-16
3699.43286 8.81908433e-17
3699.92002 9.53713952e-17
3700.40717 1.06094951e-16
3700.89433 1.24282063e-16
3701.38148 1.41133138e-16
3701.86864 1.34117629e-16
3702.35579 1.23163462e-16
3702.84295 1.698624e-16
3703.3301 1.4762501e-16
3703.81726 1.20301663e-16
3704.30441 1.12599889e-16
3704.79157 1.30739672e-16
3705.27872 1.26736094e-16
3705.76587 1.45460826e-16
3706.25303 1.15292406e-16
3706.74018 1.10533782e-16
3707.22734 1.11063009e-16
3707.71449 1.00649622e-16
3708.20165 1.10086937e-16
3708.6888 9.61056903e-17
3709.17596 9.63257154e-17
3709.66311 1.26086422e-16
3710.15027 1.17133394e-16
3710.63742 1.37722963e-16
3711.12458 1.11902511e-16
3711.61173 1.30888369e-16
3712.09889 1.24076325e-16
3712.58604 1.29148843e-16
3713.07319 1.42188762e-16
3713.56035 1.60952916e-16
3714.0475 1.42469837e-16
3714.53466 1.18290251e-16
3715.02181 1.33570995e-16
3715.50897 1.400971e-16
3715.99612 1.52549613e-16
3716.48328 1.40945823e-16
3716.97043 1.1907107e-16
3717.45759 1.39731605e-16
3717.94474 1.37753363e-16
3718.4319 1.40890628e-16
3718.91905 1.45929757e-16
3719.4062 1.59677608e-16
3719.89336 1.61762798e-16
3720.38051 1.4374596e-16
3720.86767 1.21534932e-16
3721.35482 1.1285442e-16
3721.84198 1.42790661e-16
3722.32913 1.56161832e-16
3722.81629 1.34775431e-16
3723.30344 1.18235843e-16
3723.7906 1.18392994e-16
3724.27775 1.30767474e-16
3724.76491 1.2755324e-16
3725.25206 1.26412481e-16
3725.73921 1.19384549e-16
3726.22637 1.16354046e-16
3726.71352 1.53168725e-16
