 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.76825  1.54423  1.73779       0.07224         4114.76432  0.26023  0.11527     0.01227   8.70163     16.59808   7282.90114      -8.209  0.58876   10022.8609    2e-05    58884.051  52.58844  16.83424  18.72359   58948.0724 
    13.51889  1.68094  1.83228       0.06831         5136.14719  0.01382  0.08515     0.01102  10.02886      17.4141   9591.94473    -7.97363  1.36729  10485.10739  0.00014  58884.28637  52.64117   0.92229  18.74464   58948.0724 
    13.58211  1.52477  1.69549       0.01795         4955.92306  0.06208  0.10545     0.01402   9.95457     19.78083   5955.64498    -8.68053  0.90739  10973.44737  0.03354  58883.57947  52.68001   4.13673  18.68151   58948.0724 
    14.37663  1.73256  2.00317       0.91509         3118.93922  0.00101   0.1442     0.01424   6.45259     17.89819   6104.09882    -7.85258  0.13989   9776.72634  0.00044  58884.40742  52.53679    0.0611  18.66429     58945.87 
    13.39684  1.38993  1.53451       0.01794         5238.17741  0.01896  0.11683     0.01167    8.1989     18.66121   9074.12704    -8.75174  1.43183  10118.83164  0.00255  58883.50826   52.5909   1.21021  18.73056     58945.88 
    13.95523  1.97911  2.08782       0.00998         4947.90874  0.03909  0.04468     0.26179  26.16907      16.3408   4221.30962    -7.48115   0.7484  10662.48625    1e-05  58884.77885  52.73775   3.15124  18.70723   58948.0724 
    13.62953  1.57844    1.193       0.10853         4559.24524  0.00982  0.10911     0.28183  11.94126     20.72558   8484.54101    -7.02195  1.27611  10323.13772  0.29533  58885.23805  52.64377   0.68035  18.71167   58948.0724 
    14.15285  1.44735  1.56764       0.02065         3613.27035  0.03765  0.11112      0.0139   8.53397     17.15581   7873.50029     -8.6412  0.12709  12524.17538    8e-05   58883.6188  52.78006   2.42466  18.74615  58951.27934 
    13.89725  1.92083  1.94023        0.0023         4714.65402  0.06925  0.03637     0.23071  33.69527     16.08687   8862.36285    -6.41385  1.00261  10535.26262    1e-05  58885.84615  52.74658   5.83575  18.70769   58948.0724 
    14.24723  1.82555  2.03203        1.5861         2400.02945  0.00423  0.17779     0.01584   5.89267      16.1844   7501.99639    -7.87195  0.21886   9643.22241    1e-05  58884.38805   52.5153   0.24954   18.7079   58948.0724 
    13.74261  1.77907  1.95987       0.05072         5620.73843  0.06652  0.07445     0.01113  12.56764     16.79642   6553.37743     -7.8879  0.82541   10431.8251    3e-05   58884.3721  52.65748   4.65642  18.66829  58948.31064 
    13.76095  1.96371  1.99168       2.08581         2000.94193  0.02293   0.1235     0.01157  12.65246     19.85266   3778.57837    -6.06929  1.21644  11568.64729  0.03957  58886.19071  52.74793   1.60751  18.71689  58948.31064 
    14.48442   1.8757  2.02262       0.42955         4258.64001  0.00106    0.092     0.01009   9.96138     16.45713   6502.15421    -7.13684  0.16865   8622.47323    2e-05  58885.12316  52.47065   0.07058  18.76599   58948.0724 
    13.81244  2.00144  2.16385       0.30358          3025.6017  0.18695  0.12707     0.01491   7.11845     16.39973   9315.82552    -7.76192  0.74171   9961.84569    1e-05  58884.49808  52.56319  11.55038  18.73098     58945.88 
    13.68314  1.53978  1.72672       0.16954         5037.67754  0.09328  0.06036     0.08486  15.01543     19.44167    4952.2078    -6.59262  1.10121   9590.77373  0.01536  58885.66738  52.60014   6.76981  18.65681     58945.88 
    13.69447  1.77366  1.86642       0.15187         5715.66426  0.07242  0.10657     0.01033  10.89488     16.71103   9405.96063    -7.69867  1.18887   9800.80121    3e-05  58884.56133  52.59027   4.92034  18.70452     58945.87 
    13.68702  1.65786  1.84862       0.98002         2012.95699  0.09102  0.12196     0.01197  10.63981     17.82035   7298.12887    -8.07476  0.77344  11329.15562  0.00037  58884.18524  52.71395   6.15246  18.67093  58948.31064 
     13.7149  1.71903  1.83185       0.01128         4092.25677   0.1252  0.13198     0.01522   8.18008     16.21943   8988.26543    -7.68149  0.95789  10270.76904    1e-05  58884.57851  52.60362   7.98732  18.76503   58948.0724 
    13.68351  1.79158  1.94242        0.0048         4489.61853   0.0743  0.07128     0.01021  14.50029     19.05142   5249.65707    -8.51691  0.95216  10984.14766  0.00625  58883.74309  52.71494   5.35498  18.67902   58948.0724 
    13.56659  1.77218  1.99305       0.17949         4448.92669  0.12653  0.10121     0.01333    8.3056     17.67062    3984.0214    -8.14691  1.13413  10465.14691  0.00026  58884.11309   52.6214   8.09993  18.78068     58945.88 
    14.01116  1.39005  1.61449       0.11942         3700.09507  0.03381  0.10742     0.01282  10.12134     18.25269   4467.63913    -8.79484  0.22406  11409.77132  0.00099  58883.46516  52.71544   2.26086  18.72202     58945.88 
     13.5732  1.41296  1.58252       0.36697         5417.73373  0.00501  0.06732     0.21143  12.59612     19.45609   9454.88668    -5.98245  1.44916   8590.94302  0.01588  58886.27755  52.48904   0.35058   18.7653   58948.0724 
    13.68104   1.6753   2.3143        2.9917         3107.08744  0.05487  0.04076     0.34344  25.11738     16.89243   5361.14801    -7.59465  1.05277   8944.51036    4e-05  58884.66535  52.58193   4.39047  18.66212     58945.88 
    13.92386  1.70708  1.86258        0.0209         2488.56852  0.05701  0.06816     0.16628  22.75258     18.09448   5488.08184    -7.12447  0.69391  11623.11349  0.00069  58885.13553  52.80163   4.48044  18.68947     58945.88 
    14.56666  2.11854  2.00218       0.04846         4232.51925  0.08981  0.12141     0.15303  10.39138     20.56361   6698.62216    -7.91053  0.15097  12659.21089  0.20339  58884.34947  52.80817   6.04038  18.67121     58945.87 
    13.94144  2.16974  2.27575        0.0187         4531.78168  0.09558  0.09703     0.36733  15.18146     17.10642   8213.82083     -7.0999  1.09323  11686.87211    7e-05   58885.1601  52.77278   6.95263  18.68383     58945.88 
    13.67225  1.57985  1.82303       0.06463         5265.71916   0.0203  0.07754     0.25589  12.75561     18.56378   8116.71514    -6.22807   1.1708  10983.10624  0.00203  58886.03193  52.70354   1.42536  18.66968     58945.88 
    13.42921   1.2611  1.43142       0.00701         5789.58696  0.03184  0.10917     0.01028  10.24445     18.36856   5813.64058    -7.74727  0.91654  10996.31686   0.0013  58884.51273  52.68452   2.13499   18.6298     58945.88 
    14.49906  1.73061  1.79927        0.0107         5160.65252  0.00233   0.1109      0.0595    7.3167     16.03954    5648.9673    -6.75268  0.15231   9682.03724    1e-05  58885.50732  52.54122   0.14514  18.75684   58948.0724 
     13.6332  1.76913  1.89053       0.01836          4746.6645  0.08443  0.10739     0.01077  12.00245     18.85347   9146.35561    -8.13225  1.18499  11304.10551  0.00396  58884.12775  52.72308   5.85428  18.68605  58948.31064 
    13.95869  1.46211  1.71151       0.11557         4993.50185   0.0208  0.07273     0.01022  14.51825     18.20227    6265.0415     -8.6046   0.2985  11213.62483  0.00089   58883.6554    52.733   1.49935  18.68328     58945.88 
    13.72077   1.9148  2.67711       4.39234         3056.64217  0.03407  0.03413     0.28498  21.58675      16.9427   4544.35381    -6.97909  1.27917   7416.77326    5e-05  58885.28091   52.4072   2.65146  18.76428   58948.0724 
    13.86922  1.58921  1.88882       0.50396         3277.78538  0.04222  0.05197     0.09687  25.67639     16.87449   5097.47052    -7.82323  0.63855  10290.55757    4e-05  58884.43677  52.70542   3.39202  18.78092     58945.88 
    14.18539  1.59247  1.74702       0.20512         3369.36098  0.04275  0.11063      0.0107   8.50915     17.77807   6529.95306    -8.30006   0.1735  10548.37415  0.00033  58883.95994  52.63065   2.75193  18.74988     58945.87 
    13.93287  2.11595  2.01834       0.00833         4292.12138  0.01987  0.08703     0.16826  12.55435     18.61007   3537.19784    -6.51917    1.008  10052.85389  0.00226  58885.74083  52.62524   1.39079  18.69839     58945.88 
      13.679  1.62501  1.96323       0.49878         3484.92545  0.33248  0.08982     0.01005  11.32564     17.71905    8125.8091    -8.15891  0.78848  10238.67853  0.00029  58884.10109  52.63181  22.77485  18.69161   58948.0724 
    14.19411  1.65669  1.69735       0.03693         4246.39315  0.02573  0.09633     0.01007   9.69134     18.87236   4050.52074    -9.10469  0.13912  11720.75098  0.00414  58883.15531   52.7347   1.70472   18.7015     58945.88 
    13.69761  1.91486  2.10975       1.37534         2355.20893  0.03467   0.1181     0.01195   9.09263     18.62448   3619.73545    -7.54626  1.20499   9799.65865  0.00234  58884.71374  52.57312    2.2647  18.70333     58945.88 
    13.67654  1.60141  1.61483       0.14803         5333.26796  0.02055  0.07328     0.01111  15.83293     20.39017   8004.67336    -7.44566  0.87768  11044.58571  0.13642  58884.81434   52.7273   1.50756  18.71439   58948.0724 
