# STATUS =
# OBJECT = 2020jii
# TELESCOPE = MMT
# INSTRUMENT = BINOSPEC
# DATE-OBS = 2020-07-15 00:00:00.00
# MJD = 59045.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 1.519670e+00
3010.000000 1.032792e+00
3020.000000 1.149297e+00
3030.000000 1.643920e+00
3040.000000 1.271808e+00
3050.000000 1.109531e+00
3060.000000 1.402124e+00
3070.000000 1.605276e+00
3080.000000 1.155907e+00
3090.000000 1.423111e+00
3100.000000 8.101043e-01
3110.000000 1.090241e+00
3120.000000 1.490301e+00
3130.000000 1.636181e+00
3140.000000 1.245064e+00
3150.000000 1.658840e+00
3160.000000 1.387486e+00
3170.000000 1.653851e+00
3180.000000 1.322502e+00
3190.000000 1.367946e+00
3200.000000 1.181093e+00
3210.000000 1.371113e+00
3220.000000 2.018509e+00
3230.000000 1.544965e+00
3240.000000 1.296846e+00
3250.000000 1.258178e+00
3260.000000 1.363188e+00
3270.000000 1.503975e+00
3280.000000 1.320215e+00
3290.000000 1.503987e+00
3300.000000 1.280726e+00
3310.000000 1.179853e+00
3320.000000 1.152877e+00
3330.000000 1.615476e+00
3340.000000 1.413776e+00
3350.000000 1.313621e+00
3360.000000 1.205799e+00
3370.000000 1.603592e+00
3380.000000 1.704083e+00
3390.000000 1.767924e+00
3400.000000 1.295585e+00
3410.000000 1.483717e+00
3420.000000 1.241951e+00
3430.000000 1.202330e+00
3440.000000 1.330698e+00
3450.000000 1.421543e+00
3460.000000 1.919195e+00
3470.000000 1.845338e+00
3480.000000 1.634995e+00
3490.000000 1.465154e+00
3500.000000 1.640542e+00
3510.000000 1.572019e+00
3520.000000 1.659784e+00
3530.000000 1.793352e+00
3540.000000 1.962819e+00
3550.000000 1.612449e+00
3560.000000 1.988626e+00
3570.000000 1.900037e+00
3580.000000 1.717243e+00
3590.000000 1.516369e+00
3600.000000 1.524731e+00
3610.000000 1.656684e+00
3620.000000 1.433351e+00
3630.000000 1.580977e+00
3640.000000 1.334396e+00
3650.000000 1.609036e+00
3660.000000 1.719099e+00
3670.000000 1.771736e+00
3680.000000 1.504572e+00
3690.000000 2.051163e+00
3700.000000 2.020024e+00
3710.000000 1.747807e+00
3720.000000 1.722341e+00
3730.000000 1.557829e+00
3740.000000 1.777673e+00
3750.000000 1.214088e+00
3760.000000 1.364915e+00
3770.000000 1.533978e+00
3780.000000 1.149777e+00
3790.000000 1.506502e+00
3800.000000 9.743821e-01
3810.000000 1.456827e+00
3820.000000 1.354739e+00
3830.000000 1.286538e+00
3840.000000 1.420296e+00
3850.000000 1.464964e+00
3860.000000 1.465979e+00
3870.000000 1.587249e+00
3880.000000 1.704937e+00
3890.000000 1.363668e+00
3900.000000 1.490706e+00
3910.000000 1.243965e+00
3920.000000 1.367881e+00
3930.000000 1.350955e+00
3940.000000 1.529121e+00
3950.000000 1.545110e+00
3960.000000 1.467113e+00
3970.000000 1.650681e+00
3980.000000 1.368596e+00
3990.000000 1.617904e+00
4000.000000 1.763746e+00
4010.000000 1.406149e+00
4020.000000 1.129822e+00
4030.000000 1.372054e+00
4040.000000 1.256453e+00
4050.000000 1.175245e+00
4060.000000 1.442505e+00
4070.000000 1.824097e+00
4080.000000 1.020889e+00
4090.000000 1.243229e+00
4100.000000 1.369536e+00
4110.000000 1.458610e+00
4120.000000 1.196316e+00
4130.000000 1.003291e+00
4140.000000 1.007027e+00
4150.000000 1.008678e+00
4160.000000 1.006078e+00
4170.000000 1.022061e+00
4180.000000 1.037899e+00
4190.000000 1.330941e+00
4200.000000 9.503699e-01
4210.000000 8.719416e-01
4220.000000 9.373083e-01
4230.000000 9.167807e-01
4240.000000 9.210951e-01
4250.000000 8.916833e-01
4260.000000 9.762431e-01
4270.000000 1.287254e+00
4280.000000 7.861032e-01
4290.000000 1.234892e+00
4300.000000 1.001627e+00
4310.000000 1.147554e+00
4320.000000 9.568402e-01
4330.000000 1.051656e+00
4340.000000 9.792159e-01
4350.000000 9.250043e-01
4360.000000 9.124746e-01
4370.000000 9.815430e-01
4380.000000 6.971081e-01
4390.000000 9.621948e-01
4400.000000 9.703749e-01
4410.000000 1.019511e+00
4420.000000 1.002078e+00
4430.000000 7.646301e-01
4440.000000 1.173171e+00
4450.000000 1.111570e+00
4460.000000 1.061875e+00
4470.000000 1.146255e+00
4480.000000 1.388400e+00
4490.000000 1.314113e+00
4500.000000 1.265578e+00
4510.000000 1.074570e+00
4520.000000 9.710864e-01
4530.000000 1.596496e+00
4540.000000 1.211523e+00
4550.000000 1.601638e+00
4560.000000 1.736044e+00
4570.000000 1.451021e+00
4580.000000 1.396487e+00
4590.000000 1.566895e+00
4600.000000 1.455571e+00
4610.000000 1.677997e+00
4620.000000 1.517212e+00
4630.000000 1.518671e+00
4640.000000 1.491262e+00
4650.000000 1.383557e+00
4660.000000 1.165744e+00
4670.000000 1.237764e+00
4680.000000 1.123194e+00
4690.000000 1.132083e+00
4700.000000 7.519851e-01
4710.000000 1.224996e+00
4720.000000 1.426988e+00
4730.000000 1.227123e+00
4740.000000 1.307923e+00
4750.000000 1.188079e+00
4760.000000 1.307606e+00
4770.000000 1.003389e+00
4780.000000 1.263090e+00
4790.000000 1.219915e+00
4800.000000 1.185029e+00
4810.000000 1.258642e+00
4820.000000 1.199470e+00
4830.000000 8.930924e-01
4840.000000 1.221882e+00
4850.000000 1.022076e+00
4860.000000 1.237277e+00
4870.000000 1.148597e+00
4880.000000 1.189846e+00
4890.000000 1.121291e+00
4900.000000 1.155760e+00
4910.000000 1.261898e+00
4920.000000 1.108644e+00
4930.000000 1.314174e+00
4940.000000 1.067312e+00
4950.000000 1.034734e+00
4960.000000 1.157669e+00
4970.000000 1.027582e+00
4980.000000 1.206361e+00
4990.000000 1.269839e+00
5000.000000 1.077256e+00
5010.000000 1.110593e+00
5020.000000 1.197501e+00
5030.000000 1.081040e+00
5040.000000 1.029397e+00
5050.000000 9.694558e-01
5060.000000 1.002032e+00
5070.000000 1.003743e+00
5080.000000 1.033980e+00
5090.000000 1.039250e+00
5100.000000 7.229845e-01
5110.000000 1.063973e+00
5120.000000 8.024820e-01
5130.000000 8.949600e-01
5140.000000 9.579530e-01
5150.000000 8.983978e-01
5160.000000 7.119016e-01
5170.000000 1.060457e+00
5180.000000 9.502807e-01
5190.000000 8.595683e-01
5200.000000 1.071304e+00
5210.000000 1.047097e+00
5220.000000 9.082290e-01
5230.000000 1.009886e+00
5240.000000 6.224916e-01
5250.000000 9.964516e-01
5260.000000 1.090229e+00
5270.000000 1.112021e+00
5280.000000 9.007129e-01
5290.000000 7.139948e-01
5300.000000 8.220023e-01
5310.000000 8.983193e-01
5320.000000 8.035117e-01
5330.000000 7.630579e-01
5340.000000 7.932180e-01
5350.000000 7.993980e-01
5360.000000 8.185699e-01
5370.000000 7.820611e-01
5380.000000 7.674141e-01
5390.000000 8.881267e-01
5400.000000 6.956125e-01
5410.000000 8.874935e-01
5420.000000 6.401574e-01
5430.000000 8.270327e-01
5440.000000 7.028291e-01
5450.000000 7.770681e-01
5460.000000 9.347628e-01
5470.000000 6.448268e-01
5480.000000 6.778739e-01
5490.000000 6.940711e-01
5500.000000 6.671178e-01
5510.000000 6.856501e-01
5520.000000 6.596924e-01
5530.000000 7.762035e-01
5540.000000 5.646140e-01
5550.000000 7.379724e-01
5560.000000 7.056765e-01
5570.000000 6.105571e-01
5580.000000 9.236808e-01
5590.000000 7.279861e-01
5600.000000 6.241559e-01
5610.000000 5.598826e-01
5620.000000 6.696282e-01
5630.000000 7.160097e-01
5640.000000 4.534304e-01
5650.000000 6.381189e-01
5660.000000 5.092919e-01
5670.000000 4.617248e-01
5680.000000 6.527943e-01
5690.000000 6.874650e-01
5700.000000 6.455451e-01
5710.000000 6.216497e-01
5720.000000 7.284870e-01
5730.000000 5.425799e-01
5740.000000 5.508307e-01
5750.000000 5.347292e-01
5760.000000 5.543537e-01
5770.000000 5.888963e-01
5780.000000 5.095143e-01
5790.000000 5.418264e-01
5800.000000 4.635097e-01
5810.000000 5.217138e-01
5820.000000 5.456147e-01
5830.000000 3.603804e-01
5840.000000 4.289934e-01
5850.000000 4.956095e-01
5860.000000 5.730259e-01
5870.000000 4.994600e-01
5880.000000 4.160083e-01
5890.000000 5.252104e-01
5900.000000 5.374188e-01
5910.000000 4.563695e-01
5920.000000 3.849143e-01
5930.000000 4.169941e-01
5940.000000 6.772857e-01
5950.000000 5.011884e-01
5960.000000 4.587997e-01
5970.000000 3.724186e-01
5980.000000 5.958415e-01
5990.000000 5.247318e-01
6000.000000 2.877570e-01
6010.000000 5.550370e-01
6020.000000 3.853903e-01
6030.000000 5.046612e-01
6040.000000 8.305247e-01
6050.000000 5.069133e-01
6060.000000 7.097259e-01
6070.000000 4.340270e-01
6080.000000 5.098940e-01
6090.000000 6.428259e-01
6100.000000 4.137507e-01
6110.000000 4.472818e-01
6120.000000 4.527305e-01
6130.000000 4.466708e-01
6140.000000 3.713889e-01
6150.000000 3.263866e-01
6160.000000 3.395491e-01
6170.000000 3.308945e-01
6180.000000 4.382035e-01
6190.000000 1.213133e-01
6200.000000 2.338084e-01
6210.000000 4.856196e-01
6220.000000 4.664627e-01
6230.000000 4.265360e-01
6240.000000 3.806804e-01
6250.000000 3.079555e-01
6260.000000 4.169670e-01
6270.000000 3.897500e-01
6280.000000 5.479685e-01
6290.000000 4.069868e-01
6300.000000 3.523676e-01
6310.000000 3.010003e-01
6320.000000 3.845920e-01
6330.000000 3.749561e-01
6340.000000 3.878232e-01
6350.000000 3.498594e-01
6360.000000 2.972454e-01
6370.000000 3.015531e-01
6380.000000 3.322163e-01
6390.000000 3.588087e-01
6400.000000 3.347497e-01
6410.000000 2.000440e-01
6420.000000 3.294539e-01
6430.000000 3.164671e-01
6440.000000 2.053129e-01
6450.000000 3.171299e-01
6460.000000 1.574756e-01
6470.000000 2.423772e-01
6480.000000 2.482641e-01
6490.000000 2.336275e-01
6500.000000 1.867171e-01
6510.000000 2.278695e-01
6520.000000 1.932061e-01
6530.000000 1.702039e-01
6540.000000 1.600985e-01
6550.000000 1.181906e-01
6560.000000 1.268291e-01
6570.000000 8.883597e-02
6580.000000 1.002705e-01
6590.000000 5.828107e-02
6600.000000 nan
6610.000000 nan
6620.000000 nan
6630.000000 nan
6640.000000 nan
6650.000000 nan
6660.000000 nan
6670.000000 nan
6680.000000 nan
6690.000000 nan
6700.000000 nan
6710.000000 nan
6720.000000 nan
6730.000000 nan
6740.000000 nan
6750.000000 nan
6760.000000 nan
6770.000000 nan
6780.000000 nan
6790.000000 nan
6800.000000 nan
6810.000000 nan
6820.000000 nan
6830.000000 nan
6840.000000 nan
6850.000000 nan
6860.000000 nan
6870.000000 nan
6880.000000 nan
6890.000000 nan
6900.000000 nan
6910.000000 nan
6920.000000 nan
6930.000000 nan
6940.000000 nan
6950.000000 nan
6960.000000 nan
6970.000000 nan
6980.000000 nan
6990.000000 nan
7000.000000 nan
7010.000000 nan
7020.000000 nan
7030.000000 nan
7040.000000 nan
7050.000000 nan
7060.000000 nan
7070.000000 nan
7080.000000 nan
7090.000000 nan
7100.000000 nan
7110.000000 nan
7120.000000 nan
7130.000000 nan
7140.000000 nan
7150.000000 nan
7160.000000 nan
7170.000000 nan
7180.000000 nan
7190.000000 nan
7200.000000 nan
7210.000000 nan
7220.000000 nan
7230.000000 nan
7240.000000 nan
7250.000000 nan
7260.000000 nan
7270.000000 nan
7280.000000 nan
7290.000000 nan
7300.000000 nan
7310.000000 nan
7320.000000 nan
7330.000000 nan
7340.000000 nan
7350.000000 nan
7360.000000 nan
7370.000000 nan
7380.000000 nan
7390.000000 nan
7400.000000 nan
7410.000000 nan
7420.000000 nan
7430.000000 nan
7440.000000 nan
7450.000000 nan
7460.000000 nan
7470.000000 nan
7480.000000 nan
7490.000000 nan
7500.000000 nan
7510.000000 nan
7520.000000 nan
7530.000000 nan
7540.000000 nan
7550.000000 nan
7560.000000 nan
7570.000000 nan
7580.000000 nan
7590.000000 nan
7600.000000 nan
7610.000000 nan
7620.000000 nan
7630.000000 nan
7640.000000 nan
7650.000000 nan
7660.000000 nan
7670.000000 nan
7680.000000 nan
7690.000000 nan
7700.000000 nan
7710.000000 nan
7720.000000 nan
7730.000000 nan
7740.000000 nan
7750.000000 nan
7760.000000 nan
7770.000000 nan
7780.000000 nan
7790.000000 nan
7800.000000 nan
7810.000000 nan
7820.000000 nan
7830.000000 nan
7840.000000 nan
7850.000000 nan
7860.000000 nan
7870.000000 nan
7880.000000 nan
7890.000000 nan
7900.000000 nan
7910.000000 nan
7920.000000 nan
7930.000000 nan
7940.000000 nan
7950.000000 nan
7960.000000 nan
7970.000000 nan
7980.000000 nan
7990.000000 nan
8000.000000 nan
8010.000000 nan
8020.000000 nan
8030.000000 nan
8040.000000 nan
8050.000000 nan
8060.000000 nan
8070.000000 nan
8080.000000 nan
8090.000000 nan
8100.000000 nan
8110.000000 nan
8120.000000 nan
8130.000000 nan
8140.000000 nan
8150.000000 nan
8160.000000 nan
8170.000000 nan
8180.000000 nan
8190.000000 nan
8200.000000 nan
8210.000000 nan
8220.000000 nan
8230.000000 nan
8240.000000 nan
8250.000000 nan
8260.000000 nan
8270.000000 nan
8280.000000 nan
8290.000000 nan
8300.000000 nan
8310.000000 nan
8320.000000 nan
8330.000000 nan
8340.000000 nan
8350.000000 nan
8360.000000 nan
8370.000000 nan
8380.000000 nan
8390.000000 nan
8400.000000 nan
8410.000000 nan
8420.000000 nan
8430.000000 nan
8440.000000 nan
8450.000000 nan
8460.000000 nan
8470.000000 nan
8480.000000 nan
8490.000000 nan
8500.000000 nan
8510.000000 nan
8520.000000 nan
8530.000000 nan
8540.000000 nan
8550.000000 nan
8560.000000 nan
8570.000000 nan
8580.000000 nan
8590.000000 nan
8600.000000 nan
8610.000000 nan
8620.000000 nan
8630.000000 nan
8640.000000 nan
8650.000000 nan
8660.000000 nan
8670.000000 nan
8680.000000 nan
8690.000000 nan
8700.000000 nan
8710.000000 nan
8720.000000 nan
8730.000000 nan
8740.000000 nan
8750.000000 nan
8760.000000 nan
8770.000000 nan
8780.000000 nan
8790.000000 nan
8800.000000 nan
8810.000000 nan
8820.000000 nan
8830.000000 nan
8840.000000 nan
8850.000000 nan
8860.000000 nan
8870.000000 nan
8880.000000 nan
8890.000000 nan
8900.000000 nan
8910.000000 nan
8920.000000 nan
8930.000000 nan
8940.000000 nan
8950.000000 nan
8960.000000 nan
8970.000000 nan
8980.000000 nan
8990.000000 nan
