 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.71611  1.75382   1.11054       0.31406         5916.97465  0.02733  0.20029     0.07746  33.42853     17.71934   3631.57236   -48.77694   1.5446   4837.79153  0.00029  58905.45306  52.06999   2.30017  19.70785  59030.89292 
    14.15882  1.87243   7.76382       4.26991         3025.36347  0.46389  0.01165     0.04671  42.06036     17.60639   7064.07385   -26.05784  0.96409   3132.96521  0.00022  58928.17216  51.70942  40.57854  19.78749  59014.29758 
    13.61142  1.92932   2.04806       0.13236         5943.52444  0.07552  0.06113     0.32126  40.09245     19.83171   3106.07739   -58.68111  1.25984   3857.73708  0.03771  58895.54889  51.88672   6.55365  19.76544     59011.24 
    14.57916  1.93676  25.10096       4.35683         2859.58007  0.46729  0.01021     0.01476    51.652     19.01074   8539.88712   -23.07732  1.26656   3439.50382  0.00569  58931.15268  51.80501  42.26441  19.84202  59013.28729 
     14.0776  1.48143    2.2737       0.18192         5779.75626  0.31648  0.02405     0.18168  92.05842     20.35859   8973.79127   -91.78943  0.08774   4793.52514  0.12686  58862.44057  52.13171   31.2696  19.75529  59024.25478 
    13.24428  1.69824   9.13097       4.73788         2812.86796  0.48831  0.01022     0.22193  47.06858     16.56996   9292.12324   -15.55719  1.16876   4315.19596    2e-05  58938.67281  51.99552   43.5098  19.80671     59024.22 
    14.98873  1.84458  13.09899       4.70885          2707.8603  0.48678  0.01391     0.01534  49.32861     18.22311   9015.47533   -19.32973  0.68436    4218.2132  0.00093  58934.90027  51.97906  43.70352  19.78197  59013.28729 
    12.57688  1.62571   6.49494       4.58431         2881.55068  0.48838   0.0116     0.02869   48.4921     16.26342   8596.19814   -20.49497  1.29125    3838.7182    1e-05  58933.73503  51.89598  43.72635  19.92232  59007.26726 
    13.63822  1.81543  23.16585       3.44415          2810.1078  0.39859  0.01085     0.03377  62.55694     17.93658    9614.1125   -20.68029  0.15978   4643.53448  0.00048  58933.54971  52.07881  37.15488   19.8103  59014.29758 
    13.57521   1.5971  15.44958       4.25257         2665.69516  0.49291  0.01008     0.02959  50.69531     18.69758   9030.27984    -18.7074  1.16198   3868.41817  0.00277   58935.5226  51.90578  44.44819  19.56323  58987.74503 
     12.6004    1.737   4.08032       2.85511         2972.94393  0.46391   0.0117     0.01392  48.75711     16.27793   6682.37725   -25.54651  1.56792   3687.92675    1e-05  58928.68349  51.86156  41.57199  19.77721  59009.32384 
      13.657  1.80228    3.4961        3.3573         2147.35025  0.47978  0.01768     0.04202    28.866     16.92658   5543.82823   -29.87606  1.42529   3854.09375    5e-05  58924.35394  51.86145  39.35705  19.81252  59005.26364 
    13.75582  1.97847   2.86786        2.1821         2821.58991  0.04375  0.01049     0.05567  38.84121     19.96245   5051.80689   -26.88776  0.71354   3532.89775  0.05095  58927.34224  51.80802   3.77652  19.85614     59018.23 
     13.8151  1.90896   2.93289       3.38412         2748.57928  0.10848  0.02619     0.05758   22.5857     19.82331   3213.55414   -31.08989  0.63397   3328.08437  0.03699  58923.14011  51.71479   8.51343  19.84216     59011.24 
    13.18654  1.93588   2.41543       1.95569         2760.70168  0.49745  0.04056     0.07904    8.4415      20.2041   5376.61736    -14.3125  1.56101  11435.23506  0.08888   58939.9175  52.69999  31.96103  19.83218      59014.2 
    14.80902  1.86508   7.44529       4.00654         2492.33016  0.48929  0.01052     0.03169  49.14603     16.06628   7937.83871   -19.22381  0.90586   4209.76658    1e-05  58935.00619  51.97706  43.90249  19.91992  59013.28729 
    13.04917  1.48007  25.12166       3.37466         2911.63397  0.46996  0.01068     0.16326  52.98488     16.28538   8574.14504   -22.62652  0.71354   3853.20952    1e-05  58931.60348  51.90543  42.67923  19.84587  59009.32384 
    12.31451  1.83051  15.99839       4.40746         2807.68594  0.46231  0.01061     0.03938  53.91086     18.61779   7407.84017   -17.80603  0.43645   4194.36379   0.0023  58936.42397  51.98031   42.1002  19.87556     59011.24 
    12.46078  1.98502  12.77132       0.01301         4594.67337  0.44304  0.01148     0.08227  57.60672     17.11425   9703.52922   -16.33163  0.87966  12763.09255    7e-05  58937.89837  52.95144  40.77062    19.901  59020.93571 
    13.63358  1.67345   3.09105       4.41039         2543.73198  0.26999  0.01509     0.01744  39.68734     18.46384   5713.80853   -42.10349  0.92607   2802.52725  0.00162  58912.12651  51.60842  23.39039   19.7963     59011.24 
    13.82799  1.93317   1.87978       2.14701         2227.64566   0.0663   0.1629      0.0209  24.75337     18.73453   3077.56044   -58.58799  0.79717   3941.22972  0.00301  58895.64201  51.86894   5.29164  19.86425  59009.32384 
    13.70441  1.64914   4.01079       1.78401         2559.82413  0.48117  0.01488     0.11851  40.95385     16.12183    3532.0638   -32.99313  1.38482   3875.99889    1e-05  58921.23687  51.89236  41.90502  19.77058     59018.23 
    13.00995  2.02184  25.57415       0.04054         3059.37078  0.49729   0.0106      0.0436  52.54228     16.70455   9978.56086   -15.06958  0.24486   9979.83243    3e-05  58939.16042  52.73145  45.10109  19.84025  59013.28729 
    15.13253  1.53848    4.5774        4.6484         2599.78189  0.49793  0.01156     0.04186  52.04794     16.60992   7504.92632   -20.28052    1.491   4239.97794    2e-05  58933.94948  51.98727  45.09101   19.8933     59018.23 
    12.91034  1.68136  17.58841       4.79236         2820.99273  0.48173  0.01269     0.20091  49.41627     16.72062   8695.82697   -18.44112  0.65588   4464.46266    3e-05  58935.78888  52.02847  43.26228  19.79744     59011.24 
    14.91666  1.75008  11.30782       4.96997         2921.17475  0.44941  0.01013     0.01765  50.29092     18.05309   6957.05267   -15.20627  1.46349   3940.71481  0.00063  58939.02373  51.92131  40.47407   19.8043     59018.23 
