 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.08004  1.55392   2.32471       0.98411         3241.67918  0.06133  0.10331     0.12956   15.6655     17.36016   6007.85044    -52.3323  1.37948   7750.73814  0.00013  58945.24341  52.41877   4.48865   19.0553  58998.29969 
    14.20903  1.80059   4.96083       3.10832         2823.85606  0.24072  0.07384     0.30684   8.62318     17.87912   3024.40438   -29.33504  1.15612  10659.72254  0.00042  58968.24067  52.64107  15.54063  18.93598   58992.5965 
     15.0245  1.65547   3.43711       4.98503         2476.45321  0.11827  0.02206     0.22297    37.044     19.29001   5832.82234   -26.85903   0.2373  10717.72545  0.01083  58970.71668   52.7685  10.12803  19.19002  59017.60301 
    14.41085  1.98485   4.34429        0.3931         4027.75087  0.04086  0.02491     0.03931  20.11432     18.55183   8857.11752   -40.64692  0.49033   9926.50908  0.00198  58956.92879  52.65462   3.13821  19.25206  59018.46795 
    14.89173  1.50565   6.54968       2.98709         3047.68143  0.38578  0.05239     0.43441  13.14444     18.54351   6016.66996    -9.79197  0.42342  16404.90883  0.00194  58987.78374  53.05471  27.25707  19.18921  59015.40924 
    14.12634  1.92174   3.06019       0.15459          5979.9018   0.0637  0.04417     0.18295   9.21539     20.11216   6729.44376   -38.34275  1.32045   7790.90082  0.07193  58959.23296  52.37517   4.17319  18.99463  58998.29969 
    15.05422  1.66439   7.26289       2.71721          2629.7985  0.22169  0.02204     0.17702  29.12921     19.20107   6132.86763   -13.89096  0.37973  16921.46063  0.00883  58983.68475  53.14717  18.21459   19.1808  59017.60301 
    14.46184    1.603   5.25024       4.71754         2669.65558  0.11028  0.01852     0.01592  37.26463     19.15543    5364.6314   -20.03335  0.91427   9901.30829  0.00795  58977.54236  52.70012   9.45379  19.21103  59015.40924 
    14.77175  1.66734   3.75212       3.44326         2263.10124  0.10636   0.0302     0.21792  19.80002     19.85597   8511.70084   -22.11796  0.33195   8430.93131  0.03987  58975.45776  52.51149   8.14497  19.28371  59012.55765 
    14.83735   1.7908  11.18133       3.20704         2988.22891  0.26794  0.01957      0.0596   22.2076     18.73459    5162.5761   -15.61675  0.48093  13840.37911  0.00302  58981.95896  52.95134  20.96312  19.11634  59007.60017 
    14.31698  1.77352   7.52581       2.71539         3216.57123  0.16643  0.02309      0.0152  18.32908     17.72043    5641.7252   -13.26891  0.93767  11052.15126  0.00029   58984.3068  52.74025  12.55918  19.24812  59017.60301 
    14.99587  1.63865   5.20535       0.20029         4192.75902  0.15376  0.03772     0.06629  21.16666     19.80421   6211.22302   -23.31298  0.14884  13001.42391  0.03539  58974.26273  52.89316  11.92322  19.01716  59001.15128 
    15.01065  1.95914   6.23425       0.56916         3410.65595  0.15863  0.02253     0.21265  31.01235     18.49106   6257.36577   -12.48842  0.41996  14293.11468  0.00172  58985.08729  53.00532   13.1767   19.2653  59015.40924 
     14.9325  1.63711   4.89408        4.8017         2329.32516  0.45583  0.03313     0.43207  14.55757     18.11243   5773.75606    -8.06419  1.39073  18726.19786  0.00072  58989.51152  53.17865  32.87955  19.22806  59007.60017 
    14.47507  1.99326  10.61242       2.14493         2632.17171  0.39481    0.038      0.2284   12.7325     17.33451   5432.01057   -10.40595  1.49724   16469.6056  0.00012  58987.16976  53.05529  27.71285  19.14942  59006.85446 
    14.96306  1.44941   4.53395       0.90887         3868.59269  0.20707  0.02142     0.01792  31.16626     18.61588    3038.5618   -14.68926  0.41614   16217.9149  0.00229  58982.88645  53.11543  17.21596  19.07452  59004.00287 
    15.10557  1.54748  28.69255       4.74123         3119.77535  0.20841  0.01725     0.04563  34.98639     19.72067   4597.01923    -10.7618  1.44189  18306.02899   0.0292  58986.81391  53.22927  17.67569  19.21299  59017.60301 
    14.89633  2.01149   6.77064       2.00425         2739.24208  0.13434  0.01917     0.28441  37.78222      16.7935   5495.13938    -17.9284  0.44424  14064.11231    3e-05  58979.64731  53.00596  11.54261  19.30104  59021.11243 
