 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -8.77891  0.01146  4.84599     14.19585  1.69461  1.04905   8.28456  0.14006     0.33133   8612.12258   4791.38674  0.38925         4480.23202     17.64794  0.00025  59025.42109  3.66536  0.09495  1499544.45691  44.95119  18.33436     59079.18    50.80558       43.97728   34.53592  46.79895   45.5    0.19382  -20.85256  0.98783 
   -7.38736  0.00245  3.25525     14.15125  1.55815  1.12342   6.04189  0.17385     0.07183   6546.80003    7314.7726  0.60284         5973.89162     20.55724  0.20043  59026.81264  1.54475  0.01482   764017.81523  45.55318  18.33194     59079.18    50.84917        44.0605   33.88552  46.13328   45.5    0.17624  -21.05906  0.99903 
   -8.25486  0.05941  5.05154     14.41138  1.90198  0.71231   5.77344   0.1764     0.10532   7962.38127   5097.73159  0.28804         5498.90198     18.83923  0.00384  59025.94514  2.18347    0.343   677804.50483   45.3101  18.32628     59079.24    50.80647       44.00284   36.27331  46.79895   46.5    0.19184  -20.86996  0.96101 
   -10.5956  0.07312  5.71626     14.03256  1.88458  1.06774   5.57846  0.18377     0.02616   9415.99853   5292.40608   0.6989          3519.1928     17.39107  0.00014   59023.6044  2.95036  0.40791  4921804.23562  44.33771  18.31084  59080.30643    50.76315       43.96483   40.27561  48.35028   43.5    0.21169  -20.91579  0.93883 
   -8.78653  0.00844   4.0885     14.03028  1.35771  1.02642   4.76164  0.20905     0.18063   9042.93007   4849.53431  0.02458         4323.36523     18.11613  0.00073  59025.41347  2.32275  0.04017  1833088.41212  44.91534  18.30514  59077.65177    50.82783       44.00259   34.53592  46.04789   45.0    0.21497  -20.85702  0.99484 
   -9.22911  0.00631    5.103     14.26792  1.73998  0.80358   5.41122  0.21897     0.16648   9301.70922   5085.74214  0.23285         4706.92934     16.44509    2e-05  59024.97089  2.79285  0.03412  1225109.00889  45.00556  18.32181     59079.18    50.80937       44.03018   32.23352  46.04789   44.5    0.20996    -20.869  0.99528 
   -8.74533  0.04017  4.37117     14.39708  1.62827  0.53588   3.99623  0.33071     0.22432   9774.49818   4777.87663  0.11697         3579.84675      20.2102  0.09014  59025.45467  2.27755  0.16051   464060.86971   45.5328  18.32917  59082.24988    50.77229        43.9717   39.14071  48.35028   43.5    0.20222   -20.9458  0.98236 
   -9.28167  0.18569  5.15499     14.16719  1.62974  0.85909   3.01511  0.29677     0.27596   8957.24446   4014.70762  0.22565         5822.45481     19.86988  0.04117  59024.91833  1.44304  0.55988  1862113.39429   44.7865  18.33178  59077.65177    50.78078        43.9697   34.53592  46.04789   50.0    0.21016  -20.91207  0.91912 
   -9.35819  0.08076  3.86964     14.08913  1.28926  0.84873   3.67538  0.28398     0.46062   8527.28517   4967.81673  0.15966         3389.87078     18.32806  0.00118  59024.84181  1.59423  0.29681  1189150.26192  45.12861  18.33967     59079.24    50.79387       43.97862   34.53592  46.79895   46.0    0.20537  -20.81495  0.96435 
    -8.5528  0.04379  4.09599     14.33832  1.40748   0.4564   5.13671  0.19507      0.0688   8776.34112   5220.53341  0.48158         2217.04679     19.67318  0.02618   59025.6472  2.36015  0.22494   461679.81373  45.52823  18.34851      59079.2    50.79262       43.98191   34.53592  46.79895   45.5    0.19617  -20.87826  0.97315 
